DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
1,0.25,0.3435,0.288,0.387,-15.434,0.586,-0.001,414.531,409,3.849,-19.1385,0,0,0,-1.161,0.587,293.3175,303.172,-1.442,80.6,3.2535,101.4,0.31,0.888,1.283,1.832,3.066,4.908,0.424,0.665,1.24,2.041,3.2025,4.715,-3.696,-4.242,-3.99,-4.2,0.7289,1.0878
1,0.75,0.532,0.386,0.166,-15.234,0.5555,0.0425,414.616,409.9,3.8675,-19.7315,0,0,0,-1.096,0.529,292.9115,303.191,-1.449,80.9,3.164,101.4,0.317,0.885,1.3,1.832,3.053,4.913,0.428,0.656,1.228,2.052,3.2025,4.713,-3.696,-4.242,-3.99,-4.2,0.7287,1.0734
1,1.25,0.563,0.487,0.2325,-15.647,0.5695,0.042,415.143,409.85,3.842,-20.4635,0,0,0,-1.187,0.539,291.8585,302.7585,-1.5955,80.6,3.2965,101.4,0.308,0.885,1.277,1.828,3.06,4.905,0.417,0.643,1.227,2.045,3.207,4.697,-3.696,-4.242,-4.032,-4.284,0.7379,1.0966
1,1.75,0.566,0.435,0.194,-16.612,0.549,0.035,415.538,409.15,3.8445,-20.0855,0,0,0,-1.115,0.541,291.166,302.607,-1.646,81.2,3.2985,101.4,0.296,0.875,1.2745,1.833,3.051,4.9085,0.412,0.612,1.217,2.033,3.21,4.7075,-3.696,-4.242,-4.032,-4.242,0.718,1.10435
1,2.25,0.636,0.507,0.289,-14.3495,0.5195,0.034,414.938,409.35,3.786,-17.839,0,0,0,-1.023,0.4915,292.627,302.129,-1.873,81.5,3.1825,101.4,0.296,0.874,1.273,1.823,3.049,4.906,0.419,0.623,1.214,2.043,3.2015,4.706,-3.738,-4.242,-4.032,-4.284,0.6864,1.0577
1,2.75,0.5905,0.429,0.174,-15.555,0.544,0.0275,415.002,409.2,3.7775,-18.9665,0,0,0,-1.058,0.538,292.076,301.515,-1.946,81.1,3.263,101.4,0.29,0.862,1.267,1.825,3.054,4.902,0.417,0.601,1.204,2.04,3.208,4.708,-3.78,-4.221,-4.032,-4.305,0.6859,1.07555
1,3.25,0.561,0.485,0.316,-16.0165,0.542,0.076,415.297,408.4,3.782,-19.8395,0,0,0,-1.214,0.579,290.673,300.795,-2.05,80.95,3.2095,101.4,0.28,0.883,1.256,1.832,3.043,4.906,0.424,0.615,1.18,2.036,3.2055,4.702,-3.78,-4.242,-4.053,-4.347,0.7055,1.097
1,3.75,0.4765,0.432,0.233,-17.98,0.569,0.016,415.4,408.3,3.792,-19.342,0,0,0,-1.241,0.597,290.821,301.143,-2.058,81.25,3.1485,101.4,0.28,0.865,1.271,1.83,3.046,4.904,0.423,0.595,1.187,2.033,3.198,4.69,-3.822,-4.221,-4.074,-4.389,0.7113,1.0988
1,4.25,0.587,0.515,0.365,-16.735,0.549,0.028,415.7195,408.2,3.717,-19.296,0,0,0,-1.203,0.55,289.916,301.255,-2.1205,81.55,3.1755,101.4,0.284,0.858,1.264,1.829,3.047,4.902,0.42,0.587,1.178,2.022,3.187,4.697,-3.864,-4.242,-4.095,-4.389,0.7059,1.0787
1,4.75,0.547,0.503,0.475,-15.653,0.532,0.021,415.524,408.4,3.725,-19.213,0,0,0,-1.221,0.579,290.412,300.939,-2.226,81.55,3.197,101.4,0.289,0.859,1.261,1.837,3.042,4.9,0.426,0.581,1.17,2.024,3.192,4.687,-3.906,-4.263,-4.137,-4.41,0.68045,1.06995
