DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.03715,-6.4325,0.17975,-8.8246,-59.125,-12.3,-57.025,50.25,99.598475,0,-102.1,0,0,0,0,176.8,269.775
1,0.75,0.056,-7.0425,0.17875,-7.50705,-46,-9.95,-59.025,49.495,99.598475,0,-104.025,0,0,0,0,175.85,267.775
1,1.25,0.0352,-7.25,0.19775,-3.695825,-55.425,-34.6,-60.025,48.505,99.598475,0,-103.025,0,0,0,0,174.925,266.775
1,1.75,0.058,-7.2725,0.239,-2.4823,-52.375,-22.35,-60.025,48.0325,99.598475,0,-102.125,0,0,0,0,175.925,263.825
1,2.25,0.02055,-7.5675,0.1495,-5.3582,-52.9,-58.375,-59.075,47.345,99.601,0,-102.075,0,0,0,0,176.975,268.725
1,2.75,0.034675,-7.765,0.24775,-3.93215,-41.2,-37.8,-59.025,47.1175,99.601,0,-103.075,0,0,0,0,176.975,269.7
1,3.25,0.03035,-7.7725,0.0895,-2.2665,-45.275,-15.3,-58.05,50.6925,99.601,0,-105.025,0,0,0,0,182.8,270.625
1,3.75,0.0409,-7.8825,0.16825,-3.4368,-40.9,-10,-58.05,52.4975,99.601,0,-104.05,0,0,0,0,179.875,263.8
1,4.25,0.02615,-7.985,0.21975,-4.640675,-49,-18.9,-60.025,53.675,99.601,0,-103.1,0,0,0,0,178.975,261.825
1,4.75,0.028,-8.055,0.27,-13.2169,-43.4,-21.8,-60.025,55.0375,99.601,0,-105.025,0,0,0,0,184.775,262.875
1,5.25,0.02345,-8.745,0.12925,-5.42,-41.15,-12.7,-59.05,56.0525,99.697525,0,-102.075,0,0,0,0,184.75,261.925
1,5.75,0.040125,-8.855,0.12925,-9.95875,-37,-27.325,-60.025,56.12,99.697525,0,-102.075,0,0,0,0,184.725,261.85
1,6.25,0.031875,-9.1475,0.1795,-2.330275,-41.95,-20.35,-60,55.885,99.697525,0,-105.1,0,0,0,0,184.75,261.85
1,6.75,0.05215,-9.4425,0.2675,-6.76305,-39.5,-25.4,-59.025,56.5375,99.697525,0,-103.075,0,0,0,0,184.75,259.95
1,7.25,0.032,-9.82,0.2475,-2.32295,-35,-48.425,-58.05,55.865,99.697525,0,-94.05,2.975,0.975,0,0,174.975,263.975
1,7.75,0.0449,-9.41,0.129,-2.70855,-31.45,-24.875,-55.075,51.295,99.796,0,-66.15,9,3.975,1,1,173.925,274.875
1,8.25,0.06205,-7.505,0.3375,-8.845325,-16.4,-25.3,-48.15,51.1825,99.796,0,-10.175,23,11.975,3,2,174.925,284.9
1,8.75,0.118,-5.4225,1.0085,-6.138875,-5,-22.2,-47.075,46.7,99.798475,0,15.975,37.975,19.95,5.975,2.975,175.975,290.975
1,9.25,0.1305,-4.615,1.06675,-6.4213,-3.375,-33.775,-42.075,44.3425,99.798475,0,12.95,45.975,22.825,4.975,3,178.975,298
1,9.75,0.1428,-3.805,1.11925,-17.1036,-3,-9.4,-37,39.975,99.801,0,15.825,42.975,22.75,5,2.975,182.95,306
1,10.25,0.0976,-3.3025,1.316,-16.1858,-0.199999999999996,-11.6,-35.025,35.795,99.798475,0,21.725,69.675,28.875,8,3.975,185.925,313.975
1,10.75,0.1008,-2.615,1.39825,-9.115675,-0.749999999999998,0.125000000000001,-29.125,32.980025,99.798475,0,23.95,72.825,33.875,9.975,4.975,189.925,321.875
1,11.25,0.169075,-1.6225,1.35925,-16.2277,-0.449999999999998,1.625,-25.225,31.395,99.798475,0,26.975,86.95,33.95,10.95,4,190,326.95
1,11.75,0.18515,-1.1275,1.468,-14.249125,3,-5.75,-21.3,30.1,99.798475,0,22.975,86.675,36.9,10.95,5,191.95,327.9
1,12.25,0.1746,-1.0125,1.31975,-15.69825,-0.8,-9.25,-21.25,28.8825,99.798475,0,25.925,89.95,43.875,11,5.975,193.825,325.975
1,12.75,0.1538,-0.6175,1.3785,-14.41425,-0.75,2.1,-21.125,26.58,99.7,0,26.95,85.975,43.9,9.95,6.975,195.8,325.95
1,13.25,0.1452,-0.41,1.32575,-12.309,-3,-14,-18.05,25.98,99.7,0,20.925,71.475,33.825,7.975,4.95,196.8,325.95
1,13.75,0.146875,-0.21,1.2095,-10.090925,-3,0,-14,25.2,99.7,0,19.975,68,34.875,6,5,195.825,324
1,14.25,0.0975,-0.00749999999999997,1.22375,-7.55325,-0.475,-6.4,-18.025,25.8675,99.7,0,10.925,52.925,20.95,5.975,3,190.95,323.925
1,14.75,0.11735,0,1.1695,-5.9631,-9,-6.8,-20.075,26.27,99.7,0,6.95,50.8,24.9,5,3,189.95,321.95
1,15.25,0.0872,-0.00499999999999998,1.117,-11.7245,-11.85,-14.4,-22.025,26.075,99.7,0,7,42.875,16.95,4.975,2.975,191.85,318.9
1,15.75,0.14295,-0.2025,1.08125,-3.722,-9.95,-1.75,-25.05,25.58,99.7,0,-7.075,30.975,13.95,3,1.975,188.875,312
1,16.25,0.1015,-0.51,0.957,-5.9096,-25.35,-10.3,-33.15,25.695,99.7,0,-52.125,14.975,6,2,1,184.95,303.95
1,16.75,0.0545,-1.2075,0.77875,-8.0357,-45.2,-10.3,-42.05,28.45,99.7,0,-93.025,6,2,1,0,183.975,295.975
1,17.25,0.024825,-2.105,0.54,-6.2264,-52.375,-16.4,-44.025,31.0725,99.7,0,-110.05,1,0,0,0,183.975,290.925
1,17.75,0.035,-2.9,0.35825,-3.5481,-54.6,-25,-46.05,37.035,99.7,0,-111.025,0,0,0,0,184,285.95
1,18.25,0.0296,-3.5025,0.26,-3.886325,-48.25,-5,-50.025,39.4825,99.7,0,-110.025,0,0,0,0,182.975,282.975
1,18.75,0.0203,-4.0075,0.30875,-3.5198,-44.425,-12.5,-52.025,38.395,99.697525,0,-111,0,0,0,0,182.95,281.95
1,19.25,0.029125,-4.3125,0.1595,-2.11015,-47.55,-10,-56,39.4775,99.601,0,-110,0,0,0,0,181.975,280.975
1,19.75,0.0207,-4.815,0.229,-2.83315,-49.85,-18.8,-57.025,47.465,99.601,0,-108.025,0,0,0,0,181.95,279.875
1,20.25,0.01835,-5.115,0.09975,-3.493875,-53.45,-47.9,-58.025,48.49,99.601,0,-107.05,0,0,0,0,180.95,278.9
1,20.75,0.023875,-5.315,0.19875,-4.99405,-52,-29.175,-59.025,48.065,99.601,0,-107,0,0,0,0,180.95,278.825
1,21.25,0.043625,-5.61,0.19825,-3.747,-59.45,-21.1,-59.025,47.1675,99.601,0,-107.025,0,0,0,0,179.925,276.875
1,21.75,0.01575,-6,0.25725,-5.034375,-52,-19.25,-59.025,47.1525,99.601,0,-106.025,0,0,0,0,179.9,272
1,22.25,0.03665,-5.715,0.2985,-7.7906,-50.475,-22.475,-60,47.28,99.697525,0,-106.025,0,0,0,0,178.9,270.95
1,22.75,0.0295,-5.8175,0.208,-5.86505,-52,-64.275,-60,49.2375,99.697525,0,-106.025,0,0,0,0,177.9,271.975
1,23.25,0.0249,-6.21,0.12,-6.7906,-62.9,-82.55,-60,50.6225,99.697525,0,-104.05,0,0,0,0,177.825,269.925
1,23.75,0.038,-6.325,0.179,-20.7494,-52.7,-10.825,-60.025,50.2575,99.697525,0,-103.075,0,0,0,0,177.775,268.8
2,0.25,0.025425,-5.31,0.09975,-7.09275,-48.65,-12,-47.075,53.085,99.897525,0,-106.05,0,0,0,0,197.925,283
2,0.75,0.034675,-5.1225,0.1095,-7.9676,-46.8,-30.9,-50.05,55.075,99.897525,0,-107,0,0,0,0,196.95,281.95
2,1.25,0.027375,-5.82,0.22975,-4.7038,-52,-7.125,-49.05,57.485,99.801,0,-107.025,0,0,0,0,192.925,280.95
2,1.75,0.0269,-6.3175,0.1195,-6.9061,-53.825,-18.7,-49.025,58.895,99.798475,0,-108,0,0,0,0,191.925,280.925
2,2.25,0.015,-5.745,0.15825,-8.158625,-53.125,-34.4,-48.05,62.735,99.798475,0,-109.025,0,0,0,0,190.95,280.9
2,2.75,0,-5.7375,0.138,-9.0448,-47,-44.375,-50,60.8925,99.798475,0,-108.025,0,0,0,0,189.925,280.9
2,3.25,0.030725,-5.9475,0.05925,-24.27765,-44.75,-122.8,-50,61.755,99.798475,0,-111.025,0,0,0,0,188.95,276.975
2,3.75,0.051425,-6.15,0.01,-28.90505,-36,-34.425,-50,62.73,99.796,0,-108.1,0,0,0,0,189.925,275.95
2,4.25,0.018,-7.425,0.149,-4.9655,-43.85,-58.4,-51,60.4375,99.796,0,-109.025,0,0,0,0,188.925,275.925
2,4.75,0.01,-7.92,0.159,-3.057275,-37.85,-30.125,-52,63.6875,99.796,0,-109.025,0,0,0,0,190.95,275.9
2,5.25,0.027625,-8.5025,0.13,-2.93015,-39.85,-7.75,-52,65.8025,99.796,0,-109,0,0,0,0,191.975,273.95
2,5.75,0.015,-8.6,0.12925,-4.477,-35.95,-18.35,-51.025,65.1675,99.798475,0,-108,0,0,0,0,194.9,273.95
2,6.25,0.0327,-8.705,0.11,-11.175375,-36.7,-37.25,-51.025,65.155,99.895,0,-107,0,0,0,0,194.9,275.85
2,6.75,0.020075,-8.61,0.1395,-3.7969,-29.775,-12.75,-50.025,66.0225,99.897525,0,-105.05,0,0,0,0,194.875,276.825
2,7.25,0.03185,-8.4025,0.07975,-3.643925,-23.775,-9.75,-48,63.865,99.9,0,-84.025,6.975,2.975,0.975,0,193.9,279.925
2,7.75,0.023,-6.2,0.1295,-11.984325,-23,-17.375,-44.025,60.1575,99.9,0,-27.125,19.975,9,2,1,193.925,291.975
2,8.25,0.0379,-4.225,0.1995,-25.14215,-19,-42,-41.025,54.77,99.9975,0,2.85,27.975,13.95,3,2,192.95,301.825
2,8.75,0.0513,-2.93,0.42425,-24.27275,-22.7,-40.85,-36.075,49.2975,99.897525,0,8.975,39.925,17.95,5.95,3,195.9,304.925
2,9.25,0.09045,-2.605,0.61975,-21.8494,-5.55,-21.75,-32.025,45.295,99.897525,0,21.9,58.925,28,8,4,195.975,309.85
2,9.75,0.0905,-1.65,0.8255,-16.5748,-4.8,5.5,-27.05,40.005,99.995,0,26.9,77.6,36,9.95,5.95,201.9,312.75
2,10.25,0.1144,-1.555,0.9775,-11.2095,-3.8,-12.875,-25.05,35.195,99.995,0,24.6,75.15,34.5,7.95,4.95,203.95,314.9
2,10.75,0.11825,-1.7,0.888,-16.9053,-7.55,-49.55,-20.25,33.415,99.995,0,28,100.2,42.65,8.95,6.9,205.95,313
2,11.25,0.132575,-1.1175,1.0895,-12.749375,-2,1.45,-22.025,30.59,99.9,0,36.8,97.95,43.975,9,7.975,206.975,315.875
2,11.75,0.06315,-1.3125,1.18975,-10.866,-10,-0.699999999999999,-21.075,28.89,99.9,0,31.95,100.725,41.9,9.975,6.95,209,313.875
2,12.25,0.094,-0.9175,1.239,-17.554,1.5,-22.95,-20.1,27.8,99.801,0,32.95,95.95,45.775,11.9,5.975,211.975,319.75
2,12.75,0.143175,-0.4275,1.1085,-12.4536,-7,-3.49999999999999,-21.05,28.195,99.798475,0,35.7,98.475,41.95,10.925,5.975,212.925,320.875
2,13.25,0.117675,-0.225,0.9675,-21.0494,-12,19.725,-19.025,27.3875,99.7,0,33.9,95.95,40,9.925,6,212.925,319.95
2,13.75,0.12925,-0.12,0.84725,-12.84025,-10.4,-17.375,-18.025,26.6775,99.697525,0,26.925,81.8,38.925,8.925,5.975,213.9,319.875
