DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,SC_1_1_1,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.3735,-14.06,3.3565,0.3205,0.267,0.031,-6.878,-3.971,0.1495,-0.57,-3.68,-0.3835,-0.148,83.143,97.156,399.359,394.8155,0.29,-18.615,0,0,0,0,231.765,248.375,1.845,0
1,0.75,0.3635,-14.3655,3.3175,0.38,0.288,0.016,-7.21,-3.857,0.362,-0.464,-3.671,-0.3835,-0.1485,83.307,97.1635,399.4035,394.904,0.29,-18.346,0,0,0,0,231.2205,247.917,1.792,0
1,1.25,0.346,-14.2665,3.2465,0.349,0.257,0,-6.097,-4.003,0.1705,-0.408,-3.6735,-0.386,-0.151,83.281,97.19,399.359,395.0275,0.27,-19.817,0,0,0,0,229.762,248.026,1.739,0
1,1.75,0.343,-14.189,3.2345,0.357,0.272,0.052,-6.734,-4.252,0.11,-0.447,-3.675,-0.388,-0.154,83.309,97.21,399.1615,395.05025,0.28,-18.852,0,0,0,0,228.308,246.8415,1.73,0
1,2.25,0.343,-14.4655,3.235,0.326,0.26,0.052,-5.336,-3.252,0.15,-0.472,-3.678,-0.386,-0.1525,83.522,97.221,399.3,395.073,0.27,-19.628,0,0,0,0,227.74,245.6385,1.677,0
1,2.75,0.331,-14.602,3.2455,0.317,0.232,0.0295,-5.787,-3.317,0.1405,-0.455,-3.6895,-0.392,-0.156,83.387,97.238,399.3725,395.172,0.27,-18.8535,0,0,0,0,224.703,244.864,1.69,0
1,3.25,0.315,-14.946,3.186,0.4325,0.2475,0.1535,-5.21,-3.588,0.117,-0.416,-3.708,-0.396,-0.156,83.217,97.241,399.477,395.261,0.26,-19.719,0,0,0,0,227.6765,243.858,1.661,0
1,3.75,0.3105,-15.1585,3.2215,0.387,0.2395,0.078,-5.3045,-2.779,0.071,-0.391,-3.7235,-0.4035,-0.1585,83.397,97.247,399.449,395.485,0.26,-17.3005,0,0,0,0,228.397,243.154,1.641,0
1,4.25,0.312,-15.2175,3.158,0.316,0.24,-0.022,-5.4285,-3.034,0.068,-0.346,-3.6855,-0.395,-0.159,82.962,97.214,399.534,395.307,0.26,-15.602,0,0,0,0,229.223,242.311,1.598,0
1,4.75,0.3045,-15.2935,3.2205,0.303,0.23,-0.009,-5.1925,-2.287,0.098,-0.374,-3.6755,-0.398,-0.159,82.641,97.217,399.746,395.31,0.25,-14.169,0,0,0,0,226.422,242.2045,1.605,0
1,5.25,0.297,-15.326,3.109,0.3625,0.246,0.0855,-5.124,-2.33,0.1185,-0.381,-3.671,-0.401,-0.16,82.645,97.206,399.7245,395.3135,0.25,-14.724,0,0,0,0,223.002,242.0965,1.609,0
1,5.75,0.318,-15.313,3.2205,0.385,0.244,0.0705,-5.1,-2.875,0.0475,-0.401,-3.674,-0.3965,-0.158,82.216,97.2135,399.54,395.504,0.25,-14.994,0,0,0,0,227.674,240.8735,1.56,0
1,6.25,0.2945,-15.289,3.1945,0.32,0.25,0.033,-5.849,-2.238,0.1135,-0.409,-3.661,-0.398,-0.158,82.421,97.201,399.8945,395.6275,0.25,-14.217,0,0,0,0,229.923,241.591,1.564,0
1,6.75,0.2995,-15.206,3.1325,0.347,0.272,5e-04,-5.072,-2.336,0.09,-0.309,-3.675,-0.3975,-0.1585,82.2,97.198,399.957,395.517,0.25,-13.667,0,0,0,0,229.218,241.236,1.496,0
1,7.25,0.294,-15.38,3.165,0.366,0.218,0.077,-6.233,-2.319,0.114,-0.336,-3.686,-0.396,-0.159,81.521,97.199,399.772,395.665,0.25,-15.263,0,0,0,0,227.974,240.8615,1.479,0
