DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,0.25,1.63,10.353815,-3.7113225,-1.21275,-0.745,-1.807,-1.9755,-1.38825,-0.5224,-1.59715,-1.0387,401.69,6.766525,87.5115,4.8265,0.3328175,4.5275,3.78235,3.8443325,90.99175,0,0,0,0,297.5325,321.56,-9.057325,0.6485,0.974,1.23,1.6305,2.362,3.656,0.783015,1.720625,1.46301,1.013805,4.7833,1.6095
1,0.75,1.50311,11.0340275,-3.8,-1.2125,-0.74925,-1.668,-1.9835,-1.39825,-1.23643,-1.59745,-1.52325,401.622615,6.7556,87.5125,4.645175,0.3387425,4.4388,3.410665,3.5555,91.2271675,0,0,0,0,298.4,321.548335,-9.4,0.6535,0.9475,1.209,1.6185,2.36825,3.659,0.793,1.757025,1.47795,1.017825,4.915,1.609
1,1.25,1.5,9.78875,-3.965325,-1.21875,-0.7965,-1.65975,-1.98075,-1.4155,-1.5672,-1.5979,-1.887025,401.66,6.754115,87.50375,4.673025,0.34859,4.367775,3.449985,3.5917475,91.21275,0,0,0,0,298.07,320.755,-10.1657525,0.6425,0.97325,1.185,1.616,2.35975,3.64925,0.7824675,1.7069,1.482,1.0101,4.8751075,1.596
1,1.75,1.566,9.969655,-4.6025,-1.22225,-0.78675,-1.649,-1.98875,-1.42275,-1.5672,-1.5979,-2.0774,401.5,6.70965,87.5115,4.4660775,0.342295,4.305,3.0982,3.341,91.33,0,0,0,0,296.595,320.916665,-9.3205,0.63075,0.93075,1.173,1.62475,2.35525,3.64375,0.78,1.6997,1.52228,0.98665,4.797725,1.6085
1,2.25,1.57,9.38,-4.3055,-1.23825,-0.788,-1.66975,-1.984,-1.43925,-1.5674,-1.5979,-2.077425,401.44,6.7335,87.533,4.3165475,0.3415425,4.14,3.118,3.2475,91.9,0,0,0,0,297.8425,320.665,-8.68,0.62925,0.91775,1.1635,1.61575,2.34875,3.63925,0.76,1.659225,1.3848,0.967475,4.6533,1.60475
1,2.75,1.46,12.50725,-2.730925,-1.2385,-0.7875,-1.668,-2.00025,-1.45025,-1.5674,-1.5979,-2.0776675,401.5,6.667,87.521,4.30275,0.354225,3.9125,2.91435,3.19575,91.884,0,0,0,0,298.5858325,320.015,-8.4175,0.634,0.954,1.18525,1.61175,2.35725,3.6405,0.76856,1.684585,1.453915,0.98575,4.5535,1.62075
1,3.25,1.5665,8.487,-2.7585,-1.24375,-0.7885,-1.65875,-2.0025,-1.439,-1.5674,-1.5979,-2.07758,401.6,6.65862,87.531,4.22415,0.3537,3.915,2.9225,3.187225,92.167,0,0,0,0,299.2175,319.48,-7.77525,0.637,0.8885,1.22275,1.63275,2.3625,3.6335,0.76025,1.67995,1.394405,0.9466,4.58875,1.60175
1,3.75,1.45,10.426,-4.3,-1.23725,-0.79125,-1.648,-2.00375,-1.4425,-1.5674,-1.5979,-2.0774525,401.09,6.723725,87.505,4.1926,0.3501,3.8925,2.95615,3.118025,92,0,0,0,0,298.1975,319.175,-7.118775,0.6205,0.86125,1.19725,1.61575,2.35425,3.632,0.759575,1.6903,1.419815,0.9494,4.51,1.6055
1,4.25,1.519,9.1937,-2.1096,-1.239,-0.77525,-1.6485,-2.02,-1.3905,-1.56737,-1.5979,-2.0775625,401.3,6.8252575,87.49925,4.209105,0.371475,3.73108,2.763665,2.9678225,92.2,0,0,0,0,298.175,319.485,-6.4234175,0.62125,0.87425,1.20125,1.60375,2.35925,3.638,0.731005,1.62878,1.34071,0.9093775,4.5725,1.601
1,4.75,1.4972475,9.778,-3.1975,-1.24025,-0.75775,-1.6325,-2.024,-1.457,-1.567385,-1.5979,-2.0776325,401.22,6.8175,87.48075,3.9414,0.35979,3.645345,2.5865,2.845475,92.4,0,0,0,0,300.2125,318.85,-6.01425,0.6165,0.87025,1.19525,1.6135,2.34925,3.638,0.713,1.5817,1.3655,0.8886475,4.51381,1.60825
