DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,-0.371225,-0.4601,-3.4387,-79.6575,0.055125,-1.21975,388.5395,348.86675,346.4605,0.90625,-97.6,-20.978,-6.2495,-4.0402,159.4375,240.435,0,0,0,-16.853,-17.4575,-17.75,58.766,62.204,66.942,0.5388,97.1911,-2.6719,-1.73485,-1.3192,-0.77445,1.52905,3.01325,-2.7109,-1.92655,-0.8737,-0.3123,1.07075,3.103,-8.183675,-10.470675,0.0429875,0.19025
1,0.75,-0.7385,-0.6487,-3.332,-96.6485,0.052,-1.11825,388.21775,348.92625,347.847,0.90705,-96.992775,-21.514,-6.299975,-3.9156,158.00445,239.935,0,0,0,-16.9045,-17.4195,-17.5695,58.4225,63.344,66.227,0.483025,97.15515,-2.69935,-1.75315,-1.33675,-0.776575,1.51635,3.01555,-2.7206,-1.928925,-0.86775,-0.313,1.08505,3.108,-8.363025,-9.9209,0.029995,0.1955625
1,1.25,-0.9362,-0.71865,-3.36825,-88.031,0.044025,-1.429575,388.043225,349.117,349.056,0.85285,-96.70225,-20.932,-6.4967,-3.981325,157.96,240.28,0,0,0,-17.079,-17.552,-17.7225,58.7175,63.4205,66.289,0.55715,97.105275,-3.0759,-1.7727,-1.3494,-0.773725,1.5095,3.068975,-2.7571,-1.93125,-0.86685,-0.316575,1.08315,3.115,-8.4154,-10.2276,0.05306,0.1839875
1,1.75,-0.7643,-0.567,-2.9471,-92.26725,0.053,-1.288,388.425975,349.07925,348.8815,0.881,-97.51,-20.364,-6.3945,-3.9686,157.15,239.57,0,0,0,-17.1695,-17.7465,-18.036,58.4375,63.233,67.559,0.6088,97.1081,-2.7845,-1.7854,-1.3514,-0.772175,1.5024,3.0981,-2.7769,-1.9321,-0.864475,-0.3744,1.08705,3.12585,-8.4696,-10.1994,0.07792,0.20548
1,2.25,-0.7172,-0.5738,-3.2112,-85.04215,0.0554,-1.17625,389.046525,349.525,348.765,0.878,-96.66985,-21.535,-6.3559,-3.898125,156.59,239.37,0,0,0,-17.415,-17.77,-18.228,57.91375,62.948,67.884,0.588,97.0538,-2.8549,-1.79995,-1.3458,-0.7751,1.496,3.096525,-2.8036,-1.91035,-0.8638,-0.37645,1.081625,3.1179,-8.4868,-10.3452,0.07076,0.1527
1,2.75,-0.6428,-0.55475,-3.7092,-86.4849,0.05655,-1.149475,389.114875,349.57675,347.858,0.90645,-96.98165,-23.6,-6.4596,-4.0547,155.65,238.46,0,0,0,-17.394,-18.107,-18.282,58.933,63.525,67.738,0.5588,97.0201,-2.82045,-1.80785,-1.27075,-0.781525,1.501,3.096525,-2.78615,-1.8786,-0.8638,-0.31575,1.076625,3.13075,-8.7428,-10.3314,0.070675,0.227825
1,3.25,-0.6547,-0.465125,-3.0298,-96.197,0.059,-1.250875,389.0995,349.3835,349.207,0.8594,-97.365,-25.546,-6.5765,-4.0661,154.67,237.9,0,0,0,-17.6175,-18.1545,-18.566,59.553,64.12575,68.041,0.5638,96.974,-2.6415,-1.825775,-1.277,-0.787,1.526,3.077725,-2.8143,-1.869825,-0.86695,-0.3135,1.077625,3.128,-8.8044,-10.3958,0.079975,0.18446
1,3.75,-0.6836,-0.414875,-2.857525,-81.7703,0.051575,-1.27875,388.6454,349.327,349.27325,0.8205,-97.6703,-21.826,-6.4481,-4.2157,154.39,237.55,0,0,0,-17.693,-18.1405,-18.654,59.25375,63.809,68.065,0.4542,97.095375,-2.66575,-1.847275,-1.28775,-0.7854,1.53655,3.06325,-2.82475,-1.8744,-0.870475,-0.3146,1.0771,3.127125,-8.8524,-10.8824,0.0608375,0.20351
1,4.25,-0.7147,-0.577575,-3.136025,-84.73285,0.064375,-1.349425,388.21015,349.4295,349.392,0.78775,-96.82,-21.552,-6.5039,-4.346275,154.82,237.01,0,0,0,-17.7695,-18.369,-18.822,59.8405,64.243,68.206,0.539225,97.07175,-2.741,-1.86965,-1.30405,-0.787,1.54865,3.068775,-2.843325,-1.8973,-0.8749,-0.3161,1.077,3.127125,-8.9224,-11.08,0.06659,0.21798
1,4.75,-0.78145,-0.6132,-3.62265,-88.9448,0.0656,-1.1729,388.23315,349.734,350.495,0.7685,-96.1725,-20.518,-6.42665,-4.1381,156.2075,237.755,0,0,0,-17.6825,-18.35475,-18.81125,59.9075,64.605,67.06,0.5913,97.133,-3.03005,-1.89345,-1.30215,-0.789175,1.549775,3.0781,-2.893575,-1.94485,-0.8788,-0.3204,1.07805,3.1266,-9.0264,-11.57,0.0944675,0.181875
