DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,TS_1,TS_2,TS_3,G_1,G_2,WS
1,0.25,0.713882449,-2.60575,2.1186,0.140965,0,0.758,-16.1525,0,0,0.7136025,85.54425,99.2,-6.332075,-0.68225,-2.81025,-2.75175,-4.577,-3.51925,0.8397225
1,0.75,0.61677870825,-2.0496,2.32055,0.1310625,0,0.76375,-18.18,0,0,0.783715,83.9805,99.2,-6.5605,-0.6805,-2.85525,-2.7595,-4.5405,-3.52475,0.9002675
1,1.25,0.900662754,-2.629925,1.7892,0.10198,0,0.74925,-15.36,0,0,0.7221375,84.611,99.3,-6.72425,-0.68425,-2.862,-2.76475,-4.445125,-3.59125,0.75163
1,1.75,1.012647786,-1.6903,2.0187,0.1182,0,0.7605,-13.8375,0,0,0.684,84.65,99.3,-7.404,-0.684,-2.868,-2.7645,-4.396875,-3.616625,0.6860725
1,2.25,0.70134000775,-0.680545,1.896275,0.094575,0,0.75425,-11.3075,0,0,0.564875,85.82875,99.3,-7.49125,-0.68475,-2.88675,-2.76875,-4.372125,-3.632875,0.64698
1,2.75,0.584339206,-0.68541,1.861775,0.1202675,0,0.70825,-11.985,0,0,0.59818,85.6675,99.35,-8.2531,-0.6835,-2.90125,-2.77425,-4.33975,-3.646,0.670355
1,3.25,0.68893122175,-0.74596,3.03985,0.1189275,0,0.6885,-12.46,0,0,0.57413,85.7805,99.35,-7.2355,-0.6845,-2.90875,-2.7745,-4.31075,-3.65725,0.58323
1,3.75,0.8241228155,-0.9309825,1.7939,0.12171,0,0.74575,-13.01,0,0,0.5111025,86.7925,99.275,-7.443625,-0.6845,-2.918,-2.77475,-4.288875,-3.6755,0.602725
1,4.25,0.539673922,0.20048,1.5539,0.11386,0,0.678,-7.934,0,0,0.575405,85.77525,99.275,-7.616625,-0.68125,-2.91025,-2.77475,-4.28125,-3.687625,0.71221
1,4.75,0.831376716,-1.3511,2.5641,0.108625,0,0.6405,-9.22,0,0,0.557065,86.31625,99.275,-7.4787,-0.681,-2.905,-2.777,-4.34175,-3.69425,0.714085
1,5.25,0.87373565475,0.93104,3.131125,0.11286,0,0.74375,-8.01,0,0,0.5722975,84.91525,99.25,-7.04,-0.68,-2.89575,-2.782,-4.403,-3.701375,0.568275
1,5.75,0.86403961325,-1.6469,3.709225,0.139715,0,0.66725,-6.899,0,0,0.5268825,85.585,99.175,-8.066225,-0.671,-2.88325,-2.78825,-4.476625,-3.707,0.5502
1,6.25,0.59910456825,-2.0948,2.49875,0.104475,0,0.67175,-4.531,0,0,0.5470975,84.7245,99.2,-8.47525,-0.6635,-2.8755,-2.793,-4.559375,-3.71375,0.600605
1,6.75,0.57217147375,0.06425,2.67365,0.0953,0,0.5905,-4.30075,0,0,0.5137575,86.456,99.2,-8.5275,-0.67725,-2.88575,-2.8,-4.636625,-3.723375,0.78214
1,7.25,0.7585803695,-0.45512,2.8192,0.0942,0,0.67325,-13.78,0,0,0.4913075,86.379,99.175,-7.63805,-0.675,-2.88425,-2.806,-4.71375,-3.7275,0.586655
1,7.75,0.744726255,-4.1984,3.821775,0.12246,0,0.74975,-8.4,0,0,0.520715,86.39225,99.25,-8.5369,-0.6605,-2.876,-2.80525,-4.7835,-3.721125,0.69966
1,8.25,0.80916444,-3.183725,1.560025,0.129355,0,0.67675,-12.61,0,0,0.5751675,85.9865,99.25,-8.367975,-0.6605,-2.88,-2.80075,-4.859,-3.713625,0.585945
