DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
1,0.25,378.19975,1.7165,0.1,-3.335,213.15,216.85,-0.88,0,-24.875,82.45,0,0,-1.15,-20.825,-9.85,-2.45,-6.2625,-6.03,0.1675,93.1,1.22
1,0.75,378.3,1.79525,0.0925,-3.58,207.55,216.425,-0.91,0,-24.55,82.525,0,0,-0.35,-16.82,-10,-2.5,-6.315,-6.055,0.14825,93.1,1.335
1,1.25,378.053,1.939,0.0925,-3.82,207.275,215.95,-0.965,0,-24.275,82.225,0,0,-0.4,-17.26475,-9.95,-2.525,-6.3425,-6.105,0.1195,93.1,1.3825
1,1.75,377.9655,1.89925,0.1,-4.515,208.5,215.975,-0.9275,0,-24.6,82,0,0,-0.8,-15.88,-10.05,-2.775,-6.36,-6.1425,0.156,93.1,1.3475
1,2.25,378.1735,1.9015,0.09,-5,208.575,214.875,-0.8875,0,-24.825,82.175,0,0,-1.3,-21.77,-10,-2.75,-6.385,-6.1825,0.1765,93.1,1.4425
1,2.75,378.10175,2.03425,0.09,-4.7925,207.35,213.525,-1.0175,0,-25,82.775,0,0,-1.3,-20.34,-9.8,-2.4,-6.4075,-6.1825,0.174,93.1,1.3875
1,3.25,378.529,1.98925,0.1,-5.1925,206.8,213.575,-1.12,0,-25.15,82.45,0,0,-2.5,-18.8125,-9.9,-1.775,-6.435,-6.19,0.22175,93.1,1.4275
1,3.75,378.764,1.801,0.1025,-3.5575,209,214.3,-1.125,0,-25.3,82.6,0,0,-2.4,-23.495,-9.8,-2.125,-6.4825,-6.2025,0.24,93.1,1.415
1,4.25,379.116,1.619,0.1025,-3.5225,208.65,213.5,-1.3175,0,-25.275,82.7,0,0,-1.275,-25.15,-10,-1.975,-6.5275,-6.2175,0.231,93.1,1.4325
1,4.75,378.3515,1.43625,0.1025,-3.395,207.825,213.775,-1.2275,0,-25.4,82.025,0,0,-1.05,-20.435,-10.1,-2.05,-6.5425,-6.2375,0.1925,93.1,1.4125
1,5.25,378.232,1.67825,0.1,-3.4,207.375,212.125,-1.0975,0,-25.45,81.85,0,0,-1,-21.44,-10.175,-2.7,-6.5375,-6.275,0.16625,93.1,1.41
1,5.75,378.511,1.516,0.1,-3.4475,210.075,211.625,-0.87,0,-25.7,82.125,0,0,-1.45,-22.1725,-10.15,-2.075,-6.5275,-6.2775,0.18275,93.025,1.3725
1,6.25,378.512,1.88375,0.11,-3.6475,209.05,212.8,-0.79,0,-26.225,81.825,0,0,-0.975,-19.68,-10.225,-1.75,-6.53,-6.285,0.17475,93,1.5
1,6.75,379.25825,1.875,0.11,-4.01,208.65,212.1,-0.9275,0,-25.725,81.475,0,0,-1.2,-20.87,-10.1,-2,-6.5275,-6.28,0.17,93,1.5125
1,7.25,378.746,1.79775,0.1025,-3.295,208.025,213.475,-0.7275,0,-25.75,81.975,0,0,-1.275,-21.23,-10.075,-1,-6.5275,-6.2875,0.19,93,1.4025
1,7.75,378.42225,1.932,0.1025,-3.82,208.55,215.775,-0.6475,0,-25.225,82.3,0,0,-0.8,-19.87,-9.95,-1.65,-6.525,-6.295,0.2175,93.025,1.495
1,8.25,378.5105,1.86725,0.1,-3.8225,209.475,215.75,-0.505,0,-24.95,82.425,0,0,-0.725,-14.915,-9.875,-1.5,-6.525,-6.2925,0.23,93.025,1.48
1,8.75,378.589,1.6065,0.11,-3.04,211.675,216.525,-0.27,0,-24.75,82.425,0,0,-0.65,-18.5425,-9.95,-1.3,-6.5175,-6.2875,0.22,93.025,1.42
1,9.25,378.7975,1.8795,0.11,-0.8075,212.325,215.175,1.3425,0.5725,-24.6,82.125,2.2,0.88,-0.4,-14.14,-9.9,-2.5,-6.51,-6.285,0.185,93.025,1.3025
1,9.75,379.04,1.7775,0.11,2.74,212.975,215.45,7.42,2.4925,-24.75,82.2,9.759,4.06,0.075,-12.195,-9.825,-0.9,-6.5,-6.2775,0.221,93.025,1.35
1,10.25,378.7355,1.75975,0.11,9.1425,212.05,217.925,17.4175,5.71,-24.4,83.15,23.64,10.2575,1.225,-6.915,-9.7,-0.375,-6.4975,-6.27,0.26,93.1,1.3825
