DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,0.25,458.332867,10.317981,3081.71122,2.0380825,52.464457,-3.8931555,5.4149265,1.447651,0.198424,0.439789,0.221847,102.5,95.5,7.89,1.440941,16.74682,0.477155,8.276667,8.301667,8.492,8.762333,9.736333,11.777,-8.344607,0,0,-0.289855,1.538462,339.853896,350.00284,-0.0005965
1,0.75,454.70130425,10.3836635,3065.77681825,1.41632675,44.32758,-3.10728,6.405479,1.423911,0.186738,0.426248,0.231061,102.5,95.6,7.75,1.421658,16.802995,0.443288,8.279667,8.302333,8.487667,8.765667,9.740333,11.777,-7.191591,0,0,-0.362319,1.538462,340.001913,349.462138,-0.00094675
1,1.25,456.2819425,10.30662,3056.4718735,2.11918025,39.2388845,-2.920226,5.60694875,1.395303,0.186638,0.44393,0.235769,102.4945,96.1,7.506,1.334711,16.330689,0.4200985,8.292,8.310333,8.488333,8.769333,9.739,11.777,-7.395809,0,0,-0.434783,1.538462,339.1327,349.746328,-0.00048375
1,1.75,460.787918,10.264394,3033.768382,2.042346,51.788681,-2.04782925,1.760654,1.44946,0.202848,0.477983,0.236496,102.504,96.1,7.665,1.226088,16.349781,0.431707,8.295333,8.317,8.484,8.768667,9.733333,11.777,-7.778366,0,0,-0.362319,1.384615,335.412132,349.8261,-0.0003715
1,2.25,460.846388,10.16393,3139.937831,1.3103175,46.6706315,-1.94974625,3.32979775,1.369341,0.205834,0.444534,0.241776,102.518,96.2,7.449,1.213634,16.354025,0.404236,8.299,8.314,8.479333,8.765667,9.738333,11.777,-6.236389,0,0,-0.289855,1.461538,338.022208,349.391437,-7e-05
1,2.75,457.75429175,10.129715,3108.7892925,1.7871335,43.36910275,-0.500013,2.386579,1.281264,0.184222,0.438038,0.213675,102.52125,96.3,7.358,1.131493,16.222742,0.4231875,8.285,8.305667,8.498667,8.765667,9.743333,11.777,-5.745125,0,0,-0.217391,1.461538,339.416482,349.824962,-0.000406
1,3.25,455.27967625,10.33626,3136.3665715,1.9048435,42.52788425,-0.86577125,2.38895875,1.348795,0.199247,0.421172,0.22619,102.5245,96.3,7.108,1.113901,16.14587,0.41213025,8.232,8.289,8.479667,8.761667,9.75,11.777,-5.152288,0,0,-0.217391,1.384615,339.818286,349.081642,-0.000394
1,3.75,458.7081585,10.549948,3214.80538725,2.436169,38.4481725,-0.9308285,3.573182,1.316581,0.1819,0.469847,0.221746,102.51375,96.5,7.118,1.065646,16.148809,0.42395275,8.231333,8.289333,8.471333,8.759,9.752,11.777,-4.52977,0,0,-0.217391,1.307692,342.132393,348.353076,-0.000921
1,4.25,458.27822975,10.501431,3251.1516645,1.8984185,53.9025905,-4.590455,4.16276425,1.313152,0.212209,0.457168,0.242949,102.51,96.5,7.037,1.037716,16.234008,0.392693,8.241667,8.296333,8.475667,8.76,9.739333,11.777,-3.570132,0,0,-0.144928,1.384615,340.420147,348.68922,-0.000819
1,4.75,452.4433335,10.44108,3179.4579875,2.1057855,58.09556325,-3.96375,4.771343,1.3754,0.200427,0.482295,0.223404,102.51,96.7,6.974,1.001037,15.732438,0.39785325,8.250667,8.308667,8.472333,8.757333,9.726667,11.777,-4.329545,0,0,-0.144928,1.384615,340.409067,348.584488,-0.00071875
