DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,15.75,10.986673,7.011206,7.56755,-0.7404804,0.21786675,-6.32479999999997,97.11876,71.45852,0,1.5850125,0.677388162697157,0.56757127275015,0.452023378574591
1,16.25,11.4511595,10.3588175,-1.11681625,-0.8680327,0.221383125,-6.03639999999996,97.12378,70.92558,0,1.43782325,0.705972280027667,0.599889738853452,0.400194998277617
1,16.75,9.0038765,-11.49079975,6.521741,-0.85005035,0.2619367,-5.81337499999999,97.1342,62.49807,0,1.49224,0.599806676461698,0.603741815840895,0.410622273281607
1,17.25,9.0971275,-21.0058925,2.786718,-0.6873209,0.18831045,-5.80499999999994,97.145145,72.6163,0,1.29157975,0.652577523268134,0.526220166318409,0.395663355555108
1,17.75,8.00492675,-21.761955,2.703698,-0.60855325,0.1165697,-5.94504999999996,97.1775475,73.60642,0,1.355061,0.575631579542184,0.44179677313516,0.292405146471887
1,18.25,6.49196725,-32.0401475,2.0308069,-0.68411025,0.1615229,-6.27409999999995,97.055855,67.38852,0,1.40664525,0.402668506254873,0.398684142153516,0.263561072301397
1,18.75,6.2523105,-43.3812075,2.691548,-0.666792,0.22187005,-6.70027499999998,97.05325,68.10646,0,1.219892,0.452326687930757,0.415728299005488,0.287306343583932
1,19.25,2.229286,-26.75829,-0.688349075,-0.6514588,0.14341365,-7.05882499999997,97.078865,79.17634,0,1.915534,0.478273356296946,0.311179077311947,0.251397640649042
1,19.75,3.3604075,-27.0395,-4.4429885,-0.64396045,0.17691925,-7.49834999999995,97.08597,71.72189,0,1.4880775,0.459248496706572,0.383395151330759,0.256370376180901
1,20.25,4.0612255,-33.87148,-3.452683,-0.657181175,0.178201125,-7.90934999999997,97.0820075,81.6513875,0,1.091640925,0.584759144463035,0.401093898195884,0.253347503525828
1,20.75,3.950707,-37.896225,-2.1602,-0.6309994,0.178342675,-8.32199999999997,97.1111,78.15789,0,1.78609975,0.537882136239025,0.40585585005639,0.309412789650494
1,21.25,1.678735,-42.95039,-4.9338235,-0.767306625,0.1611392,-8.70862499999996,97.0989,79.9544,0,1.4274,0.553962642423018,0.414680542964914,0.306795279975029
1,21.75,3.777182,-49.9731525,-9.2241,-0.6562428,0.1294415,-9.19274999999999,97.1090125,82.507735,0,1.1405915,0.446947526922387,0.471205768480803,0.300983614487338
1,22.25,3.187026,-20.15418,1.254033175,-0.8574232,0.1935712,-9.63319999999998,97.10662,82.922525,0,1.397118,0.552337402163691,0.316506015232459,0.257413492631959
1,22.75,3.936284,-46.6424625,-0.34717665,-0.8269725,0.167242375,-9.97259999999998,97.09882,83.29828,0,1.17752,0.437517830687093,0.343077194318361,0.321438263369068
1,23.25,-24.020924,-37.920465,-6.157685,-0.643551375,0.137602525,-10.2306,97.08692,74.68058,0,1.47490425,0.390305440332017,0.304506167150192,0.250134822674516
1,23.75,1.1216757,-20.4381,-4.59633925,-0.8574925,0.16089,-10.609,97.06103,73.8760875,0,1.589042,0.443174556558034,0.303067258747746,0.227700334777778
2,0.25,2.12191875,-62.37217,-38.9333436,-0.668017,0.124406275,-11.0672,97.53337,51.7135875,0,1.37540375,0.395828642735621,0.269002724779034,0.200737864938214
2,0.75,2.72562075,-48.3278,2.56721,-0.8134985,0.158925,-10.8556,97.50004,39.9312875,0,1.24334575,0.473117446469514,0.313141464195007,0.252430332986533
2,1.25,-4.92372975,-61.284745,-8.245648,-0.70277535,0.159609,-10.6967,97.47415,51.4157,0,1.583822,0.34768429375302,0.345130379054071,0.245427123535598
