DOY2,HR2,CO2_1_3_1,CO2_1_4_1,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NEE,NETRAD_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_DIF,TA_1_1_1,RH_1_1_1,WS,PA,TS_1_1_1,TS_1_2_1,VPD
1,0.25,391.1095,388.41,-3.4125,0.304,0.0755,-0.091,-0.298,-4.97,-1.661,0.075,-22.595,0.02,0.01,217.015,240.185,0,0,4.945,-17.107,81.306,2.423,95.277,-4.03,-3.847,0.24
1,0.75,391.1095,388.41,-3.4225,0.284,0.0755,-0.091,-0.279,-11.39,-1.575,0.052,-23.45,0.02,0,216.83,239.55,0,0,4.934,-17.043,81.527,2.5245,95.2805,-4.034,-3.842,0.24
1,1.25,391.181,388.275,-3.395,0.305,0.067,-0.105,-0.228,-9.903,-1.322,0.08,-29.53,0.02,0,217.185,239.54,0,0,4.938,-17.434,81.666,2.461,95.278,-4.029,-3.838,0.24
1,1.75,391.379,388.29,-3.43,0.316,0.071,-0.083,-0.168,-9.633,-1.297,0.101,-27.78,0.04,0,217.615,240.33,0,0,4.945,-17.243,81.773,2.519,95.278,-4.034,-3.834,0.23
1,2.25,391.3795,387.995,-3.393,0.285,0.0725,-0.123,-0.156,-9.804,-1.264,0.0845,-24.205,0.03,0,218.25,240.445,0,0,4.954,-17.229,81.827,2.526,95.271,-4.043,-3.833,0.23
1,2.75,391.2705,387.96,-3.398,0.315,0.063,-0.042,-0.207,-8.356,-1.0675,0.091,-27.135,0.02,0.01,217.13,239.355,0,0,4.96,-17.333,81.641,2.512,95.271,-4.048,-3.831,0.24
1,3.25,391.25,387.93,-3.4475,0.304,0.067,-0.195,-0.166,-10.372,-1.278,0.1,-23.92,0.035,0.01,216.69,239.735,0,0,4.931,-17.163,81.495,2.514,95.248,-4.05,-3.828,0.23
1,3.75,391.349,388.02,-3.4755,0.3125,0.063,-0.101,-0.129,-8.7575,-0.917,0.084,-21.68,0.04,0.01,217.92,239.78,0,0,4.93,-17.206,81.64,2.482,95.266,-4.055,-3.823,0.24
1,4.25,391.457,388.035,-3.463,0.3095,0.066,-0.096,-0.1525,-7.3955,-1.2555,0.079,-21.13,0.06,0.01,218.775,239.385,0,0,4.9315,-17.229,81.4065,2.5175,95.255,-4.057,-3.83,0.235
1,4.75,391.471,388.44,-3.498,0.3085,0.0625,-0.142,-0.239,-9.0175,-1.3655,0.0985,-20.81,0.06,0.01,217.19,239.17,0,0,4.9375,-17.2645,81.429,2.443,95.257,-4.062,-3.833,0.24
