DOY2,HR2,USTAR,H,LE,NEE,FC,SC,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,SW_IN_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_2,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,PPFD_OUT,T_CANOPY_1_1_1,T_CANOPY_1_1_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1
1,0.25,0.030053725,-80.260811657,-4.6984484037,-0.618464876125,-0.83514707945,-0.1565664815,0.165091125,0.168466625,0.060206,0.0693799,370.532012925,0.5485027,-32.539425,-33.31942,40.8434,44.3464,92.398757,-7.933503525,-12.9031584,0,0,0,0,152.029707955,182.7824888275,-95.28020914,-64.1738826735,0,0,-38.02398844,-39.82095266,-7.61485,-4.672572175,-7.5732,-6.383,-5.45485
1,0.75,0.0411535918,-77.8227344955,-4.9425838993,-0.6958936683,-0.9960457722,-0.121339881575,0.173077,0.1815616,0.0585132,0.0683272,370.5832444,0.538986,-32.5010475,-33.23896,40.1595,43.987575,92.38709,-7.9671293,-12.8451486,0,0,0,0,152.01242874,181.997275935,-98.0102664175,-63.84951056375,0,0,-36.8025,-39.40002922,-7.6008,-4.7633524,-7.689975,-6.3853,-5.426375
1,1.25,0.036285214375,-77.48994488125,-4.0866595338,-0.560391845,-0.781179118,-0.16588129375,0.180481625,0.1837496,0.054016975,0.0645257,370.49247576,0.429456125,-32.5626475,-33.2172825,39.12075,43.729225,92.3749646,-7.9016688,-12.8193156,0,0,0,0,152.733183995,182.483563245,-100.37318746,-62.098948524,0,0,-37.162095375,-39.50332919675,-7.6596,-4.738593425,-7.55325,-6.378825,-5.42145
1,1.75,0.030484781025,-89.1004078865,-4.673665624,-0.465610026375,-0.7134214476,-0.2772070476,0.16334035,0.1713683,0.056020875,0.06842675,370.7260723275,0.372526375,-32.7642025,-33.4082675,39.1325,43.27655,92.36765,-7.865364375,-12.8040774,0,0,0,0,152.5732748775,183.61004144,-98.1252186925,-62.96848318475,0,0,-36.654219655,-39.96124926875,-7.74185,-4.887394375,-7.70564,-6.396625,-5.4128
1,2.25,0.030535392875,-83.826021288,-3.51113564275,-0.42187296795,-0.708309966725,-0.1515971939,0.17883175,0.174251125,0.052394125,0.0650945,369.54625737,0.487006875,-32.86615,-33.6536825,38.50175,43.3225,92.34233,-7.801393775,-12.820566375,0,0,0,0,152.2363451975,184.628368335,-97.2955081825,-66.7496522975,0,0,-37.277023125,-40.066024252,-7.72665,-4.83272785,-7.593525,-6.3818,-5.429775
1,2.75,0.032682561,-93.612268111,-4.642212831125,-0.50720162365,-0.705302302725,-0.105754852375,0.179738,0.154178,0.061811,0.069554,369.7563485975,0.492048,-32.5867575,-33.727435,38.2235,43.20805,92.326622,-7.889963575,-12.755248125,0,0,0,0,151.8703539875,185.33404886,-93.654049225,-66.60076924775,0,0,-38.421141615,-39.02200468,-7.7679,-4.659907725,-7.45786,-6.390175,-5.45
1,3.25,0.031999159375,-83.326719748,-5.004522407725,-0.82193565215,-1.4941573433,-0.108724480875,0.198973275,0.1884868,0.059535125,0.069049325,369.833037355,0.540195425,-32.80331,-33.6204125,38.79875,44.19545,92.3133044,-7.92752015,-12.688376625,0,0,0,0,151.4852324975,184.264763205,-95.704228975,-67.43431877875,0,0,-36.8587030385,-40.15467563,-7.77145,-4.68979715,-7.51287,-6.3824,-5.41305
1,3.75,0.037384988875,-75.0136802935,-6.9432159227,-0.43893219345,-0.765057147125,-0.1071191933,0.2075006,0.169439325,0.06510995,0.077453925,369.734658925,0.561019925,-32.57287,-33.370115,38.886,44.26225,92.3078612,-7.95566975,-12.586025625,0,0,0,0,149.4233881525,183.321675665,-97.8998174275,-67.47017671025,0,0,-36.742369943,-40.6515488,-7.74155,-4.8304328,-7.5683625,-6.367,-5.43505
1,4.25,0.03264961835,-96.7545183075,-5.28954563325,-0.262052118175,-0.54263398675,-0.175769444825,0.1690078,0.160171325,0.054073675,0.063586975,369.8928609,0.5671137,-33.0072125,-33.5630225,39.61625,44.50425,92.2935278,-7.9586654,-12.715190625,0,0,0,0,151.203295735,181.9768690425,-97.88816419,-64.694616128,0,0,-36.46769581175,-40.4676928675,-7.7661,-4.699442875,-7.4507375,-6.3768,-5.4175
1,4.75,0.0316709913,-85.26674120625,-5.221912038,-0.3514522008,-0.9021263788,-0.150250456425,0.181273675,0.16326955,0.0557683,0.0760818,370.40815388,0.39213855,-32.726255,-33.49826,38.3425,45.599275,92.2737896,-7.966265475,-12.824735625,0,0,0,0,150.857527555,182.5595737375,-97.7287716025,-63.35464476325,0,0,-36.5617991325,-39.0527213625,-7.774875,-4.726550125,-7.5788,-6.372625,-5.4241
