DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
1,0.25,-4.972192,-1.6074045,0.17912,0.05688975,0.1518581,0,-0.671356575,-0.68504295,422.2706,-0.106750005,238.9843,251.6607,-10.261375,-14.203,85.47666,1.20495275,2053.104,1.8791045,-0.0134242075,-0.095516465,-0.3128298,-0.22284865,95.26938
1,0.75,-4.871867,-0.20848745,0.177198125,0.0568841475,0.1502968,0,-0.80404154425,-0.790941075,422.53085,-0.11316667,242.0811,250.44895,-9.340584,-14.4785,86.148335,1.163658,2057.2335,2.238834,-0.0202317075,-0.1212492,-0.4194961,-0.1005651175,95.328
1,1.25,-3.9412185,-1.34064305,0.187166711,0.0498934475,0.1469235,0,-0.769845945,-0.77,422.538275,-0.057375,244.1038,251.071225,-9.31616575,-14.7948275,85.96667,1.1553175,2056.64,0.64757285,-0.04124718,-0.073788855,-0.3787298,-0.1129276825,95.37091
1,1.75,-4.8541035,-0.711312175,0.20596299275,0.060797815,0.1451609,0,-0.5486369,-0.5906001,423.32865,-0.045,241.7719,250.666,-8.82875,-14.94033,85.46,1.1368755,2053.7445,2.723657,-0.003673823,-0.05983975,-0.2353932,-0.1067805,95.4107325
1,2.25,-3.90174525,-1.304267,0.1492316,0.05798375,0.1501319,0,-0.54394640925,-0.54498635,423.79375,-0.05760416,243.4919,249.5716,-9.720104,-15.3325,86.01669,1.088729,2053.1805,1.310856525,-0.0175654275,-0.04372305,-0.066177455,-0.0075739375,95.45557
1,2.75,-3.9416045,-1.886397,0.169816975,0.05413633,0.1488652,0,-0.638049013,-0.61802135,423.33715,-0.05250001,242.8872,247.6815,-8.766334,-15.74333,86.61331,1.036604,2058.215,-0.2823939,-0.02420163,-0.131576025,-0.23574785,-0.12974545,95.424745
1,3.25,-3.898712,-2.115458,0.164746375,0.0517225,0.15590655,0,-0.5482467,-0.5236661,422.6449,-0.04883333,243.388075,251.286175,-8.614916,-15.0235,86.819185,1.137398,2057.363,2.0583605,-0.03934336,-0.03921722,-0.2701343,-0.1230608,95.4093475
1,3.75,-4.43096725,-1.245997,0.169635075,0.0617336,0.1526627,0,-0.72410282075,-0.73952415,422.3636,-0.0355,242.9216,249.91865,-7.572,-15.600335,86.562505,1.075088,2054.42925,1.3729105,-0.01434921,-0.078855115,-0.273931225,-0.07677421,95.4112225
1,4.25,-5.4835985,-0.7735502,0.231058,0.05177064,0.1529753,0,-0.7176674,-0.719264,423.1176,-0.041333335,243.6456,249.84345,-8.0809585,-15.47575,86.524165,1.078712,2055.27975,2.209674,-0.00586382475,-0.0823087875,-0.2090841,-0.082791985,95.4003075
1,4.75,-5.61979875,-0.70250745,0.283975575,0.048795775,0.155871,0,-0.4514018885,-0.454996625,425.0161,-0.052,241.0318,250.9295,-7.884333,-15.32825,87.09666,1.1057625,2058.2825,1.970523,-0.003349382,-0.093090695,-0.17261995,-0.131326575,95.4146675
