DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_3_1,RH_1_3_1,TA_1_2_1,RH_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_3_1,WS_1_2_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,T_CANOPY_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,NEE
1,0.25,-51.885,-25.947,-0.453309,-3.58303,-0.02732435,0.0989256,389.47,5.17133,2.757295,88.3279,-2.59328,53.51325,-0.30475,64.9312,2.391,56.32525,0.586688,0.327651,0.804916,0,2.0345,248.45,306.95,1.21,1.615,3.4865,5.943,6.425,7.03,7.699635,8.205465,0.367236
1,0.75,-50.9,-25.63475,-0.3787425,-3.41369,-0.0330156,0.0949215,389.752,5.0482,2.08554,88.3282,-2.92471,55.3307,-0.84,66.5799,1.774,58.5489,0.504216,0.351557,0.8177855,0,2.069,248.6,305.75,0.533,1.645,3.181,5.8005,6.4035,7.05,7.701825,8.20806,0.354767
1,1.25,-50.472,-25.42965,-0.578383,-5.57196,-0.0336137,0.101344,390.048,5.095495,1.71574,88.3149,-3.6225,58.285,-1.30169,68.735,1.4185,59.71235,0.58624,0.342626,0.826303,0,2.28,248.15,303.05,0.44,1.834,2.9305,5.674,6.3655,7.055,7.70188,8.212665,0.330245
1,1.75,-50.135,-25.4549,-0.567135,-4.924485,-0.03558145,0.0967915,389.905,5.041515,1.413595,88.3232,-3.96015,57.53745,-1.553,70.655,0.9485,60.9474,0.532824,0.334132,0.865355,0,2.3445,247.85,303.05,0.569,1.4045,2.743,5.547,6.329,7.075,7.70419,8.21326,0.324509
1,2.25,-49.601,-25.1921,-0.643366,-5.29534,-0.0385254,0.101094,390.106,5.041855,0.924246,88.3275,-3.50175,60.20425,-1.938,72.1078,0.609,62.72945,0.5515975,0.356916,0.845868,0,2.195,248.8,304.05,0.923,1.708,2.5765,5.4125,6.292,7.065,7.706495,8.205725,0.3138275
1,2.75,-49.255,-25.20195,-0.6586915,-6.00016,-0.043056,0.10478,390.052,4.98009,0.654516,88.32805,-3.9965,61.2625,-2.17952,72.35,0.2725,64.12055,0.480972,0.368987,0.892238,0,1.9685,247.05,304.1,0.692,2.071,2.3635,5.281,6.2325,7.07,7.7088,8.20793,0.316745
1,3.25,-49.12,-25.2389,-0.518729,-5.33105,-0.0482638,0.103374,390.198,4.99368,0.526182,88.32405,-4.6215,62.87545,-2.351,74.05,0.2235,65.3943,0.636752,0.340931,0.85893,0,1.7745,245.95,300.5,0.325,1.4535,2.173,5.1505,6.191,7.07,7.712525,8.207025,0.3032705
1,3.75,-48.815,-24.9094,-0.67753,-6.17889,-0.02888815,0.104684,390.131,4.91306,0.2852665,88.3179,-4.403175,64.52505,-2.31925,74.75,5e-04,67.1919,0.623453,0.344414,0.895777,0,2.0345,246.1,301.35,0.3595,2.029,2.0135,5.049,6.1485,7.08,7.717655,8.208215,0.2940035
1,4.25,-48.58,-24.4927,-0.629812,-5.276185,-0.01642695,0.107172,390.238,4.92886,0.0226483,88.3122,-4.57525,63.99,-2.512485,76.15,-0.2815,68.5769,0.583558,0.340842,0.913514,0,1.984,245.4,300.35,-0.262,1.825,1.8675,4.925,6.1,7.08,7.71682,8.2144,0.287479
1,4.75,-48.205,-24.5726,-0.6017945,-5.82547,-0.04002445,0.1065045,389.693,4.83904,-0.19968,88.3193,-5.118015,65.6601,-2.62525,77.08175,-0.4605,70.2092,0.543887,0.349104,0.884817,0,1.9465,246.05,299.75,-0.1465,0.982,1.722,4.776,6.069,7.08,7.718965,8.20474,0.2821075
1,5.25,-47.725,-24.3004,-0.563438,-5.23302,-0.0649085,0.105858,390.237,4.719705,-0.4793495,88.3233,-5.2836,66.01445,-2.819,78.70005,-0.719,71.1025,0.5849,0.332121,0.858516,0,2.149,244.85,298.95,0.337,1.094,1.616,4.679,6.0205,7.085,7.72112,8.20617,0.263225
1,5.75,-47.221,-23.9766,-0.6787265,-5.159675,-0.0619829,0.106498,390.661,4.65474,-0.506962,88.3322,-5.49925,68.925,-3.079,79.65,-0.8745,72.0128,0.552268,0.355588,0.847699,0,2.0705,242.55,298.15,0.094,0.703,1.4775,4.5535,5.9455,7.075,7.72093,8.202605,0.2580925
1,6.25,-46.855,-24.0976,-0.599707,-5.32986,-0.0752688,0.104581,390.4985,4.70258,-0.772722,88.3423,-5.90181,69.17475,-3.213,81.76765,-1.035,72.86205,0.5376295,0.338379,0.874689,0,2.0145,243.85,296.05,0.6055,0.547,1.3515,4.4585,5.89,7.075,7.72014,8.20404,0.2576295
1,6.75,-46.84,-24.0109,-0.5838785,-4.83167,-0.0832978,0.1054225,390.107,4.70194,-1.08874,88.3587,-5.83255,69.006,-3.41293,82.25,-1.3545,73.3183,0.5386345,0.360729,0.855661,0,1.694,244.15,297.1,0.307,0.152,1.2255,4.3585,5.838,7.07,7.722235,8.202205,0.2489195
