DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,RH_1_3_1,USTAR_1_1_1,WS_1_1_1,H_1_1_1,LE_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,H2O_1_2_1,USTAR_1_2_1,WS_1_2_1,LE_1_2_1,FC_1_2_1,CO2_1_10_1,CO2_1_9_1,CO2_1_8_1,CO2_1_7_1,CO2_1_6_1,CO2_1_5_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1
10,21.25,0.5583,12.551125,4.4432,-6.850525,9.3441,88.5955,99.2,406.4125,12.1905,1.762725,1.8687,-12.75225,-0.191555,1.75435,342.02,372.7872667,3.05125,0.8579775,3.5624,12.82,13.3,13.492,13.15,13.45,13.4,13.167,12.467,16.11075,85.3,16.5045700025,74.8901350025,76.4350000025,0.6874129815,4.6780836025,-8.19896188425,1.4153128235,99.23153667,412.956549725,10.200543599,0.122822667,0.3215768045,11.0519183,0.6997848395,3.28068917975,0.74063644875,0.22306331175,340.70475,340.7105833,340.7033333,340.6965556,340.702,340.7066667,340.6951667,340.70725,412.494743525
10,21.75,0.535555,12.4,4.4239,-5.75605,7.138275,89.90875,99.2,406.82,12.0565,1.7376,1.8752,-12.447625,-0.199855,1.7356,342.965,371.9,2.9464,0.8135825,3.5323,12.7625,13.242,13.433,13.175,13.417,13.4,13.167,12.45,15.8882499975,87.467,16.3097499975,75.99228333,93.95,0.618088041,4.52018122925,-9.87921471125,1.30466079125,99.26107,413.207413625,10.19609347925,0.05676899175,0.5318599645,10.9144423825,0.63834091375,3.24323257775,0.45083842075,0.13447926725,340.7058333,340.7008889,340.6995556,340.7039167,340.7046667,340.7034167,340.7050833,340.7031667,412.7314553
10,22.25,0.544,12.2535,4.43945,-6.40385,6.80875,90.071,99.2,407.27,12.117,1.727025,1.880475,-11.641,-0.175435,1.7307,342.765,371.16,3.169675,0.68242,3.6331,12.6795,13.208,13.45,13.208,13.442,13.4,13.167,12.45,15.7767500025,86.4,16.0854791675,76.7894458325,83.1441666675,0.723930745,4.90407530875,-10.7892421075,1.15835813625,99.23966667,414.185230775,9.5745393595,-0.004291129,0.4767380035,10.485302385,0.74498565825,3.710687975,1.5946778635,0.32146033725,340.6977778,340.69975,340.7021667,340.70125,340.7004167,340.7035833,340.70875,340.6974444,413.637070675
10,22.75,0.53786,12.0665,4.4292,-6.99815,6.314125,90.91525,99.2,407.78,11.975,1.757625,1.88905,-13.1975,-0.20771,1.707375,341.225,368.74,3.0798,0.5863,3.4838,12.63025,13.1125,13.375,13.2125,13.4335,13.4,13.15,12.45,15.6800000025,88.033,15.8363425,76.169561665,82.666666665,0.867314525,5.43442733125,-18.7846538225,1.548896127,99.23064333,414.6968829,9.4702290095,0.197044456,0.2686095755,10.13862169975,0.85705279125,4.02643437025,1.36833160225,0.38308513325,340.7025,340.7044167,340.7013333,340.714,340.69725,340.7045556,340.7068889,340.6981667,413.807083275
10,23.25,0.5282725,12.012,4.39965,-6.571225,7.55075,91.2425,99.2,407.65,12.0085,1.75565,1.868075,-11.322,-0.21582,1.7155,342.9925,368.885,3.24775,0.5891,3.7891,12.57175,13.079,13.3665,13.1585,13.4,13.4,13.1668325,12.45,15.92,89.7,15.83579917,76.1388850025,94.25,0.755454398,4.908884128,-16.0227393275,1.443104206,99.3187508325,414.7747567,9.8713836,0.008997098,0.37352284225,10.3642731645,0.74842031575,3.66256517125,0.4008905395,0.16100483875,340.702,340.7105,340.7068333,340.7132222,340.7146667,340.7021667,340.7059167,340.7048333,414.0603631
10,23.75,0.52581,11.94575,4.33885,-6.3612,6.563,91.67075,99.2,407.8975,11.857,1.7518,1.88175,-11.35,-0.1950675,1.71285,342.8125,368.405,3.300075,0.6814075,3.5807,12.5535,13.023,13.23775,13.14575,13.41275,13.37525,13.11275,12.45,15.71525,89.967,15.51719167,77.6927800025,86.04425,0.644488106,4.819786049,-10.5148365625,1.23109818,99.3447041675,414.9044517,10.18735331,0.1776043,0.395196026,10.6648243825,0.711833218,3.76629396325,1.48924737875,0.3683681005,340.7053333,340.7069333,340.7024,340.7045556,340.7021111,340.7053889,340.7033889,340.7055556,415.227441525
11,0.25,0.6652,6.002275,4.812,-5.3639,3.5408,87.1795,99.3,414.11,8.0645,1.6343,1.8171,-11.02725,-0.2272025,1.4898,316.81,340.41,1.64725,0.47357,1.8881,7.43675,7.501975,7.935525,8.204,8.981625,9.5,10.72475,11.2,8.715,93.949833335,8.7786721665,96.8441366675,94.7333333325,0.688094598,4.82174148,-2.758489666,1.957445417,99.261205,422.5166593,9.81561080375,0.124804686,0.178673228,10.586780035,0.62418881575,3.55838727075,1.89671789075,0.56210298275,342.186625,342.223541675,342.22325,342.24941665,342.3536667,342.7355,343.2065417,343.405,421.801554275
11,0.75,0.63852,5.995275,4.7995,-5.43145,3.3811,87.789,99.3,414.18,8.0486,1.6534,1.821225,-11.3455,-0.2419575,1.4676,317.07,340.66,1.7375,0.4155,1.958725,7.613,7.467,7.897975,8.231,8.998125,9.5,10.733,11.16275,8.5883333335,92.700166665,8.498546083,96.63492667,94.725,0.700520615,4.870550946,-5.014275537,1.705010779,99.1402950025,424.41310735,9.634130322,0.254526203,0.1184274265,10.3650004175,0.65042792125,3.58231247475,0.86873249425,0.45012225825,342.1745417,342.1841458,342.199270825,342.227916675,342.271875025,342.464583325,343.011361075,343.52014585,423.8279038
11,1.25,0.65247,5.8512,4.82925,-6.384375,3.4251,87.65875,99.3,414.69,8.0417,1.596,1.818025,-10.483,-0.20943,1.3725,316.81,340.53,1.78855,0.29012,1.91525,7.5833,7.445825,7.895825,8.22475,9.009,9.5,10.72475,11.183,8.2266666665,92.8833333325,8.21713125,96.4717616675,94.125,0.639527258,4.839474997,-7.955327663,2.695447513,99.268931665,424.1698559,9.313305558,0.194858551,0.1773770435,9.978460996,0.725949296,3.59175603525,1.8968085925,0.47529427175,342.228062475,342.23160415,342.23529165,342.2653333,342.30158335,342.626104175,343.45483335,343.83295835,424.03138165
11,1.75,0.64522,5.853325,4.7983,-5.95455,3.4746,88.567,99.3,414.7225,7.943575,1.64775,1.824475,-10.454172,-0.21313,1.3319,316.895,340.495,1.87905,0.287435,1.99065,7.522475,7.427075,7.87525,8.2541666875,9.017,9.5333,10.75416625,11.2,7.9369833335,92.616666665,7.97334458325,96.327918335,93.55,0.711444733,4.614990747,-6.2546944485,1.981196736,99.2857758325,424.197097625,9.12578062,0.24205843425,0.1536233575,9.80406690025,0.7013127655,3.39739209575,1.2936604975,0.35554401625,342.268750025,342.28272225,342.316833325,342.333291675,342.50377085,342.6628125,343.610083325,344.20139585,424.0685369
