DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
2,19.75,0.766262,-7.8198090375,2.5833023,0.64819537525,410.5973,2.4778824655,-0.8220775,-1.032225,77.6018975975,2.163701479,2.734375,2.87075,1.158675,1.078275,5.8311,1.3485,0.361185,-10.560135,1.715825,1.130175,1.438725,96.6
2,20.25,0.7464144705,-8.71589175175,2.201838343,0.66032355475,410.6123958,2.561010462,-0.96936,-1.33305,79.243524255,2.10656487225,2.815725,2.688925,1.1333,0.3523375,3.76615,1.347575,0.3623725,-9.102195,1.7313125,1.128625,1.4322,96.6
2,20.75,0.77606399725,-5.14744253925,2.7748177625,0.7215878,410.464,2.57257434275,-0.97104,-1.2711,79.72054895,2.03120926575,2.879875,2.439225,1.13245,0.291025,3.49175,1.3464,0.365375,-8.5239325,1.7465,1.12765,1.439275,96.6
2,21.25,0.685101094,-7.715069061,2.63791912025,0.66556919675,410.8408405,2.400786,-1.0339,-1.42785,79.8604168275,1.9160492985,2.64405,2.4315,1.13185,0.392495,3.50285,1.347675,0.36486,-8.5838575,1.7330625,1.125625,1.433625,96.6
2,21.75,0.71746060325,-9.066115566,2.121335253,0.7104961,410.7551096,2.47344269225,-1.097625,-1.537975,80.7491545975,1.9104468725,2.881625,2.43865,1.12855,0.3459325,3.65285,1.34445,0.3642375,-8.06358,1.7362,1.1275,1.436675,96.6
2,22.25,0.71928234225,-7.44401,1.759931119,0.69160475,411.084225,2.46934693725,-1.29475,-1.69465,80.1930099,1.82602969575,3.01615,2.428325,1.13265,0.4660825,3.63145,1.344675,0.362155,-7.7961,1.7227375,1.1297,1.4328,96.6
2,22.75,0.6599080315,-7.7064459855,2.667336933,0.7034867,411.070422875,2.638062,-1.36485,-1.743275,81.62671845,1.801370045,2.99655,2.411475,1.132,0.4664,3.69725,1.34515,0.362385,-8.14292,1.730225,1.129125,1.425775,96.6
2,23.25,0.6859020265,-6.242015934,2.47276782375,0.68904133525,411.062,2.47929225,-1.3177,-1.653425,81.759344545,1.820819576,2.793875,2.436775,1.1328,0.3710925,3.63055,1.343075,0.3667225,-6.91562,1.744,1.129975,1.421375,96.65
2,23.75,0.630562434,-10.5747814,1.51416016125,0.6788231,410.9429377,2.3778405,-1.5094,-1.84275,82.6107812575,1.7899430625,2.61425,2.4027,1.1328,0.38437,3.5198,1.347075,0.366995,-7.08268,1.7513,1.124175,1.417175,96.7
3,0.25,1.087891872,-6.66302678975,3.2958421335,0.5754898,412.83385,2.19629224925,1.281,1.038,82.7259002775,2.4095501565,2.40885,2.470925,1.25785,0.5888025,4.43645,1.33075,0.3842025,-10.8004775,1.70385,1.081825,1.347925,96.5
