DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF
1,0.25,461.285461,10.497787,2695.024503,1.53172975,17.700261,-4.780858,-0.4270685,9.0833505,2.649262,0.217979,-0.00311875,0.574671,0.248977,102.394,95.3,9.5575,1.667085,16.906552,0.240818,11.835,12.135,12.5683335,12.5683335,12.5683335,-17.62867,0,0,-1.635992,1.159951,325.142639,357.359998,-0.363196
1,0.75,458.566335,10.361587,2728.2782615,1.293711,7.818451,-5.434461,0.2184665,10.22147,2.645146,0.225472,-0.0025615,0.566945,0.241046,102.39,95.025,9.32,1.59379475,16.750882,0.244776,11.6983335,12.05,12.548333,12.548333,12.548333,-17.8825475,0,0,-1.687117,1.098901,325.276297,356.997058,-0.363196
1,1.25,458.269462,10.2883115,2802.949159,1.587178,16.08156675,-5.685116,-0.44982475,10.79146325,3.015519,0.213406,-0.003078,0.538593,0.262528,102.396,96.225,8.945,1.47146675,16.64685,0.252883,11.573333,12.0066665,12.4616665,12.4616665,12.4616665,-16.79699575,0,0,-1.687117,1.1752135,324.226979,356.740695,-0.363196
1,1.75,459.33422675,10.365568,2806.3545665,1.4063865,13.625866,-6.19808475,0.31819125,7.7345895,2.65679625,0.21871625,-0.00261875,0.5411705,0.25718425,102.40375,98.1,8.895,1.4331415,16.295431,0.27612625,11.4116665,11.9533335,12.405,12.405,12.405,-14.582659,0,0,-1.64877325,1.159951,327.579848,356.014842,-0.363196
1,2.25,462.0703215,10.358864,2859.892433,1.332931,19.4245325,-6.439505,0.5081425,11.45766825,2.87070925,0.23389125,-0.0021955,0.58358075,0.27294475,102.41925,98.5,8.9,1.368536,16.10139625,0.28461225,11.3883335,11.868333,12.3666665,12.3666665,12.3666665,-13.11500725,0,0,-1.533742,1.098901,329.28526725,355.485334,-0.3026635
1,2.75,458.118102,10.1946,2878.613166,1.5681735,20.60505025,-6.956266,1.28068725,8.197966,2.6921085,0.22846,-0.00209175,0.52993125,0.26262175,102.42475,98.3,9.085,1.308132,16.09757725,0.27677,11.3133335,11.7583335,12.306667,12.306667,12.306667,-12.11359125,0,0,-1.495399,1.068376,330.960374,354.531955,-0.242131
1,3.25,459.93105425,9.918589,2904.13337,1.6465795,20.97752375,-7.486518,0.6753745,11.10618675,2.796003,0.2343385,-0.00364775,0.56489575,0.2752245,102.41025,98.3,9.01,1.3545945,16.20690625,0.277795,11.2216665,11.7116665,12.2516665,12.2516665,12.2516665,-8.53916925,0,0,-1.50818025,1.037851,332.98166175,354.0881975,-0.242131
1,3.75,459.669792,9.904159,2986.990909,1.376025,16.064313,-7.762568,0.611936,8.80414425,2.600004,0.20146975,-0.002616,0.56968875,0.25371225,102.40775,98.3,8.86,1.2451635,15.97847275,0.27507475,11.0916665,11.6266665,12.215,12.215,12.215,-9.53293325,0,0,-1.175869,1.068376,333.8681025,353.2570325,-0.242131
1,4.25,462.942098,9.6575865,3005.48221225,1.5322865,13.736889,-7.5890675,1.27922925,5.6054025,2.67470625,0.218751,-0.004397,0.54183175,0.23905875,102.39825,98.4,8.945,1.2639335,15.870578,0.28492,11.01,11.503333,12.1916665,12.1916665,12.1916665,-8.436495,0,0,-0.93302625,1.037851,336.557248,353.224313,-0.242131
1,4.75,465.627161,9.597033,3027.10521425,1.8038815,18.68369025,-7.8714465,0.93397,9.25437125,2.74732225,0.232456,-0.002599,0.56731925,0.2599925,102.397,98.8,8.915,1.301636,15.64311925,0.277666,10.93,11.4316665,12.1466665,12.1466665,12.1466665,-7.365036,0,0,-0.93302625,1.0225885,336.2396495,352.8019235,-0.242131
1,5.25,462.8618535,9.6686195,2922.181983,1.64374675,14.57825,-7.81097,1.56351425,8.746789,2.8749905,0.210631,-0.0041425,0.53858775,0.2536805,102.40025,98.9,8.53,1.257084,15.51228025,0.281911,10.8616665,11.3783335,12.0966665,12.0966665,12.0966665,-7.92780125,0,0,-1.124744,0.976801,338.369494,352.83578225,-0.242131
1,5.75,458.08027375,9.710686,2893.53779625,1.57529275,15.113668,-7.47016425,1.11924175,9.1485825,3.21387325,0.241889,-0.00335525,0.574714,0.281936,102.402,98.9,8.485,1.207677,15.405582,0.2610575,10.8083335,11.3133335,11.9916665,11.9916665,11.9916665,-7.14040775,0,0,-0.869121,1.098901,338.3608935,351.97619025,-0.242131
1,6.25,462.377138,9.839389,2883.5631665,2.1808685,25.524005,-7.482297,2.782209,9.61371525,2.90767875,0.232083,-0.00463,0.57134275,0.27874125,102.4065,98.9,8.38,1.1510445,15.39826425,0.31286875,10.76,11.2466665,11.898333,11.898333,11.898333,-8.6044285,0,0,-0.98415125,1.098901,337.3060815,351.49195,-0.242131
1,6.75,458.8800895,9.6917755,2889.31424675,1.5727355,15.755855,-7.5530065,1.21447875,8.76630525,2.9325135,0.222337,-0.0055935,0.6035175,0.27440375,102.409,99,8.31,0.994316,15.25112125,0.2805215,10.665,11.155,11.85,11.85,11.85,-8.4276325,0.123153,0,-0.920245,1.037851,335.67821825,352.082556,-0.121065
1,7.25,462.88830925,9.68497825,2871.86270275,2.014267,12.57308175,-7.277556,3.082692,11.926791,2.966802,0.22790425,-0.0041375,0.5531315,0.28337575,102.42125,99.1,8.245,1.022329,15.0964535,0.269933,10.6016665,11.1033335,11.7866665,11.7866665,11.7866665,-6.7710255,9.020936,0.598086,2.096115,1.159951,339.40690225,351.7686555,7.869249
1,7.75,463.07092775,9.7572705,2860.463461,1.87689325,18.6128975,-7.007838,4.703094,10.5022335,2.9362545,0.22994925,-0.00393425,0.587863,0.28835525,102.43675,99,8.135,1.07114,14.9271555,0.312907,10.5483335,11.07,11.738333,11.738333,11.738333,7.3810845,64.50123125,3.588517,29.56288375,2.686203,340.67534575,352.43276975,54.903148
1,8.25,467.6936,9.7352785,2799.48260325,2.2464875,17.412103,-6.613086,5.706451,14.058819,3.023475,0.24869075,-0.01157375,0.623483,0.2768705,102.45475,98.9,8.195,1.1160005,14.93931075,0.315774,10.515,11.023333,11.6833335,11.6833335,11.6833335,46.05479725,182.512315,8.52272725,94.74693275,4.5634925,338.199804,353.67248075,119.6731235
1,8.75,477.849788,9.98025,2866.793978,2.4187215,34.3636345,-4.6240415,12.99165775,23.057874,2.9921525,0.26605625,-0.0093225,0.63000125,0.29755775,102.4745,98.7,8.6,1.470139,15.083481,0.33551025,10.535,10.965,11.6266665,11.6266665,11.6266665,121.9528435,363.70073875,15.7595695,193.96728025,7.844933,337.37714775,356.97653325,181.2953995
1,9.25,467.956119,10.2528095,2828.6387655,2.064156,17.101528,-1.2720995,19.6860245,30.167267,3.057902,0.27535875,-0.01913625,0.608651,0.3148345,102.50325,97.5,9.285,1.7403615,15.252714,0.343197,10.71,10.991667,11.5966665,11.5966665,11.5966665,186.90308325,525.492611,22.84689,277.965235,12.576313,340.5612435,360.746721,236.0774815
1,9.75,465.272619,10.5098225,2763.391239,1.96986725,27.714896,10.788844,27.310605,41.5648575,3.5446025,0.2898125,-0.017327,0.629609,0.32594475,102.51975,97,9.895,2.2666365,16.00809075,0.403599,11.0066665,11.078333,11.59,11.59,11.59,243.705106,685.221675,31.66866025,349.539877,16.788767,340.8327565,364.210176,291.6464895
1,10.25,457.150276,10.681325,2738.62627425,1.5382675,27.881167,16.24096225,35.970673,54.80508,3.654698,0.27999825,-0.0169495,0.6728035,0.3306225,102.535,95,10.41,2.7912035,16.859677,0.439508,11.305,11.3083335,11.6183335,11.6183335,11.6183335,311.89762175,837.6847295,45.0358855,424.59100225,21.3675215,340.17784375,368.596517,320.94431
1,10.75,454.3594485,11.1764995,2713.828119,2.293799,23.54366975,24.668968,44.912058,66.022496,3.618036,0.2886815,-0.022414,0.70608725,0.32717075,102.52375,93.1,10.815,3.2911565,17.488361,0.435107,11.888333,11.425,11.681667,11.681667,11.681667,361.0579885,922.0135465,44.4078945,480.06135,24.5573875,339.623644,373.75378575,365.496368
1,11.25,450.37608275,11.35323225,2613.26917,1.921278,25.4492735,29.58952325,48.44383,78.76068625,3.48560625,0.31517475,-0.01791775,0.68892825,0.345719,102.49525,92.4,11.8825,3.842989,17.8186045,0.42457775,12.325,11.64,11.766667,11.766667,11.766667,387.2049425,1000,47.248804,511.75869125,30.830281,340.08963,379.881724,366.7070215
1,11.75,446.08886825,11.8116895,2521.41513025,1.8856965,21.623893,34.99301025,55.44505475,88.6710335,3.77670825,0.29386625,-0.021332,0.745355,0.34871875,102.46325,90,12.295,4.460344,17.97673275,0.45531,13.005,11.981667,11.8716665,11.8716665,11.8716665,404.3436155,1054.187192,54.425837,538.59918225,36.630037,340.42819825,384.840685,378.8135595
1,12.25,443.157091,11.9035705,2532.47639225,1.7355955,15.62704575,40.96093475,66.37802,109.86565825,3.55203,0.305717,-0.018788,0.826638,0.343613,102.4415,86.975,12.94,4.855565,18.231047,0.486819,13.5616665,12.3283335,12.0466665,12.0466665,12.0466665,390.505635,1068.965517,57.655502,539.366053,41.880342,340.78375625,389.684613,414.4067795
1,12.75,441.634765,11.988037,2463.427858,1.7929965,22.88409475,45.116535,62.987645,110.263612,3.722903,0.297228,-0.019814,0.765585,0.333811,102.4195,86.7,13.8,5.4789405,18.689083,0.490116,14.1766665,12.7433335,12.2016665,12.2016665,12.2016665,392.15927025,1081.58866975,67.76315775,548.18507175,43.52869325,337.582016,393.538865,418.0690075
1,13.25,438.1793785,12.227478,2371.82814825,1.35986,20.8708695,45.33632625,63.544732,130.624234,3.578813,0.27605,-0.025419,0.762977,0.324193,102.3795,84.025,14.165,5.925255,19.040788,0.476722,14.665,13.095,12.345,12.345,12.345,375.97409275,1051.724138,62.08134,528.7576685,45.238095,339.05171675,394.091941,362.31840175
