DOY2,HR2,FC_1_1_1,SC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,PA_1_1_1,NEE_1_1_1
1,0.5,0.51,0.1,0.321,6.6,1.3,418.525,420.515,422,422.54,-0.58,-1.18,-1.52,-2.19,89.9,92.5,91.5,94.9,-0.23,-0.22,-0.12,0.09,-0.26,-0.23,-0.07,-0.12,0.61,0.21,0.95,1.63,0,1,-7.7,276.9,299.5,4.91,4.36,4.43,98.27,0.6
1,1.5,0.53,0.1,0.318,6.2,1.15,418.515,419.925,421.67,422.1675,-0.94,-1.45,-1.8,-2.3475,90.5,92.5,91.9,94.9,-0.26,-0.22,-0.13,0.08,-0.29,-0.2375,-0.075,-0.1125,0.61,0.21,0.94,1.63,0,1,-6.4,279.7,299.6,4.92,4.33,4.4575,98.2525,0.5
1,2.5,0.57,0.1,0.3145,5.4,2.4,418.79,420.3775,421.78,422.2225,-1.09,-1.56,-1.92,-2.5675,90.5,92.8,91.9,95,-0.33,-0.24,-0.13,0.08,-0.31,-0.24,-0.08,-0.1125,0.6125,0.2,0.93,1.63,0,1,-6.6,280.5,298.4,5,4.39,4.545,98.25,0.6
1,3.5,0.52,0.1,0.31975,5.6,2.4,418.855,420.125,421.18,422.45,-1.36,-1.92,-2.16,-2.58,90.3,93.3,91.7,94.9,-0.37,-0.26,-0.13,0.08,-0.36,-0.25,-0.08,-0.1125,0.6125,0.2,0.93,1.62,0,1,-6.2,278,298.4,4.7675,4.29,4.5375,98.26,0.5
1,4.5,0.49,0.1,0.324,5.7,3.4,419.28,420.34,421.43,421.84,-1.44,-1.9375,-2.15,-2.7,90.8,93.6,92.1,95,-0.41,-0.28,-0.13,0.07,-0.38,-0.2775,-0.085,-0.1125,0.6125,0.19,0.92,1.62,0,0.9,-5.5,279.5,297.2,4.79,4.32,4.45,98.2325,0.5
1,5.5,0.52,0.1,0.339,6.3,2.1,418.8025,420.28,421.59,421.8775,-1.61,-2.05,-2.33,-2.72,91.6,93.8,92.2,95.1,-0.43,-0.29,-0.13,0.07,-0.38,-0.29,-0.09,-0.115,0.6125,0.19,0.91,1.61,0,1,-5.3,278.8,296.8,4.895,4.36,4.55,98.25,0.5
1,6.5,0.56,0.1,0.325,6.125,2.8,418.7825,420.5525,421.3625,421.835,-1.57,-2.135,-2.37,-2.82,91.8,93.9,92.4,95.025,-0.47,-0.31,-0.14,0.06,-0.42,-0.3075,-0.09,-0.115,0.61,0.19,0.9025,1.61,0,0.9,-4.85,278.4,296.6,4.93,4.38,4.4875,98.3,0.5
1,7.5,0.545,0.1,0.33,6.375,2.9,418.36,419.79,420.7225,421.2375,-1.66,-2.1975,-2.4,-2.83,92,93.9,92.7,95.225,-0.52,-0.34,-0.14,0.06,-0.44,-0.32,-0.09,-0.12,0.61,0.19,0.9,1.6,3.1,2.9,-4.4,279,296.3,4.96,4.41,4.565,98.33,0.525
1,8.5,0.61,0,0.349,11.625,10.7,418.6025,419.1,419.6725,420.53,-1.21,-1.7775,-1.6875,-1.96,91,93.1,91.7,95.2,-0.55,-0.37,-0.14,0.05,-0.47,-0.3275,-0.1,-0.12,0.6025,0.2,0.9,1.6,84.9,43.55,10.325,280.7,301.2,5.15,4.52,4.7,98.3275,0.6
1,9.5,0.6625,0,0.389,22.85,32.875,417.32,418.38,418.265,419.19,-0.04,-0.2375,0.09,0.025,88.425,90.5,88.6,93.1,-0.49,-0.36,-0.14,0.04,-0.42,-0.34,-0.1,-0.12,0.6025,0.2,0.9,1.6,241.95,114.475,80.9,281.9,311,5.8325,5.1375,5.335,98.365,0.6
1,10.5,0.76,0,0.426,31.1,73.675,415.885,417.135,417.285,417.5125,1.14,1.0925,1.4075,1.6225,84.9,86.4,85.325,91,-0.36,-0.34,-0.14,0.05,-0.32,-0.32,-0.11,-0.13,0.6,0.2,0.9,1.6,380.8,181.3,171.975,280.3,320.3,6.41,5.77,5.9975,98.41,0.6825
1,11.5,0.73,0,0.442,33.4,101.075,414.64,416.4825,416.66,416.85,2.2775,2.11,2.75,3.0475,81.25,83.1,81.2,89.5,-0.25,-0.3,-0.14,0.0475,-0.25,-0.3,-0.11,-0.13,0.6,0.19,0.9,1.5875,473.5,227.8,228.225,281.525,328.375,6.63,5.94,6.1475,98.3625,0.6
1,12.5,0.76,0,0.44875,35.2,103,413.2175,415.625,415.8225,415.985,3.35,3.24,3.82,4.18,78.7,80.9,78.8,87.7,-0.1575,-0.2625,-0.14,0.0475,-0.18,-0.28,-0.1075,-0.13,0.6,0.19,0.9,1.58,506.2,239.85,251.65,283.725,335.675,6.73,6.0425,6.2825,98.27,0.7
1,13.5,0.8,0,0.451,34.7,97.7,413.35,415.37,415.3275,415.6625,4.34,4.19,4.5,4.915,77,78.825,77.6,86.6,-0.1,-0.24,-0.14,0.0475,-0.13,-0.25,-0.11,-0.13,0.6,0.19,0.9025,1.5775,481.75,232.675,231.675,286.575,338.375,6.71,6.1,6.28,98.19,0.7
