DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,G_2_2_1,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,WS_1_1_1,WS_2_1_1
1,0.25,0.18771575,407.58049,-5.2262325,0.07905675,-1.476,-1.66175,-2.07925,0.385262,1.010379,0.79192,0.502655,101.099998,82.7750015,-13.835,-16.5759,0.268106,-2.138,-0.491,-0.234,0.016,1.341,2.947,-0.012,0.317,0.538,1.049,2.146,3.464,0,0.688785,248.49731225,253.8978475,1.03528,2052.405029,3.86226,0.0227035,0.0140755,0.189066,-2.219,0.52835625,0.576247,0.14020575,0.117868,6.012875,5.2225175
1,0.75,0.1626515,407.805496,-4.5448775,0.08886025,-1.482,-1.66125,-2.07825,0.409624,0.9901405,0.768446,0.516364,101.0203465,82.87500225,-13.85,-16.5351,0.3014385,-2.126,-0.492,-0.233,0.016,1.34,2.946,-0.012,0.3155,0.538,1.047,2.145,3.463,0,0.67803675,250.25520975,254.121601,1.0292475,2050.1049805,3.313795,0.0346755,0.0160655,0.162423,-2.21825,0.8297605,0.47797375,0.106883,0.0869435,5.91115,5.270635
1,1.25,0.1641825,407.70875575,-1.8149325,0.16572975,-1.483,-1.6635,-2.08025,0.403124,0.988433,0.77444525,0.50334975,101.0203465,82.699997,-13.78,-16.27275,0.3182995,-2.12,-0.492,-0.23,0.015,1.339,2.946,-0.012,0.314,0.538,1.046,2.145,3.462,0,0.70140125,249.39136275,253.1990015,1.08293,2051.6099855,3.39815,0.0210925,0.01385475,0.157354,-2.21675,1.26795,0.5990385,0.069146,0.08901475,5.8872,5.301235
1,1.75,0.150907,407.6982575,-3.2173075,0.1170495,-1.486,-1.66175,-2.08075,0.40756575,0.9992975,0.8115825,0.52458575,101.0249995,82.800003,-13.7275,-16.50139925,0.269745,-2.114,-0.494,-0.227,0.014,1.338,2.945,-0.012,0.313,0.539,1.045,2.144,3.462,0,0.6941585,248.3208695,253.06818375,1.12425,2061.850037,3.0794175,0.0258105,0.020018,0.177843,-2.21575,1.131035,0.5229975,0.08863,0.08174825,5.77335,5.24948
1,2.25,0.17251,407.7380065,-3.2216775,0.122381,-1.487,-1.66225,-2.08125,0.41296875,0.9883815,0.858736,0.50145,101.099998,82.699997,-13.8225,-16.4473495,0.2903205,-2.13,-0.494,-0.231,0.013,1.337,2.944,-0.013,0.312,0.538,1.046,2.143,3.461,0,0.684112,246.317348,253.144897,1.129175,2068.58007775,2.67018,0.040981,0.0202235,0.18328,-2.2215,0.530199,0.407597,0.066777,0.065771,5.658075,5.0430375
1,2.75,0.1668555,407.9335025,-1.7953025,0.12038625,-1.486,-1.65825,-2.082,0.409023,1.00218,0.768334,0.4962205,101.099998,82.9750005,-13.755,-16.5859995,0.2545225,-2.135,-0.494,-0.238,0.013,1.336,2.943,-0.01,0.312,0.533,1.045,2.143,3.46,0,0.68785025,246.51255625,253.36609,1.1436575,2055.850098,3.75067,0.034439,0.02015,0.169029,-2.21625,1.09155,0.576059,0.0586035,0.077169,5.61,5.05157
1,3.25,0.1686065,408.0589905,-3.8181,0.05901575,-1.484,-1.65725,-2.085,0.403837,0.912595,0.7210985,0.4843325,101.099998,83,-14.1325,-16.6408005,0.24705725,-2.138,-0.494,-0.241,0.012,1.335,2.943,-0.008,0.312,0.532,1.045,2.142,3.46,0,0.66355125,245.993749,251.886633,1.1539,2056.280029,3.19372,0.030361,0.01812825,0.16337,-2.215,1.176175,0.63169625,0.079082,0.08928975,5.69635,4.868095
1,3.75,0.177548,408.14125075,-2.8045425,0.2301785,-1.481,-1.66125,-2.081,0.417181,0.98860175,0.73866875,0.503663,101.099998,83.0749985,-14.155,-16.34077525,0.237128,-2.141,-0.493,-0.241,0.011,1.335,2.942,-0.007,0.311,0.532,1.045,2.141,3.459,0,0.67897175,244.07445,251.353284,1.16973,2055.22998,3.9376475,0.0317335,0.01639475,0.185046,-2.21675,0.71352375,0.55183575,0.10369175,0.08838625,5.7655,5.136163
1,4.25,0.1413025,408.43825525,-3.43456,0.107618,-1.483,-1.66325,-2.07875,0.407035,0.97823725,0.74272325,0.479514,101.099998,83,-14.21,-15.717325,0.2542405,-2.145,-0.494,-0.242,0.011,1.334,2.941,-0.01175,0.312,0.532,1.04275,2.141,3.458,0,0.671962,244.080813,251.40528,1.21235,2054.98999,2.84618,0.03456225,0.0205015,0.1513415,-2.221,0.78881,0.5962715,0.11750675,0.08222175,5.80735,5.43435
1,4.75,0.1667145,408.402496,-2.25868,0.11142425,-1.475,-1.6675,-2.0775,0.38335575,0.92044725,0.7225975,0.480037,101.099998,83.0749985,-14.0125,-16.1916,0.244453,-2.142,-0.495,-0.242,0.01,1.334,2.941,-0.008,0.312,0.531,1.041,2.141,3.458,0,0.66214875,243.49212125,250.35635875,1.24013,2055.649902,2.4049875,0.03748725,0.02181025,0.178535,-2.215,1.065705,0.6168845,0.069897,0.07960675,5.7816,5.08153
