DOY2,HR2,CO2_1_1_1,H2O_1_1_1,CH4_1_1_1,FC_1_1_1,FCH4_1_1_1,SC_1_1_1,SCH4_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE
3,0.25,426.1303,3.0161685,2056.413,0.385030275,3.95903375,0.07642064,0.4743283,-8.74250075,-0.36914035,1.96612075,0.06522267,0.5831981,3.094562,0.3527484,96.4475725,-0.82264995,-0.934833325,-1.053749975,-1.3761665,-1.45174975,0.314174975,0.3431667,0.35808335,0.306500025,0.9974169,2.30649975,2.9402,-9.934293,0,0,1.6593525,294.2553,308.4174,-1.275,-1.4415835,0.4273064
3,0.75,426.7171,2.9743915,2060.02675,0.3606028,4.4762585,0.07158373,0.5530755,-8.7175,-0.568775125,2.4494505,0.01266303,0.55107965,3.11286325,0.3495813,96.42667,-1.03029175,-1.1630835,-1.14375025,-1.252917,-1.39516675,0.310674975,0.330833325,0.349225,0.3021667,0.9690833,2.29341675,2.9419415,-8.9364165,0,0,1.699767,292.534325,308.3283,-1.50325,-1.3875,0.4294359
3,1.25,427.4969,3.00360675,2062.722,0.3647526,4.59725125,0.083234515,0.68139245,-8.63175,-0.2144714,1.480697,0.03484604,0.586454,3.04556,0.3461011,96.437975,-1.134733,-1.08716675,-1.13050025,-1.12875025,-1.284,0.28875,0.32825,0.336750025,0.288500025,0.967416575,2.2900835,2.939101,-8.303177,0,0,1.6425565,292.5762,307.59525,-1.34850025,-1.409667,0.4378729
3,1.75,427.4673,2.997982,2061.3735,0.369963125,4.624247,0.07705563,0.4721391,-8.62325,-0.4134141,1.351839,0,0.5323229,2.960696,0.325880175,96.432165,-1.242783,-1.23241675,-1.27216675,-1.32174975,-1.3295835,0.28225,0.32016665,0.337416625,0.28458335,0.94333335,2.2821665,2.939,-8.026184,0,0,1.6271585,292.7183,306.566,-1.2645,-1.37258325,0.4368848
3,2.25,427.6208,3.002267,2063.451,0.37837245,4.118895,0.0639837825,0.6932505,-8.61,-0.47274205,1.517913,0.09139321,0.4782534,2.9690275,0.3135,96.413955,-1.4415625,-1.2526665,-1.29950025,-1.444,-1.50975025,0.27958335,0.317975,0.322833325,0.279083325,0.927250025,2.26141675,2.938708,-7.85025,0,0,1.656487,291.9005,306.16,-1.3945,-1.24533325,0.403731475
3,2.75,427.405375,3.0049895,2063.9405,0.3365306,4.7954745,0.08966024,0.79074825,-8.61,-0.40476355,1.60670575,0.129615475,0.3863459,2.9429875,0.3253756,96.3938925,-1.4996835,-1.144083,-1.18683325,-1.46075025,-1.47508325,0.279583375,0.3046667,0.317333325,0.26783335,0.908575025,2.24283325,2.9429,-7.893227,0,0,1.706813,292.56815,306.26485,-1.48150025,-1.31975025,0.4017896
3,3.25,427.71645,3.003278,2066.19625,0.34424005,4.24263825,0.0752366575,0.477119375,-8.55249975,-0.3243152,1.26152775,0.0987840325,0.38961165,3.026605,0.3239959,96.3961,-1.5630165,-1.2995835,-1.50749975,-1.6954165,-1.727,0.26225005,0.29358335,0.30907505,0.261250025,0.897416625,2.25150025,2.943067,-7.279583,0,0,1.67108525,291.5103,305.7769,-1.78575,-1.4845835,0.383570425
3,3.75,427.52595,3.022363,2068.38375,0.3466757,4.251751,0.07099009,0.4484685,-8.36166675,-0.132505225,1.2167625,0.3023154,0.3837925,2.983521,0.308328725,96.401655,-1.659133,-1.54441675,-1.68675025,-1.743667,-1.81608325,0.2473333,0.28425,0.300500025,0.258249975,0.896166625,2.25250025,2.94495875,-6.426333,0,0,1.604446,291.327725,305.7933,-1.87250025,-1.559333,0.371175875
3,4.25,428.036125,2.9985995,2066.0285,0.38834,4.6069915,0.07234814,0.673831225,-8.36,-0.19596195,1.11565775,0.3406263,0.376415925,2.876006,0.315328325,96.41734,-1.697467,-1.733083,-1.743083,-1.80850025,-1.84375,0.234275,0.2725833,0.29991665,0.244275,0.905499975,2.2495835,2.94372525,-6.216858,0,0,1.568255,291.7633,305.452425,-1.90675025,-1.7379165,0.4220786
3,4.75,428.1581,2.95475625,2066.356,0.37087715,4.887965,0.0690778475,0.513434225,-8.36,-0.388210325,1.162857,0.37542495,0.492214875,2.79447,0.310358225,96.42767,-1.79732525,-1.70425,-1.83016675,-1.88425,-1.95825025,0.22233335,0.277916625,0.2961667,0.252,0.906499975,2.23033325,2.93891725,-5.89230975,0,0,1.5859565,291.1358,305.002925,-2.24725,-1.926,0.43377355
