DOY2,HR2,USTAR,TA,WS,FC,H,LE,TS_1,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_2
1,0.25,0.029936,-37.456,0,0,-95.5682375,-4.36152075,-5.74325,28.46,86.735,-69.82425,0,-1.194825,0,0,-8.3995,-7.1131,-20.848,-23.818,-15.77,-24.24,-21.002,-19.242,362.3,-4.39795
1,0.75,0.02484,-37.2375,0,0,-96.145783779,-3.25246,-5.66645,27.865,86.74,-67.68875,0,-1.471125,0,0,-8.39,-7.129,-20.815,-23.7725,-15.605,-24.095,-20.95,-19.12,361.9825,-4.32715
1,1.25,0.022156,-37.4625,0,-0.001974,-85.25101980475,-3.853024539,-5.608125,27.33,86.77,-67.898,-0.000133053,-1.5322,0,0,-8.4,-7.1655,-20.955,-24.0925,-15.6775,-24.4,-21.19375,-19.275,361.7,-4.27015
1,1.75,0.022949,-37.5135,0,0,-86.6164797105,-4.4802655,-5.6177,25.197,86.8375,-71.174,0,-1.45495,0,0,-8.39975,-7.173825,-20.969875,-24.19225,-15.65625,-24.474,-21.20475,-19.237,361.435,-4.28345
1,2.25,0.028506,-37.2905,0,0,-98.93992424,-3.7751475,-5.61415,23.825,86.7375,-71.306,0,-1.4656,0,0,-8.3925,-7.164,-20.97125,-24.32975,-15.64825,-24.47425,-21.098,-19.169,361.92,-4.3939
1,2.75,0.0263375,-37.352,0,0,-86.622403833,-5.53215375,-5.63845,25.3925,86.675,-72.30125,0,-1.3378,0,0,-8.401,-7.144675,-20.86725,-24.44175,-15.63575,-24.45175,-20.9335,-19.15225,361.825,-4.417925
1,3.25,0.0262685,-37.362,0,0,-95.7593644225,-2.10206266325,-5.601,24.505,86.785,-70.786,0,-1.3908,0,0,-8.323,-7.10115,-20.784,-24.511,-15.62,-24.417,-20.8495,-19.096,361.7,-4.382375
1,3.75,0.025835,-37.257,0,0,-94.44648068525,-6.2432575,-5.67155,24.791,86.785,-71.321,0,-1.3668,0,0,-8.307,-7.09535,-20.769,-24.578,-15.583,-24.387,-20.834,-18.995,361.925,-4.454925
1,4.25,0.03042,-37.144,0,0,-82.2887674385,-3.8483,-5.539325,25.438,86.8425,-69.843,-0.00888376499999999,-1.009425,0,0,-8.301,-7.09575,-20.821,-24.796,-15.695,-24.386,-21.13,-18.748,361.9325,-4.32105
1,4.75,0.02763825,-37.33,0,0,-97.04235,-6.36936,-5.5816,25.366,86.84,-70.8675,0,-1.34725,0,0,-8.321,-7.13,-20.775,-24.866,-15.731,-24.267,-21.145,-18.64,361.8625,-4.31575
1,5.25,0.025731825975,-37.32175,0,0,-103.229138642,-10.63749,-5.60985,25.607,86.8,-70.8835,0,-1.4443,0,0,-8.355,-7.122475,-20.762875,-24.91375,-15.767,-24.18325,-21.1585,-18.63275,361.9125,-4.3197
1,5.75,0.017608,-37.39775,0,0,-78.475487881,-3.81691,-5.65775,25.71375,86.8,-69.5915,0,-1.4545,0,0,-8.4235,-7.12285,-20.74425,-24.89275,-15.80975,-24.08675,-21.155,-18.60875,362.1,-4.40475
1,6.25,0.0207025,-37.71175,0,0,-79.47171418275,-4.5227395,-5.6346,26.34125,86.8,-69.15875,0,-1.51625,0,0,-8.434,-7.1133,-20.747,-24.8645,-15.8525,-24.0825,-21.111625,-18.6235,362.1,-4.361575
1,6.75,0.026139,-37.76175,0,0,-103.154524185,-6.247574,-5.7001,25.44225,86.8,-66.908,0,-1.64515,0,0,-8.454,-7.104375,-20.725375,-24.79075,-15.88525,-24.16325,-21.064,-18.70025,362.2525,-4.37795
1,7.25,0.02532,-37.916,0,0,-92.247713548,-3.288591,-5.699625,24.752,86.8,-67.992,0,-1.7038,0,0,-8.451,-7.07895,-20.7335,-24.696,-15.926,-24.228,-21.0775,-18.77,362.2225,-4.379925
1,7.75,0.024926,-37.95975,0,0,-92.33774231,-4.8913620205,-5.653525,25.075,86.8,-66.684,0,-1.4628,0,0,-8.466,-7.07555,-20.72075,-24.5975,-15.96075,-24.172,-21.117,-18.85475,362.445,-4.378775
1,8.25,0.025908,-37.868,0,0,-93.09684422775,-3.9818922568,-5.699875,25.479,86.7375,-64.9675,0,-1.333,0,0,-8.492,-7.09885,-20.6975,-24.54,-16.005,-24.099,-21.1535,-18.871,362.29,-4.3886
1,8.75,0.02243,-38.116,0,0,-97.41952626875,-2.739219066,-5.7821,22.584,86.7,-68.26775,0,-1.44925,0,0,-8.5455,-7.1302,-20.6735,-24.562,-16.041,-24.019,-21.1975,-18.839,362.45,-4.466475
1,9.25,0.025556,-37.86,0,0,-85.465784741,-4.70098125,-5.754275,21.53,86.7,-70.59525,0,-1.6152,0,0,-8.6,-7.1575,-20.66625,-24.625,-16.085,-23.9875,-21.26125,-18.8625,362.3,-4.4411
1,9.75,0.023113,-37.9175,0,0,-80.92731036475,-5.3027875,-5.76265,23.955,86.73,-67.454,0,-1.1586,0,0,-8.65025,-7.16995,-20.6455,-24.7835,-16.1255,-23.95425,-21.24325,-18.87625,362.52,-4.4482
1,10.25,0.024619,-37.91875,0,0,-92.217467369,-6.086756966125,-5.7141,24.574,86.73,-66.9065,0,-0.50885,0,0,-8.64875,-7.163,-20.651625,-24.93725,-16.142,-23.93,-21.27325,-18.86175,362.46,-4.44505
1,10.75,0.01939204465,-37.718,0,0,-82.4483,-4.55309,-5.770575,24.406,86.7275,-67.96375,0,0,0.177616625,0,-8.6925,-7.199,-20.658,-25.09,-16.11,-23.946,-21.312,-18.882,362.4375,-4.4813
1,11.25,0.02193,-37.47,0,0,-95.745987436,-8.837769275025,-5.776175,26.682,86.6825,-69.67575,0,0,0.773629875,0,-8.705,-7.2027,-20.674,-25.114,-16.2,-23.918,-21.337,-18.902,362.8,-4.499225
1,11.75,0.0235775,-37.456,0,0,-105.18169817,-4.132947,-5.81505,24.986,86.755,-68.8345,0,0,1.9942025,0.6216,-8.724,-7.1972,-20.694,-25.058,-16.24,-23.908,-21.314,-18.912,362.5,-4.537925
1,12.25,0.0211675,-37.3555,0,0,-87.74995,-6.150478580325,-5.819175,25.647,86.8225,-67.403,1.308272,0,3.4344515,1.08995,-8.722,-7.1836,-20.72475,-25.057,-16.2835,-23.8665,-21.36225,-18.944,362.71,-4.539775
1,12.75,0.0213,-37.252,0,0,-87.560114445,-3.2293778925,-5.858925,26.2275,86.75,-69.314,2.18640625,0.40105,4.8228175,1.54575,-8.736,-7.1962,-20.743,-24.977,-16.315,-23.838,-21.338,-18.9465,362.52,-4.57555
1,13.25,0.0200725,-37.30625,0,0,-87.28805,-5.1785655,-5.8043,25.1425,86.9225,-68.371,2.143389,0.27505,5.2674795,1.739625,-8.74625,-7.142125,-20.775,-24.91,-16.3525,-23.8125,-21.3975,-18.92625,362.61,-4.519
1,13.75,0.0284,-37.57975,0,0,-90.6557400985,-4.80988775,-5.781525,24.98525,86.935,-68.747,1.48210075,0,4.487335,1.385525,-8.7575,-7.14135,-20.783875,-24.79825,-16.38475,-23.85325,-21.348625,-18.953,362.7125,-4.496875
1,14.25,0.02597825,-37.44475,0,0,-82.530125,-4.3454300594,-5.7581,26.76575,87,-72.2715,0.00785975000000011,0,2.792545,0.445275,-8.75775,-7.111775,-20.810375,-24.869,-16.43825,-23.9,-21.274125,-19.05675,362.6125,-4.47435
1,14.75,0.0282725,-37.55,0,0,-93.0765812475,-5.6470775,-5.822175,25.85,87,-68.792,0,0,1.230835,0,-8.7495,-7.1244,-20.826,-24.972,-16.49,-23.946,-21.188,-19.152,362.8,-4.5339
1,15.25,0.0273325,-37.762,0,0,-86.272204035,-5.955048,-5.77495,26.712,86.935,-72.01475,0,0,0.3964905,0,-8.7115,-7.1365,-20.877,-25.088,-16.648,-24.01,-21.108,-19.246,362.7125,-4.482325
1,15.75,0.024125,-37.7455,0,0,-84.14961433,-6.6121868825,-5.77865,26.57825,86.835,-71.918,0,-0.1467,0.0402096375,0,-8.72675,-7.18645,-20.928,-25.24125,-16.70975,-24.008,-21.013875,-19.3615,362.715,-4.486025
1,16.25,0.023938,-37.72275,0,0,-109.49609417,-6.7097375,-5.774675,28.235,86.9,-69.79625,0,-0.89955,0,0,-8.75225,-7.188675,-21.0095,-25.3165,-16.748,-24.03025,-20.9315,-19.467,362.625,-4.479875
1,16.75,0.025584,-37.74875,0,0,-85.71704029775,-6.64220779245,-5.775825,29.45175,86.9,-70.345,0,-1.5667,0,0,-8.75975,-7.33535,-21.09075,-25.383,-16.78925,-24.01425,-20.86325,-19.43225,362.26,-4.477025
1,17.25,0.024534835025,-37.39275,0,0,-80.8464787925,-4.8051483877,-5.759725,28.7905,86.84,-71.63,0,-1.6114,0,0,-8.75975,-7.32215,-21.090875,-25.42,-16.8425,-24.0255,-20.786625,-19.3505,362.015,-4.45785
1,17.75,0.023075,-37.192,0,0,-91.2204537095,-5.59502,-5.7874,28.486,86.84,-72.7155,0,-1.549975,0,0,-8.82625,-7.30585,-21.074375,-25.36625,-16.878,-24.05875,-20.84,-19.31775,362.0225,-4.482625
1,18.25,0.0283,-37.162,0,0,-82.34307052125,-5.1692687767,-5.789075,26.26925,86.84,-72.982,0,-1.33455,0,0,-8.8215,-7.29635,-21.091625,-25.3,-16.92125,-24.1075,-20.93575,-19.26725,362.6225,-4.484675
1,18.75,0.02379,-37.16075,0,0,-84.652160072,-3.500895628625,-5.821225,25.96175,86.8,-72.6615,0,-1.6415,0,0,-8.83575,-7.300725,-21.1275,-25.17875,-16.97675,-24.15175,-21.019625,-19.251,362.6225,-4.512375
1,19.25,0.02365,-37.083,0,0,-96.188750625,-5.371852,-5.821325,26.293,86.8325,-75.9065,0,-1.57545,0,0,-8.844,-7.2856,-21.18875,-25.143,-17.009,-24.2185,-21.1335,-19.3425,362.72,-4.510025
1,19.75,0.0246475,-37.2465,0,0,-86.39313,-5.1238205,-5.866225,25.6375,86.8325,-74.5815,0,-1.43145,0,0,-8.842,-7.2936,-21.105,-25.0095,-16.9015,-24.271,-21.203,-19.441,362.84,-4.553925
1,20.25,0.02492,-37.411,0,0,-92.94622252325,-4.68265148465,-5.8812,27.864,86.8,-72.6745,0,-1.3137,0,0,-8.85,-7.278,-21.0525,-24.9235,-16.8295,-24.3265,-21.28475,-19.5425,362.6,-4.561725
