DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.114,-3.144,2.143,-0.11625,-35.74325,-0.842,-34.349,0.38,1.422,66.35,93.873,371.943,0.33,-54.114,-0.202,-2.772,-0.2,1.284,232.039,296.479,5.6945
1,0.75,0.105,-3.64,2.186,-0.317,-35.478,-0.836,-33.787,0.366,1.396,67.57,93.9,371.113,0.24,-52.467,-0.167,-2.728,-0.185,1.449,232.09,296.346,5.7355
1,1.25,0.11275,-3.555,2.313,-0.498,-37.4055,-0.832,-33.18,0.357,1.372,68.1,93.899,371.13,0.27,-53.422,-0.179,-2.735,-0.165,1.539,232.347,296.64,5.864
1,1.75,0.129,-3.809,2.278,-0.305,-37.81,-0.76,-34.43,0.346,1.342,68.19,93.897,371.434,0.27,-54.803,-0.148,-2.767,-0.178,1.179,230.959,295.819,5.3305
1,2.25,0.137,-4.06,1.9405,-0.273,-38.473,-0.215,-33.68,0.335,1.318,68.941,93.879,371.74,0.22,-54.322,-0.171,-2.744,-0.174,1.155,230.301,294.268,5.764
1,2.75,0.122,-4.153,2.09375,-0.15125,-36.098,-0.25975,-33.612,0.313,1.29,71.1,93.867,372.112,0.13,-53.439,-0.148,-2.756,-0.151,1.041,229.079,294.332,5.82225
1,3.25,0.106,-4.387,2.20975,-0.2875,-33.074,-0.333,-35.552,0.285,1.264,71.2,93.858,372.299,0.08,-55.162,-0.146,-2.775,-0.162,1.053,229.293,292.567,5.803
1,3.75,0.10875,-4.37,2.011,-0.27475,-32.478,-0.37,-35.572,0.267,1.224,73.5,93.826,372.497,0.01,-52.89,-0.146,-2.775,-0.147,0.935,228.628,292.109,5.43
1,4.25,0.1115,-4.742,1.788,-0.16975,-29.982,-0.65625,-36.877,0.256,1.188,75.2,93.799,372.47225,0,-52.73,-0.193,-2.802,-0.205,1.092,228.621,292.534,5.438
1,4.75,0.1195,-5.126,1.806,-0.256,-35.689,-0.792,-36.299,0.223,1.157,75.7,93.803,372.20425,0,-52.17,-0.242,-2.646,-0.185,1.351,228.032,290.43,5.458
1,5.25,0.124,-5.235,2.001,-0.158,-31.107,-0.35,-35.637,0.213,1.139,75.3,93.798,372.72275,0.05,-50.412,-0.167,-2.709,-0.158,0.892,229.178,291.554,5.4095
1,5.75,0.1475,-5.335,1.95075,-0.332,-31.6245,-0.46725,-37,0.205,1.106,76.3,93.793,372.30125,0.14,-51.548,-0.214,-2.653,-0.176,0.581,231.978,290.059,5.524
1,6.25,0.11375,-5.993,1.793,-0.3115,-28.031,-0.4505,-37.155,0.186,1.081,76.5,93.792,371.8135,0.12,-51.201,-0.249,-2.65,-0.205,0.712,230.254,289.295,5.42175
1,6.75,0.11675,-6.357,1.9255,-0.1235,-30.0775,-0.25425,-38.447,0.178,1.06,78.4,93.824,372.3005,0.14,-50.616,-0.313,-2.624,-0.22,0.903,229.321,288.465,5.37375
1,7.25,0.1225,-6.708,1.90075,-0.177,-28.301,-0.31725,-36.795,0.161,1.041,78.901,93.803,373.202,0.08,-50.894,-0.068,-2.666,-0.209,0.77,229.899,288.255,5.26375
1,7.75,0.1205,-6.276,1.775,-0.2515,-28.02725,-0.2825,-36.445,0.145,1.013,77.301,93.815,373.614,0.04,-48.423,5.751,1.756,0.71,2.375,229.454,288.517,5.298
1,8.25,0.097,-6.079,1.806,-0.433,-20.5065,1.317,-31.872,0.141,0.979,76.5,93.847,374.087,0.02,-25.097,55.386,27.607,6.66,8.727,228.571,291.54,5.49875
1,8.75,0.1535,-5.334,2.01175,-0.576,-2.63475,4.3,-25.352,0.143,0.95,73.301,93.904,374.119,0.15,7.147,143.1,78.289,18.615,18.723,230.85,300.219,5.402
