DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
1,0.25,-0.5459013,-73.14389,-4.44673575,-15.543999,0.3696778,0.0306,-14.25588,391.7448,2.23213775,0.1342282,0.1455137,0.04116,0.04954,-15.952725,96.993375,-47.5898625,-12.7229125,-23.85025,0.48802825,0.568354,-0.6636397,-0.737121075
1,0.75,-0.5166082,-74.6629,-9.09412074999999,-16.209675,0.3292204,0.02766,-14.89138,391.80925,2.28197975,0.1472623,0.1475123,0.04948,0.05458,-16.3618125,96.980825,-48.63575,-12.7397,-20.8597,0.482977375,0.5615529,-0.612308,-0.87845045
1,1.25,-0.503440525,-74.0581325,-3.132112,-80.70811,0.3491814,0.02222,-15.32694,391.6186,2.374588,0.171835425,0.14323235,0.0523125,0.0577775,-16.861755,96.961535,-49.432795,-12.430035,-19.31994,0.45993935,0.5378111,-0.6108511,-0.97000965
1,1.75,-0.516257725,-68.676895,-70.5897725,-44.325535,0.304598475,0.03249,-15.2488575,383.119,2.3424595,0.1564693,0.1388851,0.0410725,0.04861,-17.4856325,96.97953,-47.5958225,-12.1202075,-19.3493025,0.45012905,0.53062895,-0.58648015,-0.862738575
1,2.25,-0.497469675,-73.64922,-2.53819,-28.3178,0.360343,0.0361425,-15.474505,392.1869,2.068401,0.164521225,0.142727725,0.05061,0.07187,-16.37835,96.9770075,-48.2910475,-11.789715,-21.756295,0.4400486,0.5231498,-0.61538625,-0.6682877
1,2.75,-0.62090445,-56.2956975,-26.47162,-37.8661325,0.36916835,0.050075,-15.645285,393.2056,2.090404,0.163617925,0.1518012,0.0435725,0.07333,-16.4303275,96.9642625,-48.656835,-11.46486,-19.372815,0.4300424,0.51523335,-0.6174534,-0.817740025
1,3.25,-0.5050777,-64.80331,-7.94021975,-31.32088,0.33493825,0.0412025,-15.9750725,393.900375,1.8631585,0.128948575,0.183007875,0.04368,0.0696775,-16.70236,96.9565675,-48.5340275,-11.3862175,-19.3027225,0.420048825,0.506802,-0.5927918,-1.71007895
1,3.75,-0.425334975,-60.40763,-13.378683,-29.49668,0.28265795,0.0403275,-16.019995,394.15,1.7051575,0.164859275,0.125905425,0.03835,0.06999,-16.9400825,96.962365,-49.57568,-11.3848575,-19.244625,0.4089697,0.4984972,-0.57778045,-1.4011655
1,4.25,-0.4386936,-52.243785,-97.68939,-8.003802,0.2398944,0.028105,-16.26751,392.031675,2.1207655,0.1311496,0.12296165,0.043775,0.05915,-16.94797,96.941675,-49.998295,-11.38269,-19.1873525,0.39794155,0.4904837,-0.5766234,-0.9144393
1,4.75,-0.4838053,-55.327965,-3.771654,-64.117245,0.3132294,0.040715,-15.144545,395.41645,1.97243,0.136152,0.0983754,0.038015,0.07281,-17.0284025,96.933835,-49.08444,-11.3718025,-19.086325,0.3864315,0.48290165,-0.57342385,-1.1693732
1,5.25,-0.3963068,-61.800765,-19.376635,-3.935557,0.43913355,0.03045,-15.34235,394.10395,2.17743325,0.14655805,0.09908795,0.054335,0.054615,-16.914465,96.910695,-48.3240275,-11.3574175,-19.05536,0.375215525,0.4755648,-0.5590414,-1.044957
1,5.75,-0.51059135,-52.04211,-166.1767,-6.5064435,0.3283179,0.031665,-15.73644,394.14825,2.100367,0.17361885,0.12819505,0.0459,0.05264,-16.8871525,96.9156975,-48.7287675,-11.34129,-18.9837175,0.362033575,0.4682929,-0.5455218,-0.8718124
1,6.25,-0.39360225,-77.36233,-32.071065,-22.0494025,0.3245377,0.0384275,-15.9482525,394.345475,1.8155835,0.145160575,0.1161433,0.058795,0.04257,-17.01748,96.928395,-45.373125,-11.346755,-18.959895,0.351156825,0.46035295,-0.52598275,-0.8539224
