DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_5_1,CH4_1_6_1
4,21.75,2.24840943928497,15.0292068363906,0.302295865070514,4.43032274025157,0.189645077832111,4.89075223893913,14.714579647151,-4.15160674938338,0.280731186047576,-31.1309335410459,-10.0256735861989,0.558402402272453,423.321543692068,1.63,0.975,0.68,0.755,0.37,13.5944,13.633,13.46455,13.33375,13.2281,12.5002,12.2285,94.93738,54.67,6.6693,13.285,12.935,13.33,12.685,13.305,1.2,-4.51,2.75,0.62,314.1,380.9,365.25,381,0.09,-0.02,0.05,0,0.07,-0.06,0.17,-0.19,-0.14,0.01,13.5825,13.4425,13.383,12.9715,12.4755,13.559,13.861,14.025,14.477,14.233,13.977,13.299,13.6335,14.042,14.146,13.483,13.6805,13.566,13.94,13.5035,14.0295,13.9605,2.1075,2.039,0.722,-87.03,10.2263918498386,9.56092330533657,10.1624291423201,9.60715137001891,9.81018607481159,10.2857395375708,11.6074956054237,425.461713963718,426.130512390167,426.812647591688,427.016051660418,428.334607653334,427.60763168304,430.498487074385,430.739638785085,436.514572068327,439.165502607196,452.169495465814,452.598084226789,1987.55470948674,1985.66078156558,1984.90043350692,1982.7207912533,1980.80433275098,1964.34612567537
4,22.25,2.14905621368827,14.5520683974528,0.312332246670791,4.42635359480502,0.0491202292306299,4.16195756919016,20.5229227292187,-2.88990432676006,0.274697144294766,-32.2045167619531,-7.20114465251339,0.546560617359287,423.518982945261,1.61,0.985,0.7,0.77,0.365,13.2616,13.221,13.1465,13.01425,13.2169,12.39095,11.9252,94.951725,54.095,6.7503,13.04,12.78,13.15,12.43,13.035,1.1,-4.285,2.65,0.63,315.5,380.4,366.15,379.45,0.085,-0.03,0.05,0,0.09,-0.06,0.17,-0.19,-0.14,0.01,13.36,13.286,13.3375,12.961,12.482,13.376,13.7055,14.0245,14.3075,14.154,13.964,13.3175,13.606,13.8685,14.0665,13.499,13.479,13.507,13.9305,13.5075,14.042,13.9545,0.8835,1.44,0.224,-85.25,10.021899259782,9.1495983077568,9.51355543550491,9.50548615561362,9.61844719082697,10.0694978996354,10.8263788978969,425.121559115218,425.521705468579,427.936149155775,426.251508096026,427.830310207289,427.572300709336,430.31908502372,430.612862659373,435.322839875282,436.023856456707,453.036945415159,450.033929371982,1987.56296251805,1987.55129912588,1983.82388697798,1979.383232175,1979.70760033511,1973.21319914261
4,22.75,2.15693284505295,14.0665934885083,0.334537958949785,4.57592900979466,-0.556319501493023,4.14782862991502,16.2039524749393,-2.63767343914041,0.276771798973019,-33.3448219924948,-4.4262165598114,0.563167064091151,422.909541166239,1.56,0.94,0.68,0.81,0.375,13.0286,12.8455,12.8871,12.7572,12.97525,12.09875,11.7582,94.94795,54.16,6.6958,12.8,12.66,12.91,12.14,12.895,1.2,-4.06,2.6,0.66,317.25,379.65,364.95,379.3,0.09,-0.03,0.04,0,0.13,-0.06,0.17,-0.19,-0.14,0.01,13.1655,13.1795,13.2625,12.954,12.496,13.2485,13.5795,14.0205,14.1215,14.015,13.95,13.332,13.5075,13.7305,13.973,13.524,13.338,13.433,13.9165,13.5145,14.0525,13.9625,0.1375,0.6265,-1.16,-81.59,9.85601160021592,9.19775812555956,9.41861047502396,9.69230650783535,9.94133141605737,10.2196894521375,11.350024481096,426.152949710391,425.065799102759,427.317030512849,426.601457201383,427.424867084976,427.711792712136,430.762531518937,430.200984113863,437.150646162183,441.905771146182,453.935996757703,454.240335540191,1989.1260867958,1988.9259111748,1989.83130265808,1986.35358122159,1980.17801946257,1970.45505766497
4,23.25,2.20370271442177,14.2078662228212,0.311304134243913,3.99177835116092,-0.122391632760387,3.60707264537287,18.7952201478756,-4.32927130461898,0.283538172472971,-30.4383966364913,-2.77428872822463,0.606676616474544,421.484824972616,1.57,0.985,0.67,0.795,0.385,13.04665,12.8785,12.9366,12.73965,13.0111,12.10025,11.4746,94.934365,54.565,6.4191,12.595,12.275,12.66,12.045,12.46,1.2,-4.42,2.6,0.545,314.15,378.3,363.1,378.25,0.09,-0.03,0.045,-0.005,0.07,-0.06,0.17,-0.19,-0.14,0.01,13.019,13.0375,13.207,12.9685,12.5105,13.157,13.4445,14.014,13.9115,13.9135,13.9205,13.3445,13.363,13.6155,13.874,13.5375,13.2205,13.363,13.8985,13.522,14.06,13.973,-1.05,0.329,-1.08,-80.36,9.76082972960522,9.14921518567821,9.48133213384391,9.23955374673828,9.72477517584753,10.2597406664062,11.1084225512291,424.082262170318,424.554484254905,426.738254743132,426.95664407681,427.880023547242,427.277624649062,431.604736848753,430.266364877266,435.941061040583,431.147179402157,451.235406095599,443.062962987438,1987.39982909358,1986.25939522244,1987.5971483973,1980.76344134771,1984.07263633086,1980.27729864776
4,23.75,2.16382632303903,14.0736327965947,0.315492381117703,4.11073723675896,-0.227489489080265,2.80739587567902,24.2555105691761,-3.2743193820194,0.281711543027458,-32.8699737193367,-4.67110630799817,0.574094821101929,421.834614478159,1.59,0.96,0.68,0.81,0.4,13.0861,12.7585,12.8329,12.6604,12.8989,11.8653,11.295,94.936185,53.65,6.7143,12.3,12.125,12.44,11.9,12.235,1.1,-4.19,2.65,0.585,313.8,377.45,362.95,377,0.09,-0.03,0.05,0,0.07,-0.06,0.17,-0.19,-0.14,0.01,12.914,12.9055,13.14,12.98,12.522,13.056,13.374,14.001,13.7425,13.8245,13.8855,13.357,13.171,13.4805,13.795,13.5365,13.14,13.2595,13.8695,13.5275,14.0645,13.9815,-1.6475,-0.428,-1.7755,-83.175,9.83276172013635,8.94070553792594,9.30537138636828,9.03931156721749,9.18504199479499,9.91772610067799,10.702980263636,423.732033462377,423.951500508617,426.922639289127,424.493039069059,425.987495277609,425.514665203555,430.393698822932,427.65904851322,435.689076229476,440.1713351331,448.843729938944,452.158381653115,1983.56405467041,1987.45682163788,1987.31233025437,1986.58866489702,1980.26923000154,1965.29851987685
5,0.25,2.01697753266802,20.0346294226767,0.41810665950636,6.62393525541458,0.406707615428535,6.87629824572329,10.8184615427939,-1.37830549352114,0.242221826140838,-29.1308925473193,-3.35886247895422,0.552570949149254,423.971373805685,1.365,0.61,0.44,0.48,0.205,17.97285,18.009,17.8517,17.61085,16.3777,16.8876,16.72265,95.06519,70.43,5.6376,17.36,17.365,17.925,17.46,17.11,1,-3.705,2.5,0.13,356.05,407.7,404.55,404.05,0.09,-0.03,-0.01,0,0.07,-0.06,0.17,-0.155,-0.15,0.01,17.206,17.679,16.514,15.8335,15.356,16.7125,16.8755,17.047,17.32,16.84,16.404,15.7055,17.424,17.306,17.5705,16.393,17.24,17.063,17.6275,16.576,16.5215,16.012,2.558,2.567,1.5635,-64.635,15.7212370387851,16.4654635886505,16.5515744085859,16.6131927021838,16.6254780970702,17.0345656925281,18.088707668186,427.351275426182,426.672622289759,428.436536434516,428.615002978556,430.76754961272,424.245863799998,437.733819222936,425.699568847917,444.411125119172,447.947200923359,469.494283393336,474.438997557323,1974.66778763186,1963.43893882984,1957.59340347415,1959.26498933311,1957.66493446857,1951.09335034541
5,0.75,1.88917794251984,19.8046935095674,0.367172406824019,6.49575171244162,0.0831337310025442,7.21880653507358,9.25325824004809,-2.97856431875189,0.223875810593745,-38.6051668661937,-1.99082012167274,0.57504433025915,424.15200011664,1.3,0.63,0.44,0.49,0.21,17.7908,17.835,17.6151,17.3489,16.5239,16.7406,16.3647,95.056315,71.98,5.4203,17.39,17.175,17.855,17.375,17.005,0.9,-3.94,2.5,0.055,348.8,406.3,404.1,402.95,0.09,-0.03,-0.005,0,0.07,-0.06,0.17,-0.155,-0.15,0.01,17.115,17.595,16.4655,15.8285,15.3495,16.633,16.78,17.0315,17.2185,16.7695,16.3425,15.708,17.355,17.1865,17.5525,16.354,17.124,16.946,17.6135,16.544,16.512,16.018,2.062,2.404,1.271,-65.525,15.8486569725107,16.4873012244306,16.5888854130698,16.6929757922309,17.1220467101461,17.2456503147921,17.7330329757426,427.570895695849,425.254246025287,429.490212534749,428.968718448728,431.364094526865,427.237712491716,439.981486092855,429.211860553035,446.719486367136,449.870091380126,470.558278818336,462.090487427408,1964.62277319491,1968.5339377999,1977.99818587453,1977.91243636819,1955.5410474493,1944.03244926218
5,1.25,1.82464752345224,19.5553404173091,0.370363948411751,5.76838812698043,0.250935254595216,5.61188088337135,9.96948040393369,-0.264324880120077,0.222174546065518,-32.9922705864393,-5.43767944851167,0.548388555731376,424.464548066976,1.31,0.61,0.43,0.49,0.21,17.68305,17.547,17.37545,17.14545,16.321,16.5681,16.34505,95.032395,71.365,5.2278,17.2,16.995,17.9,17.125,16.86,1,-3.81,2.45,0.005,349.45,405.5,403.3,402.4,0.09,-0.03,0,0,0.07,-0.06,0.17,-0.15,-0.15,0.01,17.0115,17.538,16.421,15.823,15.353,16.567,16.7385,17.024,17.135,16.703,16.3315,15.7095,17.305,17.1205,17.532,16.3425,17.0395,16.862,17.598,16.5315,16.519,16.0255,1.748,2.107,1.229,-67.13,15.8887215720025,16.5295730736097,16.5725963253849,16.7156081282669,16.9945225480633,17.2801571878321,17.9488444187049,426.994227281892,426.150254843568,429.086304093246,428.239355551093,432.077426321327,423.187660198503,436.872692306385,433.485212413296,447.379938822757,450.99000954627,470.330378959809,475.063728602404,1980.27208224159,1963.3416854469,1958.98463959958,1957.06301615543,1956.74824609708,1957.76490487873
5,1.75,1.74052736520533,19.5140198339317,0.392342180571158,5.53085088329903,0.644952850105692,5.23763184822015,10.8297037356051,2.09534993456295,0.236341697033533,-33.3254122134616,-2.26674106492797,0.552969648436648,425.269510800924,1.255,0.6,0.4,0.47,0.2,17.55045,17.371,17.24635,17.08305,15.8034,16.32,16.2684,95.02963,72.375,5.0697,16.875,16.93,17.63,17.055,16.75,1,-3.765,2.6,0.1,355,405.5,402.1,401.8,0.09,-0.03,0.005,0,0.07,-0.06,0.17,-0.15,-0.15,0.01,16.909,17.4915,16.3805,15.818,15.356,16.4875,16.6915,17.0195,17.031,16.6385,16.319,15.7095,17.2125,17.0715,17.5105,16.3295,16.9345,16.7865,17.5755,16.5175,16.525,16.0275,1.228,1.591,0.717,-64.475,15.6894532785075,16.3170501358412,16.3180451267545,16.4624989038236,16.7976742908322,17.0359698640686,17.4042595193212,427.170024098216,426.522282457184,430.805530169516,425.65767404024,433.031205110032,429.834581193333,441.494136993214,435.579095663631,446.309689623562,446.874946142481,468.91900452319,460.659229323306,1961.36358238674,1962.32636194188,1976.24795173662,1974.09350012962,1949.97354413698,1937.95834092441
5,2.25,1.88848600325436,19.1413460037354,0.388759966952975,6.95810010180691,-0.302512820868911,8.18223304870232,10.5894156262581,-1.71728725161467,0.21947074228869,-33.5452919357843,-2.75817542229234,0.529190596666974,425.688505642487,1.3,0.58,0.4,0.47,0.2,17.54135,17.431,17.1819,16.92975,15.71145,16.1019,16.18485,95.02486,73.125,4.7312,16.78,16.71,17.57,17.08,16.7,1,-3.61,2.55,0.005,355.25,404.95,400.65,401.3,0.09,-0.03,0.005,0,0.085,-0.06,0.17,-0.145,-0.15,0.01,16.7965,17.4525,16.3395,15.8115,15.3585,16.418,16.631,17.0155,16.945,16.582,16.304,15.7095,17.089,17.0235,17.4885,16.3255,16.836,16.736,17.553,16.5035,16.531,16.0335,0.892,1.34,0.403,-64.02,15.7952330949476,16.2430621420113,16.184771959458,16.4373767984778,16.9750291745206,17.2784596426765,17.7530821473251,427.231735109597,429.180945447771,430.732870219655,430.531934309413,431.278575274876,422.24264826366,442.817123330658,427.945212223969,448.323767031744,451.149653317717,469.985003179313,469.955806830647,1969.32301177472,1960.06396371971,1960.57493863541,1952.3227777046,1956.7746501237,1954.67237351668
