DOY2,HR2,G,PPFD_IN,TS_1_2_1,TS_1_1_1
1,0.25,-10.132,0,-3.01925,-3.254
1,0.75,-10.1155,0,-3.02175,-3.24375
1,1.25,-9.58675,0,-3.0255,-3.2355
1,1.75,-9.65375,0,-3.02775,-3.22475
1,2.25,-9.804,0,-3.0325,-3.2155
1,2.75,-10.047,0,-3.03525,-3.20675
1,3.25,-10.47,0,-3.0395,-3.20075
1,3.75,-10.60375,0,-3.04225,-3.1955
1,4.25,-10.8545,0,-3.0475,-3.19175
1,4.75,-11.1615,0,-3.04975,-3.1875
1,5.25,-11.07075,0,-3.052,-3.192
1,5.75,-11.4325,0,-3.0565,-3.20425
1,6.25,-11.44,0,-3.059,-3.2215
1,6.75,-11.455,0,-3.062,-3.24075
1,7.25,-11.46875,0,-3.06575,-3.259
1,7.75,-11.484,3.477,-3.07,-3.277
1,8.25,-11.46175,19.702,-3.07375,-3.2815
1,8.75,-11.00225,55.34,-3.07625,-3.283
1,9.25,-10.79275,88.08,-3.07175,-3.28375
1,9.75,-10.81525,138.204,-3.069,-3.29
1,10.25,-10.29125,205.712,-3.06825,-3.29475
1,10.75,-9.84025,280.464,-3.07225,-3.29775
1,11.25,-9.358,272.062,-3.0775,-3.3005
1,11.75,-8.7065,326.242,-3.0795,-3.3045
1,12.25,-7.91675,396.938,-3.073,-3.30775
1,12.75,-7.21575,361.3,-3.06475,-3.31
1,13.25,-6.75,345.654,-3.058,-3.31175
1,13.75,-6.49725,347.683,-3.049,-3.315
1,14.25,-6.50925,253.519,-3.04125,-3.314
1,14.75,-6.4195,163.411,-3.03225,-3.298
1,15.25,-6.4245,137.045,-3.023,-3.28025
1,15.75,-6.5475,67.219,-3.0135,-3.26625
1,16.25,-6.71475,36.507,-3.00425,-3.25225
1,16.75,-6.98925,6.375,-2.9965,-3.24125
1,17.25,-7.40575,0,-2.9935,-3.2345
1,17.75,-7.62325,0,-2.9945,-3.2295
1,18.25,-7.756,0,-2.99425,-3.22525
1,18.75,-7.864,0,-2.99325,-3.22375
1,19.25,-8.16175,0,-2.99475,-3.2215
1,19.75,-8.46025,0,-2.99775,-3.219
1,20.25,-8.6075,0,-2.99825,-3.2145
1,20.75,-8.6625,0,-3.00225,-3.21075
1,21.25,-8.68925,0,-3.00175,-3.21225
1,21.75,-8.75825,0,-3.006,-3.21825
1,22.25,-8.8305,0,-3.008,-3.2275
1,22.75,-8.92725,0,-3.0115,-3.2335
1,23.25,-9,0,-3.01275,-3.24175
1,23.75,-9.0555,0,-3.017,-3.24875
2,0.25,-3.8,0,-3.4975,-3.12775
2,0.75,-3.827,0,-3.49625,-3.12875
2,1.25,-3.8915,0,-3.5,-3.1315
2,1.75,-3.9455,0,-3.50425,-3.13675
2,2.25,-4.01225,0,-3.50875,-3.13975
2,2.75,-4.071,0,-3.51375,-3.1445
2,3.25,-4.12325,0,-3.52125,-3.1495
2,3.75,-4.16,0,-3.51675,-3.1525
2,4.25,-4.216,0,-3.513,-3.16025
2,4.75,-4.264,0,-3.51025,-3.16675
2,5.25,-4.311,0,-3.50725,-3.17275
2,5.75,-4.32975,0,-3.50475,-3.1755
2,6.25,-4.3455,0,-3.503,-3.1765
2,6.75,-4.35325,0.29,-3.504,-3.17775
2,7.25,-4.37425,10.141,-3.50875,-3.178
2,7.75,-4.399,37.376,-3.51275,-3.182
2,8.25,-4.4145,91.847,-3.51775,-3.1825
2,8.75,-4.42325,152.691,-3.52575,-3.185
2,9.25,-4.4375,195.282,-3.53025,-3.18825
2,9.75,-4.4605,317.26,-3.535,-3.19175
2,10.25,-4.48225,303.643,-3.54325,-3.19325
2,10.75,-4.4295,410.845,-3.5465,-3.19475
2,11.25,-4.41625,545.572,-3.5525,-3.1965
2,11.75,-4.4865,461.549,-3.55975,-3.19975
2,12.25,-4.605,496.027,-3.5635,-3.20325
2,12.75,-4.548,577.153,-3.56425,-3.203
2,13.25,-4.509,455.754,-3.5625,-3.19925
2,13.75,-4.404,494.289,-3.56,-3.19775
2,14.25,-4.2865,433.734,-3.557,-3.19475
2,14.75,-4.201,346.234,-3.55325,-3.191
2,15.25,-4.12725,244.537,-3.549,-3.1875
