DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_1_1_2,TS_1_5_1
1,0.25,310.5076976,-2.09059981075,-14.0765,-14.45625,-51.20288265675,1.0627612795,-14.1995475425,159.6425,228.175,-88.8667899396405,97.251249565,-0.01205,-0.450625,56.4685,-2.2701137304,-2.56985908355,-3.036427166725,-2.519025,-0.184625,-0.51621927965,-18.588,-2.2,-1,-0.7098,1.31825,0.599575,-2,-1.4025,-0.505,1.315725,0.516325,-20.73175,-18.5509470905,0.05192442095,0.184006433070364,0,0.158111057532257,0.6063661231,0.0390980468311462,-17.7711595,1.632725
1,0.75,327.35336645,-1.69863332075,-16.8615,-17.3465,-54.996820961,1.1895343314,-10.48886538,160.96,229.7125,-89.0208574326693,97.277470926,-0.020775,-0.448,55.48125,-1.64830081585,-2.61190730025,-3.50604582,-2.406625,-0.17945,-0.53125111125,-18.7345,-2.2,-1.0441,-0.7176,1.334325,0.5826,-2,-1.4025,-0.505,1.33145,0.46655,-20.7085,-18.799750376,0.0464823178,0.201270017660827,0,0.161209377380647,0.8866135788,0.0467643150965089,-18.08013675,1.592175
1,1.25,327.033218025,-1.215604086,-16.94275,-18.495885,-54.00441370475,1.0670325644,-7.7213135422,161.07,229.005,-88.9775,97.3266506,-0.02115,-0.44905,55.75575,-0.939277263025,-2.1052522746,-1.85574445545,-2.604775,-0.221792398167184,-0.46364908525,-19.2195,-2.2,-1.0525,-0.70935,1.265,0.583,-2.03485,-1.4025,-0.505,1.3144,0.46575,-20.5845,-19.382931702,0.0559139428,0.163644935619789,0,0.154806480030826,0.8992289066,0.0487509953935628,-18.29861825,1.6511
1,1.75,326.60962363,-1.03158623285,-17.04625,-17.811235,-58.731193454,1.047107384675,-7.2666706455,161.475,228.45,-88.787378599941,97.285783236,-0.02005,-0.455875,55.67025,-0.6744269473,-2.0045521136,-1.44668605245,-2.660825,-0.225725,-0.541922468675,-19.28425,-2.200425,-1.0525,-0.7517,1.265,0.599575,-2.10045,-1.402925,-0.505,1.2967,0.51585,-21.2345,-19.716400006,0.0407159368,0.198757395450263,0,0.189937089325593,0.8968637054,0.0470472831008135,-18.27226975,1.6509
1,2.25,328.0454334475,-1.0587922935,-16.9905,-17.60923125,-46.206240446,1.0492886308,-7.911390557,160.125,228.315,-88.5705787661951,97.232171298,-0.017,-0.45415,57.33475,-1.21113619225,-1.7891363554,-1.274401419625,-2.596175,-0.175875,-0.4326049306,-19.4955,-2.2021,-1.052975,-0.75935,1.2895,0.6,-2.1025,-1.38665,-0.506,1.314875,0.464775,-20.85,-19.888793444,0.0548690524,0.237407596028216,0,0.190691604157038,0.8373330964,0.054032344466197,-18.51042475,1.650575
1,2.75,328.4129669975,-1.5372679635,-16.98425,-17.749107,-48.03801220425,0.9933877812,-6.723704147,161.2225,226.9,-90.7325060263838,97.180698546,-0.0162,-0.451,56.29575,-2.0239430996,-2.0647260476,-1.5060509788,-2.471875,-0.2482,-0.4795390342,-19.99375,-2.2025,-1.1,-0.75065,1.265,0.599175,-2.1373,-1.339675,-0.5745,1.3162,0.5135,-21.3935,-19.976579062,0.0499346022,0.197300041274577,0,0.158920495250821,0.7217891676,0.0523176269009804,-18.8466825,1.6679
1,3.25,328.5209297175,-1.72015463895,-17.4715,-17.9187225,-48.205387516,1.12012320195,-8.987189104375,161.5225,225.5875,-91.6875,97.164154918,-0.01505,-0.44705,56.40925,-0.6847327595,-2.556895959,-1.609458622125,-2.493825,-0.248861257180173,-0.5155194254,-20.3245,-2.2025,-1.1,-0.75085,1.265,0.6,-2.2,-1.3075,-0.603775,1.3255,0.4519,-21.676,-20.35186039,0.055184248,0.211507769682519,0,0.162753877205676,0.6411210438,0.0571098122667321,-19.03466125,1.668425
1,3.75,328.6611136975,-2.286816298725,-17.78775,-17.914842,-46.162882495,1.084805211975,-7.801690976875,162.14,224.2675,-90.72,97.14112378,-0.01905,-0.44705,55.48025,-0.563858259025,-2.1748649426,-1.7569427918,-2.46405,-0.23977291677347,-0.4880756678,-20.388,-2.23565,-1.1,-0.7357,1.265,0.6,-2.2,-1.307925,-0.6043,1.2967,0.5141,-21.71475,-20.625203846,0.0426247538,0.190464279710393,0,0.156478546019369,0.5822887202,0.0409152079272404,-19.1425455,1.69415
1,4.25,327.08397154,-0.98920131565,-17.34725,-18.32858675,-51.118080172,1.03680001075,-14.73271807325,164.7975,223.605,-89.6625,97.111044328,-0.0221,-0.446,57.121,-0.5219302161,-1.9305966468,-0.92443010725,-2.611075,-0.346050353241301,-0.49275785475,-20.71925,-2.352275,-1.1,-0.743575,1.27095,0.6,-2.2,-1.293025,-0.68385,1.3,0.44915,-21.759,-20.22998387,0.0388975826,0.191972052225533,0,0.135194710899452,0.7353890146,0.0423276246628908,-19.1279615,1.70175
1,4.75,327.145160775,-1.8293236307,-16.95675,-18.5348555,-46.510123091,1.0384849569,-11.1075118075,164.85,224.0075,-90.0605879795901,97.0660262145,-0.0162,-0.45205,59.294,-0.664136682125,-2.3241515714,-1.9478903458,-2.48085,-0.317307231767306,-0.5033606747,-20.78075,-2.50005,-1.1,-0.752975,1.26535,0.6,-2.2,-1.28865,-0.7,1.3,0.479975,-21.881,-20.060754294,0.046400737475,0.19087975874289,0,0.174450712222189,0.69982636035,0.0458169442882262,-19.2747335,1.7197
