DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
1,0.25,-0.0522,10.7467,1.5402,0.16905,2.61989,0.344941,-2.47521,423.14,4.57887,0.9984465,0.821018,0.523128,0.1701025,-0.99328915,-0.7801493,-2.6755,100
1,0.75,-0.0974,11.9982,3.3182,-0.00167,2.64995,0.339794,-2.87389,421.488,4.30897,0.964454,0.807101,0.514566,0.1655055,-1.013604,-0.813331,-2.902,100
1,1.25,-0.067,9.27495,3.08931,-0.160591,2.603485,0.360188,-2.806065,422.459,4.319425,0.9814655,0.841005,0.501732,0.1580125,-0.9748319,-0.7825657,-3.15,100
1,1.75,-0.0951,7.630635,1.629675,-0.4333735,2.54689,0.3395245,-2.699075,423.1625,4.48984,0.939263,0.8377725,0.4775555,0.149108,-1.039778,-0.8155757,-2.987,100
1,2.25,-0.0773,8.33006,2.335145,-0.219228,2.47539,0.326315,-2.63935,422.838,4.37583,0.936016,0.799102,0.461897,0.1403885,-1.088662,-0.8415331,-2.983,100
1,2.75,-0.08775,9.37818,2.65514,-0.661012,2.46912,0.3298425,-2.644825,422.7895,4.18477,0.916412,0.771741,0.500883,0.151015,-1.198059,-0.9276854,-2.767,100
1,3.25,-0.09025,10.59215,2.37455,-0.349963,2.49623,0.333406,-2.74422,422.8285,4.4003,1.03367,0.8168125,0.5004785,0.149195,-1.057754,-0.8171865,-3.19,100
1,3.75,-0.0889,9.53598,2.65151,-0.211578,2.51308,0.32364,-2.60581,423.288,4.131955,0.949082,0.7800235,0.480145,0.139565,-1.155749,-0.9669841,-2.869,100
1,4.25,-0.0774,7.20838,1.38137,-0.104785,2.454445,0.3226995,-2.56895,424.039,4.13588,0.9322925,0.734761,0.485933,0.1346325,-1.071851,-0.8412895,-2.9045,100
1,4.75,-0.0832,9.53733,1.93674,0.0795,2.663365,0.320168,-2.88516,423.721,4.19699,0.994877,0.72642,0.468711,0.145965,-0.9970279,-0.7694364,-3.265,100
1,5.25,-0.0842,8.04774,1.42898,-0.2783955,2.51216,0.304975,-2.49499,424.887,4.10552,0.886807,0.7872025,0.459371,0.1652975,-0.9793032,-0.7772074,-3.112,100
1,5.75,-0.0689,10.371,2.45971,0.0646,2.44833,0.3345105,-2.536845,425.2055,4.06283,0.9463455,0.7771465,0.4493085,0.152842,-0.9058037,-0.7163591,-2.812,100
1,6.25,-0.10629,10.1312,3.00473,-0.236855,2.27207,0.337328,-2.497965,427.885,4.074195,0.899379,0.786608,0.436084,0.157429,-0.8911358,-0.6839718,-2.834,100
1,6.75,-0.0889,12.1379,2.296105,0.095491,2.36122,0.358987,-3.081525,428.126,4.00917,0.924349,0.832128,0.455294,0.153791,-0.863585,-0.6969717,-3.186,100
1,7.25,-0.0841,12.4434,3.080105,0.241709,2.45585,0.336373,-3.231865,425.008,4.1159,0.885958,0.821539,0.491258,0.143308,-0.8701323,-0.6652662,-3.492,100
1,7.75,-0.09045,10.705,2.92094,0.0992,2.35475,0.3485075,-2.96559,427.259,4.56088,0.9222295,0.8171495,0.50323,0.169975,-0.5005654,-0.401281,-3.1035,100
1,8.25,-0.07095,15.286,3.33326,0.279439,2.66706,0.3671715,-2.84985,428.2095,4.20653,0.9889275,0.860499,0.5089235,0.1848605,5.234018,4.447972,-3.386,100
1,8.75,-0.114606,18.46675,3.34621,0.284655,2.74134,0.400779,-2.736475,428.2215,4.560685,1.130735,0.9312165,0.558359,0.205651,25.39083,21.28306,-2.896,100
1,9.25,-0.0986,20.942,3.30587,0.3757075,2.85782,0.426426,-2.91879,428.608,4.3644,1.18071,0.961644,0.625604,0.216122,50.5262,42.35464,-2.919,100
1,9.75,-0.141993,24.6197,3.95761,0.260557,2.99576,0.475621,-2.66623,426.425,4.24659,1.23135,0.9567,0.643258,0.218645,81.75615,68.60847,-2.705,99.19815
1,10.25,-0.115983,26.88905,5.06277,-0.285517,3.114045,0.4767705,-2.48461,424.182,4.30773,1.28945,1.01968,0.7229575,0.248107,119.64705,100.33252,-2.4845,97.8249
1,10.75,-0.103235,27.43985,5.0847,0.833952,3.08575,0.498041,-2.402855,423.593,4.27553,1.34233,1.09778,0.690546,0.2607365,136.1769,114.1582,-2.4275,99.7109
1,11.25,-0.1035245,30.95205,5.48192,0.902281,3.14403,0.5103825,-1.98635,422.239,4.29955,1.30325,1.076595,0.6948275,0.287588,162.06535,135.86095,-2.289,98.003
1,11.75,-0.0947,35.05685,6.80712,0.257619,3.41029,0.5293815,-2.04644,421.759,4.25202,1.34833,1.132665,0.689235,0.283087,176.31435,147.8375,-2.126,96.69985
