DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,TA,PA,RH,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
1,0.25,-0.02355,-5.92799,3.82973,0.861661,-0.220076,-0.00966,0.0157,1.46117,0.159497,-1.655475,-2.093545,98.26475,75.02025,394.703,4.37822,0.570359,0.5018835,0.238727,0.205025,-2.093545,75.02025,-3.90579,-1.440205,0.7566295,298.713,300.7455,0.02275,0.05935,-8.031005,-10.3686,-3.9915
1,0.75,-0.01975,-4.950295,2.13971,1.011626,-0.1730785,0.0175,0.00268,1.30509,0.145928,-1.76161,-2.149675,98.2545,75.27235,394.9495,4.42168,0.580986,0.5247785,0.2195845,0.2088845,-2.149675,75.27235,-3.63237,-1.36687,0.765103,298.103,299.44,0.0212,0.0476,-8.181265,-10.3539,-4.03
1,1.25,-0.02305,-4.32022,3.46751,1.129075,-0.14263,-0.011165,0.0134,1.24786,0.1595855,-2.149305,-2.59185,98.21755,75.7742,396.0375,4.36107,0.608356,0.552795,0.203297,0.1997905,-2.59185,75.7742,-2.97316,-1.29286,0.7105525,296.991,298.2745,0.0248,0.02928,-8.226415,-10.34435,-4.139
1,1.75,-0.0352,-3.650445,3.51657,0.914042,-0.0857,-0.04985,-0.00659,1.28751,0.1741895,-2.22058,-2.58869,98.2172,76.14885,394.484,4.36922,0.6912435,0.587289,0.228374,0.194212,-2.58869,76.14885,-2.90808,-1.377955,0.718128,295.679,297.642,0.0205,0.03026,-8.46679,-10.3186,-4.602
1,2.25,-0.0221,-3.86195,4.238515,0.9165155,-0.20626,-0.0853,-0.008405,1.08196,0.167127,-2.23713,-2.75362,98.2555,77.1504,393.9675,4.323045,0.579179,0.596135,0.201869,0.182365,-2.714725,77.5649,-2.833335,-1.275215,0.6155265,294.7095,297.3345,0.02665,0.02965,-8.692395,-10.316525,-4.6585
1,2.75,-0.0179,-2.70066,4.31804,0.7727395,-0.162841,-0.001185,-0.01615,1.19542,0.158158,-2.33126,-2.69005,98.2617,76.4149,393.069,4.25462,0.523005,0.594161,0.217247,0.186068,-2.66689,76.4521,-2.448655,-1.02686,0.739842,295.189,297.5545,0.0252,-0.027255,-8.66952,-10.379005,-4.8725
1,3.25,-0.0255,-4.89711,3.2704,0.6930315,-0.129698,-0.0196,0.003,1.02954,0.177654,-2.58208,-2.80052,98.2392,76.5176,393.4505,4.21502,0.618463,0.58729,0.190373,0.166678,-2.707605,76.61265,-2.37125,-1.1003,0.582839,296.878,298.207,0.02335,-0.08055,-8.657025,-10.45745,-4.928
1,3.75,-0.0258,-4.62643,4.63617,1.04279,-0.18196,0.0138,-0.0008795,1.45229,0.173298,-2.73705,-3.12656,98.2672,75.7439,393.5775,4.20299,0.608863,0.598496,0.231618,0.17821,-3.029445,76.014,-2.298225,-1.07692,0.622663,296.0245,297.4325,0.0198,-0.0882175,-8.763825,-10.49115,-5.104
1,4.25,-0.025,-5.30392,4.03828,0.866213,-0.214224,-0.00989,0.001567,1.20898,0.166388,-2.95897,-3.4186,98.2278,77.4955,393.322,4.19275,0.532398,0.608654,0.201626,0.162914,-3.26463,77.7815,-2.34547,-0.9449605,0.7217955,294.1115,295.6745,0.0158,-0.084377,-8.891135,-10.4146,-5.1055
1,4.75,-0.0259,-4.31299,3.47948,0.894895,-0.151562,-0.0508,0.00458,1.34533,0.197917,-3.30711,-3.46867,98.2276,79.4939,393.771,4.17127,0.68891,0.639306,0.246009,0.178559,-3.4104,79.5329,-2.774325,-1.369115,0.6758445,293.2415,294.9605,0.0189,-0.12769,-9.15266,-10.61735,-5.1785
