DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
1,14.75,409.0485,0.562166,-6.8062115,19.123645,3.3642725,3.673855,0.1380442,66.913865,2.598774,93.464505,13.53833,142.0974,1.9,4.391404,0.2854875,0.6477224,0.6868227,0.29745415
1,15.25,407.466,0.600507,-11.79457,20.82323,3.26345,3.181404,0.1528885,66.320825,2.6102,93.480885,-2.3347875,96.0618,2.1533335,4.178421,0.2831425,0.7165486,0.7966267,0.2889008
1,15.75,409.42965,0.598291,-12.96443,9.897779,3.000943,3.334022,0.2148642,68.002695,2.5664275,93.44846,-12.95131,48.35505,2.19,3.834381,0.2549535,0.5892662,0.6912443,0.250168
1,16.25,409.7243,0.632473,-16.616145,6.6197965,2.5805725,2.823973,0.22758525,70.3883,2.115663,93.49842,-17.57048,12.14566,2.04,3.573759,0.2180059,0.59914845,0.6661028,0.2351373
1,16.75,409.66235,0.771469,-17.5009,6.7419035,2.400473,2.7422335,0.2224095,70.20349,1.993222,93.52352,-21.25166,1.0202267,1.936667,4.094516,0.2640339,0.63515495,0.6946244,0.2791558
1,17.25,409.8362,0.621538,-18.66919,5.8084805,2.258867,2.493807,0.2312227,71.92215,2.026873,93.53711,-22.193355,0.1268394,1.825,4.08448,0.2604746,0.6339315,0.68342,0.2966026
1,17.75,408.9924,0.656779,-19.91386,10.8599285,2.283985,2.746435,0.2380352,73.416915,1.7230855,93.51279,-25.22804,0.09950925,1.7983335,4.463759,0.2523289,0.6769119,0.7042426,0.2805288
1,18.25,408.6927,0.71150725,-19.88851,9.6959615,1.895405,2.304219,0.2285771,72.309365,1.9586635,93.50951,-23.01898,0.1065876,1.7883335,4.479728,0.2615791,0.6648918,0.6957368,0.3075039
1,18.75,408.42565,0.7662355,-21.780505,8.423031,2.205384,2.49759,0.2085722,72.77078,1.970482,93.518235,-21.99307,0.099067625,1.7766665,4.440804,0.2603623,0.6077981,0.7104943,0.2803743
1,19.25,409.7665,1.06083,-26.97122,6.186483,1.98574,2.221173,0.2517473,72.74327,2.080246,93.522975,-24.56294,0.099069705,1.6266665,4.797366,0.2617215,0.6419294,0.6785349,0.2962366
1,19.75,406.3925,1.0499935,-29.156715,9.823169,1.76733,2.113203,0.2395074,73.09657,1.9783255,93.48514,-25.68166,0.09645391,1.5583335,4.600207,0.2643513,0.7021546,0.7028244,0.2924315
1,20.25,407.02745,1.0189235,-24.69814,5.5974925,1.9609785,2.4122915,0.25044885,74.058995,1.8430505,93.47992,-21.07702,0.09527808,1.6,4.2641625,0.2398435,0.6524656,0.7105334,0.28182855
