DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,5.75,414.010405,0.381565,1.4942,-1.8765,-2.06875,0.114545,-1.9638,-1.9097,0.28455,-0.0254205,0.17686,1.7852,0.45710965,-8.59175,-5.677,-0.31769,-2.5744,0.20476,0.088395,-0.08908,-0.001555,-22.76865,-20.815,-18.9685,87,83.441,2.75535,98.1,0.899685,1.65015,1.59535,1.81255,0.14268,0.862105,1.1028,1.3743,0.20476
1,6.25,414.00641,0.39515,1.4918,-1.87775,-2.0733,0.221895,-2.142,-1.8861,0.27739,0.02306,0.177125,1.7936,0.5643308,-6.94995,-6.39715,-0.17256,-1.1587,0.148655,0.079635,-0.07584,0.01261,-23.0005,-20.865,-19.2815,86.8,83.28,2.7674,98.1,0.899945,1.64905,1.5945,1.8118,0.13555,0.86364,1.10265,1.37325,0.148655
1,6.75,414.002415,0.39272,1.4932,-1.87585,-2.07655,0.29089,-2.41445,-1.8654,0.29545,0.12259,0.17739,1.63055,0.67155195,-4.905,-5.24665,-0.3271,-1.1926,0.153225,0.080865,-0.09666,0.343745,-23.06905,-20.94,-19.4525,86.6,83.4115,2.80735,98.2,0.900945,1.647,1.59375,1.8112,0.13001,0.86266,1.1035,1.37525,0.153225
1,7.25,413.99842,0.396955,1.52745,-1.8637,-2.08155,0.35983,-2.0995,-1.8674,0.29022,0.0533535,0.177655,1.627,0.7787731,-6.7265,-4.94095,-0.22689,-1.88,0.406605,0.400505,-0.01524,2.17675,-23.4386,-21.025,-19.7305,86.5,83.287,2.74485,98.1,0.900995,1.6452,1.59145,1.81065,0.136525,0.861345,1.10425,1.37515,0.406605
1,7.75,413.994425,0.381865,1.52355,-1.8559,-2.08985,0.28194,-1.47355,-1.8791,0.2796,0.0866455,0.17792,1.415,0.88599425,-5.96715,-5.67545,0.0075441,0.029458,6.01475,6.48945,1.8901,6.02295,-23.52575,-21.22,-19.699,86.5,83.1965,2.6931,98.2,0.901545,1.643,1.5911,1.8095,0.14235,0.863305,1.1038,1.3746,6.01475
1,8.25,413.99043,0.36259,1.4987,-1.85675,-2.0956,0.30573,2.62695,-1.8702,0.2921,0.11332,0.178185,1.8428,0.9932154,-3.7663,-4.4247,0.5399,4.3215,34.669,42.021,12.3665,14.7008,-22.827,-20.905,-19.152,86.2,82.822,2.4752,98.2,0.899675,1.64125,1.59005,1.80825,0.133015,0.86223,1.10125,1.37495,34.669
1,8.75,413.986435,0.243625,1.40525,-1.8566,-2.1016,0.479345,12.2775,-1.8736,0.349375,0.19116,0.17845,3.1759,1.10043655,0.8118635,2.441,1.2027,9.1239,93.032,105.81,31.901,28.593,-21.8854,-20.34,-18.9015,85.65,82.328,2.50605,98.2,0.897855,1.64,1.59045,1.8062,0.128335,0.86523,1.1029,1.37325,93.032
1,9.25,413.98244,-0.08469,1.2208,-1.8728,-2.1043,0.414795,23.721,-1.8786,0.38748,0.0959169,0.178715,7.34925,1.2076577,12.00055,14.5944,1.7689,9.2409,159.55,168.83,54.676,46.576,-21.643,-19.99,-18.275,85.4,82.006,2.7842,98.2,0.89841,1.63985,1.6082,1.8057,0.14888,0.8678,1.1033,1.37315,159.55
1,9.75,413.978445,-0.27823,1.0507,-1.8823,-2.10505,0.376275,33.4415,-1.8463,0.43767,0.1252095,0.17898,9.03385,1.31487885,27.4962,28.6319,1.8476,10.2282,217.075,233.92,77.5,39.1715,-21.594,-19.345,-17.5595,85.6,82.2665,3.0372,98.2,0.89952,1.64125,1.6087,1.8077,0.14841,0.86649,1.1033,1.3728,217.075
1,10.25,413.97445,-0.36299,0.933195,-1.8849,-2.10445,0.34988,47.6285,-1.8127,0.43473,0.3275,0.179245,16.3543,1.4221,40.83795,42.89615,1.8754,10.88095,281.33,301.85,97.061,42.537,-20.3196,-18.93,-16.7685,84.85,82.089,2.9128,98.2,0.900035,1.6432,1.6096,1.807,0.14754,0.86564,1.1035,1.37515,281.33
