DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,0.38207,403.670662,1.2784665,-2.421,6.858003,0.04533675,-24.432,10.18725,0.2774225,0.86321,0.081749,0.088641,0.277503,0.273907,4.332425,0.2658525,79.59075,99.7,7.22415,7.82585,8.63865,9.6391,10.5515,-16.83375,-55.761,0,0,0,0,0,267.855,328.8325,0
1,0.75,0.26988,403.6196575,1.228629,-2.2664,6.72144925,0.04633425,-24.09225,10.056,0.275534,0.8822025,0.08711525,0.0944455,0.2808405,0.282156,4.11975,0.2732125,78.845,99.7,7.156275,7.7388,8.608175,9.607,10.54075,-17.0245,-55.2955,0,0,0,0,0,267.64,328.93,0
1,1.25,0.418855,403.91361975,1.169997,-2.569,6.91807675,0.045123,-24.7355,9.8343,0.253634,0.854245,0.085204,0.09574975,0.27827475,0.2760575,4.1136,0.243625,79.04625,99.7,7.051425,7.631225,8.5263,9.58855,10.53975,-16.977,-55.3885,0,0,0,0,0,267.12,328.37,0
1,1.75,0.2978475,403.015704,1.222264,-2.5916,6.97121525,0.042109,-23.969,9.93955,0.27681025,0.8475,0.087445,0.097514,0.273987,0.276552,3.99075,0.251045,78.87,99.7,6.965775,7.5531,8.46865,9.583225,10.5395,-16.89775,-55.757,0,0,0,0,0,266.855,327.26,0
1,2.25,0.4536,402.87376475,1.119114,-2.097525,6.77638175,0.041082,-24.09,9.8744,0.27103,0.8557325,0.0873155,0.09694,0.28161575,0.28213475,3.857,0.28276,78.707,99.713,6.878875,7.4637,8.401425,9.570825,10.55025,-17.09125,-55.874,0,0,0,0,0,265.55,327.8025,0
1,2.75,0.26441,402.8245505,1.256568,-1.9093,6.5320595,0.044202,-24.2245,9.733725,0.27236925,0.83373,0.0858665,0.0985005,0.2871935,0.2763945,3.63175,0.28779,78.49,99.721,6.8191,7.404,8.3586,9.5207,10.527,-17.28085,-55.61475,0,0,0,0,0,265.18,327.705,0
1,3.25,0.30244,402.802752,1.1866325,-1.9761,6.4342195,0.0496395,-24.24225,9.72875,0.27281475,0.866865,0.08465375,0.0968645,0.27656225,0.28084725,3.508,0.32625,77.35,99.71425,6.762875,7.349725,8.277425,9.4838,10.5075,-17.1855,-55.5085,0,0,0,0,0,266.6675,326.7175,0
1,3.75,0.41646,403.05631925,1.1078485,-1.7443,6.50278525,0.046169,-24.0475,9.5415,0.27833775,0.83553,0.085484,0.096681,0.280302,0.270207,3.437,0.281935,77.425,99.7,6.6811,7.2807,8.2076,9.4433,10.505,-17.34775,-55.80175,0,0,0,0,0,266.225,325.925,0
1,4.25,0.259095,402.9410205,1.156384,-1.4185,6.40598275,0.045294,-24.997,9.717275,0.28024225,0.85202,0.087744,0.09934925,0.2809745,0.269515,3.418125,0.30479,75.7,99.7,6.5817,7.2373,8.1495,9.4184,10.515,-17.43625,-56.685,0,0,0,0,0,266.675,325.83,0
1,4.75,0.26073,403.2792085,1.1625595,-1.324475,6.36589375,0.04315525,-23.34275,9.6808,0.282688,0.859865,0.08393425,0.093798,0.2782225,0.2676405,3.216975,0.2782425,75.9225,99.7,6.4928,7.1697,8.14,9.3764,10.523,-17.5608,-54.9805,0,0,0,0,0,267.275,324.8,0
