DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
1,9.75,415.19375,2.5546825,-0.8453868,-0.1552945,-3.37004725,0.3929295,-0.1521,-0.0417144,98.3512,71.767,-7.17074999999997,-7.46599999999995,0.544128,243.3325,289.63,12.7475,145.985,79.9935,24.5545,-0.0673443,0.273157,0.126452,0.0381694,0.186733,1.47716
1,10.25,414.36425,2.4624025,-0.9800311,-0.1683495,-6.46832325,0.393538,6.8466505,-0.31501,98.3686,71.132,-6.60874999999998,-7.26499999999999,0.693801,250.5,292.11,21.61625,170.73,116.0475,32.03325,-0.054329,0.270129,0.137594,0.0400774,0.254196,1.1395
1,10.75,413.189,2.82202,-0.8839141075,-0.12748825,-1.357209,0.419735,2.597838,-0.405779,98.35245,67.8345,-5.49649999999999,-6.87949999999998,0.538851,256.49,299.75,22.896,210.085,101.45,35.442,-0.079498625,0.286629,0.13759725,0.04050405,0.22531025,1.1457
1,11.25,412.2445,2.55332,-1.5887551,-0.11880975,2.7644045,0.244164,6.634256,-0.205061,98.472375,65.759,-5.76349999999997,-7.06099999999998,0.816969,248.93,299.0175,26.399,244.08,143.165,51.69075,-0.08265305,0.35457225,0.14009325,0.043670775,0.308663,1.3828225
1,11.75,411.59425,2.57649,-1.5597627,-0.090010575,1.687852475,0.22508225,7.133969175,-0.04110015,98.3792,64.6265,-5.40725000000001,-6.81099999999998,0.899071,250.9225,300.87,28.89625,252.985,122.64,56.50125,-0.10228475,0.26943775,0.15041475,0.0460288,0.371497,1.5670375
1,12.25,410.9945,2.627915,-1.44017785,-0.0856707,-3.71297475,-0.06049895,6.980060025,-0.0030942675,98.35195,62.39,-5.09999999999998,-6.52599999999998,0.986573,253.0925,301.355,29.0265,215.9325,111.0175,54.38475,-0.096931575,0.39134,0.1502975,0.045591375,0.28073975,1.5694175
1,12.75,411.63425,2.76729,-1.7642897,-0.043857225,-1.0731695,0.0138058325,7.678815,0.105766475,98.341975,59.841,-4.96099999999999,-5.55599999999998,0.965865,258.5775,302.525,32.08025,209.77,109.2525,50.89875,-0.1053189,0.36413,0.14511675,0.04563895,0.3507625,1.4778075
1,13.25,411.499,3.1825775,-1.622156585,-0.0362097,0.0370994,0.1382372,8.5393591,-0.040023125,98.341,58.43925,-4.45499999999998,-5.35874999999999,0.944483,259.26,302.8975,26.22675,204.95,96.9665,23.6685,-0.103912,0.38911,0.172492,0.0449556,0.366015,1.53677
1,13.75,411.224,3.1806625,-2.05870831,-0.0236429,-3.239074,-0.00573348,8.4320279,-0.204971,98.3368,59.97,-4.23899999999998,-5.14899999999999,0.95552525,262.015,301.115,14.701,173.94,80.315,12.823,-0.102739,0.413946,0.181954,0.052964,0.349631,1.59208
1,14.25,410.9235,3.3574,-1.0940279,-0.0452863,-7.205607,-0.0963442,8.91717168,0.064508,98.37865,59.692,-4.11649999999997,-5.02799999999996,0.942889,263.1675,299,8.96375,136.4975,66.26475,11.169075,-0.118604,0.35609625,0.16072525,0.049147975,0.4244235,1.344255
1,14.75,410.765,3.34883,-0.97482708,-0.027076325,-5.5348635,-0.224389,8.4537444,0.0229953,98.39315,60.147,-4.02749999999997,-5.05799999999999,0.852511,263.71,297.815,4.99085,109.545,52.40525,8.7087,-0.11168425,0.3974885,0.138245,0.0501143,0.3755345,1.47944
1,15.25,409.871,3.1160225,-0.6788136,-0.0296891,-8.112618,-0.245977,6.4838544,-0.10617,98.4066,61.329,-4.70699999999999,-5.26224999999997,0.92971325,262.5775,297.435,-0.4861475,76.754,32.935,6.423975,-0.107119,0.371112,0.151895,0.0565666,0.308973,1.51244
1,15.75,410.834,2.78376,-0.4742622675,-0.025087475,-16.0700325,-0.3121845,6.306638725,-0.05894275,98.4186,60.743,-4.18099999999998,-5.32249999999996,0.783822,262.1325,296.0475,-9.01955,47.199,18.944,4.129925,-0.113875,0.36254,0.141489,0.0499679,0.318634,1.66919
1,16.25,410.279,2.810355,-0.309825885,-0.0233916,-21.8522075,-0.72946325,4.3045145,-0.0828038,98.3711,59.823,-4.358,-5.27749999999997,0.7453585,259.86,294.8525,-49.866,18.427,8.64095,1.74925,-0.0838362,0.306852,0.166239,0.0436172,0.286223,1.49874
1,16.75,410.99,2.823905,-0.08812236,-0.0115056,-17.2177425,-0.965801,3.7394615,-0.15074975,98.5203,65.28,-4.23999999999995,-5.32399999999998,0.70843,257.3075,294.26,-48.92575,3.0036,-1.03113,-0.380195,-0.0711713,0.249834,0.134824,0.031915,0.193546,1.3557
1,17.25,412.338,2.83163,0.0329055,-0.0148233,-16.43869,-0.98216,0.70225875,-0.3782865,98.5639,68.2745,-4.32299999999998,-5.41999999999998,0.6768545,258.555,294.14,-45.22875,0.062759,-3.2584,-0.601855,-0.0706789,0.138982,0.11501,0.0267338,0.139462,1.0038
1,17.75,411.92075,2.859945,0.1510953,-0.0181917,-17.0741475,-0.71424125,1.25986855,-0.2261595,98.597425,69.92825,-4.21974999999996,-5.20824999999996,0.7884155,256.005,293.925,-44.9745,0.00238045,-3.667475,-0.90009,-0.053055875,0.16353625,0.103076,0.026066625,0.1205435,0.88713075
1,18.25,412.66875,2.88219,0.0897230075,-0.0293137,-14.480347,-0.87412125,-0.100486,-0.15707975,98.63245,70.35975,-4.27374999999998,-5.55249999999998,0.644867,254.745,290.805,-44.7585,0.00123335,-2.9504,-0.590065,-0.055569725,0.14632775,0.09120945,0.017657875,0.120699125,0.83115575
1,18.75,411.932,2.7775125,0.1057181,-0.0508705,-13.693005,-0.914958,-0.48603525,-0.2892715,98.6679,69.624,-4.583,-5.82499999999999,0.625197,250.575,289.055,-51.4615,0.0028584,-3.39465,-0.628895,-0.05826415,0.152961,0.0863867,0.0137516,0.0982878,0.8297865
