DOY2,HR2,TS_1_1_1
1,0.25,-2.4825
1,0.75,-2.5185
1,1.25,-2.5505
1,1.75,-2.5825
1,2.25,-2.5845
1,2.75,-2.581
1,3.25,-2.564
1,3.75,-2.5465
1,4.25,-2.5545
1,4.75,-2.563
1,5.25,-2.57
1,5.75,-2.577
1,6.25,-2.5825
1,6.75,-2.5875
1,7.25,-2.5895
1,7.75,-2.587
1,8.25,-2.591
1,8.75,-2.589
1,9.25,-2.587
1,9.75,-2.58
1,10.25,-2.575
1,10.75,-2.5665
1,11.25,-2.557
1,11.75,-2.5415
1,12.25,-2.497
1,12.75,-2.476
1,13.25,-2.454
1,13.75,-2.422
1,14.25,-2.387
1,14.75,-2.369
1,15.25,-2.353
1,15.75,-2.3405
1,16.25,-2.326
1,16.75,-2.312
1,17.25,-2.3035
1,17.75,-2.2945
1,18.25,-2.296
1,18.75,-2.314
1,19.25,-2.3235
1,19.75,-2.331
1,20.25,-2.354
1,20.75,-2.3565
1,21.25,-2.364
1,21.75,-2.3785
1,22.25,-2.394
1,22.75,-2.4075
1,23.25,-2.4225
1,23.75,-2.4465
2,0.25,-2.785
2,0.75,-2.8195
2,1.25,-2.8555
2,1.75,-2.892
2,2.25,-2.9275
2,2.75,-2.9655
2,3.25,-2.979
2,3.75,-2.985
2,4.25,-2.992
2,4.75,-2.9995
2,5.25,-3.009
2,5.75,-3.0165
2,6.25,-3.0245
2,6.75,-3.0305
2,7.25,-3.037
2,7.75,-3.04
2,8.25,-3.0425
2,8.75,-3.044
2,9.25,-3.04
2,9.75,-3.033
2,10.25,-3.0185
2,10.75,-3
2,11.25,-2.9855
2,11.75,-2.971
2,12.25,-2.947
2,12.75,-2.9025
2,13.25,-2.856
2,13.75,-2.813
2,14.25,-2.7645
2,14.75,-2.705
2,15.25,-2.6665
2,15.75,-2.635
2,16.25,-2.609
2,16.75,-2.5855
2,17.25,-2.566
2,17.75,-2.551
2,18.25,-2.5385
2,18.75,-2.532
2,19.25,-2.527
2,19.75,-2.5275
2,20.25,-2.531
2,20.75,-2.5595
2,21.25,-2.5885
2,21.75,-2.6215
2,22.25,-2.653
2,22.75,-2.6855
2,23.25,-2.7195
2,23.75,-2.752
3,0.25,-0.527
3,0.75,-0.5225
3,1.25,-0.518
3,1.75,-0.515
3,2.25,-0.5125
3,2.75,-0.5095
3,3.25,-0.5065
3,3.75,-0.5025
3,4.25,-0.5005
3,4.75,-0.4975
3,5.25,-0.4995
3,5.75,-0.507
3,6.25,-0.5205
3,6.75,-0.5395
3,7.25,-0.5635
3,7.75,-0.587
3,8.25,-0.606
3,8.75,-0.6165
3,9.25,-0.6215
3,9.75,-0.618
3,10.25,-0.608
3,10.75,-0.5935
3,11.25,-0.574
3,11.75,-0.5525
3,12.25,-0.535
3,12.75,-0.521
3,13.25,-0.5075
3,13.75,-0.496
3,14.25,-0.484
3,14.75,-0.471
3,15.25,-0.4625
3,15.75,-0.4555
3,16.25,-0.45
3,16.75,-0.445
3,17.25,-0.4405
3,17.75,-0.4405
3,18.25,-0.4395
3,18.75,-0.437
3,19.25,-0.435
3,19.75,-0.4325
3,20.25,-0.4305
3,20.75,-0.429
3,21.25,-0.4315
3,21.75,-0.433
3,22.25,-0.433
3,22.75,-0.4315
3,23.25,-0.4305
3,23.75,-0.446
4,0.25,3.5265
4,0.75,3.39875
4,1.25,3.19
4,1.75,3.2125
4,2.25,3.17975
4,2.75,3.168
4,3.25,3.08225
4,3.75,3.09725
4,4.25,3.0625
4,4.75,3.07375
4,5.25,2.98125
4,5.75,3.04
4,6.25,2.93875
4,6.75,2.90075
4,7.25,2.8645
4,7.75,2.85575
4,8.25,2.9015
4,8.75,2.96675
4,9.25,3.09275
4,9.75,3.05125
4,10.25,3.0815
4,10.75,3.20675
4,11.25,3.428
4,11.75,3.61875
4,12.25,3.8625
4,12.75,3.8145
4,13.25,4.01375
4,13.75,4.292
4,14.25,4.258
4,14.75,4.347
4,15.25,4.41625
4,15.75,4.37725
4,16.25,4.4675
4,16.75,4.5025
4,17.25,4.39475
4,17.75,4.34225
4,18.25,4.19525
4,18.75,4.1265
4,19.25,4.0475
4,19.75,4.03125
4,20.25,3.88225
4,20.75,3.8905
4,21.25,3.83925
4,21.75,3.8185
4,22.25,3.7435
4,22.75,3.70425
4,23.25,3.59475
4,23.75,3.432
5,0.25,7.58
5,0.75,7.32
5,1.25,6.898
5,1.75,6.94
5,2.25,6.872
5,2.75,6.8455
5,3.25,6.671
5,3.75,6.697
5,4.25,6.6255
5,4.75,6.645
5,5.25,6.462
5,5.75,6.587
5,6.25,6.398
5,6.75,6.341
5,7.25,6.2925
5,7.75,6.2985
5,8.25,6.409
5,8.75,6.55
5,9.25,6.807
5,9.75,6.7205
5,10.25,6.771
5,10.75,7.007
5,11.25,7.43
5,11.75,7.79
5,12.25,8.26
5,12.75,8.15
5,13.25,8.535
5,13.75,9.08
5,14.25,9
5,14.75,9.165
5,15.25,9.295
5,15.75,9.21
5,16.25,9.385
5,16.75,9.45
5,17.25,9.23
5,17.75,9.125
5,18.25,8.83
5,18.75,8.69
5,19.25,8.53
5,19.75,8.495
5,20.25,8.195
5,20.75,8.21
5,21.25,8.11
5,21.75,8.07
5,22.25,7.92
5,22.75,7.84
5,23.25,7.62
5,23.75,7.31
6,0.25,13.065
6,0.75,12.985
6,1.25,12.91
6,1.75,12.805
6,2.25,12.73
6,2.75,12.62
6,3.25,12.58
6,3.75,12.47
6,4.25,12.4
6,4.75,12.33
6,5.25,12.24
6,5.75,12.23
6,6.25,12.16
6,6.75,12.14
6,7.25,12.05
6,7.75,12.04
6,8.25,11.985
6,8.75,12.705
6,9.25,12.4
6,9.75,12.84
6,10.25,12.77
6,10.75,12.59
6,11.25,12.815
6,11.75,12.99
6,12.25,12.905
6,12.75,13.175
6,13.25,13.34
6,13.75,13.45
6,14.25,13.695
6,14.75,13.595
6,15.25,13.91
6,15.75,14.11
6,16.25,14.07
6,16.75,14.61
6,17.25,14.16
6,17.75,14.145
6,18.25,14.59
6,18.75,14.1
6,19.25,14.09
6,19.75,14.145
6,20.25,14.04
6,20.75,13.9
6,21.25,13.82
6,21.75,13.4
6,22.25,13.39
6,22.75,13.255
6,23.25,13.22
6,23.75,12.6895
7,0.25,17.795
7,0.75,17.755
7,1.25,17.67
7,1.75,17.68
7,2.25,17.65
7,2.75,17.69
7,3.25,17.675
7,3.75,17.63
7,4.25,17.49
7,4.75,17.55
7,5.25,17.385
7,5.75,17.45
7,6.25,17.395
7,6.75,17.34
7,7.25,17.3
7,7.75,17.12
7,8.25,16.93
7,8.75,16.885
7,9.25,16.94
7,9.75,17.07
7,10.25,17.095
7,10.75,17.23
7,11.25,17.3
7,11.75,17.43
7,12.25,17.585
7,12.75,17.655
7,13.25,17.7
7,13.75,17.88
7,14.25,18.04
7,14.75,18.17
7,15.25,18.28
7,15.75,18.45
7,16.25,18.52
7,16.75,18.55
7,17.25,18.64
7,17.75,18.63
7,18.25,18.545
7,18.75,18.71
7,19.25,18.51
7,19.75,18.52
7,20.25,18.53
7,20.75,18.5
7,21.25,18.56
7,21.75,18.49
7,22.25,18.3
7,22.75,18.12
7,23.25,18.04
7,23.75,17.865
8,0.25,17.86
8,0.75,17.72
8,1.25,17.66
8,1.75,17.57
8,2.25,17.47
8,2.75,17.34
8,3.25,17.335
8,3.75,17.32
8,4.25,17.23
8,4.75,17.14
8,5.25,17.065
8,5.75,17.04
8,6.25,16.99
8,6.75,16.955
8,7.25,16.96
8,7.75,16.89
8,8.25,16.86
8,8.75,16.86
8,9.25,16.87
8,9.75,16.9
8,10.25,16.95
8,10.75,17.08
8,11.25,17.07
8,11.75,17.145
8,12.25,17.27
8,12.75,17.37
8,13.25,17.46
8,13.75,17.57
8,14.25,17.64
8,14.75,17.72
8,15.25,17.82
8,15.75,17.895
8,16.25,17.93
8,16.75,18.005
8,17.25,18.04
8,17.75,18.07
8,18.25,18.05
8,18.75,18.05
8,19.25,18.05
8,19.75,18.075
8,20.25,18.04
8,20.75,18.05
8,21.25,17.95
8,21.75,17.87
8,22.25,17.885
8,22.75,17.845
8,23.25,17.795
8,23.75,17.399
9,0.25,16.375
9,0.75,16.34
9,1.25,16.3105
9,1.75,16.2055
9,2.25,16.145
9,2.75,16.1255
9,3.25,15.89
9,3.75,15.94
9,4.25,15.89
9,4.75,15.89
9,5.25,15.765
9,5.75,15.65
9,6.25,15.63
9,6.75,15.67
9,7.25,15.6
9,7.75,15.57
9,8.25,15.585
9,8.75,15.565
9,9.25,15.65
9,9.75,15.72
9,10.25,15.725
9,10.75,15.74
9,11.25,15.82
9,11.75,15.95
9,12.25,16.121
9,12.75,16.2005
9,13.25,16.42
9,13.75,16.51
9,14.25,16.63
9,14.75,16.68
9,15.25,16.715
9,15.75,16.75
9,16.25,16.89
9,16.75,16.835
9,17.25,16.885
9,17.75,16.895
9,18.25,16.92
9,18.75,16.92
9,19.25,16.65
9,19.75,16.65
9,20.25,16.56
9,20.75,16.46
9,21.25,16.495
9,21.75,16.53
9,22.25,16.5
9,22.75,16.255
9,23.25,16.371
9,23.75,15.939
10,0.25,9.1825
10,0.75,9.0695
10,1.25,8.95875
10,1.75,8.91425
10,2.25,9.0785
10,2.75,8.89225
10,3.25,8.83075
10,3.75,8.88275
10,4.25,8.7405
10,4.75,8.8
10,5.25,8.77725
10,5.75,8.716
10,6.25,8.675
10,6.75,8.74625
10,7.25,8.6715
10,7.75,5.7785
10,8.25,8.66175
10,8.75,8.6615
10,9.25,8.628
10,9.75,8.622
10,10.25,8.736
10,10.75,6.485
10,11.25,8.7255
10,11.75,6.5045
10,12.25,6.5585
10,12.75,8.95575
10,13.25,7.13
10,13.75,7.26
10,14.25,7.41
10,14.75,7.73
10,15.25,7.171
10,15.75,7.69
10,16.25,7.73
10,16.75,7.75
10,17.25,7.595
10,17.75,7.27
10,18.25,7.66
10,18.75,7.53
10,19.25,7.25
10,19.75,9.254
10,20.25,9.303
10,20.75,7.1295
10,21.25,6.7855
10,21.75,6.732
10,22.25,6.676
10,22.75,9.067
10,23.25,6.556
10,23.75,8.69225
11,0.25,1.99
11,0.75,1.799
11,1.25,1.607
11,1.75,1.623
11,2.25,2.012
11,2.75,1.659
11,3.25,1.7715
11,3.75,1.8255
