DOY2,HR2,VPD,CO2,H2O,LW_IN,SW_IN,NETRAD_1_1_1,LW_OUT,SW_OUT,USTAR,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_3_1_1,SH,TS_1_1_1,TS_1_2_1,PA,WS
1,0.25,0.21,372.447,2.609,231.15,-0.51,-1.69,240.5,0.205,0.224,-17.65,83.9,0,0,-0.15,-4.13,-3.21,-0.3,-4.11,-4.07,95.1,1.99
1,0.75,0.21,372.352,2.811,229.8,-0.4,-1.895,241.3,0.2,0.255,-17.55,84.1,0,0,0.1,-3.345,-3.24,-0.4,-4.12,-4.06,95.1,1.935
1,1.25,0.21,372.322,2.6295,228.8,-0.42,-1.865,241.15,0.16,0.27,-17.5,84.15,0,0,-0.2,-5.04,-3.21,-0.8,-4.12,-4.045,95.1,2.045
1,1.75,0.21,372.4195,2.5265,230.7,-0.37,-1.765,242.35,0.175,0.3,-17.5,84.4,0,0,0,-5.44,-3.2,-0.7,-4.12,-4.045,95.15,1.985
1,2.25,0.21,372.51,2.536,234.1,-0.34,-1.705,242.65,0.18,0.33,-17.25,84.35,0,0,-0.1,-3.25,-3.2,-0.25,-4.12,-4.045,95.1,2.11
1,2.75,0.21,372.491,2.508,232.6,-0.42,-1.615,242.6,0.135,0.331,-17.3,83.75,0,0,-0.1,-3.91,-3.2,-0.5,-4.13,-4.06,95.1,2.185
1,3.25,0.21,372.118,2.829,234.25,-0.37,-1.61,242.55,0.135,0.33,-17.35,83.6,0,0,-0.2,-3.065,-3.19,-0.4,-4.155,-4.06,95.15,2.195
1,3.75,0.2,372.155,2.88,232.25,-0.385,-1.7,241.15,0.15,0.32,-17.35,84.25,0,0,-0.3,-3.73,-3.18,-0.25,-4.175,-4.06,95.15,2.135
1,4.25,0.2,372.279,2.8825,231.25,-0.47,-2.295,239.9,0.195,0.33,-17.4,84.1,0,0,-0.2,-3.075,-3.18,-0.2,-4.165,-4.055,95.1,2.175
1,4.75,0.2,372.308,2.857,230.55,-0.465,-1.835,240.65,0.15,0.33,-17.8,83.9,0,0,-0.1,-1.47,-3.16,-0.7,-4.17,-4.055,95.1,2.07
1,5.25,0.2,372.97,2.9205,231.05,-0.435,-1.57,239.55,0.135,0.32,-18,84.2,0,0,-0.35,-2.175,-3.18,-0.55,-4.165,-4.055,95.1,2.125
1,5.75,0.2,372.892,2.857,231.05,-0.415,-1.425,240.25,0.16,0.342,-17.95,84,0,0,-0.2,-1.725,-3.17,-0.2,-4.165,-4.06,95.05,2.15
1,6.25,0.2,372.8905,2.8215,233.15,-0.465,-1.34,239.8,0.11,0.37,-18,84,0,0,-0.3,-2.465,-3.17,-0.05,-4.16,-4.065,95.1,2.11
1,6.75,0.2,373.06,3.1505,233,-0.35,-1.71,239.25,0.105,0.389,-18.3,83.45,0,0,0.3,-4.085,-3.17,0.2,-4.18,-4.085,95.05,2.13
1,7.25,0.19,373.0095,3.052,232.45,-0.35,-1.715,239.1,0.13,0.376,-17.85,83.5,0,0,-0.05,-1.23,-3.18,0,-4.17,-4.09,95.1,2.17
1,7.75,0.195,373.131,2.899,231.45,-0.39,-1.735,239.2,0.115,0.45,-18.2,83.45,0,0,0.6,-2.965,-3.18,-0.4,-4.21,-4.12,95.1,2.205
1,8.25,0.2,372.932,3.118,234.9,-0.32,-1.07,239.65,0.085,0.462,-17.95,83.75,0,0,-0.1,-2.62,-3.18,-0.1,-4.215,-4.13,95.1,2.31
1,8.75,0.2,373.307,2.991,235.45,0,-1.42,239.5,0.195,0.462,-17.85,83.85,0,0,1.05,-0.065,-3.21,-0.1,-4.22,-4.135,95.1,2.24
1,9.25,0.2,373.403,2.954,233,3.74,-0.19,240.15,1.56,0.46,-17.75,83.75,5.93,2.19,0.5,-1.11,-3.18,0.2,-4.2,-4.13,95.1,2.235
1,9.75,0.2,373.699,2.991,230.8,24.05,5.42,239.3,7.675,0.4065,-17.8,83.5,33.795,12.3,0.9,1.29,-3.2,0.5,-4.185,-4.13,95.1,2.235
1,10.25,0.205,373.802,2.738,232.85,42.55,13.13,238.8,14.32,0.445,-17.45,83.55,75.215,27.355,2.1,5.975,-3.19,0.6,-4.175,-4.135,95.1,2.245
1,10.75,0.22,374.378,2.193,236.45,68.81,28.75,241.45,22.305,0.493,-16.8,82.85,111.575,42.105,2.6,16.14,-3.22,2,-4.21,-4.15,95.1,2.49
1,11.25,0.23,374.992,2.225,234.85,88.8,42.51,244.25,29.36,0.49,-16.3,82.5,156.73,55.115,3.2,20.115,-3.2,3.3,-4.235,-4.145,95.1,2.51
1,11.75,0.265,375.497,2.295,235.25,106.55,51.43,245.95,37.305,0.5,-15.45,82.1,183.935,73.17,4.9,34.61,-3.18,4.3,-4.245,-4.15,95.1,2.42
1,12.25,0.3,375.421,2.3885,234.95,126,60.69,248.8,41.725,0.5335,-15.05,81.65,207.085,84.09,4.9,42.725,-3.17,3.7,-4.24,-4.145,95.1,2.485
1,12.75,0.32,374.942,2.4925,237.9,141.1,70.79,251.15,43.445,0.546,-14.35,80.45,227.73,91.285,5.9,44.41,-3.16,3.2,-4.235,-4.145,95.1,2.4
1,13.25,0.34,374.758,2.434,238.75,149.3,78.675,254.6,46.345,0.521,-14.4,79.65,236.325,95.62,6.05,53.22,-3.15,3.35,-4.215,-4.15,95.05,2.42
1,13.75,0.36,374.921,2.502,238.05,155.25,75.605,255.3,45.175,0.51,-14,79.25,240.325,91.275,6.5,51.28,-3.13,2.65,-4.215,-4.155,95,2.405
1,14.25,0.375,374.4895,2.562,240.65,141.5,72.05,255.25,41.235,0.53,-13.95,79.35,214.97,84.7,5.8,52.37,-3.08,1.95,-4.21,-4.15,95,2.515
1,14.75,0.38,374.0085,2.521,237.45,127.8005,55.275,253.1,37.25,0.505,-13.75,79.1,197.36,75.31,5.1,34,-3.09,2.2,-4.19,-4.135,95,2.445
1,15.25,0.39,374.404,2.712,238.15,98.2,40.35,252.25,29.8,0.505,-13.65,79.3,161.11,60.42,3.35,28.72,-3.08,1.15,-4.17,-4.12,95,2.43
1,15.75,0.365,374.025,2.6695,238.4,73.05,20.015,251.85,21.34,0.495,-14.15,79.75,114.31,43.065,3.2,18.84,-3.07,0.6,-4.15,-4.105,95,2.37
1,16.25,0.355,373.5785,2.7655,237.15,39.66,10.55,249.7,13.335,0.45,-14.5,80.35,70.665,26.23,1.6,8.955,-3.06,-0.7,-4.14,-4.05,95,2.32
1,16.75,0.32,373.017,2.54,233.65,17.24,2.88,245.55,6.185,0.43,-14.95,81.05,33.74,12.55,0.65,1.385,-3.06,-1.5,-4.12,-4.07,95,2.355
1,17.25,0.29,372.955,2.497,233.2,1.425,-1.01,244.5,1.17,0.39,-15.5,81.35,9.915,2.5,0.2,-1.35,-3.09,-2.4,-4.115,-4.055,95,2.27
1,17.75,0.26,372.525,2.662,230,-0.46,-1.9,242.75,0.365,0.4,-15.95,83.1,0,0,0,-4.43,-3.12,-2.2,-4.11,-4.045,95.05,2.285
1,18.25,0.25,372.606,2.566,230.8,-0.64,-1.98,242.1,0.18,0.356,-16.4,83.15,0,0,-0.2,-4.38,-3.1,-1.8,-4.11,-4.04,95,2.17
1,18.75,0.24,372.445,2.547,233.05,-0.81,-1.82,242.5,0.18,0.36,-16.8,84.15,0,0,-0.2,-4.41,-3.08,-1.25,-4.115,-4.045,95.05,2.19
1,19.25,0.235,372.277,2.5015,232.65,-0.64,-1.895,242.3,0.1,0.35,-16.7,84.1,0,0,-0.2,-5.295,-3.12,-1.5,-4.125,-4.055,95.1,2.295
1,19.75,0.23,372.4,2.47,233.85,-0.49,-1.615,242.1,0.11,0.34,-16.8,84.2,0,0,-0.25,-4.75,-3.14,-1.2,-4.135,-4.06,95.1,2.19
1,20.25,0.22,372.4695,2.456,231.9,-0.45,-1.505,241.9,0.14,0.33,-16.8,84.15,0,0,-0.2,-5.2,-3.12,-1.2,-4.13,-4.07,95.1,2.09
1,20.75,0.22,372.528,2.4785,232.1,-0.575,-1.695,242.95,0.155,0.2845,-17.05,83.8,0,0,-0.05,-4.86,-3.09,-0.95,-4.17,-4.1,95.1,2.07
1,21.25,0.22,372.34,2.4915,233.6,-0.55,-1.525,241.35,0.185,0.29,-16.8,84.55,0,0,-0.2,-3.75,-3.17,-0.55,-4.15,-4.07,95.1,1.98
1,21.75,0.22,372.554,2.483,235.95,-0.57,-1.495,241.65,0.21,0.28,-17.3,84.6,0,0,-0.3,-3.56,-3.18,-0.4,-4.115,-4.075,95.1,1.99
1,22.25,0.22,372.759,2.503,235.7,-0.55,-1.165,242.4,0.155,0.27,-17.35,84.45,0,0,-0.3,-3.97,-3.18,-0.65,-4.125,-4.075,95.1,2.05
1,22.75,0.22,372.544,2.565,234.1,-0.49,-1.345,242.6,0.16,0.255,-16.85,84.65,0,0,-0.2,-3.315,-3.21,-0.8,-4.135,-4.085,95.1,1.955
1,23.25,0.21,372.751,2.567,232.9,-0.545,-1.43,242.5,0.15,0.279,-17.4,84.5,0,0,-0.1,-4.68,-3.21,-0.7,-4.13,-4.09,95.1,1.915
1,23.75,0.21,372.427,2.544,234.45,-0.485,-1.41,242.55,0.155,0.27,-17.5,84.45,0,0,-0.3,-3.745,-3.2,-0.3,-4.125,-4.09,95.1,1.965
2,0.25,0.25,372.633,2.998,227,-0.49,-29.46,249.45,0.29,0.3,-14.45,84.5,0,0,-0.2,-7.505,-2.08,-1.25,-4.115,-4.09,94.95,2
2,0.75,0.25,372.2165,3.248,225.75,-0.475,-28.875,249.65,0.29,0.27,-14.95,84.8,0,0,-0.5,-7.73,-2.08,-0.8,-4.12,-4.085,94.9,1.995
2,1.25,0.245,372.357,3.298,223.95,-0.41,-28.675,248.1,0.285,0.27,-14.85,84.85,0,0,-0.1,-6.73,-2.08,-1.2,-4.125,-4.095,94.9,1.91
2,1.75,0.245,372.4005,3.445,227.5,-0.42,-24.215,248.15,0.24,0.3,-14.95,85.2,0,0,-0.5,-7.65,-2.1,-1,-4.125,-4.105,94.9,2.075
2,2.25,0.24,372.6,3.491,229.05,-0.375,-20.115,248.65,0.225,0.2745,-15,85.35,0,0,-0.5,-7.03,-2.2,-0.6,-4.13,-4.1,94.9,2.02
