DOY2,HR2,CO2,FC,H2O,G_2_1_1,H,LE,PA,RH,TA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,NETRAD,PPFD_IN,PPFD_OUT,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,369.083,-1.2682038,4.009986,-7.9317,-111.15845,-17.668035,99.14165175,28.18625,3.0925,6.660775,5.6866,7.2353,8.33975,8.47225,9.547,5.744375,6.99375,7.753175,8.42475,9.4595,6.438225,7.93985,8.3395,8.75425,9.5185,6.454025,7.327625,8.02885,8.5095,9.22975,-112.445,0,0,0.0486075,0.305171929163043,0.28841885223003,0.0734620281749932,0.262315675
1,0.75,369.549,-4.71444,4.040223,-8.9275,-132.95215,-22.64188,99.10254375,28.54925,2.749275,6.567,5.4758,7.150375,8.286,8.437,9.567,5.59365,6.8626,7.6935,8.369,9.4795,6.3644,7.791725,8.27425,8.739,9.5285,6.333775,7.22295,7.93535,8.48975,9.24,-114.7875,0,0,0.0435,0.279105714739057,0.254558441227157,0.0759605160593318,0.128543
1,1.25,368.415,-2.369115,4.0279135,-8.9665,-136.012625,-30.61145,99.09798325,28.55325,2.5571,5.81325,5.3563,7.040925,8.225,8.407,9.576,5.4205,6.7059,7.616575,8.319,9.48475,6.3352,7.571625,8.21325,8.709,9.53375,6.216375,7.1191,7.831975,8.46,9.26,-116.405,0,0,0.059335,0.26930450520367,0.256709953059869,0.0685897949608261,0.19978215
1,1.75,368.64,-3.648455,4.028015,-9.45175,-118.03525,-10.68790125,99.13936175,28.944,2.43765,6.363375,5.3013,6.967125,8.16125,8.37175,9.577,5.271175,6.5623,7.536025,8.259,9.48475,6.2904,7.40755,8.15275,8.679,9.539,6.10135,7.017625,7.75365,8.4395,9.27,-117.01,0,0,0.0551175,0.265148096188582,0.296822854222076,0.06922421487693,0.173689825
1,2.25,367.066,-4.4011125,3.27669675,-9.9075,-111.7712,-22.55919,99.15006425,30.85225,2.33685,5.338525,5.1582,6.88955,8.19175,8.348,9.587,5.1301,6.410725,7.477275,8.22375,9.4895,6.27685,7.214225,8.10225,8.6595,9.54375,5.987975,6.914175,7.672275,8.41,9.28975,-113.2325,0,0,0.0576725,0.238108986831661,0.276486603376708,0.0693768640858307,0.220787
1,2.75,365.069675,-8.967675,3.961975,-10.3085,-118.0467,-18.695505,99.16640025,31.21125,2.3829,5.024725,5.0301,6.78565,8.2295,8.359,9.58,5.02625,6.291675,7.3866,8.189,9.48475,6.1928,7.038475,8.044375,8.6295,9.549,5.887725,6.8149,7.592675,8.37,9.30975,-119.4275,0,0,0.0588575,0.270611196987245,0.276401003536403,0.0721286721618024,0.15360295
1,3.25,368.366875,-3.628338,3.70421325,-10.52825,-134.3778,-16.47555,99.22816825,30.89325,2.1879,5.55295,4.8856,6.675875,8.2455,8.32425,9.58,4.932325,6.1765,7.3314,8.11425,9.47475,6.05695,6.999275,7.975975,8.589,9.5595,5.7658,6.71925,7.51055,8.34925,9.31,-111.46,0,0,0.057525,0.281992821165151,0.261449152908201,0.0801450802149342,0.160975725
1,3.75,369.563325,-4.2431635,3.584638,-10.72375,-136.73255,-18.64135,99.2098905,30.987,2.0575,5.813575,4.7406,6.588525,8.1655,8.2685,9.581,4.8297,6.0674,7.281325,8.0395,9.4795,5.988725,7.0428,7.90395,8.5485,9.57,5.666825,6.6235,7.427325,8.27975,9.31,-107.965,0,0,0.0552,0.260432161566987,0.270687667652206,0.072835121042259,0.2543072
1,4.25,369.635025,-2.7026425,2.940448,-10.886,-139.5512,-22.0433075,99.22559125,29.89575,2.060775,5.269425,4.6273,6.500775,8.07,8.20325,9.572,4.68865,5.948125,7.1693,8.022225,9.47425,5.913325,7.04495,7.837775,8.53475,9.5795,5.5719,6.59745,7.3537,8.2685,9.3195,-110,0,0,0.0552025,0.245824848508163,0.242081031150507,0.071719758137443,0.19953075
1,4.75,368.30745,-1.432355,3.4639375,-10.9835,-129.14985,-24.4435,99.23095875,28.583,2.40245,5.2948,4.4436,6.421025,7.974225,8.15275,9.563,4.58965,5.829425,7.051575,7.977475,9.45475,5.802425,7.012,7.754,8.48425,9.58375,5.480625,6.5672,7.2878,8.23725,9.29975,-109.0625,0,0,0.055515,0.238406754919835,0.258089103613769,0.0704900440133511,0.1834527
