DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,10.75,12.343025,5.03629,1.075455,0.19576,0.4956,203.1096,-1.15782,-1.1111,430.28835,140.3018,260.5585,282.7046,25.98462,-7.7063855,82.34167,1.847475,2061.94,2.419895,-0.00694,0.09233,0.66158,-0.028595,95.83101,0.84575,0.9174477,0.36307
1,11.25,13.63291,5.26196,1.050885,0.20694,0.5602765,218.9379,-1.09388,-1.09842,429.65265,141.8332,257.9664,285.0674,32.5,-7.40234,80.1162,1.85736,2061.892,3.102515,-0.013378355,0.086755,0.506425,-0.019845,95.83984,0.89685,0.99488,0.37133
1,11.75,15.94087,6.99006,1.09898,0.213675,0.600535,213.5295,-1.15077,-1.09499,429.1798,142.0127,255.2797,283.6214,38.22599,-7.19173,77.9755,1.920347,2061.0145,3.452505,-0.012786715,0.027065,0.39632,-0.01642,95.79784,0.880125,0.910335,0.368375
1,12.25,15.66214,6.586765,1.0270045,0.210145,0.66643,243.04025,-1.019175,-0.991555,428.7954,163.73215,252.6477,286.47145,39.549375,-6.546275,75.16067,1.91953,2061.215,3.39874,-0.010885,0.0648,0.40548,-0.04604,95.78601,0.870875,0.8891006,0.38064
1,12.75,14.57,6.6283,1.10693,0.20801,0.724915,220.8474,-0.99841,-1.015135,428.55935,150.4253,252.15545,285.5091,41.788,-6.261,74.968335,1.92106,2060.792,2.927725,-0.00842,0.02631,0.25637,0.01083,95.7628,0.90098575,0.92296,0.363115
1,13.25,11.76763,6.463,1.08683,0.2015122,0.73124,193.70385,-1.03325,-1.011805,428.2493,134.652,248.26215,284.9109,33.248,-5.91707,75.98551,1.8797,2058.188,3.399865,-0.0103,0.02333,0.1426964,-0.01078,95.753335,0.84817,0.9407,0.37514
1,13.75,10.619785,6.07733,1.07328,0.206479,0.75501,184.659,-0.951275,-0.92609,428.0115,119.94895,249.3245,285.8095,27.720835,-6.05239,74.456,1.90695,2057.489,2.99947,-0.007185,0.00675,0.11381,-0.00171,95.75021,0.870735,0.997625,0.362925
1,14.25,7.35315,5.89033,1.1041,0.192015,0.76324,156.5823,-0.80899495,-0.8106111,427.85465,98.48216,244.63885,285.4606,21.53479,-5.904175,73.79834,1.89611,2057.609,3.10239,-0.00227,0.02694,0.100335,0.00312,95.740385,0.8558116,0.91232,0.345285
1,14.75,3.09334,5.22339,1.11875,0.2033,0.78006,123.0264,-0.681,-0.66899,427.6478,77.76767,244.3782,285.2017,9.7835,-5.9065,73.863995,1.87842,2056.616,2.71016,-0.004815,-0.004615172,-0.12623,-0.01621,95.75415,0.87507,0.900115,0.360495
1,15.25,-2.202475,4.08493,1.009765,0.17571,0.732475,78.26009,-0.543535,-0.50854,427.5871,46.63325,236.7303,281.0069,-0.32254,-6.36915,75.391995,1.94659,2055.3865,2.397115,-0.0056,-0.026635,-0.36024,-0.04823,95.762445,0.7182,0.81419,0.32916
