DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,FC_2_1_1,LE_2_1_1,H_2_1_1,CO2_2_1_1,H2O_2_1_1,T_SONIC_2_1_1,T_SONIC_SIGMA_2_1_1,WS_2_1_1,USTAR_2_1_1,TA_2_1_1,TA_2_1_2,RH_2_1_1,PPFD_IN_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,NETRAD_2_1_1,PA_2_1_1,LW_OUT_2_1_1
1,0.25,-3.058,-16.043425,-141.45,-8.22825,-2.82715,-3.4016,-4.6056,-4.171,-3.487345,-3.7296,-4.675305,358.64,2.03724,84.4198,-11.380075,0.05924395,-11.062521,-11.7068,-10.98315,24.02570625,0,0,0,0,185.83,255.235,-97.470325,-0.474,-0.15225,0.137,0.4705,1.22575,2.4774,0.0427576,0.22299075,0.2108015,0.066763525,0,-1.70126375,-10.1252675,-75.0270725,194.79675,-0.3683696,-18.5390175,0.074925,0.114016,0.0360354775,-18.5513025,-18.289325,30.962555,0,0,0,197.362725,-94.4657,85.9624725,233.5001
1,0.75,-1.905775,-18.96225,-135.556385,-8.383,-2.828775,-3.407075,-4.662625,-4.270125,-3.7337525,-3.7304775,-4.92969,358.71,2.166737,84.389675,-11.4289,0.057503075,-11.356,-11.7676,-10.949825,23.695,0,0,0,0,186.214,255.72,-95.29598225,-0.458175,-0.157625,0.1331,0.474575,1.225,2.474675,0.0479505,0.19862575,0.21435,0.05309325,0,-0.76263775,-5.48088125,-70.7777175,194.6344,-0.257795175,-18.5310625,0.0864475,0.159678775,0.0435495675,-18.785275,-18.5537225,34.4980225,0,0,0,197.05175,-93.633355,85.968,235.2475
1,1.25,-1.9225,-16.6445,-138.31335375,-8.5545,-2.828475,-3.413425,-4.5857,-4.21335,-4.0213925,-3.7535975,-5.4808825,358.49275,2.256345,84.435475,-11.39725,0.06245695,-11.50325,-11.9596,-11.0214,21.92425,0,0,0,0,187.633,255.909,-95.84175,-0.46,-0.160625,0.134325,0.4752,1.224,2.477,0.033875,0.2046205,0.180134,0.0535036,0,-0.8669545,-6.6392845,-53.45088,194.265725,-0.306063025,-22.10762,0.09409024,0.297019,0.04288104,-19.145775,-18.925925,45.5044775,0,0,0,194.62705,-94.0880775,86.0175,233.2219
1,1.75,-2.76,-15.462,-126.1125,-8.73195,-2.82325,-3.342375,-4.537025,-4.02675,-4.2916975,-3.8850525,-5.5562175,358.061,2.1871115,84.499,-11.773175,0.07309,-11.682,-12.513334,-11.30845,22.57249875,0,0,0,0,187.04075,254.3,-95.7975,-0.46275,-0.158875,0.134175,0.475125,1.221,2.47535,0.04,0.243796,0.245856,0.0611476,0,-1.4443965,-10.37321675,-54.998155,193.955275,-0.3205372,-19.0401575,0.100456925,0.215871,0.046440365,-19.36107,-19.12292,47.31045,0,0,0,191.3593,-93.2396725,86.0175,232.437175
1,2.25,-2.16425,-17.62219,-134.5935,-8.851125,-2.827125,-3.33575,-4.527475,-3.976125,-4.362235,-4.086615,-5.71425,359.559,2.13731,84.3195,-11.6597755,0.0581337,-11.768,-12.310266,-11.47815,24.8066,0,0,0,0,186.47625,254.131,-95.191725,-0.473525,-0.159,0.13145,0.4729,1.2169,2.475875,0.0464875,0.225617,0.222493,0.0748363,0,-1.73069525,-5.354651,-52.58825,193.717975,-0.32809115,-19.033085,0.0837798325,0.220256,0.0350878525,-19.4557775,-19.259525,50.018375,0,0,0,183.7975,-93.9347,86.0175,234.4826
1,2.75,-1.489,-16.098,-149.63375,-9.013275,-2.84125,-3.374425,-4.500975,-3.977525,-4.50894,-4.24925,-5.6804825,359.878,1.871525,84.3046,-11.657093,0.0638375,-11.7975,-12.065734,-11.413975,22.64295,0,0,0,0,186.95575,254.755,-96.770525,-0.506325,-0.163,0.129725,0.4724,1.21205,2.475375,0.04,0.201256,0.23632,0.0596,0,-3.69264325,-7.472207,-53.898615,193.713325,-0.3077155,-18.9611675,0.0914484625,0.207966,0.0463006525,-19.353725,-19.169475,51.44832,0,0,0,169.928225,-90.2807,86.0697225,237.100675
1,3.25,-1.45115,-23.0974,-137.07875,-9.2354,-2.83475,-3.37925,-4.580375,-4.00425,-4.5372475,-4.2613125,-5.545445,359.11975,1.8939875,84.29375,-12.0985,0.06883525,-11.9175,-12.764666,-11.58175,25.5211845,0,0,0,0,185.43,256.062,-96.886775,-0.4925,-0.1705,0.129625,0.472,1.21225,2.4751,0.041754975,0.218404,0.201664,0.06876,0,-1.6145735,-6.67523925,-64.21142,193.54075,-0.301456725,-19.07174,0.08298736,0.2068391,0.02196,-19.3265975,-19.118225,50.49488,0,0,0,167.6093,-90.792145,86.1,236.590175
1,3.75,-1.8274,-14.7229,-125.09,-9.37975,-2.8224,-3.398925,-4.618275,-4.066825,-4.70134,-4.44120225,-5.5455125,358.94725,1.9714725,84.28385,-12.284,0.05974675,-12.009375,-12.906,-11.9781,25.1538,0,0,0,0,187.0475,255.528,-94.81855725,-0.50725,-0.178,0.12415,0.471225,1.213,2.474,0.04,0.23548,0.211034,0.06144,0,-0.93505,-10.645428,-53.00744,193.389,-0.3382468,-19.07422,0.08174,0.206504,0.04989546,-19.582075,-19.3677,52.2335725,0,0,0,166.764225,-90.4415775,86.1,235.24575
1,4.25,-2.13025,-19.937568,-127.51675,-9.60975,-2.826625,-3.4115,-4.701025,-4.051475,-4.70134,-4.6435545,-5.5174,359.934,2.101984,84.264825,-12.1708,0.063064,-12,-12.9994,-11.930125,24.1461145,0,0,0,0,184.43375,254.58,-93.970975,-0.517,-0.179,0.121475,0.468775,1.211775,2.4599,0.04115425,0.2039625,0.21719,0.056053125,0,-0.8392768,-7.868712,-69.27294,193.295,-0.335561,-19.15916,0.09348,0.118581,0.04437008,-19.5698725,-19.38095,49.0325725,0,0,0,169.11575,-90.8175,86.0505,235.964175
1,4.75,-1.435,-18.49475,-122.46375,-9.91775,-2.82875,-3.406875,-4.725425,-4.03685,-4.842415,-4.625845,-5.5342,360.3935,1.97284,84.257825,-11.951,0.0561496,-11.8292895,-12.7262,-11.8241,23.158,0,0,0,0,184.16925,253.708,-93.548525,-0.5191,-0.175175,0.1209,0.459825,1.210925,2.4608,0.04,0.22589475,0.2112,0.058651825,0,-0.7302736,-10.38952,-67.40566,193.3484,-0.353734,-19.35706,0.07288,0.170586725,0.04588456,-19.65945,-19.46168,49.8384,0,0,0,169.8345,-90.6927225,86,235.87
