DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,NETRAD,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PPFD_IN_1_1_2,PPFD_OUT_2_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,413.860143,7.14593325,2090.5996765,0.480051,3.3740815,-20.5105085,-1.113066,0.64469875,0.071481,-0.0821845,0.276872,0.0932815,9.84935125,0.188604,101.5825,85.1,4.61075,0.546284,8.555,8.895,9.135,8.966667,9.495,10.16,9.4175,9.11,8.555,9.03374975,9.555,10.37,-69.75352125,0,0,0,-0.37594,-0.638978,-3.282276,0.673653,275.755181,338.08314
1,0.75,414.6517395,7.003647,2075.916034,0.2260815,0.407179,-16.36499275,-1.31842325,0.61307925,0.07249175,-0.076739,0.2761695,0.0848415,9.7189205,0.1911655,101.58,85.875,4.60175,0.5158395,8.58,8.835,9.0975,8.966667,9.5,10.16,9.3775,9.035,8.4875,9.03875,9.565,10.37125,-69.859155,0,0,0,-0.379507,-0.638978,-3.282276,0.673653,274.46472,337.315818
1,1.25,415.6624915,6.766131,2093.16286525,0.4171895,2.715861,-16.46959875,-0.54983,0.648891,0.080402,-0.079963,0.2856705,0.088614,9.65548825,0.1766525,101.56,85.95,4.423,0.498754,8.5925,8.801667,9.1,8.97375,9.50875,10.17875,9.385,9.0616665,8.515,9.0483335,9.57,10.38,-68.8875255,0,0,0,-0.379507,-0.638978,-3.282276,0.598802,277.68195,336.864001
1,1.75,414.91119325,6.733798,2096.3666365,0.096254,1.403299,-18.9595685,-1.028646,0.66840025,0.08041925,-0.07854425,0.286602,0.0937325,9.45885225,0.1862865,101.555,86.125,4.275,0.479354,8.58000025,8.7916665,9.08,8.96458325,9.5075,10.175,9.38,9.045,8.5625,9.0466665,9.57,10.36,-69.48432575,0,0,0,-0.37594,-0.479233,-3.282276,0.598802,277.22325625,336.63857825
1,2.25,414.649767,6.7718755,2103.470174,0.14245825,0.68897425,-16.672247,-0.632767,0.559057,0.080927,-0.077396,0.2797615,0.087654,9.34355,0.184381,101.5725,86.85,4.193,0.4615925,8.5725,8.77,9.04,8.966667,9.50625,10.17375,9.375,9.0616665,8.56,9.0591665,9.57,10.37,-67.85211275,0,0,0,-0.37594,-0.51916925,-3.209336,0.598802,279.5063785,336.58199825
1,2.75,414.98698325,6.698761,2095.68077325,0.34474325,-0.0551615,-15.194197,-0.548523,0.606517,0.085675,-0.0783755,0.29022025,0.09881875,9.284635,0.182366,101.59,87.74,3.841,0.43670625,8.56250025,8.7483335,9,8.96479175,9.5125,10.17875,9.37,9.04,8.56,9.0508335,9.56,10.37,-67.640845,0,0,0,-0.37594,-0.638978,-3.136397,0.598802,281.05512775,335.880465
1,3.25,415.113478,6.6056345,2081.3608435,0.349058,2.3926165,-17.982741,-1.465865,0.606504,0.07953,-0.0891195,0.279785,0.092691,9.321367,0.176645,101.59,87.6,3.82,0.4316125,8.556667,8.733333,8.97,8.97075,9.51,10.1775,9.3575,9.0216665,8.5725,9.055,9.6025,10.355,-67.063203,0,0,0,-0.189753,-0.638978,-3.282276,0.673653,281.308425,335.463577
1,3.75,415.180781,6.651949,2081.4724845,0.35747675,4.437152,-16.45362425,-0.3811685,0.586582,0.078438,-0.089358,0.28271175,0.08561175,9.202605,0.181275,101.59,88.175,3.7915,0.404667,8.5275,8.71750025,8.9675,8.96675,9.51625,10.1825,9.33,8.98083325,8.4925,9.02,9.59,10.345,-65.6178375,0,0,0,-0.379507,-0.638978,-3.282276,0.598802,285.3417935,334.101713
1,4.25,417.46445325,6.8157175,2073.9204,0.485181,1.67919,-13.548415,-0.30785475,0.576029,0.072601,-0.081344,0.2843535,0.0877635,9.13267075,0.175657,101.58,88.725,3.73025,0.40094975,8.4975,8.66416675,8.9675,8.95541675,9.52625,10.19125,9.32,8.976667,8.4475,9,9.585,10.34,-65.04194525,0,0,0,-0.379507,-0.638978,-3.282276,0.598802,287.261391,332.70282475
1,4.75,416.16582525,6.63924825,2089.727097,0.378513,1.26595075,-17.189215,-0.642113,0.590077,0.0836775,-0.0742965,0.279755,0.087869,8.888347,0.17323525,101.58,88.6,3.529,0.383953,8.475,8.66,8.96,8.955,9.5,10.19,9.3175,8.993333,8.445,9.01249975,9.575,10.33,-64.22856575,0,0,0,-0.379507,-0.638978,-3.118162,0.673653,287.53091,331.867277
1,5.25,417.305154,6.691092,2096.72696,0.23671425,0.420415,-16.2091515,-0.444054,0.612836,0.0788595,-0.066531,0.28024325,0.0934075,8.824245,0.156514,101.5775,88.8,3.463,0.376012,8.445,8.646667,8.94,8.943333,9.505,10.17,9.31,8.95,8.46,9.01624975,9.58,10.335,-63.91208625,0,0,0,-0.37594,-0.638978,-3.063457,0.673653,289.93165325,333.62775675
1,5.75,414.92647075,6.63674925,2087.372379,0.31429075,3.622057,-14.926444,-0.5146005,0.6330855,0.07891,-0.066841,0.2827895,0.09646225,8.70804675,0.16645,101.57,89.1,3.399,0.37211775,8.41,8.645,8.915,8.9241665,9.5,10.15875,9.31625,8.935,8.4175,8.99,9.5425,10.345,-61.285211,0,0,0,-0.379507,-0.638978,-3.209336,0.673653,291.164029,332.306876
1,6.25,415.222489,6.61353,2067.35894025,0.220925,1.869918,-13.7275385,-1.050111,0.600263,0.085894,-0.06236075,0.28540275,0.09736425,8.640036,0.162403,101.58,88.85,3.275,0.3647195,8.38,8.6083335,8.895,8.9175,9.495,10.1575,9.31625,8.935,8.285,8.9975,9.56,10.335,-63.589063,0,0,0,-0.379507,-0.638978,-2.990518,0.5800895,293.214311,331.6603825
1,6.75,415.2796455,6.62344675,2097.63182425,0.158606,4.08554125,-12.663624,-0.47629025,0.606353,0.0867425,-0.071188,0.29553425,0.09949275,8.413715,0.171917,101.6075,89.0075,3.054,0.353979,8.35,8.585,8.855,8.905,9.49,10.16,9.305,8.89,8.27,9.01125,9.515,10.315,-64.75352125,0,0,0.159744,-0.189753,-0.51916925,-3.0634575,0.523952,291.244195,330.88969725
1,7.25,415.726188,6.470687,2089.1208505,0.39524,3.712926,-14.707463,-0.23081225,0.64196775,0.083181,-0.076943,0.29212,0.096148,8.09932525,0.176905,101.61,89.05,2.995,0.34958475,8.3116665,8.573333,8.83,8.9,9.5,10.17,9.29375,8.89,8.2425,8.99,9.515,10.3225,-61.690141,4.545455,0.18797,4.632588,0,3.194888,0.510576,0.898204,290.40936125,331.838268
1,7.75,417.373499,6.936521,2098.7237065,0.187662,3.665332,-11.8593435,0.241421,0.6433035,0.08962575,-0.080503,0.28628975,0.10758325,7.83119075,0.168438,101.62,88.8775,3.1355,0.3510925,8.32583325,8.563333,8.8325,8.89166675,9.48125,10.17875,9.3,8.856667,8.2225,9.0025,9.56,10.34,-35.199812,36.7552515,2.255639,37.220447,1.897533,30.351438,15.91903725,2.61976,293.957331,334.3525745
1,8.25,416.6144,7.320315,2088.133876,0.462958,3.17279575,-4.553294,4.14109825,0.6639855,0.1067745,-0.095785,0.303469,0.137211,7.91568925,0.16832475,101.6425,87.125,3.834,0.4047685,8.31,8.545,8.845,8.8583335,9.455,10.19,9.28375,8.8525,8.19,9.04,9.585,10.345,-1.859213,95.541958,5.075188,107.348243,5.6926,83.58626225,44.38366175,4.94012,294.2511415,339.568737
1,8.75,416.887199,7.560944,2062.564794,0.207706,3.8910275,-0.76272125,8.363823,0.723977,0.112839,-0.112079,0.329198,0.165819,8.834876,0.1862825,101.7,83.72,4.89,0.471214,8.27583325,8.5575,8.8375,8.84500025,9.4575,10.19,9.2775,8.856667,8.18,9.01541675,9.6,10.34,33.873239,166.03415575,7.518797,179.392971,9.79762025,119.488818,76.513494,6.8488025,290.595445,346.58547525
1,9.25,415.433708,7.896855,2041.289945,-0.02342125,5.486108,3.74776825,14.67989875,0.83812625,0.130589,-0.118504,0.3953975,0.19356475,9.5213525,0.20049875,101.7,78.12,5.991,0.5749095,8.26083325,8.575,8.84,8.83,9.44,10.19,9.2575,8.8416665,8.12,9.0133335,9.6075,10.34,70.9451245,253.635667,15.131579,286.261981,15.309116,145.447284,116.776076,13.248503,286.3886815,352.3569
1,9.75,413.0178635,7.80359275,2033.3278375,-0.022948,4.106671,7.690636,17.513472,0.855394,0.14275475,-0.1477865,0.4223455,0.21137725,10.36565175,0.218942,101.73,74.3,6.695,0.6908825,8.27,8.61,8.86,8.835,9.4225,10.18,9.2775,8.835,8.165,9.013333,9.6375,10.3425,100.246479,331.009408,19.924812,360.543131,17.457306,165.495208,145.35010925,17.0097305,271.750397,356.6281815
1,10.25,410.6242075,8.027997,2038.2156155,0.235337,6.06288,9.818795,19.8912105,0.9760485,0.15704675,-0.15863275,0.464637,0.225419,11.26535025,0.25646575,101.73,70.4275,7.2025,0.8679065,8.27750025,8.6566665,8.89,8.825,9.43,10.1925,9.27,8.85083325,8.255,9.03416675,9.665,10.38,122.912873,382.732448,24.154135,413.578275,20.01951025,158.626198,178.884026,20.359281,270.981774,361.2038815
1,10.75,410.114433,7.97018375,2021.4328075,-0.081603,7.42742,12.98018175,22.05519425,1.030268,0.168575,-0.152108,0.51827,0.243757,12.203811,0.2636305,101.72,67.085,7.7475,1.169495,8.325,8.68499975,8.9225,8.835,9.45,10.19,9.3225,8.89,8.3075,9.0516665,9.6825,10.39,141.58706,401.3282735,26.033835,484.984026,20.77317375,164.536741,181.546317,23.128743,270.6523,365.257583
1,11.25,409.09117225,7.958287,2013.795234,0.17766275,9.1343545,15.366031,23.731702,1.090832,0.178039,-0.1730705,0.55245525,0.26559425,12.961101,0.272387,101.7,62.96,8.32,1.3716565,8.24,8.81166675,8.95,8.8025,9.425,10.1875,9.245,8.87,8.3225,9.0433335,9.69,10.38,167.92019375,468.694097,31.015038,560.86262,25.237192,160.063898,213.67614875,24.34506,271.300605,368.3628065
1,11.75,408.052947,7.98068475,2006.524297,-0.017857,8.283855,17.694857,23.08307025,1.1577855,0.186139,-0.17179375,0.56866575,0.270082,13.4700615,0.285395,101.66,60.485,8.8625,1.580434,8.21,8.92,8.9975,8.84,9.43,10.20625,9.2175,8.9375,8.275,9.056667,9.6825,10.38,183.6530625,526.118068,35.1033835,595.00798725,23.7933805,165.7348245,245.660102,28.255988,273.958275,371.4683525
1,12.25,407.28512725,7.892314,2002.266806,0.179887,8.822218,18.04719075,23.182272,1.178709,0.197671,-0.17695675,0.592711,0.2739585,14.088613,0.29054375,101.6075,57.5125,9.31,1.93594025,8.25,8.9875,9.035,8.82541675,9.4275,10.2225,9.2175,8.95,8.37,9.09,9.69,10.42,184.45182375,515.69055925,34.398496,596.20607,22.390892,168.969649,221.7724285,25.65494025,275.0070885,373.025364
1,12.75,407.0337775,7.9249815,1994.8144795,0.0751475,9.69940925,17.94702425,23.0637025,1.227934,0.192117,-0.18131225,0.593422,0.2875595,14.522386,0.2789895,101.58,56.1625,9.805,2.180821,8.3475,9.05749975,9.115,8.81750025,9.445,10.215,9.2425,8.94,8.365,9.05,9.67,10.4125,181.536414,527.03984775,35.902256,596.5654955,22.95319675,165.25559125,233.278629,27.4700595,276.5926885,374.62542
1,13.25,405.80300825,7.758218,1993.5127385,0.139418,8.58647975,16.161064,22.3016325,1.29891,0.1917905,-0.18801675,0.606062,0.28634325,14.9982655,0.268517,101.53,54.15,10.135,2.47023875,8.3633335,9.073333,9.19,8.87,9.44625,10.2125,9.2575,8.935,8.36,9.0283335,9.7,10.4175,161.21478825,471.8094405,30.9680455,579.1533545,20.3036055,158.1469645,209.080963,24.5508985,276.543841,374.7304455
1,13.75,405.8722075,7.934245,1986.36838925,0.194094,7.090206,12.039607,19.44844125,1.26153175,0.190413,-0.17114525,0.602309,0.2848705,15.38840625,0.22984125,101.51,52.045,10.34,2.667474,8.43666675,9.06499975,9.1775,8.85625,9.4775,10.2075,9.29125,8.95250025,8.4175,9.07166675,9.71,10.42,135.180403,432.6375715,28.007519,542.252396,17.267552,152.03674125,171.1706785,20.3031435,278.08380225,374.0001285
1,14.25,405.4334215,7.9367125,1983.915583,0.1635015,8.9036405,8.791472,19.8262205,1.271253,0.2001995,-0.174887,0.581731,0.271856,15.5341265,0.20177,101.49,51.26,10.5575,3.08040225,8.44,9.123333,9.21,8.876667,9.4825,10.19,9.305,8.97,8.5025,9.1,9.71,10.41875,117.816901,386.40021075,24.81203,451.8370605,15.4500935,145.56709275,163.9679065,20.93937125,279.43510275,374.6132335
1,14.75,404.673887,8.0997385,1985.815493,0.035493,6.2009085,7.5571015,15.695216,1.181425,0.17812975,-0.161891,0.558527,0.25521625,15.7240685,0.19198125,101.49,50.185,10.84,3.210025,8.4466665,9.143333,9.26,8.893333,9.4925,10.21125,9.33,9.033333,8.4875,9.143333,9.71,10.435,95.84507,336.558034,22.650376,388.977636,12.969925,134.4249205,147.83005075,17.5336825,279.7473805,375.747019
1,15.25,404.247516,7.975217,1986.067327,0.0527225,6.715155,3.6196205,14.42605,1.161882,0.168648,-0.1578375,0.52570975,0.23906775,15.833182,0.160729,101.48,50.38,10.97,3.3381975,8.46916675,9.1625,9.26,8.91875025,9.49,10.2125,9.35375,9.04083325,8.5375,9.1075,9.72,10.455,65.046759,299.14611,19.172932,323.162939,10.626186,123.2428115,126.4040845,14.932635,278.958933,374.80277725
1,15.75,404.505599,8.00597025,1987.0494775,0.12790475,6.0790225,-0.9276425,10.697683,1.224632,0.149788,-0.140301,0.4647235,0.226689,15.984457,0.1342115,101.49,51.315,10.99,3.262822,8.53749975,9.22249975,9.2775,8.944167,9.5,10.24,9.38625,9.043333,8.59,9.105,9.6925,10.44,28.8031225,208.216783,14.473684,226.67731625,7.932188,106.1501595,94.34719175,11.5082335,278.24412,372.352819
1,16.25,405.5369235,8.182758,1994.12495,0.0981805,3.878524,-5.07301125,5.553856,1.060489,0.118877,-0.122865,0.34843,0.177187,15.696292,0.11039525,101.495,52.76,10.74,3.11331,8.59,9.25916675,9.3,8.983333,9.52625,10.255,9.445,9.136667,8.61,9.155,9.72,10.4925,-12.112676,117.267552,8.270677,137.539936,4.933586,86.980831,52.224654,6.886228,276.69855275,367.664037
1,16.75,406.2546755,8.2342495,2007.261353,-0.0080325,0.732799,-13.17860925,1.192277,0.869905,0.0832205,-0.08889275,0.2578835,0.10673475,15.222238,0.146247,101.5,56.73,10.0375,2.6855935,8.61750025,9.2466665,9.325,9.00958325,9.55,10.26,9.4575,9.12749975,8.6175,9.19500025,9.7275,10.49,-50.2424455,34.155598,2.631579,46.52555875,1.691729,38.0990415,14.514953,2.39521,274.994281,363.23751425
1,17.25,407.368388,8.323345,2034.745494,-0.24364,-4.5992255,-16.19685325,-0.8379315,0.761215,0.05896,-0.067222,0.243767,0.0651265,14.513107,0.202756,101.5,63.4975,9.37,2.1438225,8.67083325,9.26,9.33,9.01500025,9.58,10.26,9.5,9.15250025,8.6125,9.1925,9.7325,10.48,-74.9439945,3.146853,0.18797,5.4313095,0,3.514377,-1.54996375,0.43038925,273.533989,357.1190415
1,17.75,411.51715,8.323393,2074.064631,-0.14820575,-0.70562825,-15.244342,-1.365725,0.63175825,0.061745,-0.05936375,0.26858,0.055493,13.6692945,0.22697125,101.5,69.19,8.73,1.783694,8.67,9.273333,9.325,9.0341665,9.56125,10.2375,9.43,9.12,8.64,9.1708335,9.665,10.45375,-77.60479825,0,0,0.159744,-0.379507,-0.479233,-4.321663,0.299401,272.18124475,352.651614
