DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,H2O_1_5_1,H2O_1_6_1,FC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,NETRAD_1_2_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_2_1_1,SC_1_1_1
1,0.25,374.649845,374.5465725,374.5101,374.651945,374.919,375.994,376.618025,0.23815891,0.2654704075,0.261913025,0.24982441,0.2336008,0.2811071,-1.150904375,-5.62681,-54.7290705,-6.254594825,0.71905509,0,0,0,0.1171999875,93.17753675,-24.95727,-25.7093,-25.724232,-25.493501,-25.630801,-25.774069,-25.13027,-25.463,-25.851832,-25.132599,-2.14568,0,-1.1537499,-0.40782431,0.20146331,1.4374831,2.7171639,-77.9794785,-33.7021885,0,0,0,0,0,0,0,144.438665,210.40092,-23.379331,-25.000939,-1.4654795,-0.157087945,0.206496165,0.58221464,1.32140935,1.62259035,1.7705985,-5.21293875,-0.4729653875
1,0.75,374.3224775,374.35947,374.363115,374.45524,374.744765,375.619515,375.94979,0.23768792,0.2636418425,0.2599022775,0.2552569,0.2439643,0.2824294825,-1.154048,-5.627725,-49.143228,-7.40888625,0.69048117,0,0,0,0.10044303,93.07524275,-25.35715,-25.90708125,-25.9772875,-25.66042,-25.89583,-25.5915,-25.08812625,-25.397,-25.72270625,-25.1184175,-2.169237625,0,-1.236312625,-0.4906383,0.1533975125,1.510970625,2.691693125,-77.823225,-32.8667755,0,0,0,0,0,0,0,144.359155,209.936855,-23.485205,-25.052705,-1.0389718,-0.1569123825,0.20601707,0.5773960325,1.32253815,1.627767025,1.7695639,-5.2160044,-0.4725261425
1,1.25,375.092765,375.1429625,375.123455,375.14163,375.20139,375.36351,376.51337,0.2371891725,0.25943761,0.26369838,0.25533575,0.244272225,0.275570205,-0.9472621925,-5.6267835,-55.452824,-6.456665225,0.7349949,0,0,0,0.10284993,92.991864,-25.57281,-26.215835,-26.030335,-25.703835,-26.0684175,-25.5680825,-25.333415,-25.4477475,-25.584085,-25.3632525,-2.32398325,0,-1.236333,-0.435003275,0.208149175,1.3796345,2.6296915,-76.9238135,-33.01388,0,0,0,0,0,0,0,144.388375,209.00415,-23.771835,-25.250165,-0.9576803075,-0.1598613,0.206911375,0.5819424525,1.320393525,1.6234641,1.76930325,-5.22139055,-0.29754982
1,1.75,375.37956,375.35425,375.390115,375.44934,375.6056825,375.728925,376.94214,0.235825405,0.257942415,0.26486528,0.249116615,0.2362435,0.2715793125,-0.824333775,-5.626754075,-52.414221,-5.78078,0.732122175,0,0,0,0.09113191,92.98510375,-25.519474,-26.2929565,-26.35017425,-25.98209925,-26.2906815,-25.56325575,-25.45658075,-25.6726815,-25.7034,-25.746955,-2.438561925,0,-1.5027925,-0.8380645575,-0.0145534185,1.2285625,2.44545,-76.2128785,-32.4926355,0,0,0,0,0,0,0,144.59811,207.295275,-24.06987425,-25.12777,-0.8567007875,-0.1618523,0.204292225,0.578436485,1.31995815,1.62252595,1.768659025,-5.226058375,-0.2972292425
1,2.25,375.09824,375.12762,375.1466725,375.21237,375.3108975,376.182805,376.753215,0.2341033775,0.257012275,0.254145045,0.2424049,0.23118608,0.2630403875,-0.7067037,-5.616096925,-62.2240315,-6.2803773,0.7176926,0,0,0,0.09640202425,92.98291625,-25.787658,-26.5521385,-26.61188075,-26.1416065,-26.56413075,-25.77235,-25.66081925,-25.87409925,-26.0371635,-25.43040075,-2.375949925,0,-1.2948975,-0.5671380575,0.2144663075,1.381829425,2.6526855,-76.465368,-32.3235815,0,0,0,0,0,0,0,145.60345,207.1276275,-23.94509425,-25.17021925,-0.8622,-0.15968903,0.20001198,0.58149289,1.316620275,1.62635935,1.7613738,-5.231567825,-0.358223895
1,2.75,374.86047,374.8703,374.90565,374.92943,375.5286,375.9519925,376.40685,0.232464215,0.252024285,0.249568535,0.2375829675,0.2253214125,0.2576399,-0.52100419,-5.627427,-55.049545,-4.26834035,0.74042075,0,0,0,0.100127713,92.98986275,-26.0126765,-26.75573,-26.738266,-26.286666,-26.793466,-26.15733,-25.85007,-26.03273,-26.02806,-25.563796,-2.2964936,0,-1.315887,-0.58184736,0.15200002,1.2733362,2.4861798,-77.391542,-31.679755,0,0,0,0,0,0,0,144.9924375,206.53311,-24.0908,-25.496936,-0.51574869,-0.1647366875,0.1955880825,0.582376895,1.319119725,1.624920075,1.767410775,-5.236726875,-0.357969125
1,3.25,374.76749,374.81526,374.69535,374.92295,375.435655,375.516685,375.9842925,0.230751285,0.24716826,0.2300598,0.23612742,0.21757706,0.2493144775,-0.8058006525,-5.6218625,-56.908632,-5.802568,0.815670615,0,0,0,0.099946525,93.0163205,-26.251669,-27.0471275,-27.02008875,-26.5425,-27.039295,-26.4662475,-26.16533375,-26.46279125,-26.46191375,-25.81570875,-2.174349625,0,-1.223508,-0.480012075,0.1724170875,1.5361045,2.76962475,-77.09295,-30.82946475,0,0,0,0,0,0,0,145.45091,205.6127225,-24.14308,-25.79283625,-0.8110180075,-0.16342776,0.20017175,0.57740934,1.3164107,1.6249204,1.7671355,-5.239449675,-0.4496988825
1,3.75,374.65152,374.58233,374.636,374.81602,375.21066,375.423495,376.116265,0.22750607,0.2388771925,0.225735075,0.2298203625,0.21014219,0.25031641,-0.8165116625,-5.6269665,-60.21129725,-5.477265425,0.748197765,0,0,0,0.101944061,92.9574665,-26.5536945,-27.2587475,-27.3137475,-26.6962525,-27.1607475,-26.523,-26.2854575,-26.45008,-26.6935775,-26.2541275,-2.22648725,0,-1.202683625,-0.5378791625,0.1204917,1.476245875,2.732917,-77.082828,-30.08137,0,0,0,0,0,0,0,147.95139,206.8651,-24.52646125,-26.0416725,-0.680594815,-0.16495977,0.20259931,0.5734395,1.3190553,1.6231087,1.7580074,-5.24537375,-0.4494247075
1,4.25,374.63653,374.70257,374.71367,374.87893,375.19211,375.6831825,376.0794175,0.222010835,0.2313996,0.2216490875,0.22464806,0.2133355375,0.24653178,-1.04261145,-5.62676,-53.228283,-5.4145827,0.68515025,0,0,0,0.089538022,92.95015,-26.7775445,-27.414936,-27.4808,-26.913336,-27.304666,-26.565266,-26.506666,-26.527998,-26.530664,-26.288398,-2.11678,0,-1.1661866,-0.44842206,0.20820466,1.6117854,2.7191332,-75.366144,-30.51344,0,0,0,0,0,0,0,149.537465,206.2637,-24.583464,-26.407734,-1.1139572,-0.16750877,0.20106608,0.57651585,1.3142823,1.6203912,1.7623441,-5.2491908,-0.5058929675
1,4.75,374.84088,374.8312,374.8208025,374.83102,375.13209,375.6336475,376.1097875,0.2174097075,0.224917725,0.2202424,0.22679392,0.2163511875,0.2450610625,-0.6590895875,-5.6275938,-56.407742,-3.888093175,0.83472666,0,0,0,0.11378992,92.994644,-27.02688875,-27.667536,-27.613802,-27.152666,-27.397336,-26.643336,-26.378534,-26.640602,-26.641802,-26.246002,-2.2364872,0,-1.163567,-0.50494402,0.23820202,1.3362942,2.5700598,-76.09385875,-29.34583475,0,0,0,0,0,0,0,150.8241975,205.1637275,-24.84633,-26.326662,-0.6162085,-0.16833661,0.20023563,0.57593724,1.3147982,1.6231741,1.7620826,-5.252433275,-0.505858895
