DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
1,0.25,0.2643696035,0.10414,-4.03838,0,-19.805,-1.408,76.732,0.0852,99.65,0.2535,-5.4075,0,0,-2.848,0.468185,-5.561,-4.1015,-4.006,-6.907,-4.78525,-5.59775,425.5,0.252065,-3.9865
1,0.75,0.179805242,0.16621899,-4.67258,0,-19.76,-1.404,76.785,0.0942,99.6,0.246,-5.049,0,0,-2.847,0.456,-5.5505,-4.063,-3.9885,-6.9475,-4.736,-5.69125,424.85,0.243585,-3.9945
1,1.25,0.1938659645,0.119185,-3.0295,0,-19.615,-1.4065,76.705,0.0823,99.6,0.258,-4.901,0,0,-2.8545,0.44624,-5.586,-4.023,-3.9925,-7.0125,-4.74575,-5.72775,425.8,0.242395,-4.0095
1,1.75,0.2539665685,0.195425,-4.375402158,0,-19.765,-1.402,77.09,0.0828,99.6,0.243,-5.1695,0,0,-2.8675,0.4425845,-5.6425,-4.01,-3.9885,-7.071,-4.74725,-5.7205,425.9,0.242695,-3.9995
1,2.25,0.2114635,0.097895,-3.181355,0,-19.93,-1.403,76.945,0.0803,99.6,0.2325,-5.279,0,0,-2.8835,0.419005,-5.6515,-4.0175,-4.0035,-7.082,-4.7435,-5.73075,426.3,0.23549,-3.986
1,2.75,0.201557469,0.1515885,-4.28671,0,-19.905,-1.4145,76.58,0.09046,99.6,0.2365,-4.974,0,0,-2.898,0.44578,-5.7455,-4.0175,-4.022,-7.0685,-4.75225,-5.70175,425.9,0.23133,-3.9755
1,3.25,0.2356561835,0.180082,-2.350079151,0,-20.01,-1.4075,76.4685,0.0876,99.6,0.242,-5.218,0,0,-2.9115,0.446434,-5.786,-4.036,-4.024,-7.0555,-4.7555,-5.70425,425.65,0.215315,-3.966
1,3.75,0.160691149,0.22192,-3.4374537355,0,-19.69,-1.399,76.375,0.07917,99.6,0.229,-5.088,0,0,-2.9065,0.4479915,-5.795,-4.04,-4.0235,-7.119,-4.7915,-5.6715,426.5,0.22309,-3.959
1,4.25,0.26,0.27836,-3.2599909125,0,-20.31,-1.4005,76.85,0.0808,99.6,0.252,-4.763,0,0,-2.9055,0.462834,-5.7675,-4.029,-4.0275,-7.1175,-4.81375,-5.644,426.3,0.23762,-3.9535
1,4.75,0.177716982,0.1788865,-4.221979156,0,-20.205,-1.3975,76.835,0.07686,99.6,0.225,-4.877,0,0,-2.908,0.435383,-5.6925,-4.019,-4.0485,-7.1,-4.85775,-5.65425,426.45,0.22409,-3.9435
