DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,CO2,VPD,NETRAD,H2O
1,17.75,0.374,23.266,2.3665,-4.3245,-3.696,0.161,3.053,-2.3045,42.444,-0.4,5.8835,22.733,21.3145,66.4055,333.414,9.49,16.036,18.617
1,18.25,0.308,22.478,1.7975,1.5155,1.3065,0.2685,-15.358,-2.8745,21.647,-0.26,4.0325,22.609,21.347,70.025,334.862,7.975,-31.443,18.403
1,18.75,0.217,21.877,1.276,3.92,3.54,0.363,-20.669,-3.051,12.179,-0.485,2.182,22.4215,21.361,72.8885,337.883,6.83,-49.189,18.3065
1,19.25,0.17,21.257,1.376,3.8745,3.89,0.252,-22.1725,-1.861,10.851,-0.943,-0.14,22.1875,21.3865,73.866,339.1275,6.45,-48.657,17.819
1,19.75,0.143,20.949,1.34,3.7275,3.7935,0.016,-24.974,-0.792,12.207,-1.1075,-1.659,21.9075,21.375,74.818,340.7345,6.23,-47.682,17.5815
1,20.25,0.1355,20.663,1.3985,3.9045,3.971,0.1345,-29.113,-1.134,9.568,-1.3585,-2.854,21.6765,21.331,75.7385,340.6655,5.7,-46.1375,17.397
1,20.75,0.1345,20.09,1.4695,3.839,3.833,0.131,-37.9625,-1.012,14.043,-1.642,-4.162,21.497,21.3295,74.8255,341.5025,5.855,-49.207,16.6445
1,21.25,0.141,19.768,1.4355,3.5745,3.994,0.0525,-25.8725,-1.077,13.14,-1.3995,-5.924,21.3155,21.3395,74.016,341.477,5.825,-46.492,16.3835
1,21.75,0.161,19.441,1.532,3.2395,3.431,0.128,-30.101,-0.827,11.997,-1.5245,-7.0405,21.1245,21.341,73.627,343.742,5.92,-46.6255,16.0585
1,22.25,0.159,19.376,1.545,3.061,3.413,-0.0245,-30.0965,-0.776,10.829,-0.7195,-8.088,20.9435,21.336,73.087,342.4875,6.01,-47.128,16.1095
1,22.75,0.16,19.142,1.615,3.243,3.657,-0.0205,-31.379,-0.481,11.406,-0.912,-9.0465,20.8315,21.357,73.2875,341.9395,6.09,-45.347,16.0775
1,23.25,0.147,19.176,1.661,3.0805,3.521,0.019,-28.6405,-0.4895,10.041,-0.734,-9.809,20.7025,21.3425,73.7395,341.788,5.87,-46.306,16.026
1,23.75,0.161,18.926,1.591,3.046,3.108,0.1,-23.61,-0.6095,12.177,-1.8915,-9.829,20.6025,21.339,72.973,343.76,6.15,-44.587,15.637
2,0.25,0.156,18.4945,1.419,2.9625,3.0905,0.0325,-30.3365,-0.5255,9.657,-0.845,-10.275,22.0011666666667,21.0195,69.003,338.6765,6.74,-44.878,14.805
2,0.75,0.141,18.226,1.3445,3.703,3.802,0.0955,-25.629,-0.7765,7.638,-1.0635,-10.816,21.8458333333333,21.0315,69.3645,339.806,6.545,-42.951,14.587
2,1.25,0.1175,18.1025,1.402,3.041,2.921,0.014,-32.367,-0.899,7.646,-1.1945,-11.527,21.6385,21.0105,68.946,339.514,6.485,-44.028,14.5085
2,1.75,0.145,17.9315,1.5575,3.08,3.174,-0.013,-31.926,-0.597,6.3315,-1.6395,-12.0135,21.4453333333333,21.0035,68.4405,339.7735,6.59,-45.884,14.0805
2,2.25,0.1465,17.739,1.4465,2.958,2.9475,-0.075,-25.8395,-0.5835,5.946,-0.4465,-13.082,21.2863333333333,20.9925,67.323,340.1805,6.565,-46.668,13.888
2,2.75,0.133,17.7235,1.493,3.23,3.192,0.044,-29.806,-0.4725,8.907,-1.4205,-13.3335,21.105,20.932,67.3645,340.49,6.65,-45.827,13.5705
2,3.25,0.1415,17.3165,1.5575,3.655,3.554,-0.0945,-28.8705,-0.2045,9.467,-0.676,-13.7395,20.9195,20.9055,67.254,339.9195,6.635,-46.428,13.584
2,3.75,0.151,17.2855,1.5715,3.639,3.603,0.0365,-33.751,-0.5945,9.9765,0.0255,-14.172,20.7458333333333,20.9055,67.123,340.2015,6.59,-47.573,13.734
2,4.25,0.1685,17.5485,1.515,3.258,3.4705,0.0625,-32.243,-0.199,10.2975,-0.877,-14.28,20.6175,20.8815,67.3815,340.742,6.61,-48.2105,13.702
2,4.75,0.16,17.208,1.6135,3.337,3.522,0.0675,-30.871,-0.4335,8.366,-0.3685,-13.936,20.4531666666667,20.859,66.8495,340.15,6.57,-48.873,13.395
2,5.25,0.1645,17.3585,1.592,3.352,3.393,-0.031,-34.562,-0.144,7.208,-0.2305,-13.553,20.317,20.848,66.71,339.8995,6.68,-47.2245,13.1135
2,5.75,0.1685,17.119,1.629,3.388,3.298,0.014,-35.7075,-0.1665,9.607,-0.567,-14.418,20.2058333333333,20.808,65.611,340.209,6.555,-49.835,12.864
2,6.25,0.175,16.717,1.6565,3.193,3.474,0.041,-37.835,-0.3795,9.328,-0.91,-15.1185,20.1203333333333,20.8195,65.466,339.6715,6.56,-49.1845,12.4075
2,6.75,0.1565,16.773,1.5435,3.138,3.254,-0.0175,-40.766,-0.3685,9.055,-0.4915,-15.306,20.0566666666667,20.797,65.804,339.8625,6.615,-50.0625,12.4135
2,7.25,0.158,16.875,1.649,3.289,3.597,-0.0065,-37.112,0.23,8.236,0.0355,-15.763,19.9936666666667,20.769,65.6055,339.858,6.615,-47.8495,12.496
2,7.75,0.1655,17.0115,1.5925,2.108,2.259,-0.086,-36.607,0.4125,9.922,0.2425,-15.471,20.0383333333333,20.7365,65.236,338.398,6.905,-36.7155,12.7635
2,8.25,0.1695,18.418,1.4555,-3.26,-2.656,-0.5425,-25.445,3.7165,26.067,2.585,-15.5845,20.1303333333333,20.671,63.073,335.8075,7.99,12.5215,13.414
2,8.75,0.1685,20.7115,1.0365,-8.624,-7.928,-0.956,6.233,9.214,46.39,6.6425,-12.963,20.3336666666667,20.5545,59.3065,331.087,9.95,76.9045,14.754
2,9.25,0.18,22.0155,1.028,-14.75,-14.3495,-0.334,22.838,3.527,64.094,5.757,-9.1255,20.7023333333333,20.349,59.963,329.345,10.42,159.1805,16.029
2,9.75,0.216,22.5,1.118,-20.06,-19.989,-0.0565,54.237,2.0335,102.095,1.632,-4.823,21.226,20.079,59.839,328.8635,10.925,242.963,16.145
2,10.25,0.249,22.9595,1.2615,-22.185,-22.041,-0.0835,74.6205,2.0225,123.917,0.5195,-0.687,21.8033333333333,19.7905,59.526,329.4085,11.38,322.0915,16.5045
2,10.75,0.261,23.5915,1.47,-24.768,-24.9215,-0.057,87.1685,2.316,157.4515,-0.429,3.0485,22.4403333333333,19.7525,57.081,328.9605,12.53,397.125,16.463
2,11.25,0.2955,24.062,1.7115,-26.886,-26.933,-0.043,106.5495,1.489,157.7455,-0.747,6.3445,23.104,19.9875,54.973,329.659,13.405,456.541,16.49
2,11.75,0.339,24.5075,1.8035,-28.827,-28.7495,-0.1335,118.4335,1.423,186.46,-0.0515,9.5905,23.778,20.0465,53.678,328.998,14.415,508.34,16.5595
2,12.25,0.358,24.9015,1.888,-31.1685,-30.869,-0.1455,133.7665,1.46,189.3815,1.045,12.6055,24.4971666666667,20.121,53.575,328.7405,14.615,550.888,16.797
2,12.75,0.396,24.9615,2.3025,-29.303,-29.1185,-0.082,139.45,0.5565,187.563,0.7125,17.5465,25.1578333333333,20.3475,52.906,328.436,14.915,558.3585,16.7605
2,13.25,0.403,25.013,2.3055,-29.929,-29.886,-0.0285,147.121,0.2575,196.6,0.433,18.3045,25.8055,20.573,53.649,328.062,14.78,568.129,16.805
2,13.75,0.4315,25.1915,2.504,-30.3395,-30.096,-0.077,143.1665,0.6385,193.5235,-0.091,20.91,25.9115,20.671,52.572,327.5375,15.245,542.204,16.9745
2,14.25,0.4715,25.265,2.7535,-29.075,-28.9845,0.0275,145.867,0.1525,194.251,0.524,24.1055,26.055,20.714,52.42,327.738,15.235,503.6425,17.1
2,14.75,0.472,25.108,2.722,-26.744,-26.756,0.0045,115.3355,-0.1,171.774,-0.2885,20.399,26.167,20.7505,54.533,328.0995,14.725,446.2185,17.3035
2,15.25,0.5165,25.0595,2.894,-23.654,-23.952,0.024,116.844,-0.432,158.45,0.019,17.983,26.3693333333333,20.7935,53.708,328.0405,14.58,407.158,17.56
2,15.75,0.488,24.9165,2.7305,-22.574,-22.674,0.0275,100.847,-0.359,150.955,-0.117,15.6375,26.4593333333333,20.775,55.0365,328.738,14.21,368.006,17.442
2,16.25,0.4625,24.732,2.7125,-20.234,-20.195,0.058,77.093,-0.7,143.057,-0.667,12.989,26.4495,20.7995,54.301,328.813,14.49,268.076,17.076
2,16.75,0.4545,24.61,2.645,-16.095,-16.142,0.084,46.361,-0.864,111.408,-0.257,10.4,26.3275,20.934,54.966,329.385,13.955,182.238,17.0855
2,17.25,0.4435,24.1005,2.5975,-12.387,-12.536,0.161,20.031,-1.6145,92.023,-0.2025,8.118,26.0586666666667,20.977,55.7035,330.492,13.195,117.581,17.0065
2,17.75,0.391,23.7835,2.377,-7.316,-7.393,0.115,5.812,-1.163,58.92,-0.236,5.707,25.8706666666667,20.9435,57.1735,330.506,12.56,43.947,17.0175
2,18.25,0.3625,23.1175,2.03,-2.067,-2.027,0.231,-10.791,-2.234,36.145,-0.181,3.846,25.5673333333333,20.965,58.7345,331.6235,11.135,2.762,16.86
2,18.75,0.249,22.095,1.4405,2.907,2.373,0.412,-15.988,-2.949,14.611,-0.4335,2.885,25.2078333333333,20.988,62.4155,333.709,9.725,-31.526,16.701
2,19.25,0.204,21.4225,1.1585,4.075,3.798,0.336,-21.463,-2.9575,12.875,-1.083,-0.004,24.7683333333333,21.0275,64.898,336.0655,8.68,-44.314,16.8265
2,19.75,0.1635,20.873,1.215,3.4245,3.354,0.1205,-21.289,-1.6985,10.4335,-0.8405,-1.902,24.3263333333333,21.0345,66.83,336.9705,8.035,-43.359,16.6375
2,20.25,0.1685,20.629,1.573,3.9715,3.9055,0.102,-28.706,-0.824,11.301,-1.002,-3.566,23.9378333333333,21.0325,67.1645,336.684,8.01,-40.642,16.3045
2,20.75,0.189,20.299,1.4125,3.462,3.26,0.086,-26.2345,-1.118,11.099,-0.93,-4.673,23.599,21.059,67.6095,337.2135,7.75,-42.368,16.0675
2,21.25,0.1445,19.8895,1.382,3.682,3.523,0.174,-27.956,-1.3665,10.408,-1.051,-5.92,23.2695,21.045,68.2225,337.5955,7.44,-42.1175,15.812
2,21.75,0.1325,19.442,1.267,3.166,3.135,0.123,-20.503,-1.219,6.973,-1.213,-6.649,22.9715,21.038,67.92,338,7.29,-42.628,15.6385
2,22.25,0.156,19.3835,1.3045,2.9175,2.9425,0.0515,-22.8915,-1.118,5.979,-0.547,-7.232,22.7078333333333,21.0035,69.108,339.394,6.855,-38.876,15.681
2,22.75,0.155,19.14,1.396,3.168,3.335,0.0295,-23.921,-0.9345,8.6525,-1.133,-8,22.498,21.0015,68.967,338.7505,6.68,-44.159,15.501
2,23.25,0.16,18.77,1.4385,3.092,3.1975,0.0305,-28.818,-0.7045,7.114,-1.3335,-8.874,22.2883333333333,21.013,69.178,337.763,6.505,-44.168,15.1245
2,23.75,0.151,18.718,1.2595,2.9185,2.93,0.0495,-29.071,-0.354,6.0895,-1.2335,-9.6215,22.1073333333333,21.0255,68.01,337.909,6.73,-44.2185,14.8555
3,0.25,0.1275,18.915,1.3025,1.98975,2.05275,0.0115,-30.6265,-0.5255,7.2935,-0.60425,-13.486,23.4383333333333,21.18,78.599,340.405,4.65,-39.501,15.555
3,0.75,0.122,18.8885,1.415,2.61075,2.64525,0.0305,-30.6265,-0.62325,5.8865,-0.675,-13.315,23.1976666666667,21.17,79.6585,341.61,4.335,-42.555,15.35475
3,1.25,0.149,18.6695,1.4645,2.8065,2.8035,0.01125,-30.6265,-0.70625,6.594,-1.08575,-13.412,22.931,21.174,79.577,341.05175,4.37,-42.672,15.135
3,1.75,0.1415,18.2055,1.4535,2.6925,2.82725,-0.0135,-30.6265,-0.46775,4.96525,-1.37925,-13.764,22.6976666666667,21.153,79.813,341.27625,4.25,-43.5695,14.75525
3,2.25,0.132,18.5075,1.4905,2.6935,2.728,-0.039,-27.8656666666667,-0.58525,6.67,-0.701,-14.41,22.5161666666667,21.1305,79.0835,341.659,4.22,-41.6105,14.67275
3,2.75,0.141,18.157,1.543,2.5225,2.7465,0.0435,-25.1048333333333,-0.437,7.3055,-1.0395,-14.9885,22.315,21.1175,79.397,341.82225,4.165,-41.5705,14.385
3,3.25,0.143,18.02,1.5745,2.8805,3.281,-0.0185,-22.344,-0.293,8.709,-0.67025,-15.417,22.077,21.1075,79.6565,341.905,4.06,-42.2875,14.3285
3,3.75,0.151,17.848,1.5625,3.29875,3.3325,0.02025,-39.469,-0.44675,9.383,-0.6535,-15.642,21.8531666666667,21.096,79.2905,341.67475,4.155,-45.1785,14.19225
3,4.25,0.1385,17.562,1.5435,2.613,3.294,0.03625,-37.556,-0.29825,10.287,-0.98475,-16.389,21.666,21.067,79.194,342.08425,4.155,-44.467,14.1635
3,4.75,0.159,17.7795,1.6205,2.99125,3.544,0.0245,-39.66,-0.31825,10.873,-0.51775,-16.683,21.4618333333333,21.027,78.2965,341.74525,4.255,-44.831,13.81575
3,5.25,0.1465,17.6085,1.522,3.1385,3.242,-0.0255,-37.939,-0.16525,7.446,-0.4245,-17.119,21.274,21.0085,78.783,341.53125,4.095,-44.739,13.66375
3,5.75,0.158,17.687,1.613,2.9585,2.982,0.00125,-36.59675,-0.289,7.994,-0.6335,-17.229,21.1361666666667,20.985,78.512,341.49075,4.175,-45.495,13.4605
3,6.25,0.1525,17.726,1.526,2.904,3.585,-0.000249999999999993,-35.2545,-0.1795,8.9725,-0.4995,-17.118,21.0046666666667,20.9625,77.6535,341.1655,4.465,-44.135,13.151
3,6.75,0.1895,17.4285,1.7645,2.542,2.992,-0.0395,-42.566,0.084,12.406,-0.00574999999999998,-16.798,20.9018333333333,20.943,78.016,340.977,4.54,-44.257,13.3405
3,7.25,0.16,17.143,1.577,1.739,1.297,-0.10225,-38.716,1.76575,14.353,0.8115,-17.8055,20.8438333333333,20.916,77.7035,339.7655,4.45,-33.577,13.524
3,7.75,0.161,18.2075,1.4635,-1.29475,-1.686,-0.34025,-26.7295,3.094,22.2465,2.4765,-17.689,21.0236666666667,20.847,74.78,336.84075,5.225,3.425,14.18075
3,8.25,0.145,19.9075,1.145,-6.5105,-5.6945,-0.416,-10.6965,3.07475,35.5555,3.56175,-15.8525,21.3116666666667,20.77,66.9895,334.39675,7.755,66.5045,15.1485
3,8.75,0.15,21.269,0.9815,-10.78575,-12.5355,-0.5205,20.535,5.2775,64.0985,3.8665,-11.516,21.8263333333333,20.643,66.3715,331.9485,8.705,155.471,15.9775
3,9.25,0.15,21.924,0.908,-14.8035,-16.908,-0.17675,39.5415,2.35825,86.4375,3.06675,-7.4035,22.5866666666667,20.5595,63.674,331.16525,9.74,237.8015,16.67825
3,9.75,0.2075,22.6115,1.3445,-18.5405,-19.632,-0.03675,65.273,1.65225,95.42,0.8925,-3.992,23.4675,20.447,62.3915,330.56425,10.54,330.773,16.7315
3,10.25,0.2415,23.216,1.65,-21.295,-20.7245,-0.06225,82.6505,1.79625,119.565,-0.01525,-0.051,24.2736666666667,20.3745,59.79,330.73625,11.67,387.458,16.85675
3,10.75,0.297,23.6905,1.8085,-23.266,-25.953,-0.064,115.062,1.823,154.9055,-0.371,4.117,25.2141666666667,20.077,57.88,330.44625,12.715,476.516,16.793
3,11.25,0.28,24.531,1.7465,-25.4245,-25.988,-0.046,122.212,1.2255,161.933,-0.3765,7.981,26.1335,19.9895,55.749,330.3015,13.74,526.256,16.6985
3,11.75,0.293,24.7525,2.012,-26.143,-23.1045,-0.08275,104.276,1.1675,157.062,0.31425,11.3165,27.059,20.304,55.4105,329.8585,13.81,435.6555,16.89475
3,12.25,0.3135,25.34,2.1225,-26.19025,-25.7045,-0.08975,139.7605,1.174,170.4845,0.926,16.198,27.9988333333333,20.4105,54.201,329.76325,15.015,622.395,17.116
3,12.75,0.3125,25.581,1.9765,-27.2325,-27.014,-0.0565,151.8465,0.68775,195.502,0.62275,21.335,28.8216666666667,20.679,53.4745,329.1545,15.26,638.453,17.10625
