DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,TS_2_3_1,G_3_1_1,TS_3_1_1,TS_3_2_1
1,0.25,0.059145,-17.22256,1.0502011833,-1.1383575,-1.4769286334,-0.1205507073,-76.109,-2.725831015,-11.3665088535,-3.313292054425,-17.2175,-14.74275,-5.71,-1.2684,39.1478543625,95.09193104575,373.09622487,0,-97.3175,0,-1.8900555,0,182.4741572825,239.51764,0.9185892204,-0.025,-20.539,-9.53802,-11.34103
1,0.75,0.0626,-17.537485,1.158170342925,-1.06014828205,-3.0832798683,-0.3602983244,-71.721554,-1.9938534323,-9.3890575,-1.92993040935,-17.2525,-14.9055,-6.00165,-1.314525,40.881274503,95.028346845,373.0163952525,0,-98.0125,0,-1.77826955,0,182.279195,238.8705,1.0042734495,-0.03,-20.49,-9.94091,-12.35499
1,1.25,0.0495725,-17.335455354,1.10294074175,-1.045179311,-1.6409621106,-0.67453387775,-75.016632,-2.76734729585,-7.81309,-2.846613675075,-17.35625,-15.024,-6.105625,-1.295,40.97332,95.0653617145,374.15916711,0,-99.425,0,-1.7798706,-0.02987665,181.73685,237.6362025,0.8821492642,-0.0345,-20.52,-10.15547,-12.56261
1,1.75,0.0601471859,-17.588417006,0.957047272375,-0.632155,-2.8005136408,-0.09318,-75.265125,-1.751683881875,-7.55837,-1.14936238275,-17.5145,-15.12575,-6.1357,-1.2905,40.3825925,95.16824783075,375.4398027775,0,-99.2725,0,-1.881129025,-0.051789961,181.239065,238.2003475,0.93976,-0.036,-20.5745,-10.30515,-12.40432
1,2.25,0.04029,-17.1395,0.86322296305,-0.74921010435,-0.9890475,-0.2642815214,-67.402803,-2.2511028342,-8.45833,-1.5946130348,-17.599,-15.2175,-6.15545,-1.3683,41.59096,95.2087754175,374.35890936,0,-113.838313215,0,-1.9310012,0,180.710402315,242.0411300925,0.9323246495,-0.071325,-20.574,-10.21601,-12.34894
1,2.75,0.0572697598,-17.47878,1.05950831425,-0.761554943475,-1.7932015,-0.183976248,-64.86929,-2.503450000125,-10.522212486,-1.55170847605,-17.72875,-15.2845,-6.1788,-1.5353,43.15448,95.2382789275,374.7954022975,0,-96.795,0,-1.92396155,0,180.39872513,241.57214359,0.79853,-0.08145,-20.5235,-10.15967,-11.905
1,3.25,0.0518489129,-17.495542,0.9372339784,-2.4022870712,-2.170231453175,-0.2196780738,-63.900543,-2.45096248585,-7.6360975,-1.4651340716,-17.8625,-15.33,-6.0865,-1.568,44.195,95.2229702075,371.9683456825,0,-106.411172385,0,-1.816819,0,179.95341285,238.90566211,0.6987525,-0.089575,-20.4685,-10.12247,-12.57402
1,3.75,0.044425,-17.720015,0.91709,-1.80283063,-3.190661594,-0.22197303365,-65.2404625,-1.9355607972,-8.034961,-1.4986062001,-17.9375,-15.34975,-6.0236,-1.62,43.6924,95.18724592225,374.997014605,0,-96.6825,0,-1.882991,0,179.55414399,238.683811185,0.62712675,-0.095375,-20.433,-10.15666,-12.69621
1,4.25,0.0467723826,-18.281778408,1.1405289536,-2.888132022125,-3.3817055061,-0.1293947443,-67.4000575,-2.24317557085,-6.7180365,-1.47229682,-18.71125,-15.3275,-5.959,-1.513275,44.206875,95.1147924575,372.632154115,0,-96.205,0,-1.947467875,0,179.0000070375,237.672805,0.65438522065,-0.100125,-20.485,-10.26241,-12.8433
1,4.75,0.0493625,-18.0337074025,1.0803738696,-3.81951529425,-3.748028670625,-0.30883122315,-62.779175,-2.386727454275,-9.73394,-1.1871489535,-18.70875,-15.3575,-6.228,-1.5345,44.017,95.08952884,373.19717065,0,-96.925,0,-1.978175375,-0.041613,180.0062595,237.4796925,0.6417456379,-0.105125,-20.5165,-10.63959,-12.72603
