DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_1_2_1,TS_2_2_1,TS_3_2_1,TS_1_3_1,TS_2_3_1,TS_3_3_1,TS_1_4_1,TS_2_4_1,TS_3_4_1,TS_1_5_1,TS_2_5_1,TS_3_5_1,TS_1_6_1,TS_2_6_1,TS_3_6_1,G_1_1_1,G_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,548.6903427,12.8911486,7340.60042119998,5.58595485,141.23885275,8.75411775,64.27016365,6.703739,0.5508868,0.0063625,1.5225927,0.6778833,22.6884159,0.82275375,102.771,97.93,16.1175,13.38508175,11.62,11.64625,11.4875,11.7805,11.69125,11.585,12.0925,11.96125,11.74,12.38125,12.38875,12.20375,12.30125,12.37125,12.40125,12.11125,12.0775,12.04375,5.5670735,4.211198,-12.9846153,-0.233197774999997,0,0.46611,0.570342,0,-0.191479,2.32384835,370.14532875,370.845531
1,0.75,558.0704465,12.89181325,6258.70928359998,5.42596795,163.1876124,16.3760674,52.654802475,6.0106297,0.4718557,0.00956524999999999,1.4757392,0.6199231,22.8462246,0.933695875,102.762,98,16.22375,13.516163625,11.56375,11.67,11.43125,11.62325,11.58625,11.45125,11.99,11.7025,11.635,12.32125,12.32625,12.11875,12.31125,12.37125,12.3925,12.105,12.07875,12.071,3.7528452,3.9751153,-12.790384175,0.507666574999988,0,0.46611,0.570342,0,-0.229775,2.544714975,370.4516009,370.2895253
1,1.25,552.457684725,12.764785875,4889.25948875,6.821033875,156.54049575,8.00970225,65.37593425,6.36044429999999,0.6022039,0.005807875,1.4804399,0.657984099999999,22.5017381,0.8328741,102.77,97.95,15.931,13.2285704,11.539,11.6605,11.4375,11.534,11.552,11.3465,11.744,11.6975,11.527,12.2555,12.2395,12.0265,12.312,12.3535,12.377,12.1245,12.082,12.082,3.95122,3.7533895,-10.50961505,1.11732719999999,0,0.46611,0.570342,0,-0.143609,2.4634143,371.6770424,371.7784855
1,1.75,536.4665058,12.6628419,4880.522713775,6.4822062,94.3933816,11.3255583,58.04307115,5.55354039999999,0.4853652,0.0111443,1.5195265,0.6191,22.233193,0.863863,102.77,98.23,15.61,12.9457627,11.5175,11.632,11.4115,11.476,11.5335,11.3365,11.668,11.622,11.463,12.175,12.1545,11.9115,12.302,12.342,12.338,12.116,12.082,12.081,3.839430625,3.569149625,-9.7980773,-0.565489600000008,0,0.46611,0.570342,0,-0.143609,2.1517614,371.8795717,371.8782675
1,2.25,536.7462746,12.6566624,5345.04053375,5.32560245,145.1934755,7.308636225,58.7962199999999,6.4608379,0.526748,0.005488925,1.4476755,0.6487111,22.043612,0.888504299999999,102.761,98.31,15.444,12.6015296,11.455,11.525,11.3725,11.45175,11.5,11.3475,11.66,11.57125,11.37875,12.0825,12.0075,11.73125,12.27125,12.31,12.295,12.11375,12.08,12.06625,5.148373625,3.59905875,-8.82884605,-0.160462100000018,0,0.46611,0.570342,0,-0.07778875,2.222222,370.9576266,372.4983581
1,2.75,559.32960125,12.61592,4736.3342736,5.972087875,124.0198604,9.09230384999999,65.24306925,6.3131673,0.512830699999999,0.01012445,1.6796623,0.6640052,20.9238337,0.961088599999999,102.734,98.51,14.849,11.0856191,11.40875,11.515,11.33125,11.42225,11.4975,11.3575,11.58125,11.46625,11.36375,11.965,11.865,11.57,12.2525,12.27125,12.26375,12.12125,12.0875,12.04625,4.851626125,3.497367875,-6.65000035,-1.14814175,0,0.46611,0.570342,0,0.0502631499999992,2.493225,371.85251375,372.565452625
1,3.25,541.451816,12.7142842,4236.211711,4.57484845,87.870916325,11.618771375,68.82322085,7.6099491,0.5561127,0.003424875,1.4145573,0.7242152,19.7747996,1.0843747,102.705,98.6,13.708,10.5268508,11.384,11.438,11.316,11.387,11.414,11.341,11.586,11.402,11.347,11.824,11.696,11.551,12.237,12.263,12.1995,12.141,12.088,12.0825,4.64715429999999,3.3354602,-8.65576947500001,-0.1530475,0,0.46611,0.570342,0,-0.0646244999999997,2.34417315,370.3882087,372.9662052
1,3.75,547.91116865,12.667187425,4263.958222,6.4340467,172.2929979,8.72984839999999,73.368513375,7.953311875,0.566119375,0.006351625,1.50176275,0.786741625,20.459861375,0.851480299999999,102.703,98.6125,14.05125,10.45688725,11.37,11.4075,11.31375,11.35725,11.3725,11.32875,11.5375,11.41,11.3375,11.6975,11.65125,11.545,12.225,12.24,12.14375,12.11625,12.1,12.0775,3.91219549999997,2.7915135,-12.457692475,-0.5076694,0,0.46611,0.570342,0,0.09574,1.95122,370.85198195,373.91421225
1,4.25,541.6424165,12.818497025,4270.654444275,7.65022939999999,135.900431,9.709510075,73.3581987250001,8.907739,0.558520625,0.004622675,1.554478125,0.758264875,20.68027475,0.893011125,102.68625,98.8,14.34625,11.1786625,11.3375,11.35125,11.29,11.32775,11.33875,11.29625,11.45125,11.42,11.31375,11.655,11.64375,11.52375,12.195,12.2,12.09375,12.115,12.1175,12.07,2.85975575,2.318950375,-7.384615175,0.740726899999977,0,0.46611,0.570342,0,0.0670176499999989,2.222222,371.19821495,373.263216125
1,4.75,558.49861515,12.8877902,4079.6038064,6.809820275,109.5981713,15.62433035,74.569981825,7.76365325,0.545220375,0.00829139999999996,1.577955875,0.78282425,20.661302,1.0392665,102.69375,98.6375,14.20375,10.930597625,11.36125,11.41875,11.3325,11.343,11.36875,11.29375,11.40125,11.43125,11.3275,11.6325,11.64125,11.5325,12.1725,12.15375,12.03875,12.12625,12.1275,12.09875,2.578862,2.1119796,-6.35576905000001,0.412519800000001,0,0.46611,0.570342,0,-0.0287220000000004,2.933604075,371.3303708,373.86508815
