DOY2,HR2,FC_1_1_1,FC_1_1_2,CO2_1_1_1,CO2_1_1_2,H_1_1_1,H_1_1_2,LE_1_1_1,LE_1_1_2,H2O_1_1_1,H2O_1_1_2,NEE_1_1_1,NEE_1_1_2,FCH4_1_1_1,CH4_1_1_1,RH_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_2_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,NETRAD_2_1_1,PPFD_IN_1_1_1,TS_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1
1,0.25,0.11914746875,-0.01862,381.0988,395.365925,-39.25528,-35.01415,-0.58302665,-1.208395,1.73606125,1.355902,0.1017142,-0.211681,-1.149367,1932.45932575,69.19,-14.15565,-0.321661075,0.145918225,1.624447897,1.494,99.8,-13.6375,-57.55208,-76.3625,0,-0.465,-6.86499075,-3.70997975,226.4856,265.588775,-3.4735,-1.107,184.375,251.375,-0.23,0.09,1.015,2.095,2.49,-0.0715,0.49775,1.1,2.76775,3.7
1,0.75,0.07681368875,0.011478955,380.915,395.31835,-39.888145,-37.7474325,-0.6929986,-0.285831075,1.621579,1.2772595,0.0885276025,0.18537375,-1.098639396,1932.3056345,69.33,-14.7928865475,-0.31855899225,0.14048597675,1.580015,1.5845000145,99.8,-14.0875,-56.289675,-75.7575,0,-0.4655,-6.743944,-3.8783705,233.445375,264.877925,-3.4035,-1.15725,187.15,250.975,-0.23,0.09,1.02,2.1,2.5,-0.06925,0.49775,1.1,2.7625,3.7
1,1.25,0.1282993355,0.1669806,381.1415,395.205,-38.3380825,-36.7374075,-0.608924998,-0.4498577,1.6704618865,1.38951775,0.103257514,0.09529126,-0.88291992775,1934.57921375,69.57,-15.245053045,-0.32387275,0.13157185,1.6053055,1.5690000135,99.8,-14.005,-52.067435,-75.5525,0,-0.477,-6.84522275,-3.763622,227.970475,263.559475,-3.31225,-1.1535,186.975,250.3,-0.235,0.1,1.02,2.0925,2.5,-0.07275,0.49775,1.1,2.76475,3.7
1,1.75,0.07652692,-0.034675495,381.1827,395.57725,-38.3174275,-34.1385125,-0.68651745,-0.8862266,1.6421655,1.297808,0.10327434875,0.185717625,-0.7985079705,1935.02377,70.9,-15.24385,-0.3424973,0.126895225,1.528105,1.522000014,99.80000305,-14,-46.4813075,-75.8775,0,-0.461,-6.6700845,-3.639054,228.9849,261.421225,-3.42375,-1.1855,186.75,248.95,-0.235,0.09,1.02,2.1,2.5,-0.075,0.49775,1.1,2.761,3.7
1,2.25,0.02563426175,0.07142598,380.99065,395.7905,-38.90037246,-33.80833,-0.8282207,-0.4582851,1.57430175,0.92018695,0.09274422,0.17606665,-1.333636663,1934.862348,71.66,-15.1686,-0.316656825,0.1466195,1.5862305,1.4864999655,99.80125,-14.1725,-50.8998225,-75.765,0,-0.472,-6.626932,-4.118454,225.447375,260.863275,-3.443,-1.19725,185.075,248.45,-0.24,0.1,1.0125,2.0925,2.4925,-0.0745,0.49775,1.1,2.76325,3.7
1,2.75,0.1012678035,-0.105116775,380.9823,395.577625,-38.733611735,-34.3077,-0.5609993,-0.33209305,1.56733975,1.260804,0.1186468,-0.1121121,-1.119350003,1935.77008925,71.63,-14.99304626,-0.31801992375,0.13399585,1.571401,1.4335,99.8,-14.2449997975,-53.220245,-75.7225,0,-0.475,-6.55596775,-3.7667405,216.8444,260.30055,-3.36575,-1.207,185.325,247.275,-0.23,0.09,1.02,2.1,2.48,-0.0755,0.5,1.1,2.75275,3.7
1,3.25,0.12576805,0.0452,380.9202,395.5398,-42.075615,-32.958935,-0.592032092,-0.715464275,1.53252975,1.231174,0.207182,0.2218058,-1.45022670925,1935.3742375,71.31,-15.2732,-0.33363162,0.1388903,1.57413984,1.453,99.8,-14.285,-57.6437825,-76.075,0,-0.4765,-6.48537175,-3.64473075,214.940475,259.7873,-3.48675,-1.2305,183,246.275,-0.245,0.1,1.0125,2.0925,2.49,-0.084,0.49775,1.1,2.75725,3.7
1,3.75,0.1306982,-0.04034403,381.160775,395.6457,-38.7552775,-26.78375,-0.864177575,-0.36875565,1.598152,1.23248175,0.1292467,-0.339323175,-1.1029225,1936.111016,71.26,-15.6365,-0.339923015,0.13547,1.6159955,1.460500019,99.8,-14.43,-59.6067125,-75.73,0,-0.4835,-6.66627725,-3.881118,214.602675,259.38405,-3.5165,-1.26475,180.175,245.8,-0.25,0.09,1.02,2.085,2.48,-0.0975,0.49475,1.1,2.755,3.69775
1,4.25,0.1338376,0.1628546,380.94695,396.466625,-38.4962225,-31.95318,-0.753346995,-0.79263275,1.5582573125,1.038833,0.12975379025,0.0350480225,-1.43266575,1934.63314575,70.88,-15.76199645,-0.3018210635,0.14093335,1.642614096,1.4580000085,99.8,-14.83,-51.9191275,-78.4975,0,-0.497,-6.40408725,-3.8957985,219.0684,259.93575,-3.4815,-1.24775,180.925,245.7,-0.25,0.09,1.0125,2.0825,2.49,-0.0975,0.4955,1.1,2.77,3.7
1,4.75,0.11372555,0.108252965,380.932225,396.2406,-40.08199,-27.0855425,-0.6058674,-0.4449051,1.49537,1.0324015,0.1406779,0.069997725,-1.336233991,1935.8715655,70.08,-16.076775,-0.3231251895,0.13543320775,1.5698930095,1.4235,99.800001525,-15.14,-52.7261425,-78.1975,0,-0.492,-6.49757175,-3.75312475,213.211875,259.092225,-3.3765,-1.2285,183.325,246.275,-0.255,0.09,1.005,2.08,2.48,-0.0945,0.49025,1.1,2.75725,3.69475
1,5.25,0.0759013755,0.1428604,380.7862,395.8248,-40.3172481725,-31.2798475,-0.69799198925,-0.41205265,1.5169355165,1.20038675,0.08644460325,0.2357529,-1.00641515775,1935.231684,70.29,-16.2358,-0.308520679,0.1325728,1.4503995,1.307500026,99.8,-15.18,-53.930695,-75.71,0,-0.506,-6.53626025,-3.80436,211.1107,259.21655,-3.46,-1.1065,184.25,246.525,-0.265,0.09,1.005,2.085,2.4825,-0.0975,0.49775,1.1,2.73775,3.69775
