DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
1,0.25,0.29809,-2.026,1.4658,-7.769,3.61045,71.556,99.54647,403.475,4.5236,2157.9,-2.383945,0.78256,0.094319,1.4812,3.5329,4.4507
1,0.75,0.30929,-2.1154,1.4042,-8.1453,2.5866,72.3275,99.53952,404.24,4.36475,2145.3,-2.53442,0.789945,0.0415945,1.1273,3.53,4.9916
1,1.25,0.288235,-1.9506,1.38535,-8.7903,3.5381,72.5285,99.532565,404.055,4.3562,2141.7,-2.37066,0.841,0.089761,1.3305,3.5266,4.60165
1,1.75,0.2951,-1.9133,1.415,-8.63245,3.2703,73.4145,99.53359,403.8,4.497,2148.3,-2.442675,0.71437,-0.0124415,0.84164,3.5173,5.7025
1,2.25,0.31845,-2.1467,1.3836,-8.6907,3.4722,73.378,99.52146,404.21,4.519,2143.7,-2.75375,0.60795,-0.00098911,0.86528,3.5138,3.07445
1,2.75,0.301595,-2.4883,1.40455,-8.2221,4.03875,74.077,99.50853,403.885,4.4385,2140.75,-3.1463,0.742465,0.068047,0.94332,3.50915,5.3001
1,3.25,0.29183,-2.5833,1.3954,-7.0758,3.094,74.513,99.51066,403.47,4.4079,2138.4,-3.0325,0.809065,0.051473,1.0143,3.49895,5.8913
1,3.75,0.27503,-2.6557,1.39285,-8.21775,4.25,74.974,99.542585,403.3,4.364,2146.9,-2.51974,0.6799,0.020232,0.83886,3.48545,3.9417
1,4.25,0.294845,-2.646,1.45765,-8.31635,4.9985,75.022,99.54552,403.735,4.34325,2130.6,-2.547425,0.7154,0.0851335,1.0284,3.47675,6.41465
1,4.75,0.31012,-2.71665,1.5544,-6.5591,4.60535,75.368,99.501895,402.59,4.371,2133.75,-2.52531,1.1466,-0.00400025,1.2655,3.48215,7.3376
1,5.25,0.305615,-2.7283,1.42025,-6.4581,4.07925,75.238,99.47035,402.7,4.381,2148.9,-2.55652,0.98329,0.124515,1.2302,3.472,6.5399
1,5.75,0.33153,-2.625,1.5234,-7.111,3.9675,75.019,99.478535,402.575,4.3265,2145.3,-2.574755,1.05,0.17145,1.5444,3.4484,8.10175
1,6.25,0.315535,-2.7383,1.4379,-7.1277,4.6894,74.711,99.464,402.4,4.35155,2142.9,-2.418625,1.0764,0.124915,1.0875,3.4346,8.9184
1,6.75,0.32339,-2.7464,1.49805,-7.0863,4.4125,75.371,99.49643,403.36,4.297,2132.35,-2.53666,1.256,0.27316,1.56675,3.4305,7.7498
1,7.25,0.32742,-2.7667,1.497,-7.881,4.7705,75.156,99.514645,403.89,4.24225,2129.25,-2.47579,0.82315,0.289105,1.4308,3.4259,4.7172
1,7.75,0.32283,-2.78845,1.53935,-8.083,4.277,74.6125,99.53957,403.38,4.1415,2118.1,-0.899265,1.1729,0.20875,1.67135,3.4209,7.1532
1,8.25,0.34521,-2.4824,1.63645,-4.204,5.6853,74.9155,99.539235,403.905,4.20325,2114.4,18.9475,1.26905,0.075685,1.663,3.41195,8.3917
1,8.75,0.36314,-2.4082,1.6693,4.454,6.4757,74.282,99.560155,404.195,4.2843,2116,77.6985,1.3784,-0.096671,1.2616,3.40665,8.16
1,9.25,0.398335,-2.506,1.84405,15.0465,9.57765,72.8965,99.595955,402.58,4.3653,2116,147.525,0.985,-0.35676,0.69389,3.41225,10.586
1,9.75,0.42884,-2.455,1.8986,31.556,12.325,72.7235,99.62006,402.23,4.42855,2109.1,189.31,1.0559,-0.41948,0.72816,3.41505,13.766
1,10.25,0.444845,-2.2925,2.0529,40.4825,13.7685,71.539,99.58683,401.19,4.458,2110.8,258.09,0.99039,-0.34162,0.42658,3.4003,11.519
1,10.75,0.456395,-1.9033,2.10685,52.547,15.849,68.685,99.57194,399.915,4.3765,2106.1,326.51,0.720365,-0.34147,0.507,3.3977,10.425
1,11.25,0.487465,-1.441,2.18055,67.198,17.5795,66.662,99.54478,399.86,4.3911,2101.6,376.54,0.7693,-0.32851,0.391435,3.3977,12.623
1,11.75,0.486095,-1.1805,2.2206,86.9795,18.55,65.156,99.55228,399.16,4.35475,2096.4,439.69,0.59081,-0.27059,0.16247,3.4001,11.5625
1,12.25,0.496315,-0.825215,2.197,75.602,20.494,63.112,99.46377,399.12,4.4118,2094.2,413.34,0.42252,-0.23251,0.367,3.4029,14.362
1,12.75,0.48901,-0.67816,2.316,82.036,18.2445,61.612,99.43498,399.47,4.3857,2098.1,441.53,0.52703,-0.24607,0.234185,3.4042,14.976
1,13.25,0.49644,-0.46944,2.25575,78.753,18.9325,61.47,99.41316,398.85,4.3715,2095.5,416.16,0.665,-0.16858,0.50811,3.4355,11.503
1,13.75,0.52085,-0.344045,2.3216,76.891,21.005,61.393,99.35922,398.41,4.4514,2094.9,394.34,0.61345,-0.13153,0.54196,3.4374,11.893
1,14.25,0.5144,-0.191425,2.3937,67.92,18.8,60.51,99.34301,398.13,4.3803,2100.5,329.43,0.510615,-0.11072,0.486035,3.4365,11.4925
