DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,0.25,0.34,17.185,2.374,2.931,3.0715,0.19025,-5.34,4.71,-5.3055,93.3,102.4,399.933,2.8875,-10.505,0,0.436,17.87
1,0.75,0.367,17.08,2.404,2.897,2.8265,0.112,-6.5595,4.627,-5.47825,93.9,102.4,399.82075,2.945,-9.35,0,0.451,17.576
1,1.25,0.334,16.995,2.266,3.111,3.1715,0.171,-8.5215,4.599,-5.5685,94.05,102.4,400.375,2.92,-8.415,0,0.541,17.534
1,1.75,0.35,17.065,2.24975,2.81275,2.914,0.2325,-6.75625,4.13,-6.00475,93.95,102.4,398.91675,3.1,-8.535,0,0.469,17.5225
1,2.25,0.3625,16.755,2.4805,2.783,2.913,0.18225,-4.972,6.061,-6.06775,94.25,102.4,403.60175,2.9075,-8.275,0,0.474,17.43325
1,2.75,0.359,16.515,2.523,2.7075,2.73,0.19775,-6.64175,9.32825,-5.7045,94.3,102.4,406.26125,2.8025,-8.435,0,0.409,16.9405
1,3.25,0.318,16.365,2.336,2.799,2.992,0.166,-9.72475,5.22,-5.327,94.55,102.4,405.42275,2.645,-7.52,0,0.47,17.105
1,3.75,0.3145,16.195,2.169,2.805,2.90925,0.1045,-7.244,5.42375,-6.052,94.6,102.4,406.405,2.34,-6.891,0,0.467,17.2105
1,4.25,0.3115,16.022,2.072,2.74,2.83675,0.13525,-6.26875,6.61625,-6.588,94.55,102.4,406.115,2.325,-6.4565,0,0.494,17.171
1,4.75,0.315,16.146,2.143,2.618,2.731,0.5485,-5.936,5.781,-6.1155,94.8,102.4,406.792,2.35,-6.615,0,0.489,16.8005
1,5.25,0.309,16.25,2.29775,2.731,2.7565,0.42,-3.433,6.33075,-5.38175,95.05,102.4,405.8735,2.4,-6.577,0,0.433,17.3555
1,5.75,0.324,15.895,2.282,2.73175,3.128,0.8935,-2.97,6.021,-6.5175,95.25,102.4,415.047,2.3925,-6.165,0,0.465,17.21125
1,6.25,0.31,15.485,2.217,2.9205,3.944,0.268,-4.899,9.4955,-7.23,95.4,102.4,417.027,2.2,-5.938,0,0.47,17.192
1,6.75,0.318,15.34,2.166,2.858,3.1365,0.21975,-3.5955,7.0935,-7.075,95.35,102.4175,423.02,2.1,-5.853,0,0.519,17.013
1,7.25,0.32175,15.705,2.179,2.7875,3.0015,0.102,-2.55,10.911,-7.1325,95.6,102.5,420.932,1.955,0.871,20.6035,9.15,17.07525
1,7.75,0.335,16.3505,2.38675,1.862,2.09825,0.07325,0.7435,15.53075,-6.3505,95.55,102.5,416.62675,2.2,29.77,147.75,69.24,17.75575
1,8.25,0.39,17.285,2.4855,0.548,1.036,-0.01125,11.719,28.81675,-4.1085,95.2,102.5,408.03825,2.94,90.625,348.525,162.55,19.771
1,8.75,0.43175,18.85525,2.8215,-1.121,-1.22925,-0.07725,49.75375,50.861,-0.375,93.5,102.5,394.52,4.2,159.3,567.88075,258.2,20.8265
1,9.25,0.473,20.32,3.0035,-2.859,-3.10125,-0.08875,86.9385,79.4965,3.5925,88.1,102.6,389.32525,5.55,224.85,756,348.8,20.46
1,9.75,0.513,21.23,3.1725,-4.642,-4.7055,-0.05175,123.408,96.85,6.84575,82.1,102.6,384.7325,7.1,285,933.733,422.6,20.34575
1,10.25,0.514,21.97,3.322,-6.021,-6.48475,-0.038,149.465,114.567,18.08,76,102.6,382.791,8.27,344.625,1089,500.675,20.01
1,10.75,0.53925,22.6425,3.422,-7.0875,-7.613,0.001,176.71,138.4585,24.06,72.35,102.6,380.992,9.585,397.25,1220.75,565.3,19.68575
1,11.25,0.5625,22.905,3.601,-7.4165,-7.878,0.01075,189.78975,155.595,23.99,68.845,102.6,380.40075,10.39,435.9,1322.879,608.4,19.61725
1,11.75,0.55775,23.105,3.529,-7.341,-8.35325,0.0195,209.7855,166.5535,25.8975,67.21,102.6,380.35375,11.1,454.05,1388,641.625,19.41125
1,12.25,0.559,23.58,3.61,-7.5155,-7.54525,0.01,211.7265,164.1185,25.565,66.505,102.525,379.641,11.6,465.925,1410.5,654.3,19.567
1,12.75,0.5645,23.71,3.6585,-6.95975,-7.419,0.0205,211.85,163.7525,37.2575,65.2425,102.5,379.18975,12.12,459.9,1396.4845,660.175,19.1835
1,13.25,0.5915,23.545,3.686,-7.40125,-7.70275,0.021,200.786,166.3215,42.07,65.1675,102.40775,378.97125,12.62,446.275,1361,647.175,18.6835
1,13.75,0.557,23.685,3.606,-6.80675,-7.294,0.036,190.65,156.095,24.84,64.6055,102.4,378.474,12.31,420.025,1290,608.4,18.917
1,14.25,0.5685,23.5185,3.523,-6.352,-6.806,0.017,174.16325,146.06425,18.13,65.0005,102.4,378.49475,12.535,389.905,1204,567.5,18.80175
1,14.75,0.5325,23.305,3.403,-5.148,-5.81575,0.0425,150.9675,133.7115,10.8175,66.3825,102.4,379.7005,12.52,336.7,1076.5,508.775,19.05
1,15.25,0.517,22.905,3.345,-4.286,-4.78,0.048,110.7185,111.3895,8.665,67.8575,102.4,379.646,12.25,274.4,923.0185,437.8,18.831
1,15.75,0.482,22.57,3.23375,-3.666,-3.86325,0.0425,78.291,86.7125,7.28,69.09,102.4,379.63525,11.6,203.5,731.2465,352.225,19.11575
1,16.25,0.471,22.17,3.161,-2.18,-2.556,0.06025,45.39,64.976,5.54425,70.325,102.4,379.602,10.7,130.301,520.37575,256.5,19.319
1,16.75,0.459,21.58,2.91975,-0.522,-0.671,0.087,6.064,42.24,3.96625,73.325,102.4,379.96725,9.7075,58.84,301.2,161.35,19.436
