DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
1,21.75,0.13025,0.03275,-0.271,-36.83,0.259,-0.189,404.8125,384.275,2.4605,-60.0915,0,0,-0.009,-2.95975,0.234,260.57325,278.41775,-6.6615,69.39,2.0815,100.8,0.02775,0.399,0.708,1.173,2.343,4.31,-0.002,0.113,0.452,1.127,2.38925,3.997,-4.746,-5.628,-5.208,-5.796,0.34285,0.56235
1,22.25,0.189,0.03,-0.26475,-34.5155,0.26025,-0.225,405.052,384.05,2.503,-61.6175,0,0,-0.009,-2.91825,0.229,257.81825,277.1075,-6.518,69.12,2.1545,100.8,0.02425,0.399,0.703,1.18,2.346,4.287,0.002,0.118,0.442,1.128,2.394,4,-4.83,-5.67,-5.25,-5.838,0.35405,0.5692
1,22.75,0.16775,0.04425,-0.445,-35.3355,0.265,-0.2255,404.43525,383.65,2.436,-61.56325,0,0,-0.009,-3.072,0.2715,260.023,276.68175,-6.57175,68.96,2.198,100.8,0.03,0.395,0.703,1.171,2.343,4.301,-0.002,0.11,0.438,1.122,2.39875,3.988,-4.83,-5.67,-5.25,-5.838,0.35515,0.603925
1,23.25,0.104,0.04125,-0.36575,-37.14575,0.279,-0.198,404.54175,383.35,2.436,-57.83775,0,0,-0.009,-2.87775,0.22025,261.315,276.26625,-6.6685,69.32,2.128,100.8,0.02875,0.4,0.702,1.177,2.337,4.307,-0.001,0.118,0.439,1.123,2.395,3.996,-4.83,-5.754,-5.292,-5.838,0.367725,0.6141
1,23.75,0.104,0.037,-0.33375,-37.08475,0.284,-0.1745,405.0225,384.375,2.4005,-58.50525,0,0,-0.009,-2.8315,0.21075,257.723,275.88575,-6.9135,69.7,2.1155,100.8,0.01825,0.392,0.71,1.178,2.35,4.298,-0.004,0.12,0.443,1.121,2.395,4.005,-4.872,-5.754,-5.292,-5.88,0.3782,0.6127
2,0.25,-0.049,-0.01825,-0.21525,-33.85425,0.2195,-0.20075,403.6415,384.45,2.35325,-59.874,0,0,-0.009,-3.1225,0.27225,260.76,273.2105,-8.16,67.2375,2.14925,100.6,-0.041,0.18725,0.41375,0.77725,1.65,3.27975,-0.18225,-0.0825,0.1675,0.657,1.561,2.834,-3.4545,-3.654,-3.5805,-4.3365,0.3028,0.51225
2,0.75,0.068,-0.00325,-0.401,-34.79,0.23675,-0.22025,403.5335,384.3,2.313,-56.8795,0,0,-0.009,-2.926,0.27475,260.0365,273.18575,-8.2325,68.315,2.1505,100.6,-0.052,0.18925,0.411,0.781,1.65625,3.27975,-0.18475,-0.07625,0.1755,0.662,1.56275,2.83275,-3.486,-3.654,-3.612,-4.347,0.29905,0.5138
2,1.25,0.08,0.013,-0.3735,-37.537,0.23775,-0.2235,403.80975,384.375,2.32425,-58.2895,0,0,-0.009,-2.97075,0.28425,259.9925,272.446,-8.25,68.81,2.2055,100.6,-0.0535,0.187,0.41625,0.76975,1.66025,3.284,-0.19575,-0.07975,0.17475,0.6705,1.558,2.836,-3.528,-3.654,-3.612,-4.41,0.30725,0.5259
2,1.75,0.0965,0.02675,-0.588,-39.1885,0.23275,-0.20175,404.053,384.725,2.31725,-60.3165,0,0,-0.00225,-3.1495,0.26025,262.8845,271.83225,-8.35,69.4775,2.21375,100.6,-0.055,0.187,0.4085,0.77675,1.662,3.281,-0.19125,-0.0835,0.17,0.6685,1.559,2.84025,-3.486,-3.654,-3.654,-4.3785,0.3117,0.5304
2,2.25,-0.014,-0.01075,-0.567,-37.02675,0.235,-0.246,404.185,384.7,2.333,-59.22025,0,0,0,-2.94175,0.2455,263.08175,271.751,-8.4,69.59,2.20975,100.6,-0.0555,0.186,0.41375,0.775,1.66925,3.28075,-0.1945,-0.0835,0.1655,0.662,1.562,2.82275,-3.528,-3.654,-3.654,-4.3785,0.3145,0.5291
