DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,442.2575,9.727,2.05525,1.199,-1.323,-10.119,3.73925,2.904,0.601,1.151,0.846,0.654,101.519,90.25,10.1,3.1645,12.646,0.248,11.825,10.0575,9.2975,2.652,-20.189,-2.293,1.98,333.744,373.353
1,0.75,443,9.623,2.69,1.211,-1.50475,-15.287,5.189,3.01625,0.6005,1.1765,0.87375,0.666,101.5005,89.975,10.1,3.16225,12.392,0.252,11.9875,10.0575,9.2975,2.652,-21.226,-2.293,1.91225,335.596,372.215
1,1.25,443.781,9.4585,2.531,0.995,-1.72425,-10.3785,2.234,2.81875,0.63475,1.09025,0.84475,0.60775,101.501,92.375,9.705,2.90175,12.19875,0.249,11.9,9.97,9.2625,2.652,-20.385,-2.153,1.86675,325.54675,370.9035
1,1.75,443.82,9.4585,2.294,0.93475,-1.77125,-10.51625,1.872,2.67675,0.5585,1.04025,0.88075,0.57925,101.523,92.375,9.705,2.90175,11.6375,0.24175,11.9,9.97,9.2625,2.652,-23.25775,-2.26975,1.948,327.51475,368.24575
1,2.25,443.855,9.6435,2.004,1.35,-2.035,-9.9325,2.697,2.579,0.526,1.07025,0.8585,0.58775,101.50375,92.5,9.74,2.5845,11.33475,0.25,11.925,9.95,9.32,2.652,-18.4245,-2.04675,1.955,339.74,366.25575
1,2.75,444.274,9.599,2.194,1.35,-2.2375,-8.84625,3.203,2.73775,0.58025,1.1465,0.86225,0.6485,101.52025,92.5,9.74,2.5845,11.474,0.24775,11.925,9.95,9.32,2.652,-16.7555,-1.92425,1.851,347.7315,366.97775
1,3.25,444.891,9.2505,1.991,0.694,-2.16475,-13.53925,2.44,2.558,0.5235,1.024,0.807,0.57575,101.5345,93.125,9.2825,2.30225,11.0865,0.2395,11.8,9.915,9.2625,2.652,-16.558,-2.02325,1.93175,347.121,365.9615
1,3.75,444.628,9.0905,2.256,0.694,-2.2725,-15.532,3.305,2.656,0.565,1.126,0.807,0.612,101.5305,93.125,9.2825,2.30225,10.90225,0.23525,11.8,9.915,9.2625,2.652,-16.66075,-2.1665,1.90775,340.67925,363.711
1,4.25,445.031,8.948,1.992,0.908,-2.30125,-11.361,1.769,2.835,0.6035,1.137,0.878,0.658,101.536,94,8.9625,2.14575,10.80325,0.22825,11.825,9.89,9.295,2.652,-15.9725,-1.59375,1.78075,347.295,363.97775
1,4.75,445.496,8.778,2.359,0.908,-2.32025,-9.39925,3.84,2.843,0.55775,1.094,0.834,0.637,101.5325,94,8.9625,2.14575,10.6885,0.243,11.825,9.89,9.295,2.652,-13.6065,-1.83875,1.91,346.447,363.0055
1,5.25,445.982,8.728,2.36,0.68175,-2.472,-9.51125,2.973,2.715,0.574,1.167,0.86675,0.65375,101.5195,94.325,8.1675,1.98825,10.29125,0.2125,11.825,9.91,9.215,2.652,-11.9225,-1.468,1.9535,345.6415,359.46625
1,5.75,445.433,8.7745,2.826,0.683,-2.527,-12.807,3.68,2.80275,0.62,1.1805,0.8855,0.6505,101.52325,94.325,8.1675,1.98825,10.2225,0.24675,11.825,9.91,9.215,2.652,-13.78275,-1.468,1.82,345.94775,359.05775
1,6.25,445.891,8.824,2.477,-0.107,-2.7875,-8.629,3.088,2.83875,0.586,1.151,0.8655,0.62525,101.5315,94.1,7.6575,1.74425,10.16275,0.2255,11.84,9.9825,9.2375,2.652,-11.3795,-1.468,1.80625,347.26775,359.90525
1,6.75,446.321,8.802,2.102,0.159,-2.951,-9.46475,2.501,2.669,0.59575,1.1615,0.85475,0.6265,101.55775,94.1,7.6575,1.74425,10.14925,0.2235,11.84,9.9825,9.2375,2.652,-8.68325,-1.468,1.65225,344.272,360.54
1,7.25,446.075,8.75875,2.044,-2.033,-2.922,-9.56825,2.502,2.68175,0.57225,1.129,0.8105,0.60225,101.56925,95.25,6.735,1.4695,9.991,0.2295,11.845,9.87,9.145,2.799,-8.31925,-1.462,1.8435,341.52,360.345
1,7.75,446.082,8.73575,1.924,-2.033,-2.86325,-9.51975,1.587,2.68025,0.56725,1.10975,0.7915,0.5835,101.58575,95.25,6.735,1.4695,9.937,0.2295,11.845,9.87,9.145,2.799,-10.20425,-1.505,1.885,341.43275,360.99575
1,8.25,446.576,8.622,1.899,-3.268,-2.78975,-7.3115,3.619,2.696,0.56175,1.0995,0.77125,0.593,101.60325,93.8,6.439,1.7765,9.96175,0.18575,11.8,9.825,9.08,49.191,-5.899,20.0805,8.62625,341.21525,362.259
1,8.75,445.912,8.591,1.529,-3.268,-2.701,3.1525,7.196,2.62625,0.55725,1.12525,0.8435,0.61175,101.61725,93.8,6.439,1.7765,10.075,0.2075,11.8,9.825,9.08,112.825,5.7875,55.3355,28.4995,348.006,362.911
1,9.25,445.44,8.67475,0.724,-1.626,-2.696,36.0465,8.813,2.69525,0.654,1.2695,0.92925,0.6615,101.63525,91.2,7.9855,2.4125,10.11975,0.28575,11.805,9.815,8.965,364.4915,52.3975,187.6395,32.37225,343.51175,363.08
1,9.75,443.697,8.95975,0.894,-1.626,-2.7015,72.88725,15.704,2.77875,0.6845,1.351,0.94825,0.6695,101.66775,91.2,7.9855,2.4125,10.32725,0.39075,11.805,9.815,8.965,471.439,133.4435,241.5965,42.02,348.73475,364.04375
1,10.25,442.057,9.495,0.056,-0.684,-2.70175,132.04175,30.558,3.0395,0.751,1.487,1.055,0.719,101.69025,87.175,9.9575,3.67225,10.7455,0.487,11.71,9.8325,9.035,729.80125,216.70825,369.732,51.79375,343.472,365.67425
