DOY2,HR2,H,LE,FC,USTAR,CO2,H2O,T_SONIC,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,NETRAD,PPFD_IN,PPFD_OUT,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1
1,0.25,-8.62432,7.960125,4.16104,0.21599525,455.31575,9.86264,14.3455,2.2494675,0.807786233642983,0.829136638164538,0.230347880773635,9.835,90.425,101.11325,-48.78,0,0,4.68,-1.327,10.1775,10.6725,11.28,11.205,11.6625,10.03,10.5975,11.025,11.3525,11.665,10.305,10.9525,11.2175,11.4,11.6325,9.155,10.1175,10.6025,10.895,11.22
1,0.75,-8.75107,3.12127,4.09993,0.19903825,451.448,9.66857,14.41725,2.352805,0.780561073345988,0.811723467909212,0.215861109650533,9.895,90.1,101.083325,-51.255,0,0,3.96375,-1.554,10.1125,10.6125,11.2,11.1875,11.6625,9.8975,10.54,10.9525,11.265,11.665,10.245,10.905,11.1575,11.4025,11.6425,9.085,10.0075,10.525,10.855,11.2225
1,1.25,-9.52874,5.387385,3.99637,0.2050245,451.3585,9.57807,14.3565,2.182435,0.712180107039052,0.761642911729217,0.233130839874217,10.0025,90.25,101.07525,-53.135,0,0,3.9055,-1.778,10.015,10.5825,11.1325,11.16,11.67,9.7625,10.445,10.8525,11.17,11.6525,10.1825,10.8525,11.12,11.39,11.6375,8.955,9.9025,10.4475,10.81,11.225
1,1.75,-8.52285,2.6305725,3.153455,0.194195,451.761,9.60079,14.34175,2.403725,0.77607195197217,0.813763278971395,0.234360814705693,10.1275,89.325,101.073225,-52.755,0,0,4.37725,-2.0605,9.925,10.54,11.11,11.1225,11.6625,9.675,10.31,10.775,11.1025,11.635,10.05,10.79,11.08,11.3525,11.645,8.785,9.825,10.3875,10.7575,11.24
1,2.25,-8.537625,5.17366,4.22195,0.205915,458.248,9.6624525,14.02725,2.41395,0.850501862867922,0.841487428349014,0.252438096663435,9.875,89.6,101.075975,-45.715,0,0,3.65875,-2.16375,9.88,10.425,11.0975,11.075,11.655,9.5625,10.2125,10.73,11.09,11.6325,9.98,10.705,11.01,11.315,11.6375,8.6925,9.725,10.3425,10.69,11.23
1,2.75,-11.791525,5.66953,4.44648,0.236118,457.22025,9.52809,14.23325,2.461965,0.83137809345174,0.830170726343088,0.248471310721652,9.99,89.825,101.081875,-53.375,0,0,3.781,-2.325,9.8125,10.355,11.0675,11.07,11.645,9.44,10.155,10.665,11.0825,11.645,9.8675,10.6025,10.9175,11.2625,11.655,8.565,9.6175,10.285,10.6375,11.225
1,3.25,-8.75387,6.29804,3.51573,0.24812525,453.36675,9.76327,14.28325,2.1734675,0.878937461338495,0.880698368131236,0.267493278183557,9.76,90.125,101.0979,-53.4325,0,0,3.817,-2.494,9.7475,10.3475,11.0325,11.015,11.645,9.3375,10.07,10.6225,11.04,11.65,9.735,10.4725,10.85,11.2325,11.6525,8.385,9.545,10.22,10.6025,11.2325
1,3.75,-6.235125,3.99329,3.56607,0.1938265,454.0055,9.74769,14.26375,2.1963875,0.753862651088435,0.806210698589731,0.221379634853773,9.835,90.55,101.08155,-51.0475,0,0,2.982,-2.67,9.69,10.3225,10.985,10.94,11.645,9.345,9.9825,10.54,10.9925,11.64,9.6475,10.3825,10.7875,11.1925,11.6425,8.235,9.465,10.1425,10.5575,11.24
1,4.25,-9.945445,6.169925,3.45837,0.20511625,454.4785,9.76479,14.1425,2.2166825,0.795860038878111,0.821277762292913,0.207885785589058,9.84,90.975,101.057875,-52.46,0,0,2.5625,-2.86425,9.6275,10.2525,10.9125,10.8725,11.6375,9.245,9.88,10.465,10.915,11.6175,9.5175,10.3175,10.73,11.1275,11.64,8.14,9.3875,10.0775,10.5325,11.2425
1,4.75,-11.247,8.757405,4.98531,0.22414575,455.90025,10.0120475,14.3675,2.066635,0.847200014446425,0.81236149335365,0.269299405919062,9.81,92.075,101.05605,-56.475,0,0,2.37525,-3.014,9.6225,10.1825,10.8725,10.8075,11.6125,9.18,9.8175,10.425,10.8225,11.605,9.4725,10.23,10.665,11.0925,11.625,8.1375,9.35,10.03,10.505,11.235
