DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,368.4525,3.0885,-0.33625,-10.645,-35.674,-0.59175,1.829,0.207,0.477485,0.508745,0.283135,99.491,47.8,-0.7835,0.85,0.048225,0.136655,3.4205,5.0925,0,-2.375,0.62275,221.5,305.49
1,0.75,368.86,3.049,-0.4175,-10.82625,-36.82,-0.793,1.831,0.202,0.45657,0.51626,0.2747,99.49,48.112,-0.9535,0.8875,-0.24582,0.13191,3.3735,5.0805,0,-2.355,0.6815,220.69,304.75
1,1.25,368.325,3.04675,-0.335,-10.7475,-35.41025,-0.28025,1.7925,0.192,0.45955,0.47011,0.27581,99.457,50.2,-1.141,0.92,-0.37341,0.13535,3.32725,5.0475,0,-2.37575,0.70975,219.4775,302.605
1,1.75,367.655,3.0625,-0.417,-10.89125,-36.73625,-0.7385,1.76,0.189,0.4487,0.4839,0.26205,99.465,51.636,-1.2415,0.91,-0.61669,0.12814,3.2265,5.02,0,-2.3,0.70775,220.25,302.0175
1,2.25,368.99,3.068,-0.501,-10.95625,-36.63275,-0.718,1.751,0.194,0.4360475,0.48296,0.251385,99.474,51.774,-1.482,0.73,-0.8087925,0.12961,3.13825,4.97875,0,-2.38775,0.6125,220.75,301.1125
1,2.75,369.095,3.16075,-0.6195,-11.075,-36.6275,-0.9765,1.779,0.215,0.44623,0.48125,0.246475,99.472,52.101,-1.732,0.75,-0.89472,0.12851,3.1205,4.955,0,-2.3365,0.65475,220.9525,301.8325
1,3.25,368.4,3.192,-0.636,-11.06625,-36.9,-0.854,1.661,0.1995,0.447825,0.4799,0.26316,99.451,52.4,-1.926,0.59,-1.0576,0.13033,3.091,4.9295,0,-2.2625,0.47475,220,302
1,3.75,368.56,3.1475,-0.57875,-11.235,-34.3485,-0.9365,1.763,0.181,0.427435,0.51109,0.25081,99.436,52.7,-2.053,0.61,-1.205,0.13268,3.0695,4.89825,0,-2.18975,0.53075,221,301.54
1,4.25,368.57,3.1915,-0.39625,-11.41,-40.467,-0.63425,1.6685,0.17075,0.42258,0.46833,0.25251,99.448,53.3,-2.046,0.63,-1.38515,0.13138,3.055,4.87175,0,-2.24275,0.46125,219.75,301.6825
1,4.75,369.005,3.15325,-0.5705,-11.725,-35.581,-0.545,1.5835,0.1665,0.4233275,0.51959,0.2580925,99.437,53.9,-2.1575,0.56,-1.4879,0.1281475,3.04675,4.8595,0,-2.1995,0.3935,219,300.9275
1,5.25,368.455,3.197,-0.532,-11.7125,-35.319,-0.49825,1.72,0.183,0.4408025,0.4767425,0.2538275,99.428,54.1,-2.1835,0.49,-1.796975,0.12469,3.033,4.84075,0,-2.24175,0.34,218.0225,300.75
1,5.75,368.64,3.121,-0.3835,-11.275,-36.486,-0.28875,1.6225,0.178,0.443225,0.51056,0.26208,99.426,55.2,-2.2665,0.49,-1.87215,0.13293,2.9835,4.8435,0,-2.0705,0.3955,220.25,298.725
1,6.25,368.245,3.192,-0.76425,-11.1125,-33.7815,-0.509,1.633,0.179,0.43825,0.4591225,0.24848,99.469,54.8,-2.517,0.4975,-2.08825,0.12416,2.89925,4.8535,0,-2.1825,0.43875,218.75,298.81
1,6.75,369.7325,3.135,-0.5355,-11.46375,-34.8085,-0.463,1.63675,0.164,0.43073,0.48391,0.24315,99.502,56.6,-2.465,0.4775,-2.25235,0.12602,2.8195,4.8625,0,-2.275,0.402,220.72,297.845
1,7.25,370.53,3.126,-0.5425,-11.2,-31.8185,-0.54,1.64325,0.18275,0.443075,0.48674,0.25024,99.507,57.453,-2.4675,0.395,-2.4466,0.1251,2.79275,4.84175,0,-0.0395,0.54725,221.75,297.1875
