DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,-18.202425,-15.275875,1.451635,1.65143,0.6154605,0.08647185,394.088,7.73334,5.08981,88.134325,5.140045,92.6556,0.654528,0,-0.0669076,4.379125,5.52725,6.891875,7.65,8.4625,10.2125
1,0.75,-16.0203,-17.44495,1.709705,1.1542625,0.85237325,0.089559525,394.56,7.703795,4.65821,88.152575,4.75281,93.544825,0.6057905,0,-0.0693992,4.0765,5.264,6.850625,7.6225,8.475,10.2125
1,1.25,-15.952225,-18.66995,1.028293,1.22035,0.47711325,0.0858444,394.541,7.64166,4.3553775,88.14565,4.2570025,94.26155,0.596464,0,-0.062799725,3.928625,5.1335,6.844,7.5725,8.48,10.14
1,1.75,-15.9956,-18.87225,0.9051,1.064355,0.522786,0.0785322,394.748,7.54762,3.787685,88.153775,3.514245,95.3276,0.62923975,0,-0.05852165,3.724,5.018625,6.821375,7.5825,8.4925,10.2125
1,2.25,-13.913875,-18.492925,0.892466,0.83473675,0.54903975,0.08526135,394.089,7.43996,3.7486175,88.161925,3.326375,95.081575,0.5439485,0,-0.062837725,3.477,4.82925,6.747875,7.5625,8.54,10.1425
1,2.75,-11.687975,-20.5081,1.1415275,0.9375255,0.598662,0.082294625,394.5605,7.395075,4.088655,88.1733,3.45451,95.761275,0.5219115,0,-0.064178375,3.4805,4.681875,6.743875,7.4825,8.525,10.14
1,3.25,-12.03665,-18.517425,2.51066,1.659495,0.50051,0.087029,393.2925,7.47052,3.6298025,88.1926,3.75767,96.23355,0.6032175,0,-0.061486675,3.394,4.57775,6.745875,7.4125,8.545,10.1475
1,3.75,-10.781875,-18.31715,1.92625,0.392569,0.53696625,0.0869044,393.4965,7.478635,3.9429075,88.18615,3.6041475,96.278325,0.5135085,0,-0.063687575,3.42125,4.490875,6.68675,7.31,8.5625,10.2125
1,4.25,-11.635725,-17.458425,1.0710375,0.756061,0.539369,0.07831415,392.92725,7.55087,3.4094,88.1781,2.92717,96.5468,0.606079,0,-0.068435,3.367375,4.362875,6.582875,7.2825,8.57,10.205
1,4.75,-10.392525,-17.611225,1.9021275,0.5033365,0.5122335,0.08426505,394.1555,7.464315,2.6793,88.17145,2.1105775,96.847375,0.53011875,0,-0.065820125,3.16325,4.237,6.53,7.205,8.5625,10.145
1,5.25,-9.5521925,-19.685225,1.39052,0.548248,0.5257815,0.0841352,394.08875,7.5021875,2.3831525,88.1977,1.86512,96.534375,0.65792375,0,-0.067155225,2.804125,4.343625,6.44425,7.1175,8.5225,10.1475
1,5.75,-9.881265,-19.9854,1.2064875,0.8932275,0.4657775,0.07941355,394.2825,7.35896,2.2223475,88.1933,2.001695,96.51595,0.5923705,0,-0.062402425,2.680625,4.307625,6.3365,7.105,8.5525,10.205
1,6.25,-10.62025,-19.626075,1.3091,1.111735,0.5227205,0.0808734,394.2525,7.2032925,1.68036,88.21915,1.27095,96.781325,0.5570535,0,-0.059942325,2.62075,4.3875,6.233875,7.075,8.56,10.205
1,6.75,-9.3627375,-19.313675,1.068875,1.92209,0.438554,0.07424115,395.752,6.97552,1.447115,88.23825,0.5147095,96.7983,0.550082,0,-0.059274525,2.487375,4.216875,6.131,7.0325,8.55,10.1475
1,7.25,-6.874345,-20.00905,0.8918355,1.427055,0.326503,0.078221425,394.21175,6.5137075,1.2905025,88.26615,1.0117725,96.916925,0.5013235,10.22325,1.0893175,2.395375,4.00075,6.061625,6.9695,8.515,10.205
