DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.351,-0.4015,6.36675,0.41125,0.4145,0.026,-12.556,0.37875,4.72175,0.11425,-5.04625,0.41275,0.997,74.5125,77.3675,388.3415,2.91,-52.305,0,-0.67125,0,1.54825,227.65,294.175,4.40675,0
1,0.75,0.397,-0.21925,7.082,0.44975,0.4415,0.02775,-11.341,0.387,5.032,0.169,-4.975,0.40825,0.99175,75.7525,77.35075,388.522,2.835,-53.2475,0,-0.708,0,1.40925,226.9,291.375,4.4255,0
1,1.25,0.3655,-0.228,6.30875,0.391,0.374,0.0245,-7.98225,0.62275,5.0715,0.114,-5.06325,0.409,0.98175,74.69,77.3475,388.513,2.9675,-50.5825,0,-0.55,0,1.54625,231.8,291.6,4.3685,0
1,1.75,0.346,-0.277,6.175,0.4845,0.4595,0.0265,-12.137,0.536,7.6655,0.1495,-5.11525,0.409,0.9815,73.76,77.34275,388.7705,2.94,-54.46,0,-0.59475,0,1.527,229.575,292.375,4.38,0
1,2.25,0.3055,-0.38725,6.032,0.364,0.34975,0.022,-9.12575,0.71625,5.4645,0.194,-5.1225,0.4045,0.98025,75.0325,77.355,388.7515,2.935,-51.5625,0,-0.621,0,1.49,232.3,291.2,4.256,0
1,2.75,0.34075,-0.492,6.107,0.4245,0.4235,0.022,-13.42575,0.3855,3.622,0.145,-5.12325,0.40375,0.97175,76.75,77.36,389.04375,2.81,-53.8825,0,-0.518,0,1.53625,231.025,290.125,4.24575,0
1,3.25,0.3405,-0.66225,5.96,0.42,0.4285,0.029,-10.914,0.302,3.84625,0.211,-5.12325,0.4,0.97175,74.7625,77.3675,389.00025,2.84,-55.615,0,-0.59,0,1.523,221.225,290.15,4.3065,0
1,3.75,0.33,-1.02425,5.513,0.437,0.40425,0.023,-10.9255,0.4575,3.25025,0.207,-4.994,0.404,0.9695,75.79,77.3675,389.24,2.76,-49.13,0,-0.637,0,1.37025,236.3,290.3,4.32775,0
1,4.25,0.32575,-0.589,5.712,0.534,0.52325,0.025,-9.62925,0.21125,3.17175,0.19,-5.066,0.39875,0.96825,79.42,77.3575,389.5855,2.6625,-42.5525,0,-0.569,0,1.4045,234.35,289.75,4.285,0
1,4.75,0.307,-1.09525,5.428,0.387,0.391,0.023,-8.717,0.67,3.293,0.179,-5.09625,0.3995,0.97025,81.325,77.35,389.48025,2.77,-43.0275,0,-0.49825,0,1.327,233.15,289.875,4.33725,0
1,5.25,0.28925,-1.16625,5.095,0.548,0.5415,0.018,-10.5395,0.712,3.091,0.1495,-5.095,0.40025,0.96825,80.675,77.35,389.038,2.69,-42.1025,0,-0.6255,0,1.478,225.75,290.275,4.247,0
1,5.75,0.271,-1.1335,5.067,0.4885,0.526,0.016,-15.465,0.54,2.91925,0.23475,-5.107,0.4005,0.96725,80.055,77.34575,389.244,2.4525,-48.075,0,-0.56175,0,1.50775,229.9,289.825,4.41675,0
1,6.25,0.258,-1.10275,4.948,0.4075,0.41525,0.016,-11.026,0.542,1.99825,0.131,-5.11175,0.401,0.966,81.325,77.36,389.35675,2.535,-42.07,0,-0.553,0,1.48475,231.15,289.375,4.3985,0
1,6.75,0.283,-1.194,4.655,0.503,0.486,0.02,-11.808,0.583,2.07875,0.16,-4.995,0.401,0.965,80.575,77.3625,389.626,2.485,-48.9,0,-0.41625,0,1.496,234.55,288.475,4.17425,0
1,7.25,0.267,-1.1895,4.386,0.384,0.3775,0.021,-10.30875,0.726,2.454,0.1965,-5.06225,0.40275,0.96525,80.06,77.4,389.33925,2.375,-36.4175,0,0.15425,0,2.105,242.275,289.325,4.30125,0.1155
1,7.75,0.291,-1.139,4.237,0.42,0.39175,0.0195,-7.874,1.063,2.463,0.2945,-5.09825,0.40125,0.96525,80.725,77.405,389.2475,2.5025,-18.0575,29.03775,15.125,32.5975,13.2525,238.55,290.8,4.373,27.80375
1,8.25,0.22725,-0.383,3.848,0.308,0.321,0.01,-6.2645,1.4665,3.766,0.5255,-5.0975,0.40125,0.96525,77.7425,77.4125,389.21925,2.59,-2.65425,193.60975,110.175,117.65,71.5375,245.85,293.725,4.47825,94.46625
1,8.75,0.287,0.17,3.9645,0.35275,0.348,0.019,-1.8585,2.6915,5.679,0.46475,-5.09775,0.3925,0.96525,74.4525,77.425,388.9965,2.885,19.115,398.61025,208.975,261.72575,135.5,251.325,299.5,4.649,171.356
1,9.25,0.294,1.158,4.29825,0.26,0.278,-0.00025,2.0945,3.2375,10.291,0.47675,-4.89225,0.393,0.9655,72.98,77.44,388.541,3.26,44.2525,635.0295,309.975,431.175,201.275,236.35,303.175,4.817,227.52675
1,9.75,0.35725,3.26,4.525,0.23,0.274,-0.0155,5.4075,3.23,12.8625,0.433,-4.54825,0.3985,0.96725,68.34,77.46,387.6395,3.9925,94.175,875.21175,402,590.525,258.82525,226.775,307.025,4.84975,266.45975
1,10.25,0.34025,4.258,4.6015,0.2235,0.2305,-0.009,3.7735,2.348,15.15075,0.439,-3.64675,0.40125,0.96725,62.54,77.49,387.389,4.885,97,1024.751,484.25,720.075,316.625,226.725,310.525,4.9955,298.009
