DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,PA,RH,TA,TS_1_2_1,WS,PPFD_IN,TS_1_1_1,USTAR,VPD
1,0.25,392.4365,-0.111,-3.213,-26.177,3.2605,3.3235,77.312,73.5035,-6.6385,-2.345,4.384,-0.18,-3.056,0.2535,0.925
1,0.75,392.423,-0.18,-3.376,-21.0055,3.2785,3.832,77.297,73.3425,-6.8785,-2.344,4.239,-0.1785,-3.155,0.229,0.9
1,1.25,392.069,-0.133,-3.4675,-23.2545,3.2675,2.415,77.276,74.746,-6.9105,-2.363,4.112,-0.177,-3.219,0.2235,0.88
1,1.75,391.227,-0.14,-3.4985,-24.2555,3.257,1.7745,77.2795,74.7335,-7.0725,-2.404,4.2615,-0.176,-3.335,0.2235,0.915
1,2.25,391.487,-0.08,-3.574,-23.5995,3.2575,2.5905,77.2935,75.0545,-7.3755,-2.435,3.973,-0.1675,-3.347,0.2215,0.87
1,2.75,391.7915,-0.093,-3.61,-23.9535,3.2585,1.496,77.3025,74.1605,-7.1855,-2.471,3.909,-0.186,-3.358,0.229,0.92
1,3.25,392.036,-0.068,-3.6695,-22.545,3.1135,1.6335,77.306,74.1895,-7.3445,-2.483,3.8525,-0.1785,-3.384,0.2305,0.87
1,3.75,392.706,-0.06,-3.7665,-25.3595,3.223,1.7555,77.2955,74.901,-7.6455,-2.484,3.626,-0.172,-3.383,0.2245,0.8
1,4.25,392.072,-0.072,-3.8075,-25.45,3.236,1.9415,77.2805,75.492,-7.3945,-2.533,3.974,-0.1725,-3.395,0.23,0.81
1,4.75,391.7935,-0.076,-3.8785,-25.237,3.2175,1.208,77.298,75.9015,-7.6355,-2.542,3.8565,-0.176,-3.429,0.225,0.75
1,5.25,392.012,-0.063,-3.938,-24.839,3.172,2.179,77.293,76.3235,-7.4785,-2.553,3.393,-0.175,-3.447,0.229,0.785
1,5.75,391.7105,-0.078,-3.9785,-22.583,3.1765,1.189,77.3025,75.076,-7.845,-2.564,3.805,-0.191,-3.469,0.248,0.825
1,6.25,391.9315,-0.081,-4.0185,-24.41,3.083,1.726,77.314,75.849,-7.6935,-2.576,3.8925,-0.191,-3.53,0.241,0.785
1,6.75,391.26,-0.0825,-4.055,-23.504,3.122,1.6305,77.3335,75.616,-8.0475,-2.587,4.063,-0.184,-3.62,0.25,0.8
1,7.25,390.5215,-0.123,-3.8945,-20.141,3.083,1.0375,77.3455,76.6845,-8.493,-2.598,3.842,1.555,-3.607,0.226,0.75
1,7.75,391.5175,-0.123,-3.932,-19.474,3.0345,1.934,77.354,76.1565,-8.4365,-2.629,3.792,25.9375,-3.597,0.234,0.8
