DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,3.6526,0.2353,0,0,0,100.0084,-21.4874,0.0099,498.39835,0.00885,-0.19245,-0.19245,-9.759375,-2.2668,0,0.13205,164.79125,200.34025,0,0,-11.572325,-11.95055,-7.281125,-10.223725,-12.007475,-12.18705,-12.396,-12.19175,-13.05335,-10.79755,-14.9366,-12.7613,-11.73465,-12.26405,-12.6033,-12.30995,-10.1924,-14.00625,-11.9806,-11.077,-11.4662,-12.15815
1,0.75,3.2457,0.3098,0,0,0,100.00955,-21.1956,0.0064,498.3299,0.0086,-0.91755,-0.91755,-10.253925,-1.57665,0,0.26135,164.1845,201.42325,0,0,-11.559175,-12.0464,-7.29325,-10.335,-12.0065,-12.174225,-12.389925,-12.189725,-13.05805,-10.80655,-14.9281,-12.7584,-11.73885,-12.2569,-12.6058,-12.3028,-10.19065,-14.00235,-11.9864,-11.0816,-11.4707,-12.1553
1,1.25,3.365325,0.224525,0,0,0,100.022275,-21.10575,0.01105,502.30295,0.0084,-0.2975,-0.2975,-8.00895,-1.5512,0,0.26355,166.204,201.5165,0,0,-11.66725,-12.001475,-7.312925,-10.24675,-12.0051,-12.158375,-12.37345,-12.19095,-13.05535,-10.81165,-14.90975,-12.7731,-11.7359,-12.259,-12.6004,-12.29585,-10.20015,-14.0131,-11.99445,-11.0941,-11.4697,-12.15335
1,1.75,3.35785,0.2856,0,0,0,100.0667,-20.997025,0.0113,507.140125,0.008425,-0.81485,-0.81485,-8.552725,-1.7099,0,0.2341,166.3395,202.0635,0,0,-11.48035,-11.910075,-7.2527,-10.346,-12.0021,-12.146675,-12.36505,-12.193325,-13.0437,-10.8158,-14.9159,-12.77095,-11.7411,-12.2585,-12.6039,-12.29875,-10.1999,-14.0132,-11.9957,-11.094,-11.4707,-12.15355
1,2.25,3.5103,0.3328,0,0,0,100.044825,-20.9855,0.0092,500.6258,0.00825,-0.5232,-0.5232,-13.63655,-3.49625,0,0.2598,166.61025,202.237,0,0,-11.6313,-11.887925,-7.3058,-10.29445,-12.0067,-12.15235,-12.358525,-12.1979,-13.0533,-10.8084,-14.90945,-12.77635,-11.74445,-12.2685,-12.60335,-12.29055,-10.21095,-14.0075,-12.0042,-11.0981,-11.4642,-12.1525
1,2.75,3.1995,0.284,0,0,0,100.028275,-21.041875,0.0106,502.01605,0.0089,-0.591375,-0.591375,-8.85585,-2.002125,0,0.20595,166.861,201.594,0,0,-11.489375,-11.910225,-7.2926,-10.318575,-12.018525,-12.162525,-12.353375,-12.19905,-13.0529,-10.81115,-14.90445,-12.78655,-11.7473,-12.26325,-12.59975,-12.289,-10.20235,-14.02005,-12.0076,-11.0961,-11.4661,-12.14965
1,3.25,3.506825,0.245275,0,0,0,100.02565,-20.917775,0.00575,489.52245,0.00855,-0.5139,-0.5139,-11.2192,-3.777,0,0.25905,164.3835,200.69175,0,0,-11.590475,-11.94105,-7.372,-10.364825,-12.026875,-12.15835,-12.3521,-12.198775,-13.05755,-10.80865,-14.90925,-12.78945,-11.7449,-12.2585,-12.60255,-12.3003,-10.2024,-14.00865,-12.01095,-11.0885,-11.4655,-12.14815
1,3.75,3.31715,0.2673,0,0,0,100,-20.975,0.0101,489.934,0.00885,-0.801925,-0.801925,-9.3414,-3.532075,0,0.2319,165.221,200.304,0,0,-11.54925,-11.872225,-7.3305,-10.38755,-12.03735,-12.153325,-12.35445,-12.199425,-13.057,-10.80745,-14.9132,-12.7969,-11.7385,-12.2588,-12.6004,-12.3019,-10.2019,-14.01115,-12.01495,-11.0921,-11.4537,-12.149
1,4.25,3.2422,0.2116,0,0,0,100,-20.8857,0.00635,499.52755,0.0087,-0.1873,-0.1873,-5.9973,-2.33045,0,0.2162,165.368,200.516,0,0,-11.6105,-11.848125,-7.351075,-10.374425,-12.042225,-12.156775,-12.361575,-12.205425,-13.05675,-10.8042,-14.91795,-12.79565,-11.73505,-12.2603,-12.6014,-12.3046,-10.19715,-14.0091,-12.0159,-11.09,-11.4449,-12.1472
1,4.75,3.07855,0.202425,0,0,0,100,-21.1218,0.0088,503.3342,0.0092,-1.200425,-1.200425,-8.50765,-2.266225,0,0.3293,164.39675,200.80475,0,0,-11.4792,-11.871125,-7.333975,-10.4104,-12.043625,-12.149275,-12.3557,-12.20885,-13.06845,-10.80365,-14.92485,-12.79675,-11.7357,-12.2608,-12.60545,-12.3168,-10.1975,-14.00525,-12.0163,-11.0873,-11.4515,-12.14715
1,5.25,3.564075,0.24625,0,0,0,100,-21.4056,0.0121,489.0788,0.009,-1.1715,-1.1715,-13.8354,-1.2256,0,0.1814,164.54725,200.17275,0,0,-11.661825,-11.91115,-7.306775,-10.476375,-12.03515,-12.14045,-12.35455,-12.20535,-13.07515,-10.81555,-14.91615,-12.7931,-11.72735,-12.25815,-12.6062,-12.31225,-10.19795,-14.01045,-12.00895,-11.0826,-11.4506,-12.14835
1,5.75,3.4666,0.2373,0,0,0,100,-21.521375,0.0081,499.864,0.012,-0.98285,-0.98285,-7.195625,-0.9311,0,0.2451,165.702,200.19325,0,0,-11.4827,-11.8142,-7.312125,-10.383025,-12.0129,-12.13025,-12.35935,-12.20205,-13.06445,-10.79705,-14.9058,-12.79805,-11.7368,-12.25455,-12.6064,-12.3184,-10.19535,-14.01005,-12.00405,-11.0839,-11.4521,-12.14745
1,6.25,3.2607,0.2529,0,0,0,100,-21.74375,0.00935,508.9296,0.012,-1.36885,-1.36885,-9.653275,-1.38085,0,0.1514,165.315,200.95225,0,0,-11.5089,-11.64525,-7.316175,-10.416275,-12.016125,-12.12115,-12.36095,-12.201975,-13.0712,-10.7989,-14.8983,-12.796,-11.73105,-12.2598,-12.61215,-12.32275,-10.1947,-14.0075,-12.01105,-11.0822,-11.4508,-12.14965
1,6.75,3.119975,0.256525,0,0,0,100.0006,-21.7828,0.004475,495.411525,0.00855,-0.5251,-0.5251,-8.4868,-0.8871,0,0.176325,164.93275,199.779,0,0,-11.46095,-11.799775,-7.2941,-10.373125,-12.032825,-12.112925,-12.35675,-12.208025,-13.0774,-10.7859,-14.88925,-12.79195,-11.73095,-12.2686,-12.61495,-12.3218,-10.19725,-14.0112,-12.0062,-11.0851,-11.4599,-12.14845
1,7.25,3.51845,0.21865,0,0,0,100.010525,-21.8354,0.0054,497.0442,0.0086,-2.0063,-2.0063,-13.88435,-0.59265,0,0.10765,165.4985,200.33575,0,0,-11.4968,-11.720175,-7.210225,-10.373575,-12.043125,-12.1009,-12.352225,-12.211675,-13.07265,-10.78805,-14.8917,-12.794,-11.72435,-12.27605,-12.61965,-12.31175,-10.20305,-14.0047,-11.9973,-11.0766,-11.447,-12.1515
1,7.75,3.461525,0.205325,0,0,0,100,-21.772075,0.01055,490.8811,0.008675,-1.1753,-1.1753,-16.0431,-1.013275,0,0.1733,165.69175,200.451,0,0,-11.32685,-11.7418,-7.2077,-10.34415,-12.0567,-12.09905,-12.348075,-12.208375,-13.06675,-10.78545,-14.88075,-12.7886,-11.7286,-12.27965,-12.6214,-12.31815,-10.20435,-14.0105,-11.99805,-11.0773,-11.463,-12.1512
1,8.25,3.260675,0.255775,0,0,0,100,-21.67345,0.008,495.8323,0.008625,-0.6473,-0.6473,-12.3505,-1.819075,0,0.143175,164.816,199.55725,0,0,-11.24875,-11.96075,-7.199925,-10.237225,-12.047725,-12.089075,-12.3426,-12.209425,-13.0745,-10.78505,-14.88725,-12.7889,-11.7249,-12.27885,-12.61965,-12.3202,-10.2055,-14.00805,-11.99365,-11.0748,-11.4417,-12.15205
1,8.75,3.652025,0.392,0,0,0,100.0012,-21.13065,0.00665,495.247875,0.00825,-0.360525,-0.360525,-9.0289,-0.123275,0,0.1204,166.67225,199.76875,0,0,-11.234825,-11.819975,-7.2443,-10.16485,-12.055375,-12.093025,-12.3479,-12.2119,-13.0726,-10.7845,-14.8836,-12.78745,-11.72295,-12.27865,-12.61055,-12.31865,-10.2164,-14.0075,-11.97335,-11.0776,-11.4515,-12.14385
1,9.25,4.21285,0.3342,0,0,0,100.002,-21.46045,0.009325,495.74415,0.00815,-1.8789,-1.8789,-6.9263,-0.11055,0,0.1445,164.2085,198.80175,0,0,-11.23155,-11.907725,-7.327525,-10.213375,-12.063625,-12.092775,-12.3571,-12.21245,-13.0823,-10.78345,-14.87825,-12.78055,-11.72705,-12.2802,-12.5982,-12.3142,-10.2228,-14.0037,-11.97355,-11.0715,-11.4528,-12.1461
1,9.75,3.973,0.31745,0,0,0,100,-21.3563,0.0091,497.58225,0.0089,-1.975125,-1.975125,-14.851725,-2.5507,0,0.1383,163.02425,198.32275,0,0,-11.4005,-11.844775,-7.143325,-10.080625,-12.07085,-12.096625,-12.376075,-12.2165,-13.09075,-10.7729,-14.8755,-12.77465,-11.729,-12.27925,-12.59665,-12.31165,-10.22365,-14.00645,-11.96255,-11.0735,-11.4576,-12.14615
