DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC_1_1_1,SC,H_1_1_1,SH,LE_1_1_1,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,VPD,NETRAD,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,0.9029,0.296599999999994,5.0228,1.4268,1.449,0.435375,9.27045000000001,9.958125,8.142,2.499875,-0.973199999999999,1.651,1.617,96.15,98.31,399.09465,0.509999999999999,3.8036,3.15025,0.218850000000001,0.628999999999999,1.6184,314.368,315.17,7.434
1,0.75,0.986724999999998,0.0934999999999937,5.4012,1.4987,1.141,0.6475,14.0361749999999,11.4674,15.822,3.57355,-1.03865,1.660525,1.614825,96.21,98.31,398.80675,0.565,4.5928,3.0935,0.255399999999999,0.702999999999999,1.6631,314.372,314.602,7.437
1,1.25,0.99495,0.0441999999999941,5.4272,1.735025,2.123325,0.8019,5.8106,12.3677,12.95135,2.939,-1.08335,1.6481,1.59385,96.12,98.22,397.9925,0.528999999999999,8.61999999999997,3.316,0.3012,0.844399999999996,1.6828,314.444,314.446,7.4338
1,1.75,0.97955,0.0766999999999943,5.1256,1.3271,1.15975,0.62485,4.7689,15.152725,11.039,2.881275,-1.09665,1.650875,1.60585,95.65,98.31,399.4636,0.536,8.3256,3.78975,0.4144,0.977799999999993,1.66495,314.41,314.398,7.433
1,2.25,0.9804,0.0967999999999947,5.0094,1.3895,1.3635,0.43545,6.9666,12.0795,9.77799999999999,3.8538,-1.0751,1.6575,1.612525,95.82,98.3,399.2935,0.552,8.97979999999999,3.2725,0.0841999999999996,0.731199999999999,1.445475,314.23,314.094,7.434
1,2.75,0.916849999999999,0.190599999999994,5.165,1.565075,1.9094,0.5118,12.5954499999999,9.8235,10.84235,2.98789999999999,-1.110725,1.64575,1.6052,95.52,98.31,399.3734,0.58,9.45239999999998,3.477,0.121225000000001,0.7234,1.4088,313.376,314.202,7.4348
1,3.25,0.95855,0.158599999999993,5.16139999999999,1.1284,1.038,0.5517,6.38129999999999,12.2015,10.7115,3.098,-1.2294,1.657375,1.6074,95.64,98.31,399.1525,0.57,8.59619999999999,3.45625,0.2875,0.839999999999999,1.382875,313.38,314.352,7.4348
1,3.75,0.9845,0.176499999999994,5.032,1.2285,0.957875,0.68515,4.330625,12.97225,10.972775,2.753,-1.10315,1.652425,1.61895,96,98.3,399.50805,0.613,10.355,3.458,0.4325,0.758399999999998,1.73465,313.79,314.37,7.435
1,4.25,1.005975,0.124099999999994,5.0842,1.4726,1.33855,0.913850000000001,4.27515000000001,17.625,8.2151,2.7235,-1.115475,1.65775,1.601725,96.11,98.3,401.657575,0.558,8.11139999999999,3.35125,0.741649999999999,0.7738,1.596125,314.332,314.424,7.4376
1,4.75,0.9618,-0.075125,5.1192,1.24375,1.14335,0.64295,4.2972,19.339,7.17900000000001,3.9465,-1.0521,1.64885,1.616225,96.3,98.3,399.5224,0.55375,7.51199999999998,3.3145,0.748649999999999,0.6498,1.6204,314.322,314.456,7.4378
1,5.25,0.98815,0.451699999999996,4.995,1.650575,1.24565,0.50585,8.6895,13.64775,8.50869999999999,3.02125,-1.0943,1.651325,1.616575,96.5,98.3,398.9302,0.552,11.7588,3.59625,0.6788,0.7078,1.7872,314.312,314.866,7.435
1,5.75,0.978175,0.790599999999998,4.9648,1.16475,1.252,0.52885,3.69999999999999,15.846,9.751,3.1045,-1.25765,1.64465,1.60085,96.33,98.3,400.3045,0.535,9.80739999999999,3.694,0.588199999999999,0.665799999999999,1.7434,314.212,316.16,7.4356
1,6.25,0.9991,0.936499999999999,4.9638,1.138075,1.16815,0.49375,5.36009999999993,15.682,8.3016,3.20675,-1.1568,1.647325,1.59835,96.06,98.31,400.484,0.524,10.8554,3.695,0.58615,0.724199999999998,1.6721,313.772,316.748,7.4376
1,6.75,0.999,1.0092,4.9878,1.228375,1.183,0.6732,9.52472499999999,15.46775,8.624,3.0745,-0.955125,1.652875,1.640475,96.22,98.31,400.75155,0.481,8.63359999999997,3.54675,0.6865,1.07719999999999,1.63615,314.114,317.236,7.4376
1,7.25,1.02055,1.062,4.8122,1.38279999999999,0.944875,0.6922,15.62885,14.869,8.28267499999995,2.96325,-0.916525,1.651525,1.6202,96.34,98.4,400.792,0.461,7.44099999999999,4.459275,0.69795,0.826399999999998,1.68985,313.954,317.534,7.4378
1,7.75,0.94775,1.2455,5.0742,1.25445,1.16395,1.09495,5.68959999999997,14.87925,8.232175,3.586,-1.1637,1.651425,1.6053,96.32,98.4,400.851,0.51,12.0718,27.123,21.866,4.86819999999999,8.362,315.85,317.876,25.5858
1,8.25,0.98495,1.3061,5.0052,1.274775,1.10605,0.8405,8.2206,23.52075,9.61719999999995,4.4688,-1.1214,1.651375,1.617475,96.03,98.5,401.1544,0.533,59.2456,117.6696,98.44,17.1258,32.242,317.978,318.422,80.5354
1,8.75,0.936,1.351,4.7522,1.59089999999999,1.25424999999999,0.71075,30.227175,36.18875,11.91005,4.98725,-1.109675,1.645075,1.6108,96.11,98.5,401.782725,0.538999999999999,117.35,256.837675,172.34,34.9452,51.9799999999999,316.978,319.442,154.12
1,9.25,0.921,1.3635,4.9764,1.78875,1.909,0.58535,71.1079,48.52725,14.636,5.9788,-1.061725,1.65065,1.603375,96.42,98.5,399.877675,0.571,160.47,398.5898,239.16,55.5108,57.7359999999999,315.132,319.686,225.454
1,9.75,0.8996,0.267875,4.8778,1.80445,2.58705,0.586625,109.80125,51.2532,14.2832,6.7232,-1.1962,1.6462,1.605875,96.225,98.5,400.916825,0.5675,206.984,509.5927,281.26,71.722,68.1919999999999,314.282,319.806,298.18
1,10.25,0.9938,1.4806,5.13545,1.629425,2.0598,0.55275,145.314625,45.7655,23.89635,6.5006,-1.144025,1.64965,1.611325,96.3,98.5,400.44605,0.57,244.206,632.789925,342.92,90.5628,75.0799999999999,313.802,320.266,376.558
1,10.75,1.0202,1.5527,4.9674,1.809875,1.726,0.4808,187.45725,33.32465,26.492,6.24245,-1.22315,1.64965,1.601425,96.3,98.5,399.515,0.652,278.469,717.7775,377.11,108.41225,76.485,314.13775,320.7075,414.00775
