DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,424.85883675,7.6384025,2138.729716,0.531464,-5.0020535,-16.13768775,-9.4902795,0.563628,1.028153,0.091715,-0.051931,0.282003,0.083295,101.648,84.375,6.10275,0.52282175,15.010671,0.12241525,9.48,10.15,10.395,10.69,11.405,9.085,9.83,10.63,10.165,11.32,9.48,9.455,10.385,10.805,11.55,-78.778386,0,0,-3.169734,0.671551,265.4680655,338.694766,-0.363196
1,0.75,424.2149375,7.502847,2125.29259625,0.337509,-10.29111175,-16.47202125,-6.93667625,0.40584625,1.0336335,0.083415,-0.051696,0.2812665,0.08317375,101.655,84,5.966,0.473858,14.87465175,0.122226,9.43,10.1425,10.385,10.7125,11.42,9.0475,9.7975,10.6675,10.09,11.325,9.3425,9.37,10.3675,10.815,11.5625,-76.17101125,0,0,-3.20911,0.610501,265.096273,338.21939275,-0.363196
1,1.25,423.41533725,7.405459,2134.1504855,0.37448825,-6.1610555,-16.27179375,-7.762609,0.7545365,1.04376175,0.08707825,-0.05377025,0.29179425,0.0884495,101.6725,84.4,5.944,0.451604,14.58488675,0.121326,9.275,10.1225,10.36,10.72,11.4275,8.95,9.67,10.67,9.995,11.33,9.24,9.2975,10.3,10.8225,11.57,-74.73003775,0,0,-3.00207,0.610501,265.558452,337.4453475,-0.363196
1,1.75,424.5895735,7.1359695,2141.382321,0.158782,-7.8085325,-16.670811,-10.283375,0.692761,1.086195,0.088167,-0.05245,0.276183,0.091327,101.7,85.175,5.51175,0.32753225,14.495548,0.128802,9.16,10.0925,10.31,10.715,11.4325,8.8525,9.53,10.655,9.94,11.3125,9.1575,9.205,10.27,10.8325,11.5775,-73.98364675,0,0,-3.00207,0.603622,265.25931275,336.161299,-0.363196
1,2.25,425.100048,7.172504,2163.1939145,0.2674965,-5.74221525,-17.9566245,-9.64842225,0.8115065,0.894285,0.084839,-0.05441275,0.287407,0.085347,101.7175,85.575,5.31975,0.27565975,14.256174,0.1266995,9.01,10.0175,10.275,10.7075,11.44,8.7325,9.4925,10.65,9.91,11.2975,9.1,9.0575,10.2525,10.8325,11.58,-71.472846,0,0,-3.10559,0.603622,266.24066675,335.2523955,-0.363196
1,2.75,427.72707425,7.16102375,2165.0169005,0.001286,-5.0660095,-18.43951725,-7.2915375,0.728199,0.891495,0.084355,-0.059877,0.289133,0.085809,101.702,86.85,5.03975,0.24552475,14.262308,0.12701775,8.955,9.97,10.225,10.6925,11.4325,8.575,9.4625,10.655,9.865,11.2875,9.0425,8.9825,10.2475,10.8225,11.58,-69.44614825,0,0,-2.965235,0.56299375,269.32202325,334.497288,-0.363196
1,3.25,424.059495,7.3939775,2180.79550775,0.35364275,-7.397569,-18.672177,-7.166639,1.264326,0.997645,0.084749,-0.060787,0.285317,0.085234,101.69,86.45,4.969,0.240223,14.212668,0.12568725,8.92,9.9025,10.185,10.68,11.4325,8.325,9.4325,10.66,9.835,11.31,8.945,8.9025,10.225,10.8225,11.5775,-68.18757875,0,0,-3.00207,0.603622,271.1356935,334.011633,-0.363196
1,3.75,425.90708,7.153571,2176.5422845,0.4209295,-7.600468,-18.530195,-9.33424,0.461834,1.08072275,0.0895295,-0.04898675,0.2879,0.09258975,101.66975,87.6,4.749,0.230545,13.86087475,0.124023,8.8525,9.8375,10.14,10.68,11.4325,8.265,9.3825,10.66,9.735,11.31,8.925,8.7975,10.16,10.8125,11.57,-66.1547435,0,0,-3.0056425,0.549451,277.8933625,333.191948,-0.363196
1,4.25,426.003956,7.19975925,2172.64182175,0.221069,-6.485367,-18.86891,-8.301528,0.9728345,1.01943025,0.08728375,-0.05137325,0.28054175,0.0879515,101.6725,87.2,4.492,0.223803,13.75037975,0.1221085,8.8225,9.775,10.125,10.68,11.4325,8.1025,9.3025,10.6625,9.6575,11.33,8.7975,8.6675,10.1175,10.8,11.6,-68.67972775,0,0,-2.91411,0.549451,278.431073,332.70722,-0.363196
1,4.75,428.470784,6.71441,2183.25513175,0.39659075,-4.347057,-19.397739,-9.1150935,1.21868,1.0701415,0.0840795,-0.048053,0.288845,0.0912685,101.6735,86.9,4.465,0.163587,13.69104075,0.1224465,8.8125,9.705,10.08,10.6825,11.44,8.0275,9.24,10.6175,9.605,11.28,8.7025,8.6025,10.06,10.7825,11.5675,-68.08519625,0,0,-2.898551,0.53784275,278.876792,331.482779,-0.363196
