DOY2,HR2,CO2,FC,H2O,SC,H,LE,SH,PA,T_SONIC,PPFD_IN,TAU,USTAR,WS,G_1_3_1,G_2_3_1,LW_OUT,SW_IN,SW_OUT,SLE,RH_1_1_1,RH_2_1_1,TA_1_1_1,TA_2_1_1,VPD_1_1_1,VPD_2_1_1,LW_IN
1,0.25,391.4645758,0.922585263,11.37577629,0.100978108,-41.75791976,0.718566621,-3.4589901495,97.124574755,19.1837741,0,-0.0908,0.279969048,2.1664816165,-13.4,-6.0375,389,-3.73,1.2465,-0.674198539,51.57,57.83037298,14.3251295,15.8146322,8.344738312,8.495380399,314.7
1,0.75,391.3482233,1.319910383,11.32311542,0.082,-49.33802645,1.2735560415,-3.2664796005,97.117899235,18.8107298,0,-0.1015070865,0.2943871085,2.1964495995,-13.4,-6.0665,386.2,-3.4395,1.251,-0.0848,52.55,59.15195951,14.08026715,15.44,7.979409162,8.213959686,313.85
1,1.25,392.8276445,1.218020949,11.33015632,0.0301,-47.84068259,2.65095169,-2.349722888,97.11940104,18.50812225,0,-0.1184181125,0.316500504,2.3462009335,-13.4,-6.234,384.45,-3.578,1.1675,-0.636092708,54.285,59.68340191,13.56450135,15.025,7.5002775465,8.032093645,313
1,1.75,392.6239598,1.310552707,11.26727719,0.0338,-58.95039349,1.8272077905,-2.131343879,97.12141377,18.37100425,0,-0.130868414,0.3353746085,2.353766378,-13.4,-6.6915,382.6,-3.305,1.2885,-0.956318116,54.475489845,61.58366821,13.35445125,14.4550524,7.204060247,7.616571244,311.05
1,2.25,392.92779,1.231843913,11.28220294,0.00339,-50.962512265,3.275305733,-2.277761369,97.12378262,18.14202885,0,-0.1329580605,0.336847177,2.3997635285,-13.4,-7.593,380.6,-3.3005,1.159,-0.56485837,55.56,59.88500475,13.1510507,14.3136633,6.868315042,7.553814916,310.4
1,2.75,391.9326931,1.288081134,11.31389762,-0.00294,-60.63109806,4.327360216,-1.0517927205,97.112551975,17.8465192,0,-0.118862773,0.3184615755,2.4384686635,-13.4,-8.255,380.15,-3.2225,1.28,-0.1,54.89174765,60.73823712,13.0272523,14.31,6.595038249,7.568820953,310.2
1,3.25,392.4611865,1.033916746,11.17644107,0.0242,-56.25378796,3.675019427,-2.9901385625,97.10675962,17.5504849,0,-0.134700346,0.3382243115,2.3882430935,-13.4,-8.76,377.65,-3.301,1.1305,-2.357423709,56.49,61.78872457,12.5896698,14.08,6.623450392,7.371258544,310.1
1,3.75,393.017002,0.869279213,11.14619785,-0.0117,-62.70741829,5.537058053,-2.237341494,97.09289016,17.3607353,0,-0.1310959905,0.3343917305,2.4075397255,-13.4,-8.995,377.25,-3.2945,1.114,0.0877,57.12,61.29134758,12.57912155,13.61,6.494526337,6.977484911,310.5
1,4.25,392.9544032,1.044330313,10.8950627,-0.0754,-54.433274335,2.932932805,-1.1946974925,97.081160855,17.3291531,0,-0.140319713,0.3468787255,2.498418391,-13.4,-9.12,375.25,-3.1135,1.184,-0.564055018,59.03,63.0322141,12.48313225,13.7,6.396830308,6.843248846,309.3
1,4.75,392.5546732,0.823773746,10.97287451,-0.0316,-53.76402334,6.4411343215,-1.5020119985,97.06297784,16.9030685,0,-0.126031219,0.326005029,2.4055685845,-13.4,-9.405,373.9,-3.193,1.1285,-0.326948236,58.97,63.17402627,12.10280265,13.02,6.207542243,6.645077929,311.2
1,5.25,391.4738298,0.780465346,10.87654607,-0.088,-55.45198594,6.2298409885,-0.676876413,97.05637709,16.79679745,0,-0.134687568,0.339275314,2.4013165135,-13.4,-9.92,372.8,-3.0445,1.1625,-0.528678889,58.525,63.03426052,11.9406377,12.7315477,5.9968808395,6.537783283,310.4
1,5.75,391.7790137,0.801244764,10.96135672,-0.00974,-65.45272931,6.541959912,-1.4513431155,97.06307278,16.9300072,0,-0.1432810205,0.3495774995,2.4234303335,-13.4,-10.245,372.3,-3.154,1.1365,-0.606686576,58.81,63.70689087,11.7802286,12.556862,5.967461205,6.238252693,310.25
1,6.25,391.8274755,0.893670504,10.80206249,-0.0507,-58.46845385,6.1186246075,-1.617114285,97.07558662,16.71952215,0,-0.147923616,0.3562059855,2.3702710105,-13.415,-10.535,371.55,-3.06,1.0805,-0.995807892,59.3,65.4107664,11.45851445,12.5845498,5.759840412,6.162318122,309.5
1,6.75,391.2097404,1.114165671,10.80565012,-0.0223,-58.69115685,7.556363978,-1.5965631605,97.093138245,16.4769986,0,-0.121541604,0.3236745235,2.2932407745,-13.425,-10.705,370.2,-3.028,1.0975,-0.3623124,60.37129946,65.98866251,11.42254425,12.45107815,5.7015040665,5.82185669,308.2
