DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,0.25,-0.78,-1.33825,0.221,-67.034,0.24,-0.402,388.6695,449.4025,-51.56,0,0,0,-9.0375,81.225,0.638,-2.71075,-1.7725,-0.8505,-0.705,1.703,2.01125,-2.69175,-1.901,-2.927,-1.175,-0.7245,-1.0605,-3.5775,-4.67875,98.231
1,0.75,-0.5985,-0.8375,1.20025,-63.32875,0.25075,-0.12725,388.3335,448.9095,-49.4075,0,0,0,-8.96,80.5,0.6445,-2.7715,-1.87225,-0.83625,-0.68,1.682,1.94325,-2.67525,-2.1465,-3.0475,-0.982,-0.4115,-0.628,-3.62825,-4.5925,98.21325
1,1.25,-1.025,-1.1515,1.20075,-56.2845,0.25275,-0.15,388.36625,448.08825,-49.66475,0,0,0,-9.1175,79.675,0.665,-2.91375,-1.7315,-0.699,-0.6975,1.7755,1.92375,-2.687,-2.043,-2.969,-1.079,-0.2315,-0.519,-3.62625,-4.585,98.20175
1,1.75,-1.236,-1.559,1.4535,-54.666,0.22775,-0.153,389.15925,449.53125,-45.4775,0,0,0,-9.235,80.375,0.6325,-3.105,-1.9485,-0.92275,-0.7235,1.63075,2.0465,-2.631,-2.08525,-2.965,-1.138,-0.1585,-0.325,-3.71775,-4.738,98.20025
1,2.25,-0.656,-0.89525,1.8705,-58.84075,0.203,-0.452,389.29725,450.1905,-50.32,0,0,0,-9.14,80.6,0.56575,-3.064,-2.03,-0.825,-0.73775,1.738,1.98575,-2.6815,-2.16475,-3.17,-1.007,-0.0695,-0.358,-3.6945,-4.76175,98.1965
1,2.75,-0.64825,-0.5885,-0.14825,-49.9995,0.18025,-0.087,388.285,451.069,-48.583,0,0,0,-9.285,81.075,0.5225,-2.93175,-1.99325,-0.84525,-0.745,1.7045,2.0125,-2.60925,-2.21175,-3.09,-1.266,-0.16325,-0.33625,-3.70025,-4.7655,98.222
1,3.25,-0.8645,-0.834,0.195,-54.45975,0.15725,-0.188,389.02925,450.682,-48.2775,0,0,0,-9.4975,81.2,0.55875,-2.959,-2.04025,-0.86,-0.7555,1.76,1.968,-2.63575,-2.127,-3.068,-1.074,-0.171,-0.26875,-3.7525,-4.769,98.2355
1,3.75,-0.811,-1.1545,1.072,-53.1715,0.166,-0.056,389.35125,450.469,-51.53275,0,0,0,-9.8,81.8,0.57325,-2.94325,-1.978,-0.72025,-0.7515,1.7825,2.00125,-2.57075,-2.07675,-2.91575,-1.141,-0.118,-0.15275,-3.75475,-4.768,98.2325
1,4.25,-0.47,-0.038,0.052,-54.0815,0.1955,-0.03975,388.3925,450.64,-48.363,0,0,0,-9.8525,82.125,0.58775,-3.04325,-2.00525,-0.77775,-0.7295,1.5045,1.92975,-2.59675,-2.2505,-3.002,-0.95,-0.1775,-0.291,-3.735,-4.79625,98.22225
1,4.75,-1.0285,-1.129,-0.07375,-49.17275,0.2125,-0.10225,387.42,450.529,-46.9625,0,0,0,-10.01,82.2,0.61275,-3.06225,-1.9805,-0.86975,-0.7735,1.53975,1.9785,-2.59725,-2.1075,-3.00925,-1.055,-0.16125,-0.27675,-3.7375,-4.769,98.18975
1,5.25,-0.959,-0.963,0.066,-52.70375,0.19025,-0.138,388.47475,450.679,-47.095,0,0,0,-10.05,82,0.593,-3.0105,-1.997,-0.82325,-0.6335,1.596,1.91675,-2.62325,-2.1345,-3.1385,-1.029,0.029,-0.227,-3.75925,-4.83625,98.20275
1,5.75,-0.683,-0.9605,0.045,-62.0595,0.2055,-0.09025,388.4675,450.246,-48.67,0,0,0,-10.145,81.975,0.61,-3.00825,-2.07225,-0.8285,-0.72275,1.652,1.89775,-2.59725,-2.189,-3.24825,-0.924,-0.1885,-0.31,-3.889,-4.85475,98.2105
1,6.25,-1.01,-1.406,-0.22025,-64.694,0.1995,-0.015,390.759,450.228,-49.6875,0,0,0,-10.22675,82.65,0.562,-2.948,-2.05675,-0.81,-0.787,1.63925,1.9615,-2.588,-2.1785,-3.379,-1.137,-0.18275,-0.31025,-3.92275,-4.89775,98.21425
1,6.75,-1.311,-1.129,-0.3045,-62.292,0.17525,-0.158,390.9985,450.798,-50.68225,0,0,0,-10.2375,81.975,0.58575,-2.9405,-2.03775,-0.849,-0.7555,1.5295,1.92375,-2.599,-2.117,-3.35525,-0.997,-0.1135,-0.218,-3.9,-4.84975,98.14075
