DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,13.75,0,-5.04363955575,-81.22609,0,-35.61325,-9.313,23.6935,0.03588,86.62,1.606425,-75.02,0.19143801355,4.74624725,-9.353,0,-11.2565,-18.15125,-16.57875,-12.6675,-14.26775,-14.326375,204.79
1,14.25,-0.15349266405,-7.72782,-90.239278078,0,-35.61275,-9.29175,24.2945,0.0418375,86.625,1.09195,-75.239,0,2.74691825,-9.23875,0,-11.2665,-18.188,-16.59925,-12.76,-14.3125,-14.421,205.4
1,14.75,-0.0860815496000001,-9.80689729,-81.6258,0,-35.49825,-9.2415,23.16375,0.0454025,86.6125,0.450875,-75.69725,0,1.245709,-9.2845,0,-11.27825,-18.20875,-16.618,-12.8325,-14.3355,-14.388625,205.7
1,15.25,-0.2683392102,-12.099957712,-101.44555,0,-36.0365,-9.332,24.0765,0.05164,86.61,0.0576,-74.883,0,0.3342785,-9.292,0,-11.3225,-17.995,-16.66,-12.7915,-14.2655,-14.3575,205.31
1,15.75,0,-9.371352430825,-77.95296,0,-36.092,-9.364,23.648,0.04156,86.54,0,-76.318,0,0,-9.3195,0,-11.34,-18.056,-16.68,-12.672,-14.219,-14.304,204.61
1,16.25,0,-5.426321502625,-75.78968369825,0,-36.01,-9.343,24.224,0.0405125,86.6175,0,-75.569,0,0,-9.2995,0,-11.4,-18.134,-16.738,-12.634,-14.248,-14.262,204.6
1,16.75,-0.1890170663,-3.4986106021,-92.72935135075,0,-36.074,-9.4005,22.332,0.0446475,86.6175,0,-74.39725,0,0,-9.3165,0,-11.426,-18.164,-16.786,-12.608,-14.273,-14.197,204.4175
1,17.25,-0.070435,-4.0045010006,-96.10716,0,-36.194,-9.4025,24.124,0.039,86.535,0,-74.85925,0,0,-9.283,0,-11.4,-18.19,-16.812,-12.6,-14.262,-14.129,205.7125
1,17.75,-0.05774,-7.37644939125,-90.518395435,0,-35.966,-9.5075,23.74,0.03246,86.515,0,-76.968,0,0,-9.301,0,-11.378,-18.2,-16.858,-12.596,-14.209,-14.064,204.6875
1,18.25,-0.110882229,-4.539494734975,-94.7622375,0,-35.938,-9.473,23.458,0.0331125,86.515,0,-75.005,0,0,-9.395,0,-11.422,-18.234,-16.922,-12.654,-14.246,-13.996,204
1,18.75,-0.299005935075,-7.09355677625,-104.1282835375,0,-35.868,-9.501,24.286,0.039625,86.6,0,-74.017,0,0,-9.498,0,-11.422,-18.226,-16.982,-12.752,-14.278,-13.922,205.3325
1,19.25,-0.081147257625,-8.8051188461,-84.80443177125,0,-36,-9.4355,23.04,0.04326,86.6375,0,-74.84875,0,0,-9.5805,0,-11.424,-18.29,-16.966,-12.844,-14.331,-13.923,205.5
1,19.75,-0.052440353,-4.124886855475,-95.00022,0,-36.026,-9.505,23.512,0.04728,86.525,0,-76.36825,0,0,-9.7975,0,-11.438,-18.216,-16.792,-12.916,-14.361,-13.955,203.0575
1,20.25,-0.2473994212,-12.64672188225,-98.01666979,0,-36.01,-9.4575,24.018,0.042745,86.63,0,-78.23825,0,0,-9.705,0,-11.462,-18.2,-16.8,-13.006,-14.362,-13.999,205.08
1,20.75,-0.307146762,-8.5834674138,-89.93875807225,0,-35.88,-9.4365,22.614,0.0403275,86.52,0,-78.23375,0,0,-9.633,0,-11.374,-18.178,-16.732,-13.086,-14.346,-14.049,205
1,21.25,-0.156924732,-11.2368727731,-97.419411955,0,-35.92,-9.431,23.146,0.042575,86.62,0,-76.288,0,0,-9.5845,0,-11.338,-18.186,-16.696,-13.136,-14.369,-14.101,205.695
1,21.75,-0.33316498205,-6.9579863099,-99.0868,0,-35.846,-9.4585,22.004,0.0355925,86.25,0,-77.588,0,0,-9.5635,0,-11.296,-18.172,-16.644,-13.188,-14.3,-14.143,205.4
1,22.25,-0.1593483024,-8.180081,-87.73809333775,0,-35.694,-9.4555,24.074,0.0522375,86.7075,0,-75.97,0,0,-9.535,0,-11.296,-18.222,-16.624,-13.232,-14.259,-14.186,205.17
1,22.75,-0.206421921475,-6.2896865967,-84.08000728,0,-35.514,-9.5155,24.622,0.03955,86.71,0,-77.1055,0,0,-9.656,0,-11.276,-18.246,-16.602,-13.214,-14.207,-14.22,205.5975
1,23.25,-0.4634289247,-5.1802891664,-80.9485835465,0,-35.532,-9.4965,24.122,0.03723,86.8,0,-74.62125,0,0,-9.711,0,-11.266,-18.296,-16.558,-13.25,-14.156,-14.224,204.8
1,23.75,-0.43075933965,-4.1251563019,-92.95321145475,0,-35.564,-9.4365,26.092,0.0505025,86.62,0,-74.0525,0,0,-9.7355,0,-11.118,-18.236,-16.512,-13.238,-14.073,-14.245,206.92
2,0.25,0,-9.2922225,-123.2472823625,0,-37.23,-12.091,23.85,0.04190175,86.5,0,-66.59825,0,0,-12.178,0,-9.662,-16.448,-13.2355,-10.472,-12.692,-11.542,205.68
2,0.75,0,-9.2132525,-73.028725,0,-36.942,-12.1035,23.676,0.04717,86.45,0,-66.078,0,0,-12.094,0,-9.682,-16.3605,-13.3875,-10.4065,-12.5875,-11.65575,204.44
2,1.25,0,-6.9743565,-70.13592,0,-37.262,-12.0615,24.05,0.0445125,86.5,0,-66.003,0,0,-12.168,0,-9.897,-16.439,-13.4265,-10.519,-12.795,-11.69675,204.44
2,1.75,0,-6.2467525136,-81.3169125,0,-37.034,-12.134,24.81,0.049171,86.5,0,-64.57525,0,0,-12.15,0,-10.018,-16.466,-13.434,-10.539,-12.886,-11.71775,202.765
2,2.25,0,-9.70990195625,-103.716542015,0,-36.734,-11.961,24.486,0.03926,86.5525,0,-66.88775,0,0,-12.154,0,-10.014,-16.4705,-13.4355,-10.5605,-12.92175,-11.73975,203.37
2,2.75,0,-6.8197523014,-80.54616125475,0,-36.886,-12.1105,23.858,0.034165,86.65,0,-67.6385,0,0,-12.15,0,-10.0185,-16.4675,-13.4495,-10.5605,-12.9245,-11.7695,203.3625
2,3.25,0,-7.436011536625,-83.823204448,0,-37.212,-12.1185,22.562,0.0431275,86.55,0,-66.3175,0,0,-12.16,0,-10.0325,-16.462,-13.4335,-10.579,-12.924,-11.78775,203.8
2,3.75,0,-4.13343775,-67.558697192,0,-37.408,-12.194,22.666,0.03667,86.5,0,-66.19,0,0,-12.24,0,-10.0325,-16.4405,-13.3285,-10.579,-12.911,-11.792,204.65
2,4.25,0,-7.75678965405,-83.3723025,0,-37.296,-12.127,22.496,0.0352375,86.5475,0,-65.8115,0,0,-12.15,0,-10.0055,-16.4295,-13.27,-10.5905,-12.9035,-11.763,203.8
2,4.75,0,-12.94160435925,-64.764936369,0,-37.328,-12.1635,22.296,0.0319,86.5,0,-66.2025,0,0,-12.216,0,-9.99,-16.4125,-13.284,-10.5765,-12.895,-11.7455,204.95
2,5.25,0,-5.124269,-83.837601186,0,-37.028,-12.2005,24.008,0.03322,86.5,0,-66.80275,0,0,-12.208,0,-10.102,-16.4085,-13.2765,-10.591,-12.8945,-11.7285,206.3
2,5.75,-0.05809238925,-3.89211,-73.661017533,0,-37.034,-12.232,23.11,0.0386375,86.5475,0,-64.983,0,0,-12.252,0,-10.1375,-16.3985,-13.2805,-10.5855,-12.8845,-11.73525,206.0725
2,6.25,0,-4.74685017125,-81.568176736,0,-36.99125,-12.1675,23.0525,0.038125,86.545,0,-64.6,0,0,-12.26875,0,-10.0725,-16.38,-13.27875,-10.5875,-12.8725,-11.741875,205.675
2,6.75,0,-5.3768313941,-70.1944692465,0,-36.97125,-12.2425,23.70125,0.0415425,86.6,0,-66.35025,0,0,-12.1675,0,-10.1025,-16.3725,-13.28625,-10.595,-12.8625,-11.756875,205.455
2,7.25,0,-4.1385662814,-70.848234226,0,-36.89625,-12.17375,21.48625,0.0447245,86.6375,0,-66.515,0,0,-12.09625,0,-10.09375,-16.37875,-13.2775,-10.58375,-12.849375,-11.7575,205.755
2,7.75,-0.142302002,-5.1417665,-84.82952,0,-36.748,-12.16,21.058,0.03842,86.6425,0,-67.75,0,0,-12.112,0,-10.108,-16.486,-13.2765,-10.564,-12.8375,-11.76775,205.6
2,8.25,-0.00162499999999999,-7.845979634525,-64.640975,0,-36.518,-12.2035,22.032,0.0484,86.6375,0,-67.3425,0,0.01978756,-12.176,0,-10.11,-16.625,-13.268,-10.5455,-12.8595,-11.774,205.21
2,8.75,0,-5.82614647285,-69.59646783725,0,-36.542,-12.1845,22.3,0.03916,86.74,0,-68.279,0,0.010319102,-12.166,0,-10.1895,-16.7325,-13.261,-10.5085,-12.849,-11.797,205.2575
2,9.25,0,-5.732775944725,-88.699185105,0,-36.664,-12.164,22.346,0.04184975,86.585,0,-64.4635,0,0.3661938,-12.196,0,-10.198,-16.83,-13.237,-10.49,-12.82625,-11.8115,205.665
2,9.75,0,-6.4434625372,-67.1023,0,-36.49125,-12.23,21.6575,0.0382,86.6375,0.70575,-65.657,0,1.91790875,-12.185,0,-10.1475,-16.92875,-13.2475,-10.48,-12.818125,-11.834375,205.8
2,10.25,-0.01197,-6.23883923765,-84.04515867,1.3283,-36.48875,-12.15125,22.5175,0.0379325,86.64,2.9145,-60.962,2.48387,7.61949625,-12.175,0,-10.19375,-16.97875,-13.26375,-10.49625,-12.840625,-11.84875,206.3
2,10.75,-0.00874999999999999,-7.650331,-65.156325,5.213275,-35.59,-12.23375,23.86375,0.03695975,86.545,6.377,-54.53075,7.95282375,18.0644625,-12.22375,0,-10.20625,-16.95625,-13.28,-10.5,-12.885,-11.858125,206.4
