DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,H2O_1_5_1,H2O_1_6_1,FC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,NETRAD_1_2_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1
1,0.25,374.649845,374.5465725,374.5101,374.651945,374.919,375.994,376.618025,0.236590375,0.2697334,0.27130658,0.249025175,0.2414459,0.28169741,-1.34022625,-5.6276425,-54.433585,-6.4874017,0.7302643425,0,0,0,0.1184269775,93.153095,-25.04827875,-25.687025,-25.6761585,-25.59073175,-25.61340175,-25.72711825,-25.11272,-25.46075,-25.8492085,-25.12704825,-2.160699325,0,-1.19696625,-0.4151977325,0.189488665,1.42329665,2.677663525,-77.98610125,-33.7021885,0,0,0,0,0,0,0,144.38336,210.398735,-23.43162325,-25.01862175,-1.498472,-0.1654880925,0.1965942225,0.56433911,1.303915275,1.609560275,1.75504425
1,0.75,374.3224775,374.35947,374.363115,374.45524,374.744765,375.619515,375.94979,0.233594565,0.2673120725,0.265321255,0.2570775,0.246366,0.283735375,-1.253323,-5.62804975,-49.501703,-7.6512075,0.69147202,0,0,0,0.1007075825,93.04619075,-25.403235,-25.90024875,-25.9143725,-25.7262925,-25.87483,-25.5325,-25.03954375,-25.371,-25.68162375,-25.0995825,-2.24485,0,-1.256137375,-0.5336683125,0.11893874375,1.489458,2.648504375,-77.823225,-32.8667755,0,0,0,0,0,0,0,144.359155,209.936855,-23.53533125,-25.08595625,-1.066258675,-0.1669542075,0.20122577,0.5624973575,1.30318965,1.606427275,1.7491729
1,1.25,375.092765,375.1429625,375.123455,375.14163,375.20139,375.36351,376.51337,0.2320001875,0.26660342,0.267461105,0.25771735,0.244321475,0.27598788,-0.9692563075,-5.6276165,-56.02329,-6.790637175,0.673810725,0,0,0,0.10287864,92.986872,-25.7028955,-26.155,-26.024,-25.806,-26.056835,-25.536165,-25.3245,-25.443165,-25.5515,-25.338835,-2.3311835,0,-1.269283,-0.50144665,0.17110665,1.359895,2.59965,-76.9238135,-33.01388,0,0,0,0,0,0,0,144.388375,209.00415,-23.81117,-25.325,-1.0486067925,-0.1675113,0.198287125,0.5612789775,1.305398775,1.6108551,1.75279575
1,1.75,375.37956,375.35425,375.390115,375.44934,375.6056825,375.728925,376.94214,0.23680764,0.264826875,0.26918463,0.2549533325,0.240864475,0.274168025,-0.825037205,-5.627478125,-52.4879115,-5.805961,0.7311048,0,0,0,0.0938253925,92.96767575,-25.6114585,-26.2825415,-26.32925675,-25.95443175,-26.2655165,-25.56317325,-25.45574825,-25.6675165,-25.6894,-25.673205,-2.556081825,0,-1.533237325,-0.8769975675,-0.03779192175,1.19629,2.439065175,-76.2128785,-32.4926355,0,0,0,0,0,0,0,144.59811,207.295275,-24.13235,-25.17624325,-0.8760930825,-0.1766663,0.201417475,0.561135335,1.30060965,1.60700545,1.752149275
1,2.25,375.09824,375.12762,375.1466725,375.21237,375.3108975,376.182805,376.753215,0.2348037725,0.26288126,0.26142552,0.24868651,0.236452535,0.266541725,-0.760943015,-5.6264488,-64.4021685,-6.06387885,0.67304915,0,0,0,0.0990440055,92.98050425,-25.8885135,-26.547525,-26.58804825,-26.178195,-26.54279825,-25.76385,-25.58765175,-25.85643175,-25.9880785,-25.41306825,-2.39132215,0,-1.325787675,-0.582403085,0.1867543175,1.36392415,2.632908,-76.465368,-32.3235815,0,0,0,0,0,0,0,145.60345,207.1276275,-23.96814325,-25.4846665,-0.88388114,-0.17832233,0.19905378,0.56275279,1.302593025,1.61035285,1.7497218
1,2.75,374.86047,374.8703,374.90565,374.92943,375.5286,375.9519925,376.40685,0.232573085,0.25970268,0.2571228325,0.2405750925,0.230730075,0.260366365,-0.542460725,-5.6276396,-54.9925745,-4.29923745,0.744063575,0,0,0,0.097531423,92.98369075,-26.08249,-26.7045815,-26.7273485,-26.2824985,-26.7715485,-26.11233,-25.75932,-25.93198,-25.95481,-25.5143785,-2.3157583,0,-1.3530533,-0.5960687,0.0812290150000001,1.24112465,2.48164485,-77.391542,-31.679755,0,0,0,0,0,0,0,144.9924375,206.53311,-24.1644185,-25.792333,-0.59060585,-0.1828915625,0.1951089075,0.566037845,1.297836975,1.607460825,1.751388525
1,3.25,374.76749,374.81526,374.69535,374.92295,375.435655,375.516685,375.9842925,0.230840415,0.25464803,0.2460565725,0.23813525,0.223208485,0.2550775425,-0.74602445,-5.627436875,-57.0668115,-6.069918625,0.82240401,0,0,0,0.0960691,93.0026165,-26.2971,-27.02383,-27.00958625,-26.5775,-27.018545,-26.3920825,-26.13600125,-26.41437375,-26.42308125,-25.81312625,-2.196112375,0,-1.236033,-0.4889620625,0.1520758125,1.522862625,2.7375205,-77.09295,-30.82946475,0,0,0,0,0,0,0,145.45091,205.6127225,-24.40037375,-25.8857075,-0.78184455,-0.18636171,0.195859625,0.56155164,1.29948095,1.6069759,1.74820175
1,3.75,374.65152,374.58233,374.636,374.81602,375.21066,375.423495,376.116265,0.22776653,0.24439913,0.237950805,0.2311958875,0.21641973,0.25096782,-0.9755578875,-5.62752425,-60.87221075,-5.319086075,0.698919615,0,0,0,0.09951780175,92.9487545,-26.578988,-27.2475825,-27.30062625,-26.72125125,-27.1555825,-26.485,-26.2203725,-26.42358,-26.6874125,-26.2110425,-2.2630205,0,-1.259417,-0.5477558125,0.10288584375,1.442383125,2.710125125,-77.082828,-30.08137,0,0,0,0,0,0,0,147.95139,206.8651,-24.696045,-26.14479625,-0.7234696275,-0.189801045,0.202120135,0.56622975,1.29777255,1.60613395,1.7482979
1,4.25,374.63653,374.70257,374.71367,374.87893,375.1885575,375.6831825,376.0794175,0.222155465,0.2353152875,0.2328698175,0.226674885,0.2194777075,0.25116202,-1.0459934,-5.62758315,-54.302369,-5.9079561,0.69221582,0,0,0,0.0909843335,92.939078,-26.813022,-27.3927685,-27.4618,-27.030333,-27.24925,-26.5468485,-26.4899985,-26.521333,-26.5148315,-26.247233,-2.17119815,0,-1.19597685,-0.451167845,0.204491685,1.53550365,2.71845,-75.366144,-30.51344,0,0,0,0,0,0,0,149.537465,206.2637,-24.7915485,-26.4770185,-1.1708374,-0.187572545,0.19867043,0.563538975,1.29590205,1.6072977,1.74632485
1,4.75,374.84088,374.8312,374.8208025,374.83102,375.1216925,375.6336475,376.1097875,0.2179816425,0.2294789125,0.22637175,0.227613695,0.22017834,0.2475236625,-0.6810969625,-5.62766975,-58.530018,-4.222186025,0.80775486,0,0,0,0.112456495,92.98786,-27.12373625,-27.6511185,-27.610217,-27.152667,-27.3528,-26.6391685,-26.3489685,-26.608017,-26.623217,-26.195167,-2.25970845,0,-1.21307515,-0.509581385,0.1819992,1.320132,2.548488,-76.09385875,-29.34583475,0,0,0,0,0,0,0,150.8241975,205.1637275,-24.842167,-26.3141645,-0.70633646,-0.189833185,0.196402605,0.56344254,1.3002872,1.60183735,1.7489771
1,5.25,375.08119,375.04248,375.179695,375.0368,375.27727,375.759925,375.90307,0.2136462675,0.228237355,0.22326698,0.2266452,0.218989475,0.24670962,-0.649326,-5.6266802,-53.440955,-4.9590212,0.782698375,0,0,0,0.121983545,93.0354255,-27.33455,-27.78267,-27.581334,-26.976666,-27.272004,-26.683468,-26.54813,-26.663732,-26.686732,-26.2256,-2.2592668,0,-1.2022132,-0.4499114,0.25492466,1.5101934,2.738667,-76.63248875,-31.10710525,0,0,0,0,0,0,0,149.5945925,204.32994,-24.903798,-26.512668,-0.706964,-0.1915853,0.196370635,0.56462842,1.3013192,1.6028385,1.7448688
1,5.75,374.83176,374.82234,374.8273525,374.70115,375.21494,375.875285,376.2234925,0.2077054325,0.2221806025,0.219578375,0.22394934,0.22034185,0.2432145375,-0.55532425,-5.6139262,-55.154883,-5.7311107,0.87301405,0,0,0,0.1238772,93.04002075,-27.54976625,-27.958,-27.735998,-27.038,-27.33333,-26.8774,-26.66213,-26.7964,-26.9784,-26.69347,-2.2719534,0,-1.286533,-0.59028402,0.073497336,1.371707,2.7427202,-73.357955,-31.52644525,0,0,0,0,0,0,0,146.6754875,203.9022175,-25.152668,-26.480668,-1.0576255,-0.18922899,0.1948694,0.564211425,1.2969018,1.6017071,1.7465188
1,6.25,374.98991,374.93495,374.9794675,374.69503,375.25802,375.8472225,375.8774225,0.205110585,0.2211873,0.2156694975,0.22373494,0.21658812,0.23917716,-1.0985754,-5.632583,-66.09356425,-5.76718905,0.86646166,0,0,0,0.1103242275,93.056303,-27.6320305,-28.0984495,-27.86608475,-27.1407245,-27.649155,-26.954845,-26.75884025,-26.91181025,-26.98883975,-26.723675,-2.20185995,0,-1.254301525,-0.4522688525,0.2227902025,1.50264425,2.75759995,-75.7786675,-30.532905,0,0,0,0,0,0,0,146.74025,203.55875,-25.337705,-26.6116745,-1.111434975,-0.19250851,0.195156875,0.562802175,1.30447985,1.6050996,1.74312205
1,6.75,374.87929,374.88559,374.87955,374.70416,375.18593,375.698775,375.8929125,0.198156545,0.2193204375,0.21502635,0.2257822475,0.2100374675,0.239384825,-0.79341272,-5.63253985,-56.106538,-6.084728,0.861333715,0,0,0,0.10744203,93.09244825,-27.916138,-28.212217,-28.083,-27.455,-27.9573315,-26.9673485,-26.8521685,-27.1010015,-27.3408485,-26.8974185,-2.30026355,0,-1.2476583,-0.576044985,0.13412583,1.39716185,2.61445265,-74.1887595,-30.491133,0,0,0,0,0,0,0,146.002525,203.164925,-25.543417,-26.8983315,-0.649029,-0.19241314,0.196242835,0.56059095,1.29477345,1.6046484,1.7435751
1,7.25,374.91926,374.8697,374.94704,375.12967,375.31055,375.54957,375.92144,0.19677853,0.2123661375,0.207755775,0.2162450175,0.20646988,0.231297875,-1.1981568,-5.67421085,-56.739164,-8.135447,0.9853624875,0,0,0,0.132379835,93.0100545,-27.941169,-28.42325,-28.32218,-27.862333,-28.1707685,-27.2068315,-27.0991685,-27.2659815,-27.397167,-27.304333,-2.20742015,0,-1.09884315,-0.36279567,0.333573185,1.67070685,2.78635485,-70.453547,-30.781283,0,0,0,0,0,0,0,147.550325,203.135925,-25.73518,-27.00262,-1.2615816,-0.19120322,0.1969137,0.559854165,1.2966117,1.6025143,1.74580755
1,7.75,375.06063,375.13074,375.25515,375.38405,375.66271,375.693045,375.9699775,0.1923415,0.20874588,0.20331264,0.214114,0.2011898875,0.22808543,-0.865675335,-5.65334995,-61.7146215,-5.939239775,0.8793114,0,0,0,0.12075557,92.9700545,-28.2827795,-28.69783425,-28.42541425,-27.8367505,-28.223425,-27.31902,-27.05908425,-27.306,-27.377775,-27.055775,-2.322435,0,-1.28768775,-0.5778905,0.1450716475,1.38583375,2.61112005,-61.92331375,-29.164125,0,0,0,0,0,0.89369236,0.3332468,152.701025,202.76455,-25.84542,-26.9744755,-0.87877752,-0.19069378,0.195572065,0.56180878,1.30080335,1.6051619,1.74558095
1,8.25,375.69824,375.68402,375.6999425,375.96466,376.10409,376.2681825,376.334985,0.1941304,0.2031463,0.203293125,0.2130198325,0.20363276,0.22712158,-0.7636425725,-5.628959525,-45.022144,-4.992161725,0.719467885,0,0,0,0.1104289075,93.01061075,-28.167851,-28.60017,-28.45680675,-27.89117,-28.09917,-27.39940675,-27.0679835,-27.25568825,-27.374025,-27.0479665,-2.249295175,0,-1.153119825,-0.3944535,0.32093255,1.464693575,2.62662085,-39.434379,-24.9228745,8.7702853,6.97284715,3.532878225,2.08507095,1.76935695,4.791996,1.370926,153.656715,204.4380725,-25.95562325,-27.03272325,-1.18560135,-0.19145794,0.19550905,0.562065005,1.29525705,1.60425865,1.74528965
1,8.75,375.70055,375.68558,375.751605,375.85199,376.00394,376.213175,376.50094,0.20001501,0.2158178275,0.20776638,0.21567289,0.20569065,0.2373188,-0.88285217,-5.62869095,-27.860157,-5.2767366,0.7402283925,0,0,0,0.1380099,93.048017,-27.5053775,-28.12545,-27.99273,-27.48769025,-27.8477505,-27.11391475,-26.88092,-27.06166475,-27.17973475,-26.58067,-2.530214225,0,-1.5502072,-0.725660355,-0.0126150018,1.1967305,2.481813525,0.296494225,-22.86463475,26.15409,15.814986,9.494319625,5.3547763,4.438374475,13.12266,3.555592,152.21672,206.214685,-25.94541525,-26.85476475,-1.0887571,-0.18811474,0.192762095,0.5631546,1.29657945,1.60471155,1.74169805
1,9.25,375.92922,376.10424,376.122575,376.2089,376.36552,376.50347,376.74174,0.20633567,0.2329429,0.2289442925,0.23515178,0.2211716375,0.2521403875,-0.5732249725,-5.6290047,-12.4522775,-4.518392875,0.7336685,0,0,0,0.1575457,93.04654,-27.00617,-27.39547,-27.4019515,-26.9757185,-27.1706615,-26.1970185,-25.7410985,-25.7900645,-25.994917,-25.57615,-2.342148,0,-1.24849515,-0.5432623,0.293908485,1.5225928,2.7031817,12.896085,-24.9657515,44.40166225,26.7615475,15.130618,9.7253382,8.0392853,21.0351675,6.4522415,150.18839,209.202,-25.0789985,-25.8930015,-1.0464333,-0.19056642,0.19209303,0.561552395,1.29586995,1.60354935,1.7442868
1,9.75,376.120705,376.115265,376.16831,376.116655,376.2096975,376.268935,376.42546,0.210947205,0.252036325,0.24616984,0.24904674,0.2390158125,0.263020375,-0.9128649,-5.62886885,-2.7682601,-5.2455952,0.7007102175,0,0,0,0.1591078,93.008834,-26.648406,-26.6450015,-26.4623815,-26.4861985,-26.2055185,-25.422617,-25.02117,-24.927167,-25.1661685,-24.2192815,-2.46295685,0,-1.66538265,-0.95530787,-0.330445815,1.07088065,2.4028447,17.489048,-27.89708,67.0067685,37.0079175,17.901558,13.5694395,10.12054,29.493272,8.4827278,153.24504,212.719875,-24.0421485,-25.2624315,-1.212212,-0.1926997,0.191327275,0.5637955,1.29541845,1.60345145,1.74425385
1,10.25,375.6212475,375.6420925,375.719405,375.79424,375.842685,376.05715,376.228675,0.22010349,0.2648454325,0.241984275,0.2538805425,0.24982182,0.27905984,-0.760103705,-5.7648,0.838040705000001,-4.6994259,0.6240436775,0,0,0,0.203738525,93.04133975,-25.61040225,-26.166525,-26.0879085,-25.708355,-25.74117,-24.24315,-24.358,-24.311665,-24.47417,-23.207835,-2.2790165,0,-1.277523,-0.66866,0.09684999,1.4180835,2.6786835,22.025621,-36.60826825,73.2148215,45.85707675,23.0520735,17.178453,14.1494215,35.9810965,10.19625225,154.66295,216.7926875,-23.214835,-24.49567,-0.9254193125,-0.1883217,0.1894109,0.564468375,1.290211,1.597974125,1.74611375
