DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,H2O,CO2,TS_1_1_1,TS_1_2_1,CO2_SIGMA,H2O_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,U_SIGMA,V_SIGMA,W_SIGMA,CH4,FCH4,SCH4,SH,SLE,G_1,G_2
1,0.25,0.08005,14.2306,0.84,0.372,0.274161755076128,-0.05291685,-13.4003225,5.673465,70.2137675,101.7,3.09736981761039,-55.47,0,0,2.375,12.773045,388.25,18.71,19.5,0.0214591711669773,3.3943966235297,15.1903,0.121894742340887,20.29,20.74,21.76,18.94,18.8,19.81,20.38,20.61,0.23221692444781,0.187465967309876,0.0947804832230771,2170.3125,16.0243760349331,-1.16283441653123,-0.48080205,-0.577977387897302,-1.0155,-0.76075
1,0.75,0.087,14.01,0.837,0.283,0.288619725,-0.0550235825,-12.5768475,6.4168731047029,70.4245,101.68045,3.0123275,-53.81,0,0,2.5,12.5734975,389.20035,18.6225,19.4825,0.0219130949726195,3.21479613411165,15.0557,0.117587584265601,20.2,20.69,21.7,18.85,18.765,19.82,20.35,20.57,0.236377257445629,0.214564993750154,0.0962643224197169,2176.882,18.63449,-1.0185415,-0.482708,-0.766448565826626,-1.07525,-0.82875
1,1.25,0.08765,13.9497178991205,0.89225,0.38475,0.20375,-0.070751325,-13.554,5.2001925,69.40825,101.6548,3.0920565,-55.990655,0,0,2.615,12.33795,389.381,18.6025,19.49,0.0232662169165666,3.3403378612987,14.855,0.119147933259457,20.18,20.67,21.73,18.87,18.735,19.85,20.38,20.57,0.250890015743951,0.219785055531965,0.106512910015641,2151.3425,13.8605835902836,-1.89123075,-0.4211313,-0.7854255,-1.04075,-0.893
1,1.75,0.092054075,13.8609,0.8905,0.329,0.229793994316828,-0.068,-13.41202,4.97204,70.0425192073365,101.601,3.04370144084115,-55.24,0,0,2.4,12.216645,388.41005,18.56,19.4925,0.0242074368738204,2.94571044062379,14.6238,0.116342786561299,20.19,20.67,21.72,18.84,18.6275,19.79,20.36,20.54,0.247184141886165,0.211428659526777,0.110453610171873,2163.585,14.6715375,-1.89183,-0.427897,-0.9504545,-1.017,-0.9595
1,2.25,0.08516685,13.70135,0.9,0.359,0.277,-0.06,-13.4633075,3.99287575,69.6674837353277,101.601,3.11455660018367,-53.36,0,0,2.3,12.179,388.448792846127,18.5025,19.4825,0.0229174931430495,3.13389007465163,14.601,0.114519624285611,20.21,20.69,21.68,18.79,18.58,19.74,20.33,20.56,0.233972519753923,0.213172229688278,0.112225219981963,2146.194,17.7735625,-1.77337375,-0.427225525,-0.904640325,-1.0455,-0.98725
1,2.75,0.091,13.5142009442145,0.89,0.334,0.270795675,-0.0767648,-13.8415125,5.520275,68.89297,101.601,3.0829565738198,-52.19,0,0,2.1125,11.917,388.716481885668,18.4425,19.455,0.0233502376668951,3.19162821585221,14.4009,0.114212398167582,20.22,20.68,21.66,18.76,18.48,19.77,20.31,20.52,0.230546117427193,0.207927019930532,0.104588198433284,2141.92,16.13855,-1.845639,-0.46059385,-0.898178341853244,-1.134,-1.00975
1,3.25,0.0873149,13.203211676796,0.884,0.35,0.224,-0.0758202331903997,-12.7059875,4.004025,68.30103,101.601,3.074189,-51.16,0,0,1.91,11.8952325,388.9415,18.3725,19.5,0.0208417087884982,3.21458413801314,14.20875,0.116754014920259,20.18,20.68,21.71,18.74,18.4675,19.74,20.34,20.52,0.236288644276133,0.204597458518567,0.104186670716909,2163.81425,12.7923,-1.09340925,-0.43220275,-0.709875,-1.223,-1.02775
1,3.75,0.09055,13.037,0.89825,0.379,0.292213175,-0.0715,-12.668815,3.222233,68.3605,101.5955,3.016388,-51.92,0,0,2.3,11.687047784764,389.0845,18.3,19.4775,0.022491190900662,3.00765741309798,14.094925,0.114037686053541,20.17,20.61,21.68,18.65,18.4825,19.72,20.3,20.53,0.240664537415709,0.217595448106072,0.111673990017897,2172.99475,14.1809975015233,-1.5120375,-0.365183725,-0.4618345,-1.29725,-1.05325
1,4.25,0.088,12.9967363578722,0.8765,0.419,0.271451,-0.04769015,-12.314565,4.01463258884869,68.8184388553059,101.59395,3.046464,-49.82,0,0,2.19,11.7170926515237,388.81802517568,18.23,19.485,0.0220608023426166,3.10172237877609,13.8006,0.106511953774907,20.18,20.57,21.67,18.58,18.4325,19.72,20.35,20.51,0.253032601577291,0.199980574056582,0.109539585075837,2165.46192888629,12.58635,-1.41593510924789,-0.412691546546372,-0.6041158,-1.35525,-1.0835
1,4.75,0.090793985,13,0.866,0.23575,0.233325025,-0.0555956595873117,-12.1685699172368,4.1473245,68.68594,101.5949,3,-47.28513,0,0,2.3,11.7964,389.206787157288,18.2,19.4625,0.0212876273211641,2.69914308052507,13.6244,0.104786466140497,20.19,20.58,21.68,18.53,18.34,19.68,20.36,20.51,0.241914675040602,0.193808310309897,0.106326055132315,2160.08832220792,16.2405497797293,-1.56072,-0.376648125,-0.65976625,-1.38425,-1.11875
1,5.25,0.093025,12.95,0.86525,0.319,0.1905,-0.0894454675,-12.4614,2.55853775,67.9755487588422,101.5942,3.008757,-48.26,0,0,2.14,11.6855,389.298,18.2,19.485,0.0221535940219918,3.01444380476249,13.646,0.107990879244499,20.2,20.55,21.69,18.41,18.2825,19.59,20.28,20.52,0.241752828318512,0.206063307978896,0.111409155817644,2164.27590066339,13.7308051347747,-1.8792775,-0.37152625,-0.83979035,-1.3305,-1.16075
1,5.75,0.0895635,12.7692004393685,0.897,0.37,0.31525,-0.072192925,-11.528025,2.09161625,67.57938,101.601,3,-45.46,0,0,2.165,11.58578,389.641,18.105,19.49,0.0226259637136764,2.6973598202687,13.654775,0.107790073754497,20.15,20.56,21.67,18.36,18.115,19.59,20.37,20.53,0.25019595419107,0.207340619431873,0.113742796180236,2173.9325,13.8458,-0.92224925,-0.3285158,-0.522699,-1.2665,-1.20225
1,6.25,0.09041168,12.603597318705,0.835,0.3255,0.13480765,-0.066040275,-11.23741,1.34936,68.283,101.601,2.965,-46.892075,0,0,2.32,11.5849157169836,389.0217,18.1,19.485,0.0226824001797736,2.70645325306968,13.446,0.107941234011846,20.21,20.59,21.69,18.32,18.175,19.64,20.34,20.57,0.236220024553381,0.213572975427863,0.10881819700767,2180.02,14.426165,-0.869227310734365,-0.38087335,-0.64182635,-1.18975,-1.25075
