DOY2,HR2,T_SONIC_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,LE_1_1_1,H_1_1_1,USTAR_1_1_1
1,0.25,1.7582,100.09,1.0033,86.746,-0.5375,1.0135,283.55,309.7,0.0503343,1.12325,-6.79035,2.53805,1.3025,0.7725415,0.4610255,0.56663,0.1919995,426.359,3.07152,0.902649,0.431198,-3.42991,0.1352145
1,0.75,1.7391,100.03,0.72984,86.547,-0.58525,0.959,289.05,307.75,0.057507,1.197475,-6.6097,2.566675,1.221925,0.823414,0.438844,0.5110375,0.197238,424.681,2.87795,0.533146,1.45694,-3.71483,0.134848
1,1.25,1.6034,100.0105,0.3231725,86.75325,-0.6265,0.9975,284.275,306.95,0.0452155,1.289775,-7.137875,2.035025,0.864195,0.837041,0.433335,0.526543,0.188575,423.119,2.909765,0.50399,0.624237,-3.54783,0.133372
1,1.75,1.05429,99.98775,-0.1106395,87.63825,-0.753,1.05125,282.1,305.375,0.0479815,1.355925,-6.381675,1.961025,0.6615825,0.778797,0.443733,0.510535,0.191674,425.038,2.64321,0.585206,0.8924155,-4.02341,0.123002
1,2.25,1.641625,99.9425,0.18945,89.30075,-0.60675,1.00725,291.05,306.95,0.053749,1.408475,-5.5427,2.2346,0.8439325,0.844768,0.4395385,0.5171545,0.187092,422.8665,2.67199,0.650378,0.818759,-4.06651,0.1363815
1,2.75,1.39575,99.9565,0.186485,89.8485,-0.5795,0.99575,286.075,306.65,0.0454825,1.6314,-5.97625,1.8577,0.617105,0.801106,0.418179,0.494902,0.173943,423.267,2.77881,0.411028,1.85664,-4.6133,0.121475
1,3.25,0.877595,99.963,-0.27841,89.1415,-0.732,1.011,287.5,304.625,0.0357385,1.5972,-7.662825,1.8347,0.59421,0.752297,0.4218645,0.5110215,0.1696625,422.893,2.74192,0.673245,1.97441,-3.753035,0.126213
1,3.75,0.50668,99.9505,-0.36435,88.249,-0.54875,1.15225,292.35,303.85,0.047225,1.4988,-8.46815,2.2363,0.649495,0.6862805,0.3948455,0.469735,0.161584,425.0775,2.673555,0.791309,0.186212,-4.58378,0.1140795
1,4.25,1.16245,99.9445,-0.328034,88.009,-0.6525,1.0005,291.85,304,0.05266,1.68825,-6.9278,2.191325,0.6346175,0.7758795,0.3718485,0.464945,0.158572,425.651,2.70581,0.719046,0.530148,-3.26299,0.111115
1,4.75,0.62823,99.97225,-0.395525,86.866,-0.74625,1.27325,287.85,302.125,0.048245,2.00485,-8.663775,2.24565,0.63103,0.837488,0.3658585,0.500714,0.153561,427.611,2.940395,0.3709,0.203169,-5.00156,0.1142375
1,5.25,0.52343,99.94875,-0.654995,86.996,-0.7385,1.13625,290.75,302.35,0.04662475,1.925,-9.859975,2.268425,0.68586,0.7332975,0.3868995,0.505942,0.1711595,426.6115,3.09114,0.513464,0.258502,-3.954195,0.1218005
1,5.75,0.3485725,99.967,-0.76955,87.4575,-0.818,1.107,286.575,302.25,0.0495405,1.8622,-9.3814,2.2341,0.696755,0.65644,0.3734735,0.4816605,0.1638875,424.523,3.07813,0.484129,0.1568355,-2.68392,0.118153
1,6.25,0.455255,100.00325,-0.6674975,88.66475,-0.713,1.072,287.5,300,0.0576845,1.8712,-9.49455,2.191475,0.7124,0.7842535,0.3889625,0.438597,0.144625,425.7405,3.07212,0.4181835,0.175178,-3.49498,0.134904
1,6.75,0.2667655,99.996,-0.944685,87.8915,-0.83075,1.12725,288.05,298.45,0.057857,1.9402,-9.40085,2.026925,0.67238,0.63176,0.360402,0.422293,0.143991,426.6035,2.97588,0.5569285,0.437436,-3.318295,0.100662
1,7.25,-0.28254,100.03,-1.313185,88.26175,-0.7455,0.919,289.1,298.15,0.056347,1.8495,-10.153525,1.877075,0.6311325,0.758936,0.362586,0.444845,0.140433,427.0525,2.86286,0.44218,0.423438,-2.90946,0.10549
1,7.75,-0.405265,100.06,-1.6109,88.9845,-0.71975,1.06525,288.85,297.575,0.1566675,1.855,-8.87925,1.90205,0.578155,0.593709,0.385132,0.428764,0.135625,427.233,2.884765,0.447741,0.3288455,-2.03568,0.105492
1,8.25,-0.39688,100.06,-1.056215,90.4165,0.93,1.527,285.75,296.95,4.12735,2.256375,-8.974725,3.25305,1.30377,0.765404,0.369344,0.440981,0.154392,424.196,2.873275,0.532316,0.800009,-2.28725,0.111464
1,8.75,-0.05624325,100.1025,-0.72327,91.0915,12.95,5.199,289.6,303.5,26.50275,3.355575,-9.278725,3.727925,1.590975,0.591995,0.403477,0.510335,0.175339,426.363,2.69495,0.327613,1.74542,-1.32554,0.120907
1,9.25,0.0054185,100.1525,-0.381595,89.191,37.73,14.885,292.25,305.4,65.73825,2.972475,-9.579,3.75245,1.4778,0.872291,0.488981,0.603696,0.223421,423.608,2.733655,0.259621,5.52646,0.5259155,0.158413
1,9.75,0.412295,100.17,0.40166,84.562,76.535,25.97,290.75,309.25,118.775,2.24235,-8.4662,3.48665,1.1959,1.253465,0.565788,0.710895,0.2436185,424.074,2.70404,-0.168198,10.9161,6.60719,0.167515
1,10.25,0.8956075,100.195,0.68778,81.0025,111.3,39.855,289.1,315.75,186.78,1.8244,-5.372525,3.37945,1.0708,1.27593,0.61614,0.7365385,0.266763,422.78,3.00744,-0.5398125,16.9209,12.7164,0.1913255
1,10.75,1.38952,100.235,1.31672,78.364,150.5,49.58,289.7,319.2,224.965,1.1507,-4.889925,3.27675,1.16995,1.391905,0.6725165,0.8745755,0.295671,421.4175,3.071605,-1.0686,23.875,18.49525,0.201008
1,11.25,2.17205,100.2275,2.39205,75.8515,208.7,60.21,286.95,325.3,255.325,0.422075,-4.17555,3.273,1.2727,1.36162,0.715898,0.891556,0.303156,420.356,2.83859,-1.10526,24.5225,19.314,0.208973
1,11.75,2.4715,100.24,2.89525,73.801,216.85,61.28,288.6,326,327.415,0.275475,-2.293,3.42335,1.3323,1.48055,0.751517,0.864349,0.3122585,420.383,2.95589,-1.60723,25.3428,23.14865,0.2071535
