DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,T_SONIC,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,5.25,412.30775,0.0420324,-17.3965576391065,-10.0220275,2.83674987869117,1.34994355215034,222.4,286.875,-66.0625,98.930142595922,0.057,0.073,79.5566231508189,-3.1645,0.117,-6.03731352744455,-6.115,-1.35,-0.5,1.646,2.00675,3.6515,-0.967,-0.3,1.12875,2.682,3.6,-2.431,-0.41575,0.6095,1.183,1.80775,2.676,3.113,4.094,5.476,-3.439,-1.91075,-0.10975,0.7295,1.3665,2.129,2.632,3.761,5.288,0.141194335604116,0.257190460193648,2.38527
1,5.75,412.50625,0.00493377831851313,-17.178006249331,-5.56585,2.88463278995737,2.35426145619506,223.775,287.75,-64.28,98.9164691511502,0.057,0.072,79.6325191042071,-3.0005,0.13675,-5.7800222830723,-6.151,-1.35,-0.5,1.65,2.00675,3.6515,-0.967,-0.3,1.144,2.6825,3.6165,-2.549,-0.43475,0.6335,1.144,1.80775,2.676,3.113,4.099,5.45,-3.363,-1.92975,-0.105,0.72,1.39025,2.129,2.63225,3.80025,5.31375,0.144064,0.236254737170607,2.41757832174983
1,6.25,412.9325,0.0719433,-17.0979406947371,-7.31904319993163,2.85484177990079,2.43736,224.4,288.325,-63.45,98.9624746559245,0.058,0.073,79.1569066043779,-3.03175,0.1545,-6.34365282331214,-6.2535,-1.4,-0.5,1.65,2.00675,3.6515,-0.983,-0.3,1.14,2.679,3.60375,-2.56725,-0.45375,0.6335,1.163,1.80775,2.661,3.113,4.104,5.476,-3.326,-1.921,-0.1,0.73425,1.39025,2.10925,2.6465,3.78525,5.268,0.14992975,0.242950882982163,2.506595
1,6.75,413.299,0.00515493732984105,-17.3145922919144,-5.7338825,2.8296568420585,3.5277375,220.9,287.175,-62.78,98.9930691888021,0.126,0.08,79.2034553582311,-2.604,0.1675,-6.59466991939274,-6.12475,-1.483,-0.5,1.65,2.00675,3.6515,-1,-0.3,1.122,2.6775,3.60375,-2.572,-0.4585,0.643,1.18275,1.80775,2.65625,3.113,4.104,5.45525,-3.307,-1.916,-0.086,0.72,1.36625,2.114,2.6465,3.761,5.283,0.13707730338874,0.214193746908092,2.33042
1,7.25,413.322,0.0294508,-17.2004863879747,-9.22779,2.86727825624884,2.26733494309167,224.1,287.625,-54.35,99.100225,3.3705,0.313,79.7632673723608,1.07025,0.3695,-6.28515638344745,-5.712,-1.5,-0.5,1.6585,1.9925,3.64675,-1.083,-0.35,1.1125,2.69175,3.61175,-2.5815,-0.45375,0.6235,1.144,1.80775,2.637,3.098,4.099,5.45,-3.246,-1.90675,-0.067,0.72,1.37125,2.10425,2.637,3.80525,5.248,0.13135,0.20331180502565,2.08567385983313
1,7.75,412.512,-0.18361425,-17.4103293058328,-5.965125,2.96840905810945,2.597375,227.525,287.575,-11.2175,99.094,21.2525,1.72275,79.5807057076198,10.6475,1.01425,-5.72041294059002,-5.90624999999999,-1.5,-0.5,1.65,1.9925,3.63175,-1.1,-0.317,1.111,2.6915,3.587,-2.638,-0.47275,0.662,1.125,1.803,2.661,3.113,4.094,5.435,-3.27375,-1.845,-0.086,0.7295,1.39025,2.114,2.598,3.751,5.278,0.136543461423478,0.201290659431753,2.22019701292427
1,8.25,412.394,-0.000821988874467405,-16.6024512849435,-1.85663368762116,3.08609487971977,3.850145,227.5,291.8,8.515,99.0505,50.92,4.866,77.6416387672202,25.695,2.44,-5.27861029136347,-5.96549999999999,-1.5,-0.5,1.6335,1.9925,3.63175,-1.1,-0.3085,1.1,2.683,3.6235,-2.48275,-0.50125,0.62875,1.17325,1.803,2.67125,3.098,4.084,5.45,-3.1,-1.81675,-0.05275,0.73425,1.376,2.095,2.622,3.78525,5.288,0.141899,0.278804734807385,2.1163
1,8.75,412.195,-0.1791985,-15.2342997220903,0.35581825,3.07036075828463,6.9264975,234.1,295.9,20.9925,99.0377,93.3,8.125,75.4230922532562,45.615,3.895,-5.84584300285086,-5.90275,-1.3,-0.5,1.6085,1.9825,3.63175,-1.09425,-0.3,1.12475,2.575,3.6235,-2.13325,-0.49175,0.5755,1.1875,1.803,2.661,3.093,4.099,5.471,-3.07175,-1.7315,-0.033,0.72,1.376,2.129,2.622,3.78025,5.248,0.16221542298699,0.346823607708568,2.477675
1,9.25,411.5955,-0.5161035,-11.93172291697,1.72454,3.00780338549112,9.1059825,238.675,299.275,33.985,99.08095,130.85,9.9925,73.9150143892607,64.2575,5.5355,-5.29744913480932,-5.515,-1.267,-0.5,1.6335,1.9775,3.63175,-0.98325,-0.31275,1.1375,2.3715,3.6135,-1.48525,-0.468,0.5995,1.178,1.803,2.681,3.07875,4.074,5.45,-2.9305,-1.551,-0.07175,0.72,1.395,2.134,2.661,3.77525,5.308,0.180612928692431,0.365321190409745,2.771655
1,9.75,411.77775,-0.670391,-9.74069437483821,2.70137,3.19071716667907,10.9753291780412,233.35,302.875,48.315,99.1533,161.925,12.9025,72.3437808346541,77.4,6.666,-4.39314016093948,-5.14,-1.1,-0.5,1.617,1.9825,3.62675,-0.917,-0.3,1.125,2.2265,3.60675,-1.077,-0.41025,0.585,1.202,1.7785,2.65625,3.093,4.079,5.471,-2.31275,-1.4475,-0.048,0.72,1.36625,2.075,2.61725,3.751,5.278,0.17626075,0.376371841276053,2.93571
