DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE,G_2_1_1,G_3_1_1
1,0.25,2.2705,28.5003999999999,6.9803275,2.21433500000002,3.91762,1.0005705,446.400269575,8.5875,91.5232,8.34366530932498,1.365778,6.2419105,8.47049999999999,8.7334,97.911875,0.0216747749999998,0,0,335.6116665,341.88075,10.8196975,4.31455,4.16865,4.622275,4.7108,4.893,6.251,0.87827525,2.3207785,2.10489225,1.1282335,5.2109835,2.280075,0.7689025,-1.25091875
1,0.75,3.20995155,32.59756,11.447613729,3.54202499999999,4.83115625,1.00071625,448.2005916325,8.4925,91.5025,8.151940674875,1.183436520625,5.89714,8.35949999999999,8.8015,97.529375,0.00922522499999977,0,0,335.66667,341.3945,11.15183325,4.59475,4.14225,4.571,4.71,4.91,6.283,0.92395875,2.376112,2.2483925,1.1506875,5.750349,2.20525,1.857965,-1.4880875
1,1.25,2.921,24.4466934999999,19.2202925,2.69102,4.42408,1.000615,447.9225,8.299615,91.500625,8.220714405,1.001422056625,5.474884,8.2635,8.34975,97.5382,0,0,0,337.2125,339.77,9.546,4.554,4.0811,4.469625,4.7775,4.9105,6.29485,0.9225,2.19125,2.1997125,1.21983375,5.3905275,1.74065,3.5746975,-1.97601625
1,1.75,4.94974999999999,22.47878,14.67893375,3.35212299999999,1.857705,0.820312000000002,447.9912412175,8.31477963589999,91.5106,8.11161560774999,1.41919575,5.1820845,8.12999999999999,8.54,97.238475,0,0,0,337.3733365,339.7655,9.92000000000001,4.34475,4.0117,4.3904,4.854,4.912,6.0151,0.9212775,2.4275235,2.20868375,1.139585,5.21925724999998,1.89325,4.55396875,-1.21154
1,2.25,3.43,24.3955,10.90781375,4.5911125,1.92085999999999,0.775232499999991,448.3184945,8.04091,91.506,7.855,1.766435,5.666886,7.91799999999999,8.27,97.501925,0.0111164249999999,0,0,337.2216635,340.07475,11.2765,4.337125,4.0235,4.31725,4.84125,4.9125,6.07825,0.9710125,2.49024125,2.130125,1.213435,5.3326925,2.216375,3.31795,-0.68793875
1,2.75,3.08905,35.645727,18.1155047425,4.38981999999997,2.801695,0,449.45007155,8.111864,91.5235,7.85406225,1.234987,6.057438,7.646,7.819,97.2625,0,0,0,336.336,339.56625,10.85875,4.48195,3.850875,4.2447,4.79,4.91175,6.20297499999999,0.95717325,2.61989975,2.2965125,1.1408715,5.153525,1.9684,4.37695625,-0.62524375
1,3.25,3.793625,29.42275,8.43823774999999,2.0525725,1.584935,0,448.895,7.85560274999999,91.4945,7.730357337675,1.36077325,6.86046475,7.52890000000001,8.0011,97.585925,0,0,0,335.635,339.24166625,11.21875,4.57160000000001,3.942675,4.1202,4.70175,4.90175,6.19762499999999,1.022061919175,2.506540269725,2.1892438576,1.3305,5.40025000000001,1.180575,12.44799375,-0.1458875
1,3.75,5.97979999999999,27.64,18.07635,4.4789505,1.82131299999999,0,447.31135,8.30995625,91.504,8.838028,1.401429,7.57204624999999,7.82385,8.322625,97.37615,0,0,0,333.98667,336.8605,11.006,4.57459999999999,4.0185,4.006775,4.63,4.912,6.22879999999999,1.01135,2.57672575,2.072715,1.27299425,5.440615,1.05485,30.55036375,0.16254
1,4.25,3.450725,43.8034449999999,14.5124275,5.21085999999997,2.19315175000001,0,448.079278075,8.5580535,91.5105,8.141454,1.18245725,8.54140675,7.5836145,7.892,97.596425,0,0,0,332.36425075,335.9985775,11.34850275,4.45450000000001,4.056775,3.90069999999999,4.56545,4.9135,6.24677499999999,1.001386,2.3340825,2.24544525,1.195588,5.69623099999999,2.8798,38.19540625,0.7752525
1,4.75,3.201725,29.1525,12.7058,6.02919,0.96216,0,450.198786995,8.8994221165,91.504,7.3971525,1.29052375,7.725556,7.6174,8.0468,97.7265,0,0,0,331.5675,338.94425,11.3835,4.2155,4.1935,3.99875,4.535,4.91,6.19125,0.94875,2.69882,2.43625,1.3843125,6.254795,2.188675,36.0504425,1.12536375
