DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,FC_1_1_1,FC_1_2_1,FC_1_3_1,FCH4_1_1_1,SC_1_1_1,SC_1_2_1,SC_1_3_1,SCH4_1_1_1,H,H_1_1_1,H_1_2_1,H_1_3_1,LE,LE_1_1_1,LE_1_2_1,LE_1_3_1,SH_1_1_1,SH_1_2_1,SH_1_3_1,SLE_1_1_1,SLE_1_2_1,SLE_1_3_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,USTAR_1_1_1,USTAR_1_2_1,USTAR_1_3_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,PPFD_IN_1_1_1,NEE,NEE_1_1_1,NEE_1_2_1,NEE_1_3_1,RH_1_3_1
1,0.5,378.5,379.25,379.65,0.5032793,0.55728355,0.53413885,1919.207,1928.378,1926.40525,-0.182629825,-0.08297926,-0.044908565,-0.6750428,-0.96458075,-0.24537225,-0.0608047625,-1.472675,-22.20318,-8.809692,-17.23742,-18.23054,-2.34658875,-2.1065795,-0.8330776,-1.409336,-43.78665,-17.7783375,-4.872336,-11.12104,-3.838973,-0.9790705,6.51,4.42474325,2.195943,0.0721499975,0.128648075,0.185568475,95.2594425,-16.28,-15.6288675,-16.236335,0,-0.07780188,-1.4563675,-0.1587509,-0.0468403925,80.3
1,1.5,378.6,378.95,379.95,0.5032793,0.5571799,0.523783425,1919.8465,1926.6085,1926.44925,-0.20363,-0.09091521,-0.0644747875,-0.86778445,-1.042754,-0.239548725,-0.054973985,-1.641886,-21.58132,-4.694725,-16.8665225,-18.03163,-2.80097175,-1.591901,-0.826791,-1.689226,-40.58233,-17.4790825,-4.771796,-10.1788,-3.8261185,-1.020428,6.3,4.440725,2.11789125,0.06931891,0.131375,0.1872019,95.25,-16.44733,-15.626495,-16.725075,0,-0.0651967675,-1.573805,-0.1587897,-0.036986745,81.480425
1,2.5,378.325,378.9,379.925,0.4970659,0.54775615,0.514463525,1920.81575,1928.0035,1927.30375,-0.253941875,-0.0838881825,-0.1196595,-0.7940246,-0.984770925,-0.246815325,-0.05781095,-1.791913,-21.186345,-7.44260125,-14.9027025,-17.17678,-2.4219955,-1.342686,-0.876602475,-1.479021,-39.820365,-16.1510125,-4.335681,-10.7909025,-3.714856,-0.93544235,6.3015005,4.17645025,2.09686875,0.070492465,0.12687775,0.1747325,95.26,-16.59851,-15.5622425,-17.0952925,0,-0.083325,-1.053354,-0.048984505,-0.10663155,82.0938825
1,3.5,378.5,379.1,380,0.5157059,0.544053975,0.5094926,1920.5875,1927.34675,1927.947,-0.167333825,-0.07088682,-0.11013165,-1.01109475,-0.9041697,-0.208267025,-0.046722575,-1.758425,-20.8758175,-4.21617725,-14.85397,-15.8460575,-2.699144,-1.47687075,-1.0228,-1.412857,-38.274695,-16.0078225,-4.507884,-10.57101,-3.49121725,-0.9033957,5.80779875,4.123246,2.11584825,0.074341855,0.121624,0.18545075,95.2393025,-16.59,-15.7774525,-17.25,0,-0.12649465,-1.07375675,-0.097898745,-0.13159765,82.93842
1,4.5,378.25,379.25,380.5,0.492405925,0.549620225,0.49175875,1917.404,1930.1065,1929.306,-0.258340825,-0.09397859,-0.0692515125,-0.77334765,-0.68664065,-0.1894225,-0.0457800925,-1.415502,-21.74118,-4.390813,-16.14868,-17.468455,-2.388268,-1.3360345,-0.900922,-1.2410005,-40.5117775,-15.38245,-4.007284,-11.98726,-3.483998,-0.9225407,6.24332125,3.979794,2.092951,0.073048,0.127351275,0.198768,95.23,-16.65384,-16.16609,-17.227835,0,-0.0613490975,-0.752257025,-0.137821375,-0.033719955,82.999995
1,5.5,378,379.6,380.45,0.502894325,0.55008615,0.4927942,1917.361,1929.3035,1928.923,-0.17686375,-0.0786993725,-0.1418676,-0.94488005,-1.056378,-0.2615896,-0.06725371,-1.85321425,-21.8121625,-6.4417295,-14.6088375,-17.59349,-2.72423525,-1.30185775,-1.0561475,-1.544816,-34.7205,-14.71292,-3.68205,-11.41969,-3.37342975,-0.93105205,5.264391,3.81968375,2.1,0.07444702,0.1236707,0.1866662,95.21569,-16.69849,-16.459335,-17.718835,0,-0.14600145,-1.2309565,-0.14359575,-0.1097072,83.32227
1,6.5,378.2,379.175,380.6,0.497065825,0.54136185,0.4908526,1917.553,1930.493,1929.693,-0.1658435,-0.0728606725,-0.092155995,-0.73809565,-0.93465925,-0.25230325,-0.05861922,-1.990703,-20.52725,-5.958702,-16.647295,-16.841305,-2.37287,-1.8140515,-0.9113953,-1.483316,-35.578655,-13.605935,-3.6369425,-11.5838525,-3.277188,-0.8347543,5.784058,3.9,2.1,0.0639434625,0.114325825,0.18831415,95.23168,-16.844,-16.389665,-17.845,0,-0.09949637,-0.9427593,-0.12920235,-0.0653083,83.45677
1,7.5,378.3,379.2,380.5,0.49592685,0.54086985,0.4853644,1919.713,1928.067,1927.276,-0.107810275,-0.1068624,-0.093506255,-0.8317075,-0.83917565,-0.2666576,-0.06661452,-2.2389775,-18.2121175,-4.752468,-16.111525,-16.9828525,-1.825789,-1.586299,-0.802226,-1.371498,-29.34541,-8.25214,-1.998414,-7.631946,-2.1198955,-0.4746304,5.5945675,4.133749,2.1283695,0.066521585,0.1098332,0.1906488,95.26,-16.75361,-16.4851225,-18,0,-0.132898075,-0.719311825,-0.21814825,-0.0750190675,83.626555
1,8.5,378.4,379.2,380.7,0.501337525,0.5431999,0.49890405,1921.031,1930.001,1929.235,-0.20183095,-0.1090726,-0.1514139,-1.079981,-0.80442155,-0.3504574,-0.10396625,-2.73166875,-6.7027755,-4.5794125,-14.29964,-11.55233,-0.28563555,-1.705608,-1.04293,-1.308155,-11.235145,1.5745165,0.5217215,-7.368567,-0.375702,-0.01573388,5.93052175,4.037513,2.1,0.070018,0.1322989,0.24289305,95.281005,-16.66675,-16.44516,-17.665,44,-0.204495675,-0.9413655,-0.255746,-0.183625825,82.71295
1,9.5,378.425,379.5,380.8,0.4925095,0.5467725,0.5176217,1921.331,1930.7815,1928.536,-0.256000125,-0.1256198,-0.08384051,-1.337212,-1.093572,-0.6774189,-0.21079675,-3.801805,9.173464,-12.88367,-14.4347075,-0.2918406,0.5799917,-2.00317525,-0.976658,-0.386385325,6.7908355,9.37436925,2.52378525,-2.062577,0.280588425,0.0012175,6.009142,3.5811795,2.10604525,0.089547,0.2384704,0.314305,95.29083,-16.496745,-16.164,-16.44,120.7,-0.30249555,-0.994891125,-0.406583225,-0.1671343,80.78282
